Titel,URL,Date_Info,News_page
Putins Überfall auf die Ukraine: Warum Deutschland jetzt doch Waffen liefern sollte,https://www.spiegel.de/politik/deutschland/wladimir-putins-ueberfall-auf-die-ukraine-warum-deutschland-jetzt-doch-waffen-liefern-sollte-kommentar-a-4668a4f7-895b-405f-aff8-ea7cac8ab2de,24022022_16:43 ,Spiegel
Bundeswehroffizier unter Terrorverdacht: Ermittler fanden bei Franco A. Hakenkreuz-Abzeichen und Waffen,https://www.spiegel.de/panorama/justiz/franco-a-prozess-gegen-bundeswehr-offizier-ermittler-fanden-hakenkreuz-abzeichen-a-4d3b8ea5-ecd2-46cc-b8fc-8784d27bfe4e,24022022_16:39 ,Spiegel
Wichtigste Benzinquelle: So sehr hängen deutsche Autos am russischen Öl,https://www.spiegel.de/auto/russland-greift-ukraine-an-benzin-und-diesel-nachschub-fuer-autofahrer-in-gefahr-a-7b7a2c7c-3094-4cd6-8670-45b24a34eab6,24022022_16:34 ,Spiegel
Krieg in der Ukraine: So will Europa auf Putins Angriff reagieren,https://www.spiegel.de/politik/deutschland/sanktionen-gegen-russland-wegen-ukraine-invasion-so-will-die-eu-auf-putins-angriff-reagieren-a-c417d920-fff2-43ac-bb04-fd768e97ee34,24022022_16:27 ,Spiegel
Stimmenfang-Podcast: Die Vergessenen der Pandemie,https://www.spiegel.de/politik/deutschland/schattenfamilien-in-der-corona-pandemie-die-vergessenen-a-d2beb870-3c54-4d2e-b0bf-ee9672435a16,24022022_16:21 ,Spiegel
Drohende Energieknappheit: Habeck plant nationale Kohlereserve,https://www.spiegel.de/wirtschaft/soziales/robert-habeck-kuendigt-kohlereserve-an-a-398fd8e9-8da5-4e4b-974e-6a603cdc6db4,24022022_16:16 ,Spiegel
Englische Grafschaft South Yorkshire: Diebe erbeuten Schmuck von »The Crown«,https://www.spiegel.de/panorama/justiz/the-crown-diebe-erbeuten-schmuck-von-dreharbeiten-in-grossbritannien-a-f45ee3de-9f6d-4390-ae5b-99602dca1d91,24022022_16:05 ,Spiegel
Karneval im TV nach Putins Angriff: Wenn an Weiberfastnacht der Krieg beginnt,https://www.spiegel.de/kultur/tv/karneval-wie-wdr-zdf-und-radio-koeln-auf-den-ukrainekrieg-reagieren-a-d2f503be-5882-4c13-be8d-a3a6a74ef4b9,24022022_16:01 ,Spiegel
Kampfhandlungen im Sperrgebiet: Ukrainische Soldaten stellen sich in Tschernobyl russischen Truppen entgegen,https://www.spiegel.de/ausland/tschernobyl-ukraine-meldet-eindringen-russischer-truppen-in-sperrzone-a-815c08db-fcf9-4391-979b-363341276e2d,24022022_15:54 ,Spiegel
»Blue Fire«-Achterbahn: Europa-Park stoppt Zusammenarbeit mit Nord Stream 2,https://www.spiegel.de/wirtschaft/unternehmen/rust-europa-park-stoppt-zusammenarbeit-mit-nord-stream-2-blue-fire-umbenannt-a-e617823f-6864-4f44-a0bc-4de155a8cec9,24022022_15:45 ,Spiegel
Gefälschter Impfausweis: Ehemaliger Werder-Trainer Anfang muss 36.000 Euro Strafe zahlen,https://www.spiegel.de/panorama/justiz/markus-anfang-ex-trainer-von-werder-bremen-muss-wegen-gefaelschtem-impfausweis-36-000-euro-zahlen-a-cbfe92b8-8fd1-4f57-b6ae-db7c762c114a,24022022_15:45 ,Spiegel
"Russlands Angriff auf die Ukraine: »Sie werden jetzt versuchen, strategisch wichtige Ziele einzunehmen«",https://www.spiegel.de/ausland/sicherheitsexperte-carlo-masala-ueber-den-russischen-angriffskrieg-putin-bestimmt-die-eskalationsspirale-a-2894c3c2-d947-4eb0-a269-d5c4e8213075,24022022_15:39 ,Spiegel
Gas-Lobbyist: Ex-Kanzler Schröder fordert Putin zum Beenden der Invasion auf,https://www.spiegel.de/politik/deutschland/ukraine-gerhard-schroeder-fordert-wladimir-putin-zum-beenden-der-invasion-auf-a-75dcb51d-7890-4305-8911-543e3b1b4c18,24022022_15:33 ,Spiegel
Flucht vor Putins Raketen: »Der Krieg hat begonnen«,https://www.spiegel.de/ausland/russland-und-der-einmarsch-in-die-ukraine-die-massenflucht-beginnt-a-9f9aa981-7854-4394-95f6-a0454689d747,24022022_15:25 ,Spiegel
Pekings Haltung zum Ukrainekrieg: Warum China Putin jetzt zur Seite springt,https://www.spiegel.de/ausland/china-und-der-krieg-in-der-ukraine-warum-peking-putin-jetzt-zur-seite-springt-a-157da3d9-5af8-4721-86b7-c5a6aa9bcbc1,24022022_15:24 ,Spiegel
"Österreichs Kanzler über Gespräch mit Selenskyj: »Er meldet sich als Präsident, ohne zu wissen, wie lange er noch am Leben ist«",https://www.spiegel.de/ausland/ukraine-krieg-karl-nehammer-berichtet-von-dramatischem-telefonat-mit-wolodymyr-selenskyj-a-b8f3eca9-e482-498c-9b5e-d66db77f7c9b,24022022_15:19 ,Spiegel
Motorola Edge 30 Pro im Test: Zu schnell für die Mittelklasse,https://www.spiegel.de/netzwelt/gadgets/motorola-edge-30-pro-im-test-zu-schnell-fuer-die-mittelklasse-a-6a207d5f-ae4a-43f3-8cf2-d6c30499d99c,24022022_15:08 ,Spiegel
Umstrittenes Joint Venture in Lingen: Russischer Einstieg in deutsche Atomfabrik vorerst geplatzt,https://www.spiegel.de/wirtschaft/unternehmen/lingen-einstieg-von-rosatom-in-deutsche-atomfabrik-vorerst-geplatzt-a-f355e411-7635-4a44-8d4f-c9c9061888fb,24022022_15:08 ,Spiegel
Drohnen werfen Saatgut im Outback ab: So bekämpft Australien die Klimakrise,https://www.spiegel.de/wissenschaft/mensch/australiens-klimakaempfer-drohnen-pflanzen-baeume-a-cc899152-6121-4552-8f95-6319bf35b17c,24022022_15:01 ,Spiegel
"»Finde es falsch, in diesem Land zu fahren«: Vettel will Formel-1-Rennen in Russland boykottieren",https://www.spiegel.de/sport/formel1/formel-1-sebastian-vettel-will-rennen-in-russland-boykottieren-a-d1941715-098f-450d-a5d4-31447a5509fa,24022022_14:46 ,Spiegel
Eine Augenzeugin in Charkiw: »Es gibt jetzt keinen sicheren Ort. Nur die Keller«,https://www.spiegel.de/ausland/ukraine-augenzeugenbericht-aus-charkiw-es-gibt-jetzt-keinen-sicheren-ort-nur-die-keller-a-f271392b-1c72-4a2e-bcfd-93373d4812c7,24022022_14:42 ,Spiegel
Nach Russlands Angriff auf die Ukraine: Schalke nimmt Sponsor Gazprom vom Trikot,https://www.spiegel.de/sport/fussball/fc-schalke-04-nimmt-gazprom-schriftzug-vom-trikot-a-6d8db54b-7673-4c8d-b8ad-a02f6eb428c5,24022022_14:37 ,Spiegel
"Wetter am Wochenende: Erst Gewitter, dann Sonne satt",https://www.spiegel.de/panorama/wetter-hoch-kai-bringt-viel-sonne-a-67da0571-12e3-470f-9fc7-6ab469dece3f,24022022_14:36 ,Spiegel
"Naive Haltung gegenüber Russland: Jetzt erst begreift Berlin, was für ein Mann Putin wirklich ist",https://www.spiegel.de/ausland/naive-haltung-gegenueber-russland-jetzt-erst-begreift-berlin-was-fuer-ein-mann-putin-wirklich-ist-a-bf52995a-1863-482c-896e-92f1c376a8be,24022022_14:34 ,Spiegel
Hochwasser in Neuseeland: Stier überlebt Zehn-Meter-Sturz in Wasserfall,https://www.spiegel.de/panorama/neuseeland-stier-ueberlebt-zehn-meter-sturz-im-wasserfall-a-4d194d57-e608-4dcd-b633-a360df15085f,24022022_14:30 ,Spiegel
Krieg in der Ukraine: Kölner Karnevalisten sagen Rosenmontagsfest ab,https://www.spiegel.de/panorama/koeln-karnevalisten-sagen-rosenmontagsfest-ab-a-d19d65e3-73e4-4d3e-97b1-18646aa42434,24022022_14:23 ,Spiegel
Gaspipeline: Wintershall Dea erwartet Entschädigung bei einem Aus für Nord Stream 2,https://www.spiegel.de/wirtschaft/unternehmen/wintershall-dea-deutsche-gasfirma-rechnet-mit-entschaedigung-bei-einem-aus-fuer-nord-stream-2-a-aa840f06-e9bb-454c-893d-190cbc0748b1,24022022_14:15 ,Spiegel
Europäischer Fußballverband: Uefa entzieht Sankt Petersburg das Champions-League-Finale,https://www.spiegel.de/sport/fussball/uefa-entzieht-sankt-petersburg-das-champions-league-finale-a-faaa8281-b069-4e84-943b-51720cc161c2,24022022_14:03 ,Spiegel
Mögliche neue Sanktionen: Was Russland wirtschaftlich zu verlieren hat,https://www.spiegel.de/wirtschaft/russland-und-die-eu-was-russland-wirtschaftlich-zu-verlieren-hat-a-09eb6357-9607-45f8-bfb8-d39ef5e71b86,24022022_14:00 ,Spiegel
Folge des russischen Angriffs: Bundesinnenministerin Faeser will »vorübergehenden Schutz« für Ukraine-Vertriebene,https://www.spiegel.de/politik/deutschland/krieg-in-der-ukraine-nancy-faeser-rechnet-mit-fluechtlingen-aus-der-ukraine-a-c19e596f-a4ab-4aca-9ea0-9c4521e3151b,24022022_13:55 ,Spiegel
"Bürgermeisterin Reker zum Karnevalsbeginn: »Bilder, die Kopfschütteln verursachen werden«",https://www.spiegel.de/panorama/gesellschaft/henriette-reker-ueber-karneval-in-koeln-bilder-die-kopfschuetteln-verursachen-werden-a-11b6422f-acac-46df-a318-f0a50ef7007e,24022022_13:54 ,Spiegel
Tod bei Autounfall: Mönchengladbach trauert um Nachwuchsspieler Bongard,https://www.spiegel.de/sport/fussball/borussia-moenchengladbach-trauert-um-nachwuchsspieler-jordi-bongard-a-9953071f-bacb-4dc5-8403-e1462e1afe88,24022022_13:50 ,Spiegel
Pressekonferenz: EU und Nato äußern sich zur Ukraine-Invasion,https://www.spiegel.de/ausland/ukraine-offensive-eu-und-nato-aeussern-sich-zur-ukraine-invasion-livestream-a-ca63265c-1562-4a34-adb1-cb593a721844,24022022_13:42 ,Spiegel
Energiepreise: Krieg in der Ukraine droht Inflation in Deutschland auf gut sechs Prozent zu treiben,https://www.spiegel.de/wirtschaft/soziales/krieg-in-der-ukraine-droht-inflation-in-deutschland-auf-gut-sechs-prozent-zu-treiben-a-cea175df-e67c-4bf7-95b6-fb102a0e9e7f,24022022_13:36 ,Spiegel
Bericht des ukrainischen Grenzschutzes: Russische Truppen rücken auf die Hauptstadt Kiew vor,https://www.spiegel.de/ausland/ukraine-russische-truppen-ruecken-auf-kiew-vor-a-b0deffdc-40cc-4599-aeab-4b762535a4b2,24022022_13:31 ,Spiegel
Russischer Angriff: Putin erklärt der Ukraine den Krieg – kann ihn aber nicht begründen,https://www.spiegel.de/ausland/russland-wladimir-putin-erklaert-der-ukraine-krieg-aber-kann-ihn-nicht-begruenden-a-90a573ed-3d90-4a39-b67b-a9132721ab4d,24022022_13:29 ,Spiegel
Sondersitzung nach russischem Einmarsch in die Ukraine: Uefa will über Champions-League-Finale in Sankt Petersburg beraten,https://www.spiegel.de/sport/fussball/russland-krise-uefa-will-ueber-champions-league-finale-in-st-petersburg-beraten-a-de7aa260-596c-4e49-9f67-00cddede49d3,24022022_13:23 ,Spiegel
Ukraine-Invasion: Russland streitet Meldungen über getötete Zivilisten ab,https://www.spiegel.de/ausland/ukraine-krieg-russland-streitet-meldungen-ueber-getoetete-zivilisten-ab-a-e44d196c-a7e6-430c-ada1-85660bb86992,24022022_13:20 ,Spiegel
Russischer Fußballnationalspieler solidarisiert sich mit der Ukraine: »Nein zum Krieg«,https://www.spiegel.de/sport/fussball/russischer-fussball-nationalspieler-fedor-smolow-solidarisiert-sich-mit-der-ukraine-a-7994c8ab-77b7-41b2-b95d-74ab17f67b92,24022022_13:03 ,Spiegel
Kanzler Scholz zur Invasion der Ukraine: »Putin hat mit seinem Krieg einen schweren Fehler begangen«,https://www.spiegel.de/politik/bundeskanzler-olaf-scholz-putin-hat-mit-seinem-krieg-einen-schweren-fehler-begangen-a-1da3dba3-0e04-41f2-933f-6de86c9bab52,24022022_13:00 ,Spiegel
Neues Buch über Döner: Der Geschmack von Freiheit,https://www.spiegel.de/kultur/doener-kebap-nationalgericht-und-politikum-der-geschmack-von-freiheit-a-13e35636-5fd0-4093-9381-ee28d4a4081d,24022022_12:55 ,Spiegel
Oppo Find X5 Pro im Test: Dieses Smartphone wurde von der Mondlandung inspiriert,https://www.spiegel.de/netzwelt/gadgets/oppo-find-x5-pro-im-test-dieses-smartphone-wurde-von-der-mondlandung-inspiriert-a-f27dfb3e-85e8-417a-930a-c03c17d0379b,24022022_12:48 ,Spiegel
Kanzler Scholz verurteilt russische Invasion: »Das ist Putins Krieg«,https://www.spiegel.de/politik/deutschland/ukraine-olaf-scholz-fordert-wladimir-putin-zum-rueckzug-auf-a-0a9ef561-d086-46d8-b463-4ef48025585c,24022022_12:46 ,Spiegel
