Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Giffey mahnt klare Haltung gegen Antisemitismus an,26012022_15:23,https://www.sueddeutsche.de/wissen/geschichte-berlin-giffey-mahnt-klare-haltung-gegen-antisemitismus-an-dpa.urn-newsml-dpa-com-20090101-220126-99-860208,Geschichte - Berlin,dpa,,,26012022,Sueddeutsche,wissen
Anstieg der Corona-Welle in Rheinland-Pfalz ungebrochen,26012022_15:22,https://www.sueddeutsche.de/gesundheit/gesundheit-mainz-anstieg-der-corona-welle-in-rheinland-pfalz-ungebrochen-dpa.urn-newsml-dpa-com-20090101-220126-99-860169,Gesundheit - Mainz,dpa,,,26012022,Sueddeutsche,gesundheit
Impfpass-Affäre: DFB-Sportgericht sperrt Markus Anfang für ein Jahr,26012022_15:22,https://www.sueddeutsche.de/sport/fussball-impfpass-affaere-dfb-sportgericht-sperrt-markus-anfang-fuer-ein-jahr-dpa.urn-newsml-dpa-com-20090101-220126-99-860214,Fußball,dpa,,,26012022,Sueddeutsche,sport
Das ist die erste Frau an Pakistans höchstem Gericht,26012022_15:22,https://www.sueddeutsche.de/politik/ayesha-malik-judge-pakistan-1.5514983,Pakistan,,Von Arne Perras,"Meinung
                    
                    
                        Gegen alle patriarchalischen Widerstände hat es die 55 Jahre alte Juristin geschafft: Ayesha Malik, eine Starke Stimme für Frauenrechte, ist erste Richterin am Supreme Court. 
                        
                            Von Arne Perras",26012022,Sueddeutsche,politik
Ein Mini-Stadtviertel für Bad Tölz,26012022_15:22,https://www.sueddeutsche.de/muenchen/wolfratshausen/moralt-areal-mini-stadtviertel-fuer-bad-toelz-1.5515497,Stadtentwicklung,,Von Klaus Schieder,"Der Stadtrat gibt eine Machbarkeitsstudie für das Moralt-Areal in Auftrag, das seit 2016 brach liegt. Es soll ein Quartier mit Wohnungen, Gatronomie und Kultur entstehen.
                        
                            Von Klaus Schieder",26012022,Sueddeutsche,muenchen
Jede zweite Frau hat nach Geburt Inkontinenz erlebt,26012022_15:21,https://www.sueddeutsche.de/gesundheit/gesundheit-jede-zweite-frau-hat-nach-geburt-inkontinenz-erlebt-dpa.urn-newsml-dpa-com-20090101-220126-99-856175,Gesundheit,dpa,,,26012022,Sueddeutsche,gesundheit
Demonstrationen gegen Corona-Impfpflicht in Berlin,26012022_15:21,https://www.sueddeutsche.de/politik/demonstrationen-berlin-demonstrationen-gegen-corona-impfpflicht-in-berlin-dpa.urn-newsml-dpa-com-20090101-220126-99-859673,Demonstrationen - Berlin,dpa,,,26012022,Sueddeutsche,politik
"Landtag streitet um strenge Corona-Politik: ""Weniger Tote""",26012022_15:19,https://www.sueddeutsche.de/politik/landtag-schwerin-landtag-streitet-um-strenge-corona-politik-weniger-tote-dpa.urn-newsml-dpa-com-20090101-220126-99-857109,Landtag - Schwerin,dpa,,,26012022,Sueddeutsche,politik
Staatsanwalt fordert: Lebenslang für Mordkomplott,26012022_15:19,https://www.sueddeutsche.de/panorama/prozesse-dresden-staatsanwalt-fordert-lebenslang-fuer-mordkomplott-dpa.urn-newsml-dpa-com-20090101-220126-99-860142,Prozesse - Dresden,dpa,,,26012022,Sueddeutsche,panorama
Diskriminierung: Nur zwei Geschlechter beim Online-Shopping,26012022_15:19,https://www.sueddeutsche.de/panorama/prozesse-diskriminierung-nur-zwei-geschlechter-beim-online-shopping-dpa.urn-newsml-dpa-com-20090101-220126-99-859492,Prozesse,dpa,,,26012022,Sueddeutsche,panorama
War die CDU zu lange zu lax im Umgang mit Mitgliedern am äußersten rechten Rand?,26012022_15:15,https://www.sueddeutsche.de/politik/cdu-merz-max-otte-afd-1.5515686,Leserdiskussion,,,"Max Otte wird aus der CDU ausgeschlossen, nachdem er als Bundespräsidenten-Kandidat der AfD antritt - ein gutes Zeichen, kommentiert SZ-Autor Robert Roßmann. Viel zu lange habe die Partei Mitglieder am äußersten rechten Rand gewähren lassen.",26012022,Sueddeutsche,politik
Hohe Sicherheitsvorkehrungen bei Drach-Prozess in Köln,26012022_15:14,https://www.sueddeutsche.de/panorama/prozesse-hohe-sicherheitsvorkehrungen-bei-drach-prozess-in-koeln-dpa.urn-newsml-dpa-com-20090101-220126-99-859889,Prozesse,dpa,,,26012022,Sueddeutsche,panorama
Innenminister: Rechtsextreme regelmäßig bei Corona-Demos,26012022_15:14,https://www.sueddeutsche.de/bayern/landtag-muenchen-innenminister-rechtsextreme-regelmaessig-bei-corona-demos-dpa.urn-newsml-dpa-com-20090101-220126-99-860104,Landtag - München,dpa,,,26012022,Sueddeutsche,bayern
Dax steigt vor Fed-Zinsentscheid deutlich,26012022_15:13,https://www.sueddeutsche.de/wirtschaft/boersen-dax-steigt-vor-fed-zinsentscheid-deutlich-dpa.urn-newsml-dpa-com-20090101-220126-99-854445,Börsen,dpa,,,26012022,Sueddeutsche,wirtschaft
Musiker Boris Pfeiffer nach Corona-Demo gestorben,26012022_15:13,https://www.sueddeutsche.de/kultur/musik-musiker-boris-pfeiffer-nach-corona-demo-gestorben-dpa.urn-newsml-dpa-com-20090101-220126-99-856939,Musik,dpa,,,26012022,Sueddeutsche,kultur
Abellios Ende am 31. Januar: Letzte Züge fahren am Abend,26012022_15:12,https://www.sueddeutsche.de/wirtschaft/verkehr-hagen-abellios-ende-am-31-januar-letzte-zuege-fahren-am-abend-dpa.urn-newsml-dpa-com-20090101-220126-99-860040,Verkehr - Hagen,dpa,,,26012022,Sueddeutsche,wirtschaft
Patientenschützer: Skepsis in Impfpflicht-Debatte angebracht,26012022_15:11,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-patientenschuetzer-skepsis-in-impfpflicht-debatte-angebracht-dpa.urn-newsml-dpa-com-20090101-220126-99-859724,Gesundheit - Berlin,dpa,,,26012022,Sueddeutsche,gesundheit
Brand auf Parkplatz zerstört vier Autos in Grevesmühlen,26012022_15:11,https://www.sueddeutsche.de/panorama/braende-grevesmuehlen-brand-auf-parkplatz-zerstoert-vier-autos-in-grevesmuehlen-dpa.urn-newsml-dpa-com-20090101-220126-99-860043,Brände - Grevesmühlen,dpa,,,26012022,Sueddeutsche,panorama
Corona: Bildungsministerin und Staatssekretär im Homeoffice,26012022_15:09,https://www.sueddeutsche.de/gesundheit/gesundheit-magdeburg-corona-bildungsministerin-und-staatssekretaer-im-homeoffice-dpa.urn-newsml-dpa-com-20090101-220126-99-860009,Gesundheit - Magdeburg,dpa,,,26012022,Sueddeutsche,gesundheit
Alkoholisierter Mann bei Sturz schwer verletzt,26012022_15:09,https://www.sueddeutsche.de/panorama/unfaelle-bad-schwartau-alkoholisierter-mann-bei-sturz-schwer-verletzt-dpa.urn-newsml-dpa-com-20090101-220126-99-860003,Unfälle - Bad Schwartau,dpa,,,26012022,Sueddeutsche,panorama
Hohe Sicherheitsvorkehrungen bei Drach-Prozess in Köln,26012022_15:08,https://www.sueddeutsche.de/panorama/prozesse-koeln-hohe-sicherheitsvorkehrungen-bei-drach-prozess-in-koeln-dpa.urn-newsml-dpa-com-20090101-220126-99-859968,Prozesse - Köln,dpa,,,26012022,Sueddeutsche,panorama
"Steinmeier: ""Opfer haben Recht auf Erinnerung""",26012022_15:08,https://www.sueddeutsche.de/politik/bundespraesident-oranienburg-steinmeier-opfer-haben-recht-auf-erinnerung-dpa.urn-newsml-dpa-com-20090101-220125-99-847835,Bundespräsident - Oranienburg,dpa,,,26012022,Sueddeutsche,politik
2204 positiv Getestete,26012022_15:07,https://www.sueddeutsche.de/muenchen/wolfratshausen/landkreis-bad-toelz-wolfratshausen-corona-news-1.5085758,Corona-Newsblog für den Landkreis Bad Tölz-Wolfratshausen,,Von SZ-Autoren,"Die Sieben-Tage-Inzidenz liegt im Landkreis Bad Tölz-Wolfratshausen am Mittwoch bei 1280,7. Zehn Erkrankte werden stationär behandelt.

                        
                            Von SZ-Autoren",26012022,Sueddeutsche,muenchen
Knieverletzung: Verteidiger Rittmüller wird operiert,26012022_15:07,https://www.sueddeutsche.de/sport/fussball-heidenheim-an-der-brenz-knieverletzung-verteidiger-rittmueller-wird-operiert-dpa.urn-newsml-dpa-com-20090101-220126-99-859940,Fußball - Heidenheim an der Brenz,dpa,,,26012022,Sueddeutsche,sport
Weniger Physio- und Ergotherapie in Niedersachsen,26012022_15:06,https://www.sueddeutsche.de/gesundheit/gesundheit-hannover-weniger-physio-und-ergotherapie-in-niedersachsen-dpa.urn-newsml-dpa-com-20090101-220126-99-859921,Gesundheit - Hannover,dpa,,,26012022,Sueddeutsche,gesundheit
Omikron-Subtyp BA.2: Was über die Untervariante bekannt ist,26012022_15:06,https://www.sueddeutsche.de/gesundheit/gesundheit-omikron-subtyp-ba2-was-ueber-die-untervariante-bekannt-ist-dpa.urn-newsml-dpa-com-20090101-220126-99-857084,Gesundheit,dpa,,,26012022,Sueddeutsche,gesundheit
Impfpflichtgegner treffen sich auf dem Königsplatz,26012022_15:04,https://www.sueddeutsche.de/muenchen/muenchen-koenigsplatz-corona-protest-polizei-1.5515759,Proteste in München,,Von Martin Bernstein und Ulrike Heidenreich,"Erstmals seit Mitte Dezember findet wieder eine angemeldete sationäre Kundgebung statt. 1000 Polizisten sollen die Maskenpflicht überwachen und ""Gehversuche"" stoppen.
                        
                            Von Martin Bernstein und Ulrike Heidenreich",26012022,Sueddeutsche,muenchen
Impfpass-Affäre: Markus Anfang für ein Jahr gesperrt,26012022_15:04,https://www.sueddeutsche.de/sport/fussball-impfpass-affaere-markus-anfang-fuer-ein-jahr-gesperrt-dpa.urn-newsml-dpa-com-20090101-220126-99-859893,Fußball,dpa,,,26012022,Sueddeutsche,sport
50 Durchsuchungen bei Kinderpornografie-Razzien,26012022_15:04,https://www.sueddeutsche.de/bayern/internet-muenchen-50durchsuchungen-bei-kinderpornografie-razzien-dpa.urn-newsml-dpa-com-20090101-220126-99-859419,Internet - München,dpa,,,26012022,Sueddeutsche,bayern
