Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Bewohnerin wird bei Hausbrand verletzt: 500.000 Euro Schaden,11122021_07:23,https://www.sueddeutsche.de/panorama/braende-ittlingen-bewohnerin-wird-bei-hausbrand-verletzt-500000-euro-schaden-dpa.urn-newsml-dpa-com-20090101-211210-99-337171,Brände - Ittlingen,dpa,,,11122021,Sueddeutsche
Streetart-Künstler Akut zeigt Werke in ehemaligem Supermarkt,11122021_07:23,https://www.sueddeutsche.de/kultur/kunst-heidelberg-streetart-kuenstler-akut-zeigt-werke-in-ehemaligem-supermarkt-dpa.urn-newsml-dpa-com-20090101-211211-99-341250,Kunst - Heidelberg,dpa,,,11122021,Sueddeutsche
Angebot der Kirche: nach Weihnachtsgottesdienst zum Impfen,11122021_07:22,https://www.sueddeutsche.de/panorama/kirche-lauffen-am-neckar-angebot-der-kirche-nach-weihnachtsgottesdienst-zum-impfen-dpa.urn-newsml-dpa-com-20090101-211211-99-341248,Kirche - Lauffen am Neckar,dpa,,,11122021,Sueddeutsche
Europa-Park plant Hochbahn für zweistelligen Millionenbetrag,11122021_07:21,https://www.sueddeutsche.de/leben/freizeit-rust-europa-park-plant-hochbahn-fuer-zweistelligen-millionenbetrag-dpa.urn-newsml-dpa-com-20090101-211211-99-341242,Freizeit - Rust,dpa,,,11122021,Sueddeutsche
FDP-Fraktionschef Dürr: Mehr Migration in den Arbeitsmarkt,11122021_07:21,https://www.sueddeutsche.de/politik/koalition-fdp-fraktionschef-duerr-mehr-migration-in-den-arbeitsmarkt-dpa.urn-newsml-dpa-com-20090101-211211-99-341205,Koalition,dpa,,,11122021,Sueddeutsche
Verpackungssteuer in Tübingen kommt trotz Klage vor dem VGH,11122021_07:20,https://www.sueddeutsche.de/wissen/umwelt-tuebingen-verpackungssteuer-in-tuebingen-kommt-trotz-klage-vor-dem-vgh-dpa.urn-newsml-dpa-com-20090101-211211-99-341237,Umwelt - Tübingen,dpa,,,11122021,Sueddeutsche
Waffenstillstand im Bannwald,11122021_07:18,https://www.sueddeutsche.de/muenchen/landkreismuenchen/forst-kasten-neuried-bannwald-kiesabbau-1.5485446,Naturschutz,,"Von Annette Jäger, Gräfelfing/Neuried","Über dem Forst Kasten ist Ruhe eingekehrt: Die Proteste gegen einen Kiesabbau sind abgeflaut, beim Landratsamt ist noch immer kein Antrag auf Genehmigung eingegangen. Unterdessen haben sich Umweltinitiativen mit einem juristischen Gutachten gerüstet - es könnte die Auseinandersetzung entscheiden.
                        
                            Von Annette Jäger, Gräfelfing/Neuried",11122021,Sueddeutsche
Inzidenz steigt erstmals seit Tagen,11122021_07:15,https://www.sueddeutsche.de/muenchen/landkreismuenchen/landkreis-muenchen-corona-news-inzidenz-weihnachtsmaerkte-impfstoff-moderna-1.4850845,Newsblog zum Coronavirus im Landkreis München,,Von SZ-Autoren,"Die Inzidenz steigt am Samstag von 276,0 auf 283,7. Es ist aber weiter der niedrigste Wert in der Region München. 995 Neuinfektionen in der vergangenen Woche.
                        
                            Von SZ-Autoren",11122021,Sueddeutsche
"Schindler hat zwei Jahre abgehakt - ""Kleiner Meilenstein""",11122021_06:58,https://www.sueddeutsche.de/sport/darts-schindler-hat-zwei-jahre-abgehakt-kleiner-meilenstein-dpa.urn-newsml-dpa-com-20090101-211210-99-338527,Darts,dpa,,,11122021,Sueddeutsche
NBA-Profi Schröder mit Boston ohne Chance in Phoenix,11122021_06:57,https://www.sueddeutsche.de/sport/basketball-nba-profi-schroeder-mit-boston-ohne-chance-in-phoenix-dpa.urn-newsml-dpa-com-20090101-211211-99-341089,Basketball,dpa,,,11122021,Sueddeutsche
Baumgart grummelt nach Kölner Heimniederlage,11122021_06:37,https://www.sueddeutsche.de/sport/fussball-baumgart-grummelt-nach-koelner-heimniederlage-dpa.urn-newsml-dpa-com-20090101-211211-99-341041,Fußball,dpa,,,11122021,Sueddeutsche
Das bringt der Wintersport am Samstag,11122021_06:37,https://www.sueddeutsche.de/sport/biathlon-das-bringt-der-wintersport-am-samstag-dpa.urn-newsml-dpa-com-20090101-211211-99-340619,Biathlon,dpa,,,11122021,Sueddeutsche
Nächste NHL-Niederlage für Seider und Greiss,11122021_06:37,https://www.sueddeutsche.de/sport/eishockey-naechste-nhl-niederlage-fuer-seider-und-greiss-dpa.urn-newsml-dpa-com-20090101-211211-99-340767,Eishockey,dpa,,,11122021,Sueddeutsche
"Bundesliga am Samstag: Sechs Spiele, sechs Köpfe",11122021_06:28,https://www.sueddeutsche.de/sport/fussball-bundesliga-am-samstag-sechs-spiele-sechs-koepfe-dpa.urn-newsml-dpa-com-20090101-211210-99-338882,Fußball,dpa,,,11122021,Sueddeutsche
Die letzte Pole des Jahres: Leichter Vorteil für Hamilton,11122021_06:27,https://www.sueddeutsche.de/sport/motorsport-die-letzte-pole-des-jahres-leichter-vorteil-fuer-hamilton-dpa.urn-newsml-dpa-com-20090101-211210-99-339190,Motorsport,dpa,,,11122021,Sueddeutsche
Berger: Verstappen gegen Hamilton ist Formel-1-Klassiker,11122021_06:20,https://www.sueddeutsche.de/sport/motorsport-berger-verstappen-gegen-hamilton-ist-formel-1-klassiker-dpa.urn-newsml-dpa-com-20090101-211210-99-338478,Motorsport,dpa,,,11122021,Sueddeutsche
"Mercedes-Sportchef: ""Niemand wird je größer als Schumi sein""",11122021_06:20,https://www.sueddeutsche.de/sport/motorsport-mercedes-sportchef-niemand-wird-je-groesser-als-schumi-sein-dpa.urn-newsml-dpa-com-20090101-211211-99-341020,Motorsport,dpa,,,11122021,Sueddeutsche
Eissprinter Dufter knapp über Rekord in Calgary,11122021_06:13,https://www.sueddeutsche.de/sport/eisschnelllauf-eissprinter-dufter-knapp-ueber-rekord-in-calgary-dpa.urn-newsml-dpa-com-20090101-211211-99-339861,Eisschnelllauf,dpa,,,11122021,Sueddeutsche
Springreiter Deußer beim Top-Ten-Finale in Genf Sechster,11122021_06:08,https://www.sueddeutsche.de/sport/pferdesport-springreiter-deusser-beim-top-ten-finale-ingenfsechster-dpa.urn-newsml-dpa-com-20090101-211211-99-340993,Pferdesport,dpa,,,11122021,Sueddeutsche
"Inzidenz sinkt auf 402,9",11122021_06:00,https://www.sueddeutsche.de/politik/corona-aktuell-rki-inzidenz-neuinfektionen-1.5481008,Coronavirus in Deutschland,,Nachrichten aus Deutschland,"Das RKI meldet 53 697 Corona-Neuinfektionen binnen eines Tages. Experten gehen derzeit allerdings von einer merklichen Untererfassung aus. Der Arbeitgeberverband Pflege fordert, den erneut geplanten Pflegebonus nur an geimpftes Personal auszuzahlen.
                        
                            Nachrichten aus Deutschland",11122021,Sueddeutsche
Wer gewinnt 2021? Europäischer Filmpreis wird verliehen,11122021_04:51,https://www.sueddeutsche.de/kultur/film-wer-gewinnt-2021-europaeischer-filmpreis-wird-verliehen-dpa.urn-newsml-dpa-com-20090101-211211-99-340725,Film,dpa,,,11122021,Sueddeutsche
