Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Stinkt zum Himmel,17022022_17:48,https://www.sueddeutsche.de/politik/duengen-nitrat-eu-1.5531248,Landwirtschaft,,"Von Michael Bauchmüller, Berlin","Die Bundesregierung muss Brüssel endlich einen Plan vorlegen, wie sie die Nitrat-Belastung des Grundwassers in den Griff bekommen will. Das könnte noch ungemütlich für sie werden.
                        
                            Von Michael Bauchmüller, Berlin",18022022,Sueddeutsche,politik
Klage auf Geld vom Staat,17022022_17:48,https://www.sueddeutsche.de/politik/afd-stiftung-klage-auf-geld-vom-staat-1.5531324,AfD-Stiftung,,,,18022022,Sueddeutsche,politik
AfD-Politikerin beleidigt grüne Transgender-Abgeordnete,17022022_17:48,https://www.sueddeutsche.de/politik/bundestag-afd-politikerin-beleidigt-gruene-transgender-abgeordnete-1.5531264,Bundestag,,,,18022022,Sueddeutsche,politik
Willkommen zurück,17022022_17:48,https://www.sueddeutsche.de/politik/corona-lockerungen-ueberblick-1.5531308,Corona-Lockerungen,,Von Nina von Hardenberg und Kathrin Müller-Lancé,"Der Winter geht, Bund und Länder lockern die Corona-Maßnahmen. So ist es jetzt, so war es im Vorjahr. Doch es gibt markante Unterschiede. Ein Überblick.
                        
                            Von Nina von Hardenberg und Kathrin Müller-Lancé",18022022,Sueddeutsche,politik
Kardinal Woelkis Rückkehr stößt auf Skepsis,17022022_17:48,https://www.sueddeutsche.de/politik/kardinal-woelki-rueckkehr-skepsis-1.5531118,Erzbistum Köln,,,An Aschermittwoch will der Kardinal seine Auszeit beenden und gleich eine Messe feiern. Doch alle Gremien im Erzbistum Köln haben sich dagegen ausgesprochen.,18022022,Sueddeutsche,politik
"Wer fährt, hat die Verantwortung",17022022_17:48,https://www.sueddeutsche.de/meinung/kommentar-suv-prozess-1.5531153,SUV-Prozess,,Von Verena Mayer,"Das Urteil aus Berlin zeigt: Nicht große Straßenkreuzer sind das Problem, sondern diejenigen, die hinterm Steuer sitzen. Die Verkehrspolitik muss aufhören, Autofahrer zu schonen.
                        
                            Von Verena Mayer",18022022,Sueddeutsche,meinung
Schwarze Zahlen,17022022_17:48,https://www.sueddeutsche.de/meinung/aktuelles-lexikon-schwarze-zahlen-1.5531228,Aktuelles Lexikon,,Von Meike Schreiber,"Ziffern sind Ziffern. Oder doch nicht? Zumindest freuen sich Aktionäre nicht über alle gleichermaßen.
                        
                            Von Meike Schreiber",18022022,Sueddeutsche,meinung
Joe Biden bestiehlt das afghanische Volk,17022022_17:48,https://www.sueddeutsche.de/meinung/usa-afghanistan-taliban-finanzreserven-1.5531202,Sanktionen,,Kommentar von Claus Hulverscheidt,"Meinung
                    
                    
                        Der US-Präsident beschlagnahmt die Finanzreserven des Landes, um amerikanische Terroropfer zu entschädigen. Was gut klingt, ist schlicht ein himmelschreiender Skandal. 
                        
                            Kommentar von Claus Hulverscheidt",18022022,Sueddeutsche,meinung
Des Kanzlers Optimist für den Osten,17022022_17:48,https://www.sueddeutsche.de/meinung/profil-schneider-ostbeauftragter-1.5531221,Bundesregierung,,Von Cerstin Gammelin,"Meinung
                    
                    
                        Der Ostbeauftragte Carsten Schneider ist noch keine hundert Tage im Amt, doch schon plagen ihn einige Rückschläge. 
                        
                            Von Cerstin Gammelin",18022022,Sueddeutsche,meinung
Das Streiflicht,17022022_17:48,https://www.sueddeutsche.de/politik/glosse-das-streiflicht-1.5531096,Glosse,,,,18022022,Sueddeutsche,politik
Teure Heldenverehrung,17022022_17:48,https://www.sueddeutsche.de/politik/usa-geschichte-suedstaaten-buergerkrieg-strassennamen-immobilien-1.5531196,Immobilien,,Von Claus Hulverscheidt,"In den USA sind immer noch mehr als tausend Straßen nach umstrittenen Größen der einst abtrünnigen Südstaaten benannt. Den Preis dafür zahlen Anwohner, die ihr Haus verkaufen wollen.
                        
                            Von Claus Hulverscheidt",18022022,Sueddeutsche,politik
Für Novavax-Impfstart wartet NRW auf Bundeszusagen,17022022_17:47,https://www.sueddeutsche.de/gesundheit/gesundheit-duesseldorf-fuer-novavax-impfstart-wartet-nrw-auf-bundeszusagen-dpa.urn-newsml-dpa-com-20090101-220217-99-179226,Gesundheit - Düsseldorf,dpa,,,18022022,Sueddeutsche,gesundheit
Orang-Utans benutzen Steinzeit-Messer,17022022_17:46,https://www.sueddeutsche.de/wissen/orang-utan-werkzeug-messer-steinzeit-mensch-primaten-1.5530992,Tiere,,Von Tina Baier,"Ohne es je irgendwo gesehen zu haben, kommt einem Affen die Idee, scharfkantige Steine zum Schneiden zu verwenden. Was bedeutet das für die angebliche Überlegenheit des Menschen? 
                        
                            Von Tina Baier",18022022,Sueddeutsche,wissen
Hunderte Sturmeinsätze im Norden: Keine größeren Schäden,17022022_17:46,https://www.sueddeutsche.de/panorama/unwetter-kiel-hunderte-sturmeinsaetze-im-norden-keine-groesseren-schaeden-dpa.urn-newsml-dpa-com-20090101-220217-99-171211,Unwetter - Kiel,dpa,,,18022022,Sueddeutsche,panorama
"Wegen ""zahlreicher"" Vorfälle: VfR Aalen trennt sich von Wolf",17022022_17:45,https://www.sueddeutsche.de/sport/fussball-aalen-wegen-zahlreicher-vorfaelle-vfr-aalen-trennt-sich-von-wolf-dpa.urn-newsml-dpa-com-20090101-220217-99-176376,Fußball - Aalen,dpa,,,18022022,Sueddeutsche,sport
"""Ich habe mir einfach eine ganze Menge Erinnerungen weggesoffen""",17022022_17:44,https://www.sueddeutsche.de/muenchen/muenchen-franz-xaver-kroetz-theater-der-drang-1.5531181,"Schauspieler, Dramatiker, Autor",,Interview von Philipp Crone,"Franz Xaver Kroetz schreibt nun Gedichte statt Theaterstücke. Ein Gespräch über das Alter, Reue und die Momente des Glücks.
                        
                            Interview von Philipp Crone",18022022,Sueddeutsche,muenchen
Bilder des Tages,17022022_17:40,https://www.sueddeutsche.de/leben/momentaufnahmen-im-februar-1.5519616,Momentaufnahmen im Februar,,,"Bilder
                    
                    
                        Schönes, Erschreckendes, Absurdes und ganz Alltägliches: Momentaufnahmen aus allen Ecken der Welt, laufend aktualisiert.",18022022,Sueddeutsche,leben
Stufenweise Lockerungen: 2G im Einzelhandel fällt,17022022_17:40,https://www.sueddeutsche.de/politik/kabinett-magdeburg-stufenweise-lockerungen-2g-im-einzelhandel-faellt-dpa.urn-newsml-dpa-com-20090101-220216-99-159550,Kabinett - Magdeburg,dpa,,,18022022,Sueddeutsche,politik
"Zorc: Europa League für BVB aktuell ""der beste Wettbewerb""",17022022_17:38,https://www.sueddeutsche.de/sport/fussball-dortmund-zorc-europa-league-fuer-bvb-aktuell-der-beste-wettbewerb-dpa.urn-newsml-dpa-com-20090101-220217-99-179158,Fußball - Dortmund,dpa,,,18022022,Sueddeutsche,sport
Ermittlungen nach S-Bahn-Unfall - Lokführer im Fokus,17022022_17:38,https://www.sueddeutsche.de/panorama/unfaelle-ermittlungen-nach-s-bahn-unfall-lokfuehrer-im-fokus-dpa.urn-newsml-dpa-com-20090101-220217-99-172333,Unfälle,dpa,,,18022022,Sueddeutsche,panorama
