Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
"VfB-Präsident: Mit Mislintat ""offenen und guten Austausch""",02122021_11:28,https://www.sueddeutsche.de/sport/fussball-stuttgart-vfb-praesident-mit-mislintat-offenen-und-guten-austausch-dpa.urn-newsml-dpa-com-20090101-211202-99-227240,Fußball - Stuttgart,dpa,,,02122021,Sueddeutsche,sport
Zahnärzte wollen Corona-Impfkampagne unterstützen,02122021_11:27,https://www.sueddeutsche.de/gesundheit/aerzte-hannover-zahnaerzte-wollen-corona-impfkampagne-unterstuetzen-dpa.urn-newsml-dpa-com-20090101-211202-99-227292,Ärzte - Hannover,dpa,,,02122021,Sueddeutsche,gesundheit
"Bye, bye, Virgil!",02122021_11:27,https://www.sueddeutsche.de/stil/design-mode-1.5478339,Zum Tod von Virgil Abloh,,"Von Jan Kedves, Max Scharnigg und Silke Wichert","Sneaker mit Kabelbinder, ein Einkaufszettel-Teppich und der ""Männer-BH"": Virgil Abloh hat den Rahmen des klassischen Modedesigners gesprengt. Fünf legendäre Produkte
                        
                            Von Jan Kedves, Max Scharnigg und Silke Wichert",02122021,Sueddeutsche,stil
Auto kracht in Schaufenster: Zwei Schwerverletzte,02122021_11:26,https://www.sueddeutsche.de/panorama/unfaelle-sigmaringen-auto-kracht-in-schaufenster-zwei-schwerverletzte-dpa.urn-newsml-dpa-com-20090101-211202-99-227241,Unfälle - Sigmaringen,dpa,,,02122021,Sueddeutsche,panorama
"Baldwin: ""Ich habe nicht abgedrückt""",02122021_11:26,https://www.sueddeutsche.de/panorama/alec-baldwin-schuesse-interview-abc-1.5478274,Tödliche Schüsse,,,"Knapp sechs Wochen nach dem Tod einer Kamerafrau an einem Filmset meldet sich Hollywoodschauspieler Alec Baldwin erstmals in einem Interview zu Wort: Er habe ""keine Ahnung"", wie die scharfe Munition ihren Weg in die Waffe fand.",02122021,Sueddeutsche,panorama
Lehrer: Schulschließungen dürfen jetzt kein Tabuthema sein,02122021_11:25,https://www.sueddeutsche.de/bildung/schulen-stuttgart-lehrer-schulschliessungen-duerfen-jetzt-kein-tabuthema-sein-dpa.urn-newsml-dpa-com-20090101-211202-99-227242,Schulen - Stuttgart,dpa,,,02122021,Sueddeutsche,bildung
Chipmangel lässt Automarkt einbrechen - Erholung erwartet,02122021_11:24,https://www.sueddeutsche.de/wirtschaft/auto-chipmangel-laesst-automarkt-einbrechen-erholung-erwartet-dpa.urn-newsml-dpa-com-20090101-211202-99-227057,Auto,dpa,,,02122021,Sueddeutsche,wirtschaft
Jugendliche bezweifeln Chancengleichheit in der Bildung,02122021_11:23,https://www.sueddeutsche.de/bildung/bildung-jugendliche-bezweifeln-chancengleichheit-in-der-bildung-dpa.urn-newsml-dpa-com-20090101-211202-99-226658,Bildung,dpa,,,02122021,Sueddeutsche,bildung
Inzidenz in Thüringen kurz vor 1000er Marke,02122021_11:22,https://www.sueddeutsche.de/gesundheit/gesundheit-erfurt-inzidenz-in-thueringen-kurz-vor-1000er-marke-dpa.urn-newsml-dpa-com-20090101-211202-99-227196,Gesundheit - Erfurt,dpa,,,02122021,Sueddeutsche,gesundheit
Bundespolizei: Weniger Flüchtlinge an polnischer Grenze,02122021_11:19,https://www.sueddeutsche.de/politik/migration-pirna-bundespolizei-weniger-fluechtlinge-an-polnischer-grenze-dpa.urn-newsml-dpa-com-20090101-211202-99-226192,Migration - Pirna,dpa,,,02122021,Sueddeutsche,politik
