Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
"Inzidenz sinkt weiter auf 289,0 - Sorge vor Omikron",22122021_11:48,https://www.sueddeutsche.de/gesundheit/gesundheit-inzidenz-sinkt-weiter-auf-2890-sorge-vor-omikron-dpa.urn-newsml-dpa-com-20090101-211222-99-472407,Gesundheit,dpa,,,22122021,Sueddeutsche,gesundheit
Demmin nach vier Wochen wieder unter Inzidenz von 1000,22122021_11:47,https://www.sueddeutsche.de/gesundheit/gesundheit-neubrandenburg-demmin-nach-vier-wochen-wieder-unter-inzidenz-von-1000-dpa.urn-newsml-dpa-com-20090101-211222-99-473462,Gesundheit - Neubrandenburg,dpa,,,22122021,Sueddeutsche,gesundheit
Heimkehr: Wehrle wird VfB-Vorstandschef,22122021_11:47,https://www.sueddeutsche.de/sport/fussball-stuttgart-heimkehr-wehrle-wird-vfb-vorstandschef-dpa.urn-newsml-dpa-com-20090101-211222-99-475462,Fußball - Stuttgart,dpa,,,22122021,Sueddeutsche,sport
Spritpreise sinken wieder,22122021_11:47,https://www.sueddeutsche.de/wirtschaft/verbraucher-spritpreise-sinken-wieder-dpa.urn-newsml-dpa-com-20090101-211222-99-476297,Verbraucher,dpa,,,22122021,Sueddeutsche,wirtschaft
Viele Vermisste nach Erdrutsch in Jade-Mine,22122021_11:45,https://www.sueddeutsche.de/panorama/unfaelle-viele-vermisste-nach-erdrutsch-in-jade-mine-dpa.urn-newsml-dpa-com-20090101-211222-99-474803,Unfälle,dpa,,,22122021,Sueddeutsche,panorama
Baldauf kritisiert Corona-Strategie an Kitas und Schulen,22122021_11:42,https://www.sueddeutsche.de/gesundheit/gesundheit-mainz-baldauf-kritisiert-corona-strategie-an-kitas-und-schulen-dpa.urn-newsml-dpa-com-20090101-211222-99-476274,Gesundheit - Mainz,dpa,,,22122021,Sueddeutsche,gesundheit
Kölner Finanzboss Wehrle wird Vorstandschef beim VfB,22122021_11:41,https://www.sueddeutsche.de/sport/fussball-koelner-finanzboss-wehrle-wird-vorstandschef-beim-vfb-dpa.urn-newsml-dpa-com-20090101-211221-99-471091,Fußball,dpa,,,22122021,Sueddeutsche,sport
Bundestagsabgeordneter infiziert sich mit Omikron,22122021_11:40,https://www.sueddeutsche.de/politik/corona-aktuell-omikron-bundestag-1.5491952,Coronavirus in Deutschland,,Nachrichten aus Deutschland,"Bei zwei Teilnehmern einer Ausschusssitzung sind Infektionen mit dem Coronavirus festgestellt worden, darunter die neue Variante. Die Sieben-Tage-Inzidenz sinkt auf unter 300.
                        
                            Nachrichten aus Deutschland",22122021,Sueddeutsche,politik
"Reaktion auf Bund-Länder-Beschluss: ""Hätten ruhig noch härter sein können""",22122021_11:40,https://www.sueddeutsche.de/politik/reaktion-auf-bund-laender-beschluss-haetten-ruhig-noch-haerter-sein-koennen-1.5493747,,,,"Video
                    
                    
                        Das Robert-Koch-Institut hatte der Bund-Länder-Konferenz  eine sofortige ""maximale Kontaktbeschränkungen"" empfohlen, konnte die MinisterpräsidentInnen davon aber offenbar nicht überzeugen. Passanten in Frankfurt am Main waren am Mittwoch geteilter Meinung.",22122021,Sueddeutsche,politik
Reutlingen startet Bußgeldverfahren gegen Demonstranten,22122021_11:39,https://www.sueddeutsche.de/politik/demonstrationen-reutlingen-reutlingen-startet-bussgeldverfahren-gegen-demonstranten-dpa.urn-newsml-dpa-com-20090101-211222-99-476257,Demonstrationen - Reutlingen,dpa,,,22122021,Sueddeutsche,politik
Was Mediziner heute über Long Covid wissen,22122021_11:38,https://www.sueddeutsche.de/wissen/wissenschaft-was-mediziner-heute-ueber-long-covid-wissen-dpa.urn-newsml-dpa-com-20090101-211222-99-475640,Wissenschaft,dpa,,,22122021,Sueddeutsche,wissen
Neue Barrikaden in Tripolis: Libyen-Wahl vor dem Aus,22122021_11:38,https://www.sueddeutsche.de/politik/konflikte-neue-barrikaden-in-tripolis-libyen-wahl-vor-dem-aus-dpa.urn-newsml-dpa-com-20090101-211222-99-474458,Konflikte,dpa,,,22122021,Sueddeutsche,politik
