Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Corona führt zu Übersterblichkeit in Deutschland,09122021_16:29,https://www.sueddeutsche.de/panorama/corona-fuehrt-zu-uebersterblichkeit-in-deutschland-1.5484508,,,,"Video
                    
                    
                        In den ersten zwölf Monaten der Pandemie von März 2020 bis Februar 2021 starben 7,5 Prozent mehr als in den zwölf Monaten vor diesem Zeitraum.",09122021,Sueddeutsche,panorama
Lesenswert: Bücher von Münchner Autorinnen und Autoren,09122021_16:29,https://www.sueddeutsche.de/muenchen/muenchen-autoren-2021-buchtipps-weihnachten-1.5484097,Literatur,,Von Antje Weber,"Von der Flucht aus der Tschechoslowakei bis zu Frauen, die mit Austern werfen: In diesem Jahr sind viele empfehlenswerte Werke von Münchner Autorinnen und Autoren erschienen. Eine Auswahl.
                        
                            Von Antje Weber",09122021,Sueddeutsche,muenchen
Rechnen lernen mit PricewaterhouseCoopers,09122021_16:25,https://www.sueddeutsche.de/muenchen/muenchen-erzbistum-muenchen-freising-sparen-kirche-1.5484130,Erzdiözese München und Freising,,Von René Hofmann,"Weniger Geld, weniger Personal. Selbst in einem der reichsten Erzbistümer Deutschlands soll künftig genau geprüft werden: Was bringt wirklich was? Auch Kirchenschließungen sind kein Tabu.
                        
                            Von René Hofmann",09122021,Sueddeutsche,muenchen
Baerbock beschwört deutsch-französische Einigkeit,09122021_16:24,https://www.sueddeutsche.de/politik/bundesregierung-baerbock-beschwoert-deutsch-franzoesische-einigkeit-dpa.urn-newsml-dpa-com-20090101-211209-99-311627,Bundesregierung,dpa,,,09122021,Sueddeutsche,politik
Der Finne mit dem Kultfaktor: Iceman vor dem Ruhestand,09122021_16:23,https://www.sueddeutsche.de/sport/motorsport-der-finne-mit-dem-kultfaktor-iceman-vor-dem-ruhestand-dpa.urn-newsml-dpa-com-20090101-211208-99-309419,Motorsport,dpa,,,09122021,Sueddeutsche,sport
Verbände: Jugendliche nicht durch 2 G ausschließen,09122021_16:23,https://www.sueddeutsche.de/bayern/corona-bayern-aktuell-impfungen-jugendliche-2g-1.5481014,Coronavirus-Newsblog für Bayern,,Alle Entwicklungen im Überblick,"Wenn 12- bis 17-Jährige noch nicht geimpft sind, haben sie von Januar an keinen Zugang mehr zu außerschulischen Bildungs- und Freizeitangeboten wie Volkshochschulen oder Schwimmbädern. Die Inzidenz ist im Freistaat ist auf 471,2 gesunken. 
                        
                            Alle Entwicklungen im Überblick",09122021,Sueddeutsche,bayern
"""Oberstes Ziel"": Hertha soll gegen Bielefeld Räume nutzen",09122021_16:18,https://www.sueddeutsche.de/sport/fussball-berlin-oberstes-ziel-hertha-soll-gegen-bielefeld-raeume-nutzen-dpa.urn-newsml-dpa-com-20090101-211209-99-319052,Fußball - Berlin,dpa,,,09122021,Sueddeutsche,sport
Tödliche Gewalttat: Urteil noch vor Weihnachten geplant,09122021_16:17,https://www.sueddeutsche.de/panorama/kriminalitaet-potsdam-toedliche-gewalttat-urteil-noch-vor-weihnachten-geplant-dpa.urn-newsml-dpa-com-20090101-211209-99-320441,Kriminalität - Potsdam,dpa,,,09122021,Sueddeutsche,panorama
Zum Impfen zum Zahnarzt,09122021_16:17,https://www.sueddeutsche.de/muenchen/muenchen-coronavirus-corona-impfung-impftermine-1.5484160,Corona,,Von Ekaterina Kel,"Zahnärzte, Tierärzte, Apotheker: Jeder, der impfen kann, soll impfen. Doch ist das realistisch? Was die möglichen Helfer selbst dazu sagen - und warum nicht alle von der Idee begeistert sind.
                        
                            Von Ekaterina Kel",09122021,Sueddeutsche,muenchen
Tierschutzbeauftragte: Haustiere nicht als Geschenke,09122021_16:15,https://www.sueddeutsche.de/leben/tiere-duesseldorf-tierschutzbeauftragte-haustiere-nicht-als-geschenke-dpa.urn-newsml-dpa-com-20090101-211209-99-319719,Tiere - Düsseldorf,dpa,,,09122021,Sueddeutsche,leben
Weitere Strukturwandel-Vorhaben bewilligt,09122021_16:15,https://www.sueddeutsche.de/wirtschaft/energie-potsdam-weitere-strukturwandel-vorhaben-bewilligt-dpa.urn-newsml-dpa-com-20090101-211209-99-318471,Energie - Potsdam,dpa,,,09122021,Sueddeutsche,wirtschaft
Wolf bei Unfall in Vorpommern getötet,09122021_16:13,https://www.sueddeutsche.de/panorama/unfaelle-ducherow-wolf-bei-unfall-in-vorpommern-getoetet-dpa.urn-newsml-dpa-com-20090101-211209-99-319997,Unfälle - Ducherow,dpa,,,09122021,Sueddeutsche,panorama
Corona-Inzidenz in Sachsen weiter über der Marke von 1000,09122021_16:12,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-corona-inzidenz-in-sachsen-weiter-ueber-der-marke-von-1000-dpa.urn-newsml-dpa-com-20090101-211209-99-314109,Gesundheit - Berlin,dpa,,,09122021,Sueddeutsche,gesundheit
"Der Reallohnschock zeigt, wie schnell Einkommen schrumpfen kann",09122021_16:12,https://www.sueddeutsche.de/wirtschaft/inflation-loehne-1.5484324,Inflation,,Kommentar von Alexander Hagelüken,"Meinung
                    
                    
                        Die hohe Inflation drückt 2021 die Einkommen der Deutschen ins Minus. Nächstes Jahr sieht es besser aus - aber nur, wenn Politiker und Gewerkschafter das Richtige tun.
                        
                            Kommentar von Alexander Hagelüken",09122021,Sueddeutsche,wirtschaft
Nach Pokal-Aus: SSC will gegen Wiesbaden Bundesliga-Revanche,09122021_16:12,https://www.sueddeutsche.de/sport/volleyball-schwerin-nach-pokal-aus-ssc-will-gegen-wiesbaden-bundesliga-revanche-dpa.urn-newsml-dpa-com-20090101-211209-99-319265,Volleyball - Schwerin,dpa,,,09122021,Sueddeutsche,sport
Erneut Bagger in Zwenkau angezündet,09122021_16:11,https://www.sueddeutsche.de/panorama/braende-zwenkau-erneut-bagger-in-zwenkau-angezuendet-dpa.urn-newsml-dpa-com-20090101-211209-99-320070,Brände - Zwenkau,dpa,,,09122021,Sueddeutsche,panorama
Zurückhaltung statt nötige Schärfe,09122021_16:11,https://www.sueddeutsche.de/sport/schach-wm-analyse-partie-zehn-carlsen-nepomnjaschtschi-1.5484214,Schach-WM in der Videoanalyse,,Erklärt von Großmeister Stefan Kindermann,"Im zehnten Duell mit Weltmeister Carlsen muss Herausforderer Nepomnjaschtschi eigentlich auf Angriff setzen, um die Titelchance zu wahren - doch er wählt die Sicherheitstaktik. Die Analyse im Video.
                        
                            Erklärt von Großmeister Stefan Kindermann",09122021,Sueddeutsche,sport
Unbekannte zünden Autos im Südosten von Leipzig an,09122021_16:10,https://www.sueddeutsche.de/panorama/braende-leipzig-unbekannte-zuenden-autos-im-suedosten-von-leipzig-an-dpa.urn-newsml-dpa-com-20090101-211209-99-320170,Brände - Leipzig,dpa,,,09122021,Sueddeutsche,panorama
Landrat Sternberg in Corona-Expertengremium des Kanzleramts,09122021_16:10,https://www.sueddeutsche.de/politik/bundesregierung-parchim-landrat-sternberg-in-corona-expertengremium-des-kanzleramts-dpa.urn-newsml-dpa-com-20090101-211209-99-319520,Bundesregierung - Parchim,dpa,,,09122021,Sueddeutsche,politik
Vierte Corona-Welle deutlich ernster eingeschätzt,09122021_16:09,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-vierte-corona-welle-deutlich-ernster-eingeschaetzt-dpa.urn-newsml-dpa-com-20090101-211209-99-320284,Gesundheit - Potsdam,dpa,,,09122021,Sueddeutsche,gesundheit
Urteil im Fall Brian aufgehoben,09122021_16:08,https://www.sueddeutsche.de/panorama/schweiz-brian-k-gericht-haft-folter-1.5484403,Schweizer Bundesgericht,,"Von Isabel Pfaff, Bern","Brian K. ist der wohl bekannteste Häftling der Schweiz, seit drei Jahren sitzt er in Einzelhaft. Nun muss das Zürcher Obergericht das Verfahren gegen den 26-Jährigen neu aufrollen. 
                        
                            Von Isabel Pfaff, Bern",09122021,Sueddeutsche,panorama
Mindestens vier Verletzte wegen Glätte in Westmecklenburg,09122021_16:07,https://www.sueddeutsche.de/panorama/unfaelle-bengerstorf-mindestens-vier-verletzte-wegen-glaette-in-westmecklenburg-dpa.urn-newsml-dpa-com-20090101-211209-99-319256,Unfälle - Bengerstorf,dpa,,,09122021,Sueddeutsche,panorama
Kontrolle von Corona-Auflagen: 45 Millionen für Kommunen,09122021_16:07,https://www.sueddeutsche.de/politik/kommunen-duesseldorf-kontrolle-von-corona-auflagen-45-millionen-fuer-kommunen-dpa.urn-newsml-dpa-com-20090101-211209-99-319720,Kommunen - Düsseldorf,dpa,,,09122021,Sueddeutsche,politik
Evergrande am Abgrund,09122021_16:06,https://www.sueddeutsche.de/wirtschaft/evergrande-china-pleite-fitch-rating-1.5484288,Chinesischer Immobilienkonzern,,"Von Christoph Giesen, Peking","Die Ratingagentur Fitch geht davon aus, dass der chinesische Immobilienkonzern de facto pleite ist. Es droht ein Milliardenverlust - und eine Rettung wird immer unwahrscheinlicher.
                        
                            Von Christoph Giesen, Peking",09122021,Sueddeutsche,wirtschaft
Mühlhäuser Industriegebiet Görmar-Kaserne wächst weiter,09122021_16:06,https://www.sueddeutsche.de/wirtschaft/industrie-muehlhausenthueringen-muehlhaeuser-industriegebiet-goermar-kaserne-waechst-weiter-dpa.urn-newsml-dpa-com-20090101-211209-99-319986,Industrie - Mühlhausen/Thüringen,dpa,,,09122021,Sueddeutsche,wirtschaft
Endrunde um deutschen Basketball-Pokal in Berlin,09122021_16:05,https://www.sueddeutsche.de/sport/basketball-berlin-endrunde-um-deutschen-basketball-pokal-in-berlin-dpa.urn-newsml-dpa-com-20090101-211209-99-319989,Basketball - Berlin,dpa,,,09122021,Sueddeutsche,sport
Kannibalismus-Verdacht: Schlussphase im Prozess,09122021_16:03,https://www.sueddeutsche.de/panorama/prozesse-berlin-kannibalismus-verdacht-schlussphase-im-prozess-dpa.urn-newsml-dpa-com-20090101-211209-99-319990,Prozesse - Berlin,dpa,,,09122021,Sueddeutsche,panorama
Füchse Berlin gehen gegen verwehrte Spielverlegung vor,09122021_16:00,https://www.sueddeutsche.de/sport/handball-berlin-fuechse-berlin-gehen-gegen-verwehrte-spielverlegung-vor-dpa.urn-newsml-dpa-com-20090101-211209-99-319524,Handball - Berlin,dpa,,,09122021,Sueddeutsche,sport
Über 500 Soldaten in Berlin im Corona-Einsatz,09122021_16:00,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-ueber-500-soldaten-in-berlin-im-corona-einsatz-dpa.urn-newsml-dpa-com-20090101-211209-99-319992,Gesundheit - Berlin,dpa,,,09122021,Sueddeutsche,gesundheit
Bürgerbeauftragter konstatiert mehr Wut in Corona-Debatten,09122021_16:00,https://www.sueddeutsche.de/leben/gesellschaft-schwerin-buergerbeauftragter-konstatiert-mehr-wut-in-corona-debatten-dpa.urn-newsml-dpa-com-20090101-211209-99-316651,Gesellschaft - Schwerin,dpa,,,09122021,Sueddeutsche,leben
Zwei Konzerne - Daimlers Lastwagen an der Börse,09122021_15:59,https://www.sueddeutsche.de/wirtschaft/auto-zwei-konzerne-daimlers-lastwagen-an-der-boerse-dpa.urn-newsml-dpa-com-20090101-211209-99-319910,Auto,dpa,,,09122021,Sueddeutsche,wirtschaft
Bilder des Tages,09122021_15:59,https://www.sueddeutsche.de/kultur/fotografie-bilder-des-tages-dpa.urn-newsml-dpa-com-20090101-211209-99-310174,Fotografie,dpa,,,09122021,Sueddeutsche,kultur
Die längste Pause seiner Bayern-Karriere,09122021_15:59,https://www.sueddeutsche.de/sport/kimmich-infiltrationen-corona-1.5484297,Joshua Kimmich,,Von Werner Bartens und Sebastian Fischer,"Nach Quarantänen und Infektion fällt Joshua Kimmich noch bis Jahresende aus, weil Röntgenaufnahmen ""leichte Infiltrationen"" seiner Lunge zeigen. Nach Corona-Infektion und zwei Quarantänen summiert sich seine Ausfallzeit auf rund zwei Monate.
                        
                            Von Werner Bartens und Sebastian Fischer",09122021,Sueddeutsche,sport
VW-Betriebsratschefin warnt vor Verschärfung des Chipmangels,09122021_15:58,https://www.sueddeutsche.de/wirtschaft/auto-wolfsburg-vw-betriebsratschefin-warnt-vor-verschaerfung-des-chipmangels-dpa.urn-newsml-dpa-com-20090101-211209-99-320062,Auto - Wolfsburg,dpa,,,09122021,Sueddeutsche,wirtschaft
Corona-Warnampel zeigt Rot plus in Rostock,09122021_15:58,https://www.sueddeutsche.de/politik/kommunen-rostock-corona-warnampel-zeigt-rot-plus-in-rostock-dpa.urn-newsml-dpa-com-20090101-211209-99-319258,Kommunen - Rostock,dpa,,,09122021,Sueddeutsche,politik
67-Jähriger mit Axt angegriffen und schwer verletzt,09122021_15:58,https://www.sueddeutsche.de/panorama/kriminalitaet-coswig-67-jaehriger-mit-axt-angegriffen-und-schwer-verletzt-dpa.urn-newsml-dpa-com-20090101-211209-99-319914,Kriminalität - Coswig,dpa,,,09122021,Sueddeutsche,panorama
Mann gequält und ausgesetzt: Opfer erkannte einen der Täter,09122021_15:57,https://www.sueddeutsche.de/panorama/prozesse-neubrandenburg-mann-gequaelt-und-ausgesetzt-opfer-erkannte-einen-der-taeter-dpa.urn-newsml-dpa-com-20090101-211208-99-306813,Prozesse - Neubrandenburg,dpa,,,09122021,Sueddeutsche,panorama
"Bauern angespannt - ""Zappenduster"" bei Schweinehaltern",09122021_15:55,https://www.sueddeutsche.de/wirtschaft/agrar-bauern-angespannt-zappenduster-bei-schweinehaltern-dpa.urn-newsml-dpa-com-20090101-211209-99-320089,Agrar,dpa,,,09122021,Sueddeutsche,wirtschaft
"""Idol, Held, Legende"": Fußball verabschiedet sich von Eckel",09122021_15:55,https://www.sueddeutsche.de/sport/fussball-idol-held-legende-fussball-verabschiedet-sich-von-eckel-dpa.urn-newsml-dpa-com-20090101-211209-99-319459,Fußball,dpa,,,09122021,Sueddeutsche,sport
Lange Haftstrafen im Mammutprozess gegen Drogenring,09122021_15:54,https://www.sueddeutsche.de/panorama/prozesse-heilbronn-lange-haftstrafen-im-mammutprozess-gegen-drogenring-dpa.urn-newsml-dpa-com-20090101-211209-99-320117,Prozesse - Heilbronn,dpa,,,09122021,Sueddeutsche,panorama
RB-Chef Mintzlaff: Tedesco hat uns mit Analyse überzeugt,09122021_15:54,https://www.sueddeutsche.de/sport/fussball-leipzig-rb-chef-mintzlaff-tedesco-hat-uns-mit-analyse-ueberzeugt-dpa.urn-newsml-dpa-com-20090101-211209-99-319268,Fußball - Leipzig,dpa,,,09122021,Sueddeutsche,sport
Corona-Infektionen an Brandenburger Schulen,09122021_15:53,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-corona-infektionen-an-brandenburger-schulen-dpa.urn-newsml-dpa-com-20090101-211209-99-319523,Gesundheit - Potsdam,dpa,,,09122021,Sueddeutsche,gesundheit
Winterreifen noch nicht geliefert: Senior fährt Tempo 10,09122021_15:53,https://www.sueddeutsche.de/bayern/verkehr-augsburg-winterreifen-noch-nicht-geliefert-senior-faehrt-tempo-10-dpa.urn-newsml-dpa-com-20090101-211209-99-320085,Verkehr - Augsburg,dpa,,,09122021,Sueddeutsche,bayern
Kinder illegal unterrichtetz?: Anwesen durchsucht,09122021_15:52,https://www.sueddeutsche.de/bayern/bildung-roellbach-kinder-illegal-unterrichtetz-anwesen-durchsucht-dpa.urn-newsml-dpa-com-20090101-211209-99-320086,Bildung - Röllbach,dpa,,,09122021,Sueddeutsche,bayern
Gedenken an tote Familie aus Königs Wusterhausen,09122021_15:52,https://www.sueddeutsche.de/panorama/kriminalitaet-gedenken-an-tote-familie-aus-koenigs-wusterhausen-dpa.urn-newsml-dpa-com-20090101-211209-99-315873,Kriminalität,dpa,,,09122021,Sueddeutsche,panorama
Erneute Debatte um verlängerte Weihnachtsferien,09122021_15:52,https://www.sueddeutsche.de/gesundheit/gesundheit-hannover-erneute-debatte-um-verlaengerte-weihnachtsferien-dpa.urn-newsml-dpa-com-20090101-211209-99-316156,Gesundheit - Hannover,dpa,,,09122021,Sueddeutsche,gesundheit
Hoffenheim hat fast wieder so viel Spaß wie Freiburg,09122021_15:51,https://www.sueddeutsche.de/sport/fussball-zuzenhausen-hoffenheim-hat-fast-wieder-so-viel-spass-wie-freiburg-dpa.urn-newsml-dpa-com-20090101-211209-99-316766,Fußball - Zuzenhausen,dpa,,,09122021,Sueddeutsche,sport
Öffentlicher Dienst: Tarifergebnis auf Beamte übertragen,09122021_15:50,https://www.sueddeutsche.de/karriere/tarife-stuttgart-oeffentlicher-dienst-tarifergebnis-auf-beamte-uebertragen-dpa.urn-newsml-dpa-com-20090101-211209-99-317397,Tarife - Stuttgart,dpa,,,09122021,Sueddeutsche,karriere
Unfälle wegen Schnee und Glätte in Baden-Württemberg,09122021_15:50,https://www.sueddeutsche.de/wirtschaft/verkehr-konstanz-unfaelle-wegen-schnee-und-glaette-in-baden-wuerttemberg-dpa.urn-newsml-dpa-com-20090101-211209-99-313708,Verkehr - Konstanz,dpa,,,09122021,Sueddeutsche,wirtschaft
