Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Neue Quarantäne-Regeln gelten in Thüringen sofort,11012022_15:39,https://www.sueddeutsche.de/gesundheit/gesundheit-erfurt-neue-quarantaene-regeln-gelten-in-thueringen-sofort-dpa.urn-newsml-dpa-com-20090101-220111-99-670246,Gesundheit - Erfurt,dpa,,,12012022,Sueddeutsche
Familiäre Bindungen wichtigster Anlass für Zuzug,11012022_15:39,https://www.sueddeutsche.de/politik/migration-familiaere-bindungen-wichtigster-anlass-fuer-zuzug-dpa.urn-newsml-dpa-com-20090101-220111-99-661931,Migration,dpa,,,12012022,Sueddeutsche
Dynamo Dresden meldet Mitglieder-Rekord,11012022_15:39,https://www.sueddeutsche.de/sport/fussball-dresden-dynamo-dresden-meldet-mitglieder-rekord-dpa.urn-newsml-dpa-com-20090101-220111-99-664623,Fußball - Dresden,dpa,,,12012022,Sueddeutsche
2G plus an Schulen: Auch Geimpfte müssen sich testen,11012022_15:39,https://www.sueddeutsche.de/bildung/schulen-hamburg-2g-plus-an-schulen-auch-geimpfte-muessen-sich-testen-dpa.urn-newsml-dpa-com-20090101-220111-99-670893,Schulen - Hamburg,dpa,,,12012022,Sueddeutsche
Liverpools Torwarttrainer rät Karius zum sofortigen Wechsel,11012022_15:38,https://www.sueddeutsche.de/sport/fussball-liverpools-torwarttrainer-raet-karius-zum-sofortigen-wechsel-dpa.urn-newsml-dpa-com-20090101-220111-99-670852,Fußball,dpa,,,12012022,Sueddeutsche
S-Bahn: Verlängerung der Siemensbahn nach Hakenfelde machbar,11012022_15:37,https://www.sueddeutsche.de/wirtschaft/verkehr-berlin-s-bahn-verlaengerung-der-siemensbahn-nach-hakenfelde-machbar-dpa.urn-newsml-dpa-com-20090101-220111-99-670864,Verkehr - Berlin,dpa,,,12012022,Sueddeutsche
Polizeiauto stößt mit Lastwagen zusammen: Beamte verletzt,11012022_15:37,https://www.sueddeutsche.de/panorama/unfaelle-adenau-polizeiauto-stoesst-mit-lastwagen-zusammen-beamte-verletzt-dpa.urn-newsml-dpa-com-20090101-220111-99-670696,Unfälle - Adenau,dpa,,,12012022,Sueddeutsche
21-Jähriger stirbt nach Unfall mit Feuerwerkskörper,11012022_15:35,https://www.sueddeutsche.de/panorama/unfaelle-kempen-21-jaehriger-stirbt-nach-unfall-mit-feuerwerkskoerper-dpa.urn-newsml-dpa-com-20090101-220111-99-670857,Unfälle - Kempen,dpa,,,12012022,Sueddeutsche
Ehemaliger Wachpolizist wegen Volksverhetzung verurteilt,11012022_15:35,https://www.sueddeutsche.de/panorama/kriminalitaet-wetzlar-ehemaliger-wachpolizist-wegen-volksverhetzung-verurteilt-dpa.urn-newsml-dpa-com-20090101-220111-99-670836,Kriminalität - Wetzlar,dpa,,,12012022,Sueddeutsche
NRW ermöglicht Selbsttests als Zutrittsvoraussetzung,11012022_15:35,https://www.sueddeutsche.de/gesundheit/gesundheit-duesseldorf-nrw-ermoeglicht-selbsttests-als-zutrittsvoraussetzung-dpa.urn-newsml-dpa-com-20090101-220111-99-670858,Gesundheit - Düsseldorf,dpa,,,12012022,Sueddeutsche
Unionsfraktion bietet Ampel Gespräche über Impfpflicht an,11012022_15:33,https://www.sueddeutsche.de/gesundheit/gesundheit-unionsfraktion-bietet-ampel-gespraeche-ueber-impfpflicht-an-dpa.urn-newsml-dpa-com-20090101-220111-99-662276,Gesundheit,dpa,,,12012022,Sueddeutsche
700 Kilo Kokain sichergestellt: Größter Fund in Sachsen,11012022_15:33,https://www.sueddeutsche.de/panorama/kriminalitaet-dresden-700-kilo-kokain-sichergestellt-groesster-fund-in-sachsen-dpa.urn-newsml-dpa-com-20090101-220111-99-670812,Kriminalität - Dresden,dpa,,,12012022,Sueddeutsche
Messerangriff auf Nachbar: Verletzter außer Lebensgefahr,11012022_15:33,https://www.sueddeutsche.de/panorama/kriminalitaet-kelsterbach-messerangriff-auf-nachbar-verletzter-ausser-lebensgefahr-dpa.urn-newsml-dpa-com-20090101-220111-99-670369,Kriminalität - Kelsterbach,dpa,,,12012022,Sueddeutsche
Tschentscher: Wenig Zuschauer-Hoffnung für Profisport,11012022_15:32,https://www.sueddeutsche.de/politik/senat-hamburg-tschentscher-wenig-zuschauer-hoffnung-fuer-profisport-dpa.urn-newsml-dpa-com-20090101-220110-99-659134,Senat - Hamburg,dpa,,,12012022,Sueddeutsche
