Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Putins letzte Freunde in Europa,10032022_15:33,https://www.sueddeutsche.de/politik/putin-eu-unterstuetzer-1.5545266,Russlands Unterstützer,,"Von Cathrin Kahlweit, Thomas Kirchner, Oliver Meiler und Isabel Pfaff","Seit Bomben auf die Ukraine fallen, bereuen viele in der EU die frühere Nähe zum russischen Präsidenten. Doch nicht jeder Politiker distanziert sich klar von ihm.
                        
                            Von Cathrin Kahlweit, Thomas Kirchner, Oliver Meiler und Isabel Pfaff",11032022,Sueddeutsche
Land fördert Projekte in Jugendaktionsprogramm mit Millionen,10032022_15:32,https://www.sueddeutsche.de/leben/soziales-wiesbaden-land-foerdert-projekte-in-jugendaktionsprogramm-mit-millionen-dpa.urn-newsml-dpa-com-20090101-220310-99-466466,Soziales - Wiesbaden,dpa,,,11032022,Sueddeutsche
Bayern: 27 Tonnen Hilfsgüter in Ukraine und Nachbarländer,10032022_15:30,https://www.sueddeutsche.de/bayern/konflikte-muenchen-bayern-27-tonnen-hilfsgueter-in-ukraine-und-nachbarlaender-dpa.urn-newsml-dpa-com-20090101-220310-99-466460,Konflikte - München,dpa,,,11032022,Sueddeutsche
Pilzener Promillequell,10032022_15:30,https://sz-magazin.sueddeutsche.de/91310,Das Kreuz mit den Worten,,Von CUS,"Das Kreuz mit den Worten aus dem SZ-Magazin 10/2022 – hier können Sie das Rätsel online spielen und das PDF zum Ausdrucken herunterladen.
                        
                            Von CUS",11032022,Sueddeutsche
62-Jähriger soll auf Mitbewohner eingestochen haben,10032022_15:29,https://www.sueddeutsche.de/panorama/kriminalitaet-heidelberg-62-jaehriger-soll-auf-mitbewohner-eingestochen-haben-dpa.urn-newsml-dpa-com-20090101-220310-99-466516,Kriminalität - Heidelberg,dpa,,,11032022,Sueddeutsche
Erkältungswelle bei Paris-Nizza: Auch Politt gibt auf,10032022_15:29,https://www.sueddeutsche.de/sport/radsport-erkaeltungswelle-bei-paris-nizza-auch-politt-gibt-auf-dpa.urn-newsml-dpa-com-20090101-220310-99-466438,Radsport,dpa,,,11032022,Sueddeutsche
Grünen-Chef: Klarheit zu Spiegels Auftritt im Flut-Ausschuss,10032022_15:28,https://www.sueddeutsche.de/panorama/hochwasser-berlin-gruenen-chef-klarheit-zu-spiegels-auftritt-im-flut-ausschuss-dpa.urn-newsml-dpa-com-20090101-220310-99-466465,Hochwasser - Berlin,dpa,,,11032022,Sueddeutsche
München steigt später als geplant aus der Kohle aus,10032022_15:27,https://www.sueddeutsche.de/muenchen/muenchen-swm-energieversorgung-heizkraftwerk-nord-1.5545216,Stadtwerke,,"Von Irmengard Gnau, Anna Hoben und Catherine Hoffmann","Das Heizkraftwerk Nord sollte von Ende des Jahres an nicht mehr Kohle, sondern Gas verfeuern. Doch seit dem Krieg in der Ukraine ist Gas zu knapp, um es für die Stromerzeugung einzusetzen, so die Stadtwerke. 
                        
                            Von Irmengard Gnau, Anna Hoben und Catherine Hoffmann",11032022,Sueddeutsche
Chemnitzer Ausstellung zur wohl ältesten Hose der Welt,10032022_15:22,https://www.sueddeutsche.de/wissen/archaeologie-chemnitz-chemnitzer-ausstellung-zur-wohl-aeltesten-hose-der-welt-dpa.urn-newsml-dpa-com-20090101-220310-99-462846,Archäologie - Chemnitz,dpa,,,11032022,Sueddeutsche
Versorger setzt Neukundengeschäft aus - Kein Einzelfall,10032022_15:21,https://www.sueddeutsche.de/wirtschaft/energie-versorger-setzt-neukundengeschaeft-aus-kein-einzelfall-dpa.urn-newsml-dpa-com-20090101-220310-99-466340,Energie,dpa,,,11032022,Sueddeutsche
