Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Sachsens letzter Goldgräber,13122021_12:04,https://www.sueddeutsche.de/panorama/maulwurf-ehering-ehe-sachsen-1.5486641,"SZ-Kolumne ""Bester Dinge""",,Von Marcel Laskus,"Einer Frau rutscht der Ehering vom Finger, und sie kann ihn nicht mehr finden. 25 Jahre später tritt der Finder ans Tageslicht - ein Maulwurf.
                        
                            Von Marcel Laskus",13122021,Sueddeutsche,panorama
Grüne: Sven Schulze ambitionslos beim Ökolandbau,13122021_11:59,https://www.sueddeutsche.de/wirtschaft/agrar-magdeburg-gruene-sven-schulze-ambitionslos-beim-oekolandbau-dpa.urn-newsml-dpa-com-20090101-211213-99-364607,Agrar - Magdeburg,dpa,,,13122021,Sueddeutsche,wirtschaft
"BVG: ""Hanfticket"" für Gelassenheit während der Feiertage",13122021_11:57,https://www.sueddeutsche.de/wirtschaft/verkehr-berlin-bvg-hanfticket-fuer-gelassenheit-waehrend-der-feiertage-dpa.urn-newsml-dpa-com-20090101-211213-99-364590,Verkehr - Berlin,dpa,,,13122021,Sueddeutsche,wirtschaft
"""Ich kann das den Eltern nicht mehr erklären""",13122021_11:56,https://www.sueddeutsche.de/wissen/pflegemangel-fruehchen-neugeborene-triage-1.5486271,Pflegemangel,,Interview von Christina Berndt,"In keiner Medizinsparte ist der Pflegemangel so groß wie in der Früh- und Neugeborenenmedizin. Ärzte stehen deshalb vor ähnlichen Fragen wie jetzt auch bei Covid-19: Nicht allen Kindern können sie helfen. Ein Gespräch mit dem Neonatologen Andreas Flemmer.
                        
                            Interview von Christina Berndt",13122021,Sueddeutsche,wissen
Autobauer Daimler zu fast einem Fünftel in chinesischer Hand,13122021_11:55,https://www.sueddeutsche.de/wirtschaft/auto-autobauer-daimler-zu-fast-einem-fuenftel-in-chinesischer-hand-dpa.urn-newsml-dpa-com-20090101-211213-99-364461,Auto,dpa,,,13122021,Sueddeutsche,wirtschaft
Regen bringt Wäldern Erholung: Weiter aber große Schäden,13122021_11:55,https://www.sueddeutsche.de/wirtschaft/forstwirtschaft-duesseldorf-regen-bringt-waeldern-erholung-weiter-aber-grosse-schaeden-dpa.urn-newsml-dpa-com-20090101-211213-99-364559,Forstwirtschaft - Düsseldorf,dpa,,,13122021,Sueddeutsche,wirtschaft
BarthHaas bekommt erstmals externe Chefs,13122021_11:53,https://www.sueddeutsche.de/bayern/lebensmittel-nuernberg-barthhaas-bekommt-erstmals-externe-chefs-dpa.urn-newsml-dpa-com-20090101-211213-99-364539,Lebensmittel - Nürnberg,dpa,,,13122021,Sueddeutsche,bayern
Getötete Familie: Weißer Ring bietet Betroffenen Hilfe an,13122021_11:53,https://www.sueddeutsche.de/panorama/kriminalitaet-berlin-getoetete-familie-weisser-ring-bietet-betroffenen-hilfe-an-dpa.urn-newsml-dpa-com-20090101-211213-99-364531,Kriminalität - Berlin,dpa,,,13122021,Sueddeutsche,panorama
Mann verletzt zwei Polizisten bei Verkehrskontrolle,13122021_11:53,https://www.sueddeutsche.de/bayern/kriminalitaet-landshut-mann-verletzt-zwei-polizisten-bei-verkehrskontrolle-dpa.urn-newsml-dpa-com-20090101-211213-99-364538,Kriminalität - Landshut,dpa,,,13122021,Sueddeutsche,bayern
Auto- und Radverkehr an Salzbachtalbrücke rollt wieder,13122021_11:51,https://www.sueddeutsche.de/wirtschaft/verkehr-wiesbaden-auto-und-radverkehr-an-salzbachtalbruecke-rollt-wieder-dpa.urn-newsml-dpa-com-20090101-211213-99-364498,Verkehr - Wiesbaden,dpa,,,13122021,Sueddeutsche,wirtschaft
