Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
400.000 Euro Schaden bei Hausbrand in Oberostendorf,28022022_06:11,https://www.sueddeutsche.de/bayern/braende-oberostendorf-400000-euro-schaden-bei-hausbrand-in-oberostendorf-dpa.urn-newsml-dpa-com-20090101-220228-99-317797,Brände - Oberostendorf,dpa,,,28022022,Sueddeutsche
Diese fünf Radschnellwege sind machbar,28022022_06:10,https://www.sueddeutsche.de/muenchen/radschnellwege-mobilitaetsreferat-fahrrad-trasse-1.5537520,Studienergebnisse,,Von Ellen Draxel,"Das Mobilitätsreferat empfiehlt Routen vom Altstadtring ins Umland. Nur die rein innerstädtische Trasse scheitert an den nötigen Standards. 
                        
                            Von Ellen Draxel",28022022,Sueddeutsche
Start von Forschungsprojekt zu Sturmeinflüssen auf Baltrum,28022022_06:08,https://www.sueddeutsche.de/panorama/unwetter-baltrum-start-von-forschungsprojekt-zu-sturmeinfluessen-auf-baltrum-dpa.urn-newsml-dpa-com-20090101-220228-99-317774,Unwetter - Baltrum,dpa,,,28022022,Sueddeutsche
Kommunen sollen 2022 mehr als vier Milliarden Euro erhalten,28022022_06:06,https://www.sueddeutsche.de/wirtschaft/finanzen-magdeburg-kommunen-sollen-2022-mehr-als-vier-milliarden-euro-erhalten-dpa.urn-newsml-dpa-com-20090101-220228-99-317731,Finanzen - Magdeburg,dpa,,,28022022,Sueddeutsche
Das bringt die Fußball-Woche,28022022_06:05,https://www.sueddeutsche.de/politik/international-das-bringt-die-fussball-woche-dpa.urn-newsml-dpa-com-20090101-220227-99-313941,International,dpa,,,28022022,Sueddeutsche
Der einzig Unverzichtbare: Nkunku ist Leipzigs Trumpf,28022022_06:01,https://www.sueddeutsche.de/sport/fussball-der-einzig-unverzichtbarenkunku-ist-leipzigs-trumpf-dpa.urn-newsml-dpa-com-20090101-220227-99-314195,Fußball,dpa,,,28022022,Sueddeutsche
Pflicht-Herkunftsangabe bei auswärts serviertem Fleisch,28022022_06:00,https://www.sueddeutsche.de/wirtschaft/agrar-pflicht-herkunftsangabe-bei-auswaerts-serviertem-fleisch-dpa.urn-newsml-dpa-com-20090101-220228-99-317678,Agrar,dpa,,,28022022,Sueddeutsche
Nachrichten des Tages - die Übersicht für Eilige,28022022_05:48,https://www.sueddeutsche.de/politik/news-corona-ukraine-russland-klima-1.5538064,SZ am Morgen,,Von Kassian Stroh,"Was wichtig ist und wird. 
                        
                            Von Kassian Stroh",28022022,Sueddeutsche
Putin versetzt Abschreckungswaffen in Alarmbereitschaft,28022022_05:47,https://www.sueddeutsche.de/politik/konflikte-putin-versetzt-abschreckungswaffen-in-alarmbereitschaft-dpa.urn-newsml-dpa-com-20090101-220227-99-310166,Konflikte,dpa,,,28022022,Sueddeutsche
Polizei prüfte 90 Cold Cases seit 2016: Nur zwei aufgeklärt,28022022_05:40,https://www.sueddeutsche.de/panorama/kriminalitaet-hamburg-polizei-pruefte-90-cold-cases-seit-2016-nur-zwei-aufgeklaert-dpa.urn-newsml-dpa-com-20090101-220228-99-317547,Kriminalität - Hamburg,dpa,,,28022022,Sueddeutsche
