Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
CDU-Fraktionschef Redmann für Corona-Lockerungen,03022022_15:56,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-cdu-fraktionschef-redmann-fuer-corona-lockerungen-dpa.urn-newsml-dpa-com-20090101-220203-99-958902,Gesundheit - Potsdam,dpa,,,04022022,Sueddeutsche,gesundheit
HSG Wetzlar plant mit 1400 Fans gegen Flensburg,03022022_15:55,https://www.sueddeutsche.de/sport/handball-wetzlar-hsg-wetzlar-plant-mit-1400-fans-gegen-flensburg-dpa.urn-newsml-dpa-com-20090101-220203-99-964724,Handball - Wetzlar,dpa,,,04022022,Sueddeutsche,sport
Olympische Spiele in China: Zwischen Corona und Diktatur,03022022_15:55,https://www.sueddeutsche.de/sport/podcast-nachrichten-olympische-spiele-in-china-zwischen-corona-und-diktatur-1.5521389,"SZ-Podcast ""Auf den Punkt""",,Von Claudio Catuogno und Lars Langenau,"In Peking werden die Olympischen Winterspiele eröffnet. Unter harscher Kritik wegen der Menschenrechtslage. Ein Podcast über eine besondere Berichterstattung.
                        
                            Von Claudio Catuogno und Lars Langenau",04022022,Sueddeutsche,sport
Kitas wegen Omikron unter Druck: Ruf nach Teststrategie,03022022_15:54,https://www.sueddeutsche.de/politik/landtag-wiesbaden-kitas-wegen-omikron-unter-druck-ruf-nach-teststrategie-dpa.urn-newsml-dpa-com-20090101-220203-99-959473,Landtag - Wiesbaden,dpa,,,04022022,Sueddeutsche,politik
Verkehrssenatorin erwartet zur A100 ein Konzept vom Bund,03022022_15:53,https://www.sueddeutsche.de/wirtschaft/verkehr-berlin-verkehrssenatorin-erwartet-zur-a100-ein-konzept-vom-bund-dpa.urn-newsml-dpa-com-20090101-220203-99-964730,Verkehr - Berlin,dpa,,,04022022,Sueddeutsche,wirtschaft
Wohin mit der Kiste?,03022022_15:53,https://www.sueddeutsche.de/auto/lastenrad-parken-verkehr-fahrrad-stadt-1.5520281,Lastenfahrrad in der Stadt,,Von Jochen Bettzieche,"Getränke holen, Kinder kutschieren, Einkauf verstauen: Im Alltag sind Lastenfahrräder praktisch, doch das Abstellen daheim wird gerade in der Stadt zum Problem. Was sich ändern müsste.
                        
                            Von Jochen Bettzieche",04022022,Sueddeutsche,auto
Auffrischimpfungen an Schleswig-Holsteins Schulen gestartet,03022022_15:52,https://www.sueddeutsche.de/bildung/bildung-kiel-auffrischimpfungen-an-schleswig-holsteins-schulen-gestartet-dpa.urn-newsml-dpa-com-20090101-220203-99-964739,Bildung - Kiel,dpa,,,04022022,Sueddeutsche,bildung
Angriff mit Fleischklopfer: Anklage fordert mehrjährige Haft,03022022_15:52,https://www.sueddeutsche.de/panorama/prozesse-fulda-angriff-mit-fleischklopfer-anklage-fordert-mehrjaehrige-haft-dpa.urn-newsml-dpa-com-20090101-220203-99-964727,Prozesse - Fulda,dpa,,,04022022,Sueddeutsche,panorama
Schweineherzen: Rettung für schwerkranke Patienten?,03022022_15:52,https://www.sueddeutsche.de/panorama/schweineherzen-rettung-fuer-schwerkranke-patienten-1.5521476,,,,"Video
                    
                    
                        An der LMU München erforschen Wissenschaftler die Möglichkeiten einer Transplantation von genetisch veränderten Schweineherzen in den Menschen. Tierschützer halten die Xenotransplantation für nicht vertretbar.",04022022,Sueddeutsche,panorama
Die vierte Impfung kommt,03022022_15:51,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/fuerstenfeldbruck-corona-vierte-impfung-booster-1.5521409,Impfzentrum,,"Von Andreas Ostermeier, Fürstenfeldbruck","Senioren, Pflegebedürftige und Personen mit Immunschwäche können sich einen weiteren Schutz gegen Corona verabreichen lassen.
                        
                            Von Andreas Ostermeier, Fürstenfeldbruck",04022022,Sueddeutsche,muenchen
