Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Protest in Dresden gegen Corona-Maßnahmen,31122021_10:48,https://www.sueddeutsche.de/politik/demonstrationen-dresden-protest-in-dresden-gegen-corona-massnahmen-dpa.urn-newsml-dpa-com-20090101-211230-99-547855,Demonstrationen - Dresden,dpa,,,31122021,Sueddeutsche,politik
"Bewegter Claus Kleber moderiert letztes ""heute journal""",31122021_10:48,https://www.sueddeutsche.de/wirtschaft/medien-bewegter-claus-kleber-moderiert-letztes-heute-journal-dpa.urn-newsml-dpa-com-20090101-211231-99-548372,Medien,dpa,,,31122021,Sueddeutsche,wirtschaft
"Rolfes rechnet mit knackigem Winter: ""Viel Flexibilität""",31122021_10:47,https://www.sueddeutsche.de/sport/fussball-leverkusen-rolfes-rechnet-mit-knackigem-winter-viel-flexibilitaet-dpa.urn-newsml-dpa-com-20090101-211231-99-550907,Fußball - Leverkusen,dpa,,,31122021,Sueddeutsche,sport
So laufen Spielertransfers in der LEC hinter den Kulissen,31122021_10:42,https://www.sueddeutsche.de/sport/e-sport-so-laufen-spielertransfers-in-der-lec-hinter-den-kulissen-dpa.urn-newsml-dpa-com-20090101-211231-99-551161,E-Sport,dpa,,,31122021,Sueddeutsche,sport
"""Booster""-Impfung für Jugendliche in Impfzentren möglich",31122021_10:42,https://www.sueddeutsche.de/gesundheit/gesundheit-duesseldorf-booster-impfung-fuer-jugendliche-in-impfzentren-moeglich-dpa.urn-newsml-dpa-com-20090101-211231-99-550909,Gesundheit - Düsseldorf,dpa,,,31122021,Sueddeutsche,gesundheit
"Corona-Inzidenz in NRW steigt leicht auf 183,7",31122021_10:40,https://www.sueddeutsche.de/gesundheit/gesundheit-duesseldorf-corona-inzidenz-in-nrw-steigt-leicht-auf-1837-dpa.urn-newsml-dpa-com-20090101-211231-99-550910,Gesundheit - Düsseldorf,dpa,,,31122021,Sueddeutsche,gesundheit
Polizei sucht nach Raubüberfall auf Supermarkt Zeugen,31122021_10:39,https://www.sueddeutsche.de/panorama/kriminalitaet-schermbeck-polizei-sucht-nach-raubueberfall-auf-supermarkt-zeugen-dpa.urn-newsml-dpa-com-20090101-211231-99-550911,Kriminalität - Schermbeck,dpa,,,31122021,Sueddeutsche,panorama
"Kölner Zoo beherbergt eines der ""schönsten Rinder der Welt""",31122021_10:39,https://www.sueddeutsche.de/panorama/koelner-zoo-beherbergt-eines-der-schoensten-rinder-der-welt-1.5499259,,,,"Video
                    
                    
                        Der Kölner Zoo ist um eine Attraktion reicher. Eines der ""schönsten Rinder der Welt"" ist geboren worden und wurde nun der Presse vorgestellt. Nicht nur der Zoo, auch die Eltern zeigen sich der Öffentlichkeit.",31122021,Sueddeutsche,panorama
Unbekannte sprengen Geldautomat in Xanten und flüchten,31122021_10:38,https://www.sueddeutsche.de/panorama/kriminalitaet-xanten-unbekannte-sprengen-geldautomat-in-xanten-und-fluechten-dpa.urn-newsml-dpa-com-20090101-211231-99-550912,Kriminalität - Xanten,dpa,,,31122021,Sueddeutsche,panorama
Behörden: Silvester-Regeln überwachen und Verstöße ahnden,31122021_10:37,https://www.sueddeutsche.de/service/jahreswechsel-duesseldorf-behoerden-silvester-regeln-ueberwachen-und-verstoesse-ahnden-dpa.urn-newsml-dpa-com-20090101-211230-99-546580,Jahreswechsel - Düsseldorf,dpa,,,31122021,Sueddeutsche,service
Imhoff: Ungeimpfte sind und bleiben Teil der Gesellschaft,31122021_10:36,https://www.sueddeutsche.de/gesundheit/gesundheit-bremen-imhoff-ungeimpfte-sind-und-bleiben-teil-der-gesellschaft-dpa.urn-newsml-dpa-com-20090101-211231-99-550903,Gesundheit - Bremen,dpa,,,31122021,Sueddeutsche,gesundheit
Mildes Silvesterwetter in Niedersachsen,31122021_10:35,https://www.sueddeutsche.de/panorama/wetter-hannover-mildes-silvesterwetter-in-niedersachsen-dpa.urn-newsml-dpa-com-20090101-211231-99-550904,Wetter - Hannover,dpa,,,31122021,Sueddeutsche,panorama
Forscher: Spaltung der Gesellschaft durch Corona bedrohlich,31122021_10:34,https://www.sueddeutsche.de/gesundheit/krankheiten-braunschweig-forscher-spaltung-der-gesellschaft-durch-corona-bedrohlich-dpa.urn-newsml-dpa-com-20090101-211231-99-550905,Krankheiten - Braunschweig,dpa,,,31122021,Sueddeutsche,gesundheit
Wind und milde Temperaturen im Nordosten,31122021_10:33,https://www.sueddeutsche.de/panorama/wetter-schwerin-wind-und-milde-temperaturen-im-nordosten-dpa.urn-newsml-dpa-com-20090101-211231-99-550898,Wetter - Schwerin,dpa,,,31122021,Sueddeutsche,panorama
Biden und Putin telefonieren,31122021_10:32,https://www.sueddeutsche.de/politik/biden-und-putin-telefonieren-1.5499257,,,,"Video
                    
                    
                        Bei dem Gespräch stand der Ukraine-Konflikt im Fokus.",31122021,Sueddeutsche,politik
Wohngeld steigt im kommenden Jahr: Nachzahlungen für Rentner,31122021_10:32,https://www.sueddeutsche.de/wirtschaft/wohnen-schwerin-wohngeld-steigt-im-kommenden-jahr-nachzahlungen-fuer-rentner-dpa.urn-newsml-dpa-com-20090101-211231-99-550899,Wohnen - Schwerin,dpa,,,31122021,Sueddeutsche,wirtschaft
Wohnhaus in Mainhausen brennt aus: 500.000 Euro Schaden,31122021_10:32,https://www.sueddeutsche.de/panorama/braende-mainhausen-wohnhaus-in-mainhausen-brennt-aus-500000-euro-schaden-dpa.urn-newsml-dpa-com-20090101-211231-99-550970,Brände - Mainhausen,dpa,,,31122021,Sueddeutsche,panorama
Finanzministerin fordert Feststellen der epidemischen Lage,31122021_10:31,https://www.sueddeutsche.de/gesundheit/gesundheit-kiel-finanzministerin-fordert-feststellen-der-epidemischen-lage-dpa.urn-newsml-dpa-com-20090101-211231-99-550893,Gesundheit - Kiel,dpa,,,31122021,Sueddeutsche,gesundheit
Israel und USA schließen milliardenschweren Rüstungsdeal,31122021_10:30,https://www.sueddeutsche.de/politik/verteidigung-israel-und-usa-schliessen-milliardenschweren-ruestungsdeal-dpa.urn-newsml-dpa-com-20090101-211231-99-550960,Verteidigung,dpa,,,31122021,Sueddeutsche,politik
