Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
So geht es nach dem S-Bahnunglück weiter: Bergung startet am Donnerstag,16022022_16:17,https://www.sueddeutsche.de/muenchen/muenchen-schaeftlarn-s-bahn-unglueck-bergung-1.5529696,Schäftlarn bei München,,,"Nach dem Frontalzusammenstoß zweier S-Bahnen wird am Mittwoch die Bergung der Züge vorbereitet. Doch die Spezialisten können erst loslegen, wenn sie die Freigabe der Ermittler haben.",17022022,Sueddeutsche,muenchen
Einkaufswagen auf Gleisen: Berliner S-Bahn stark beschädigt,16022022_16:14,https://www.sueddeutsche.de/panorama/kriminalitaet-berlin-einkaufswagen-auf-gleisen-berliner-s-bahn-stark-beschaedigt-dpa.urn-newsml-dpa-com-20090101-220216-99-158926,Kriminalität - Berlin,dpa,,,17022022,Sueddeutsche,panorama
Handyverbot an Schulen wird gelockert,16022022_16:13,https://www.sueddeutsche.de/bayern/schulen-muenchen-handyverbot-an-schulen-wird-gelockert-dpa.urn-newsml-dpa-com-20090101-220216-99-155246,Schulen - München,dpa,,,17022022,Sueddeutsche,bayern
"Finnland, Slowakei, Schweden und Russland im Halbfinale",16022022_16:13,https://www.sueddeutsche.de/sport/eishockey-finnland-slowakei-schweden-und-russland-im-halbfinale-dpa.urn-newsml-dpa-com-20090101-220216-99-148988,Eishockey,dpa,,,17022022,Sueddeutsche,sport
Habeck besucht in der kommenden Woche Nordrhein-Westfalen,16022022_16:12,https://www.sueddeutsche.de/politik/bundesregierung-duesseldorf-habeck-besucht-in-der-kommenden-woche-nordrhein-westfalen-dpa.urn-newsml-dpa-com-20090101-220216-99-158876,Bundesregierung - Düsseldorf,dpa,,,17022022,Sueddeutsche,politik
Giffey: 2G-Zugangsbeschränkungen im Einzelhandel sollen enden,16022022_16:12,https://www.sueddeutsche.de/gesundheit/krankheiten-giffey2g-zugangsbeschraenkungen-im-einzelhandel-sollen-enden-dpa.urn-newsml-dpa-com-20090101-220216-99-158905,Krankheiten,dpa,,,17022022,Sueddeutsche,gesundheit
Politiker-Derblecken feiert Rückkehr mit Publikum,16022022_16:11,https://www.sueddeutsche.de/bayern/brauchtum-muenchen-politiker-derblecken-feiert-rueckkehr-mit-publikum-dpa.urn-newsml-dpa-com-20090101-220216-99-158488,Brauchtum - München,dpa,,,17022022,Sueddeutsche,bayern
Verwaltungsgericht kippt Einbahnstraßenregelung,16022022_16:11,https://www.sueddeutsche.de/muenchen/dachau/dachau-einbahnstrasse-altstadt-gericht-1.5530428,Altstadt Dachau,,"Von Thomas Radlmaier, Dachau","Der Juwelier Ludwig Stöckl gewinnt im Rechtsstreit mit der Stadt. Diese muss die neue Verkehrsführung bis Mitte März aufheben. Autos dürfen den Altstadtberg dann wieder in beide Richtungen befahren. 
                        
                            Von Thomas Radlmaier, Dachau",17022022,Sueddeutsche,muenchen
Ermordete Afghanin im Koffer: Prozess verschoben ,16022022_16:11,https://www.sueddeutsche.de/panorama/prozesse-berlin-ermordete-afghanin-im-koffer-prozess-verschoben-dpa.urn-newsml-dpa-com-20090101-220216-99-158852,Prozesse - Berlin,dpa,,,17022022,Sueddeutsche,panorama
58-Jährige kracht in Hagen mit Auto durch Hauswand,16022022_16:10,https://www.sueddeutsche.de/panorama/unfaelle-hagen-58-jaehrige-kracht-in-hagen-mit-auto-durch-hauswand-dpa.urn-newsml-dpa-com-20090101-220216-99-158862,Unfälle - Hagen,dpa,,,17022022,Sueddeutsche,panorama
