Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Buntes Gesicht - statt buntem Treiben,18022022_21:02,https://www.sueddeutsche.de/muenchen/ebersberg/bodypainting-schminken-fasching-assling-kunst-am-koerper-eva-maria-schulz-1.5531705,Kunst am Körper,,"Von Michaela Pelz, Aßling","Eva-Maria Schulz zeigt, wie die Verwandlung durch Farbe Freude bringt - trotz Corona, und nicht nur im Fasching. Die Künstlerin aus Aßling ist eine professionelle, preisgekrönte Bodypainterin.
                        
                            Von Michaela Pelz, Aßling",20022022,Sueddeutsche,muenchen
"""Es ist schwer, sich als Künstler über Wasser zu halten""",18022022_21:02,https://www.sueddeutsche.de/muenchen/dachau/dachau-ateliers-kvd-1.5531825,Dachau,,"Von Gregor Schiegl, Dachau","Seit den Achtzigerjahren wurden keine neuen Ateliers mehr in Dachau gebaut. Passt das zu einer schnell wachsenden Stadt, die sich selber als ""Künstlerstadt"" bezeichnet? Die Künstlervereinigung Dachau sieht dringenden Gesprächsbedarf.
                        
                            Von Gregor Schiegl, Dachau",20022022,Sueddeutsche,muenchen
Bergung der S-Bahnen in Ebenhausen-Schäftlarn abgeschlossen,18022022_21:02,https://www.sueddeutsche.de/muenchen/wolfratshausen/s-bahn-kollision-schaeftlarn-bergung-abgeschlossen-1.5532272,Nach der tödlichen Kollision,,,,20022022,Sueddeutsche,muenchen
"Bretter, die nicht nur für Jungs die Welt bedeuten",18022022_21:01,https://www.sueddeutsche.de/muenchen/wolfratshausen/wolfratshausen-skateboard-workshop-maedchen-one-billion-rising-1.5531723,In Wolfratshausen,,"Von Veronika Ellecosta, Wolfratshausen","In einem Workshop lernen Mädchen Skateboarden. Warum es eine wichtige Botschaft ist, dass sich nicht nur  Buben aufs Brett stellen, die Angst vor dem Sturz überwinden und wieder aufstehen.
                        
                            Von Veronika Ellecosta, Wolfratshausen",20022022,Sueddeutsche,muenchen
Treffpunkte für die Jugend,18022022_21:01,https://www.sueddeutsche.de/muenchen/wolfratshausen/jugend-treffpunkte-geretsried-felix-leipold-jugendbaenke-1.5531843,In Geretsried,,,Stadt stellt auf Anregung des Jugendrats überdachte Bänke auf.,20022022,Sueddeutsche,muenchen
Umfangreiche Baumarbeiten und Fällungen,18022022_21:01,https://www.sueddeutsche.de/muenchen/wolfratshausen/bad-toelz-baumfaellungen-verkehrssicherheit-1.5531832,In Bad Tölz,,,Maßnahmen sollen die Verkehrssicherheit gewährleisten.,20022022,Sueddeutsche,muenchen
Neue Wirtsleut' auf der Tölzer Hütte,18022022_21:01,https://www.sueddeutsche.de/muenchen/wolfratshausen/toelzer-huette-schafreuter-schafreiter-lenggries-wirte-1.5531943,Gastronomie am Gipfel,,,,20022022,Sueddeutsche,muenchen
Baustellenübersicht der Stadtwerke,18022022_21:01,https://www.sueddeutsche.de/muenchen/wolfratshausen/bad-toelz-baustellenuebersicht-der-stadtwerke-1.5531772,Bad Tölz,,"Von Claudia Koestler, Bad Tölz","Arbeiten werden teilweise zu Beeinträchtigungen im Straßenverkehr führen. 
                        
                            Von Claudia Koestler, Bad Tölz",20022022,Sueddeutsche,muenchen
Schrodi fordert schnelle Erhöhung des Mindestlohns,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/mindestlohn-ffb-schrodi-soziale-gerechtigkeit-1.5532112,Zwölf Euro Minimum,,,Bundestagsabgeordneter äußert sich zum Welttag der sozialen Gerechtigkeit am Sonntag.,20022022,Sueddeutsche,muenchen
Aktien als überlegene Anlage,18022022_21:01,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/fuerstenfeldbruck-anlegen-aktien-1.5531956,Finanzen,,,Verbraucherschützer Merten Larisch rät beim Sparen zu einem Bündel von Maßnahmen.,20022022,Sueddeutsche,muenchen
