Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Rückraumspieler Kühn positiv auf Corona getestet,15012022_20:51,https://www.sueddeutsche.de/sport/handball-em-corona-deutschland-kuehn-1.5508241,Handball-EM,,,Die deutschen Handballer müssen den ersten Corona-Fall beklagen. Der nach Verbandsangaben geboosterte und aktuell symptomfreie Julius Kühn muss in Isolation und fällt für die Vorrunde aus.,16012022,Sueddeutsche
Skicrosser Wilmsmann auf Rang zwei,15012022_20:49,https://www.sueddeutsche.de/sport/ski-freestyle-skicrosser-wilmsmann-auf-rang-zwei-dpa.urn-newsml-dpa-com-20090101-220115-99-724031,Ski Freestyle,dpa,,,16012022,Sueddeutsche
Deutsche Schott auf Platz 13 - Russin Walijewa glänzt,15012022_20:43,https://www.sueddeutsche.de/sport/eiskunstlauf-deutsche-schott-auf-platz-13-russin-walijewa-glaenzt-dpa.urn-newsml-dpa-com-20090101-220115-99-724017,Eiskunstlauf,dpa,,,16012022,Sueddeutsche
Fahrt auf Übungsplatz endet mit Totalschaden in Sandhügel,15012022_20:22,https://www.sueddeutsche.de/wirtschaft/verkehr-worms-fahrt-auf-uebungsplatz-endet-mit-totalschaden-in-sandhuegel-dpa.urn-newsml-dpa-com-20090101-220115-99-723712,Verkehr - Worms,dpa,,,16012022,Sueddeutsche
"Stoppschild missachtet: Autofahrer verletzt, Hund tot",15012022_20:21,https://www.sueddeutsche.de/wirtschaft/verkehr-stoppschild-missachtet-autofahrer-verletzt-hund-tot-dpa.urn-newsml-dpa-com-20090101-220115-99-723707,Verkehr,dpa,,,16012022,Sueddeutsche
Handball-Luchse erkämpfen sich Sieg gegen Bensheim/Auerbach,15012022_20:19,https://www.sueddeutsche.de/sport/handball-buchholz-in-der-nordheide-handball-luchse-erkaempfen-sich-sieg-gegen-bensheimauerbach-dpa.urn-newsml-dpa-com-20090101-220115-99-723698,Handball - Buchholz in der Nordheide,dpa,,,16012022,Sueddeutsche
Der Fluch des Tanzverbots,15012022_20:11,https://www.sueddeutsche.de/wirtschaft/reeperbahn-pandemie-tourismus-1.5507604,Reeperbahn,,"Von Saskia Aleythe, Hamburg","Die Reeperbahn steht für vieles, wofür die Pandemie nicht steht: Lust, Leben, Ausgelassenheit. Doch nach Feiern ist dort kaum jemand zumute. Ein Besuch bei jenen, die die Amüsiermeile am Leben halten.
                        
                            Von Saskia Aleythe, Hamburg",16012022,Sueddeutsche
Leverkusen nach Sieg gegen Gladbach Dritter,15012022_20:08,https://www.sueddeutsche.de/sport/fussball-leverkusen-nach-sieg-gegen-gladbach-dritter-dpa.urn-newsml-dpa-com-20090101-220115-99-723334,Fußball,dpa,,,16012022,Sueddeutsche
Corona-Protest pro und contra: Tausende demonstrieren,15012022_20:07,https://www.sueddeutsche.de/politik/demonstrationen-corona-protest-pro-und-contra-tausende-demonstrieren-dpa.urn-newsml-dpa-com-20090101-220115-99-720222,Demonstrationen,dpa,,,16012022,Sueddeutsche
Man United gegen Aston Villa: Coutinho ärgert Rangnick,15012022_19:59,https://www.sueddeutsche.de/sport/fussball-man-united-gegen-aston-villa-coutinho-aergert-rangnick-dpa.urn-newsml-dpa-com-20090101-220115-99-723390,Fußball,dpa,,,16012022,Sueddeutsche
Baumgart zieht den Hut,15012022_19:52,https://www.sueddeutsche.de/sport/fc-bayern-koeln-lewandowski-sane-neuer-baumgart-1.5508228,FC Bayern,,"Von Philipp Selldorf, Köln","Der FC Bayern noch coronageschwächt? Beim 4:0 in Köln widerlegt die Elf von Julian Nagelsmann Mutmaßungen über Spannung im Titelkampf. Neben Robert Lewandowski überzeugt auch Rückkehrer Leroy Sané auf Anhieb.
                        
                            Von Philipp Selldorf, Köln",16012022,Sueddeutsche
Golfer Kaymer ist Papa - Sohn Sam geboren,15012022_19:47,https://www.sueddeutsche.de/sport/golf-golfer-kaymer-ist-papa-sohn-sam-geboren-dpa.urn-newsml-dpa-com-20090101-220115-99-723455,Golf,dpa,,,16012022,Sueddeutsche
Gladbach 1:2 gegen Leverkusen: Sommer hält zwei Elfmeter,15012022_19:45,https://www.sueddeutsche.de/sport/fussball-moenchengladbach-gladbach-12-gegen-leverkusen-sommer-haelt-zwei-elfmeter-dpa.urn-newsml-dpa-com-20090101-220115-99-723462,Fußball - Mönchengladbach,dpa,,,16012022,Sueddeutsche
Mehrere tausend Menschen bei Demos in Freiburg,15012022_19:43,https://www.sueddeutsche.de/politik/demonstrationen-freiburg-im-breisgau-mehrere-tausend-menschen-bei-demos-in-freiburg-dpa.urn-newsml-dpa-com-20090101-220115-99-721186,Demonstrationen - Freiburg im Breisgau,dpa,,,16012022,Sueddeutsche
Nächtliche Ausgangsbeschränkungen in Stuttgart,15012022_19:42,https://www.sueddeutsche.de/politik/kommunen-stuttgart-naechtliche-ausgangsbeschraenkungen-in-stuttgart-dpa.urn-newsml-dpa-com-20090101-220115-99-723449,Kommunen - Stuttgart,dpa,,,16012022,Sueddeutsche
