Titel,Overline,Date_Info,Kategorie,URL,detailed_informations,bild_plus,Zugriff_Datum,News_page
Brasilien-Teenie (15) mit genialem Sololauf,"169 Spiele, 165 Tore!",2022-01-12,Fußball,"https://www.bild.de/video/clip/sport-videos/palmeiras-endrick-169-spiele-165-tore-15-jaehriger-brasilianer-mit-genialem-solo-61dd8575fbf70d2ff677170c-78791186,auto=true.bild.html","
                                Palmeiras Endrick ist das neue Brasilien-Wunderkind. 169 Spiele, 165 Tore! Und jetzt ein unfassbares Solo-Tor.",False,12012022,Bild
Erkennen Sie diesen  Bubi?,Er verdient sein Geld mit Haue,2022-01-12 10:00:52,Sport-Mix,/sport/mehr-sport/ufc/er-verdient-sein-geld-mit-haue-erkennen-sie-diesen-mega-star-78789064.bild.html,"
                                Wer würde diesem blonden Milchbubi zutrauen, dass er sich bis aufs Blut prügelt?",False,12012022,Bild
Warum Delfine oft und gern Sex haben,Große Klitoris,2022-01-12 07:51:28,Ratgeber,/ratgeber/2022/ratgeber/es-liegt-an-der-grossen-klitoris-warum-delfine-oft-und-gern-sex-haben-78796470.bild.html,"
                                US-Wissenschaftler fanden heraus, dass Delfine eine große Klitoris haben – und Spaß am Sex.",False,12012022,Bild
Haaland droht  1. Tor-Krise,Seit zwei Spielen ohne Treffer,2022-01-11 22:06:13,Bundesliga,/bild-plus/sport/fussball/fussball/das-hatte-er-beim-bvb-noch-nie-haaland-droht-1-tor-krise-78792228.bild.html,"
                                Dortmunds Superstar Erling Haaland unter Druck: Warum er gegen Freiburg treffen will",True,12012022,Bild
Sow fit für Augsburg!,Nach Corona-Verdacht,2022-01-11 19:16:43,Bundesliga,/sport/fussball/fussball/eintracht-frankfurt-sow-fit-fuer-augsburg-78794104.bild.html,"
                                Djibril Sow ist nach Corona-Verdacht zurück – und fit fürs Spiel Samstag in Augsburg!",False,12012022,Bild
Jatta testet sich fürs Training frei,Nach Corona,2022-01-11 17:04:54,2. Bundesliga,/sport/fussball/fussball/hsv-nach-corona-bakery-jatta-testet-sich-fuers-training-frei-78792836.bild.html,"
                                Bakery Jatta kann endlich wieder beim HSV mitmischen. Auch Faride Alidou ist zurück.",False,12012022,Bild
ER hat jetzt  ein Schweineherz,Sensations-Transplantation,2022-01-11 14:45:44,Gesundheit,/ratgeber/gesundheit/herzgesundheit/transplantation-in-den-usa-david-bennett-ist-der-mann-mit-dem-schweineherz-78786230.bild.html,"
                                David Bennett ist unheilbar krank. Ärzte sahen nur noch eine Option: ein Schweineherz.",False,12012022,Bild
Corona-News  im Live-Ticker,Nachrichten zu Covid-19,2022-01-12 12:42:35,News Inland,/news/inland/news-inland/corona-news-im-live-ticker-alle-nachrichten-zu-covid-19-77205864.bild.html,"
                                Die neuesten Informationen, Zahlen und Fakten zum Coronavirus. Der Live-Ticker von BILD!",False,12012022,Bild
Bewohner in letzter Sekunde aus Feuer-Haus gerettet,Zwei Schwerverletzte,2022-01-12 11:33:56,Ruhrgebiet,/regional/ruhrgebiet/ruhrgebiet-aktuell/muelheim-bewohner-in-letzter-sekunde-aus-diesem-feuer-haus-gerettet-78799228.bild.html,"
                                Gerade rechtzeitig konnte ein Bewohner gerettet werden – dann stand das Haus in Vollbrand.",False,12012022,Bild
Der Vater der Wimmelbücher ist tot,Ali Mitgutsch (†86),2022-01-12 09:59:57,Leute,/unterhaltung/leute/leute/ali-mitgutsch-86-gestorben-vater-der-wimmelbuecher-78794872.bild.html,"
                                Der „Vater der Wimmelbücher“ Ali Mitgutsch (86) ist gestorben. Das bestätigte sein Sohn.",False,12012022,Bild
