Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Die Erinnerung ist nicht zu bändigen,28012022_09:45,https://www.sueddeutsche.de/kultur/yasmina-reza-serge-holocaust-roman-1.5516761,Yasmina Rezas neuer Roman,,Von Nils Minkmar,"In ihrem neuen Roman ""Serge"" geht Yasmina Reza dem Gedenken an den Holocaust nach. Sie liefert keine Rezepte zum Umgang, aber den Trost, dass man mit der Unbeholfenheit nicht alleine ist.
                        
                            Von Nils Minkmar",28012022,Sueddeutsche,kultur
Laga in Bad Dürrenberg: Saalehang wird saniert,28012022_09:45,https://www.sueddeutsche.de/wirtschaft/agrar-bad-duerrenberg-laga-in-bad-duerrenberg-saalehang-wird-saniert-dpa.urn-newsml-dpa-com-20090101-220128-99-884535,Agrar - Bad Dürrenberg,dpa,,,28012022,Sueddeutsche,wirtschaft
"Gerhard Schröder wirft der Ukraine ""Säbelrasseln"" vor",28012022_09:44,https://www.sueddeutsche.de/politik/ukraine-konflikt-gerhard-schroeder-russland-1.5513816,Ukraine-Krise,,Aktuelle Entwickungen zur Ukraine-Krise,"Den russischen Truppenaufmarsch wertet der Altkanzler als Reaktion auf Nato-Manöver und sagt, mit einer Invasion rechne er nicht. Deutschland lässt sein Botschaftspersonal in Kiew.
                        
                            Aktuelle Entwickungen zur Ukraine-Krise",28012022,Sueddeutsche,politik
Sinkende Zustimmung für SPD und Scholz,28012022_09:43,https://www.sueddeutsche.de/politik/parteien-sinkende-zustimmung-fuer-spd-und-scholz-dpa.urn-newsml-dpa-com-20090101-220128-99-884470,Parteien,dpa,,,28012022,Sueddeutsche,politik
Pistorius nach Amoklauf: Waffenerwerb auf Prüfstand stellen,28012022_09:43,https://www.sueddeutsche.de/politik/bundeslaender-stuttgart-pistorius-nach-amoklauf-waffenerwerb-auf-pruefstand-stellen-dpa.urn-newsml-dpa-com-20090101-220128-99-884026,Bundesländer - Stuttgart,dpa,,,28012022,Sueddeutsche,politik
Kuschel die Krähe,28012022_09:41,https://www.sueddeutsche.de/panorama/nicolas-cage-minnie-mouse-drew-barrymore-promis-1.5517075,Leute,,,"Nicolas Cage hat ein seltsames Haustier, Minnie Mouse bekommt einen Hosenanzug, und Drew Barrymore spricht über eine offene Beziehung.",28012022,Sueddeutsche,panorama
Pegel beklagt geringes Sicherheitsinteresse von Firmen,28012022_09:41,https://www.sueddeutsche.de/politik/landtag-schwerin-pegel-beklagt-geringes-sicherheitsinteresse-von-firmen-dpa.urn-newsml-dpa-com-20090101-220128-99-884510,Landtag - Schwerin,dpa,,,28012022,Sueddeutsche,politik
Ehemaliger Thomaskantor Georg Christoph Biller gestorben,28012022_09:40,https://www.sueddeutsche.de/kultur/musik-leipzig-ehemaliger-thomaskantor-georg-christoph-biller-gestorben-dpa.urn-newsml-dpa-com-20090101-220128-99-883982,Musik - Leipzig,dpa,,,28012022,Sueddeutsche,kultur
Fürth - glücklich allein,28012022_09:39,https://www.sueddeutsche.de/bayern/fuerth-nuernberg-vereinigung-scheitern-jubilaeum-1.5516399,Mittelfranken,,"Von Olaf Przybilla, Fürth/Nürnberg","Vor 100 Jahren hatte der Stadtrat eine Vereinigung mit Nürnberg bereits beschlossen. Die Fürther aber stemmten sich qua Volksabstimmung dagegen - und obsiegten. Das vereinigte Nürnberg-Fürth wäre heute die sechstgrößte Stadt der Republik. 
                        
                            Von Olaf Przybilla, Fürth/Nürnberg",28012022,Sueddeutsche,bayern
BHC-Herren wollen ersten Hallenhockey-Titel seit 1975,28012022_09:36,https://www.sueddeutsche.de/sport/hockey-berlin-bhc-herren-wollen-ersten-hallenhockey-titel-seit-1975-dpa.urn-newsml-dpa-com-20090101-220128-99-884376,Hockey - Berlin,dpa,,,28012022,Sueddeutsche,sport
