Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
OVG bestätigt Bebauungsplan am Spadener See,21012022_13:40,https://www.sueddeutsche.de/leben/freizeit-lueneburg-ovg-bestaetigt-bebauungsplan-am-spadener-see-dpa.urn-newsml-dpa-com-20090101-220121-99-799806,Freizeit - Lüneburg,dpa,,,22012022,Sueddeutsche,leben
Greuther Fürth muss ohne Green und Hoogma planen,21012022_13:40,https://www.sueddeutsche.de/bayern/fussball-fuerth-greuther-fuerth-muss-ohne-green-und-hoogma-planen-dpa.urn-newsml-dpa-com-20090101-220121-99-799661,Fußball - Fürth,dpa,,,22012022,Sueddeutsche,bayern
"Kohfeldt: ""Unentschieden werden uns nicht reichen""",21012022_13:39,https://www.sueddeutsche.de/sport/fussball-kohfeldt-unentschieden-werden-uns-nicht-reichen-dpa.urn-newsml-dpa-com-20090101-220121-99-799776,Fußball,dpa,,,22012022,Sueddeutsche,sport
Weniger Unterhaltung: CDU-Fraktion fordert Rundfunk-Reformen,21012022_13:37,https://www.sueddeutsche.de/politik/landtag-magdeburg-weniger-unterhaltung-cdu-fraktion-fordert-rundfunk-reformen-dpa.urn-newsml-dpa-com-20090101-220121-99-799679,Landtag - Magdeburg,dpa,,,22012022,Sueddeutsche,politik
Probleme mit Windkraft: Börse straft Siemens Energy ab,21012022_13:35,https://www.sueddeutsche.de/wirtschaft/energie-probleme-mit-windkraft-boerse-straft-siemens-energy-ab-dpa.urn-newsml-dpa-com-20090101-220121-99-799585,Energie,dpa,,,22012022,Sueddeutsche,wirtschaft
Corona: Frankreich ohne Cheftrainer Gille,21012022_13:35,https://www.sueddeutsche.de/sport/handball-corona-frankreich-ohne-cheftrainer-gille-dpa.urn-newsml-dpa-com-20090101-220121-99-799690,Handball,dpa,,,22012022,Sueddeutsche,sport
Novavax: Saarland plant Terminbuchungen ab 5. Februar,21012022_13:35,https://www.sueddeutsche.de/gesundheit/gesundheit-saarbruecken-novavax-saarland-plant-terminbuchungen-ab-5-februar-dpa.urn-newsml-dpa-com-20090101-220121-99-799513,Gesundheit - Saarbrücken,dpa,,,22012022,Sueddeutsche,gesundheit
"""Wir sind noch nicht über den Berg""",21012022_13:33,https://www.sueddeutsche.de/panorama/vulkan-auf-tonga-wir-sind-noch-nicht-ueber-den-berg-1.5512278,Vulkan auf Tonga,,,"Bilder
                    
                    
                        Eine Woche nach dem Vulkanausbruch vor Tonga dringen immer mehr Bilder der Verwüstung an die Öffentlichkeit. Aus Sicht der UN ist die akute Gefahr noch nicht gebannt.",22012022,Sueddeutsche,panorama
Steuererklärung: Ämter brauchen 46 Tage zur Bearbeitung,21012022_13:33,https://www.sueddeutsche.de/wirtschaft/finanzen-wiesbaden-steuererklaerung-aemter-brauchen-46-tage-zur-bearbeitung-dpa.urn-newsml-dpa-com-20090101-220121-99-799692,Finanzen - Wiesbaden,dpa,,,22012022,Sueddeutsche,wirtschaft
"Kohfeldt vor Spiel: ""Unentschieden werden uns nicht reichen""",21012022_13:32,https://www.sueddeutsche.de/sport/fussball-wolfsburg-kohfeldt-vor-spiel-unentschieden-werden-uns-nicht-reichen-dpa.urn-newsml-dpa-com-20090101-220121-99-799707,Fußball - Wolfsburg,dpa,,,22012022,Sueddeutsche,sport
IT-Mittelstandsmesse Twenty2X im März abgesagt,21012022_13:31,https://www.sueddeutsche.de/wirtschaft/informationstechnologie-hannover-it-mittelstandsmesse-twenty2x-im-maerz-abgesagt-dpa.urn-newsml-dpa-com-20090101-220121-99-799563,Informationstechnologie - Hannover,dpa,,,22012022,Sueddeutsche,wirtschaft
Milchtanklastwagen landet im Graben,21012022_13:30,https://www.sueddeutsche.de/panorama/unfaelle-surwold-milchtanklastwagen-landet-im-graben-dpa.urn-newsml-dpa-com-20090101-220121-99-799562,Unfälle - Surwold,dpa,,,22012022,Sueddeutsche,panorama
Münchner Fasching fällt auch in diesem Jahr aus,21012022_13:30,https://www.sueddeutsche.de/muenchen/muenchen-fasching-tanz-der-marktweiber-absage-1.5512413,Innenstadt,,,"Der Tanz der Marktweiber am Faschingsdienstag ist abgesagt, ebenso der Umzug der Damischen Ritter.",22012022,Sueddeutsche,muenchen
