Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Streit um Verantwortung für Angriff im Jemen mit mehr als 60 Toten,22012022_12:03,https://www.sueddeutsche.de/politik/streit-um-verantwortung-fuer-angriff-im-jemen-mit-mehr-als-60-toten-1.5512984,,,,"Video
                    
                    
                        Die von Saudi-Arabien geführte Allianz hat in dieser Woche Luftangriffe auf vorgeblich militärisch genutzte Bereiche der Huthi intensiviert. Zuvor hatten die Huthi einen bis dahin beispiellosen Angriff auf das Koalitionsmitglied Vereinigte Arabische Emirate in Abu Dhabi geflogen.",23012022,Sueddeutsche,politik
"Betrunkener, aggressiver Mann belästigt Frau",22012022_12:00,https://www.sueddeutsche.de/panorama/kriminalitaet-hamburg-betrunkener-aggressiver-mann-belaestigt-frau-dpa.urn-newsml-dpa-com-20090101-220122-99-808685,Kriminalität - Hamburg,dpa,,,23012022,Sueddeutsche,panorama
Corona-Inzidenz in Rheinland-Pfalz weiter auf Höchststand,22012022_12:00,https://www.sueddeutsche.de/gesundheit/gesundheit-mainz-corona-inzidenz-in-rheinland-pfalz-weiter-auf-hoechststand-dpa.urn-newsml-dpa-com-20090101-220122-99-808680,Gesundheit - Mainz,dpa,,,23012022,Sueddeutsche,gesundheit
Schwarzenegger in Autounfall in Los Angeles verwickelt,22012022_11:59,https://www.sueddeutsche.de/wirtschaft/verkehr-schwarzenegger-in-autounfall-in-los-angeles-verwickelt-dpa.urn-newsml-dpa-com-20090101-220122-99-808632,Verkehr,dpa,,,23012022,Sueddeutsche,wirtschaft
Erpressung von britischen Abgeordneten?,22012022_11:58,https://www.sueddeutsche.de/politik/regierung-erpressung-von-britischen-abgeordneten-dpa.urn-newsml-dpa-com-20090101-220122-99-807528,Regierung,dpa,,,23012022,Sueddeutsche,politik
Streit um Verantwortung für Angriff im Jemen mit mehr als 60 Toten,22012022_11:58,https://www.sueddeutsche.de/politik/streit-um-verantwortung-fuer-angriff-im-jemen-mit-mehr-als-60-toten-1.5512982,,,,"Video
                    
                    
                        Die von Saudi-Arabien geführte Allianz hat in dieser Woche Luftangriffe auf vorgeblich militärisch genutzte Bereiche der Huthi intensiviert. Zuvor hatten die Huthi einen bis dahin beispiellosen Angriff auf das Koalitionsmitglied Vereinigte Arabische Emirate in Abu Dhabi geflogen.",23012022,Sueddeutsche,politik
1. FC Kaiserslautern verpflichtet Stürmer Boyd,22012022_11:57,https://www.sueddeutsche.de/sport/fussball-kaiserslautern-1-fckaiserslautern-verpflichtet-stuermer-boyd-dpa.urn-newsml-dpa-com-20090101-220122-99-808675,Fußball - Kaiserslautern,dpa,,,23012022,Sueddeutsche,sport
Holstein-Stürmer Fridjonsson auf Vereinssuche,22012022_11:57,https://www.sueddeutsche.de/sport/fussball-kiel-holstein-stuermer-fridjonsson-auf-vereinssuche-dpa.urn-newsml-dpa-com-20090101-220122-99-808674,Fußball - Kiel,dpa,,,23012022,Sueddeutsche,sport
Sachsen mit bundesweit zweitniedrigster Corona-Inzidenz,22012022_11:56,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-sachsen-mit-bundesweit-zweitniedrigster-corona-inzidenz-dpa.urn-newsml-dpa-com-20090101-220122-99-807539,Gesundheit - Berlin,dpa,,,23012022,Sueddeutsche,gesundheit
Küchenbrand in Einfamilienhaus: 89 Jahre alter Mann stirbt,22012022_11:56,https://www.sueddeutsche.de/panorama/braende-hamburg-kuechenbrand-in-einfamilienhaus-89-jahre-alter-mann-stirbt-dpa.urn-newsml-dpa-com-20090101-220122-99-808652,Brände - Hamburg,dpa,,,23012022,Sueddeutsche,panorama
Deutsche Skicrosser verpassen Top-Plätze in Idre Fjäll,22012022_11:56,https://www.sueddeutsche.de/sport/ski-freestyle-deutsche-skicrosser-verpassen-top-plaetze-in-idre-fjaell-dpa.urn-newsml-dpa-com-20090101-220122-99-808628,Ski Freestyle,dpa,,,23012022,Sueddeutsche,sport
Inzidenz in Bremen wieder angestiegen,22012022_11:54,https://www.sueddeutsche.de/gesundheit/gesundheit-bremen-inzidenz-in-bremen-wieder-angestiegen-dpa.urn-newsml-dpa-com-20090101-220122-99-808653,Gesundheit - Bremen,dpa,,,23012022,Sueddeutsche,gesundheit
Wochenende startet mit Neuschnee im Gebirge,22012022_11:53,https://www.sueddeutsche.de/panorama/wetter-oberwiesenthal-wochenende-startet-mit-neuschnee-im-gebirge-dpa.urn-newsml-dpa-com-20090101-220122-99-808602,Wetter - Oberwiesenthal,dpa,,,23012022,Sueddeutsche,panorama
"Inzidenz in Hamburg steigt auf 1767,2: 5764 neue Fälle",22012022_11:53,https://www.sueddeutsche.de/gesundheit/gesundheit-hamburg-inzidenz-in-hamburg-steigt-auf-17672-5764-neue-faelle-dpa.urn-newsml-dpa-com-20090101-220122-99-808638,Gesundheit - Hamburg,dpa,,,23012022,Sueddeutsche,gesundheit
Streit um Verantwortung für Angriff im Jemen mit mehr als 60 Toten,22012022_11:53,https://www.sueddeutsche.de/politik/streit-um-verantwortung-fuer-angriff-im-jemen-mit-mehr-als-60-toten-1.5512980,,,,"Video
                    
                    
                        Die von Saudi-Arabien geführte Allianz hat in dieser Woche Luftangriffe auf vorgeblich militärisch genutzte Bereiche der Huthi intensiviert. Zuvor hatten die Huthi einen bis dahin beispiellosen Angriff auf das Koalitionsmitglied Vereinigte Arabische Emirate in Abu Dhabi geflogen.",23012022,Sueddeutsche,politik
Mann im-Wedding angefahren: Fahrer lässt ihn verletzt liegen,22012022_11:51,https://www.sueddeutsche.de/panorama/unfaelle-berlin-mann-im-wedding-angefahren-fahrer-laesst-ihn-verletzt-liegen-dpa.urn-newsml-dpa-com-20090101-220122-99-808629,Unfälle - Berlin,dpa,,,23012022,Sueddeutsche,panorama
Özdemir: Bauern müssen Existenzgrundlage haben,22012022_11:49,https://www.sueddeutsche.de/politik/demonstrationen-berlin-oezdemir-bauern-muessen-existenzgrundlage-haben-dpa.urn-newsml-dpa-com-20090101-220122-99-808608,Demonstrationen - Berlin,dpa,,,23012022,Sueddeutsche,politik
Bundesregierung sagt Jein zur Taxonomie,22012022_11:46,https://www.sueddeutsche.de/politik/taxonomie-eu-kommission-erdgas-atomkraft-habeck-bundesregierung-1.5512976,Klimapolitik,,"Von Michael Bauchmüller, Berlin","Nein zur Atomkraft, ja zu Erdgas für den Übergang - Deutschland weist Europas Regeln für ""grüne"" Finanzprodukte nur teilweise zurück. Umweltschützer ärgert das.
                        
                            Von Michael Bauchmüller, Berlin",23012022,Sueddeutsche,politik
Mehr als 10.000 neue Corona-Infektionen in Hessen,22012022_11:44,https://www.sueddeutsche.de/gesundheit/gesundheit-wiesbaden-mehr-als-10000-neue-corona-infektionen-in-hessen-dpa.urn-newsml-dpa-com-20090101-220122-99-808557,Gesundheit - Wiesbaden,dpa,,,23012022,Sueddeutsche,gesundheit
Inzidenz in Bayern steigt auf über 800,22012022_11:40,https://www.sueddeutsche.de/bayern/gesundheit-berlin-inzidenz-in-bayern-steigt-auf-ueber-800-dpa.urn-newsml-dpa-com-20090101-220122-99-808168,Gesundheit - Berlin,dpa,,,23012022,Sueddeutsche,bayern
Ermittlungen wegen Brandstiftung in Mehrfamilienhaus,22012022_11:36,https://www.sueddeutsche.de/panorama/braende-berlin-ermittlungen-wegen-brandstiftung-in-mehrfamilienhaus-dpa.urn-newsml-dpa-com-20090101-220122-99-808483,Brände - Berlin,dpa,,,23012022,Sueddeutsche,panorama
EM soll DHB-Team für Heim-Turnier 2024 helfen,22012022_11:34,https://www.sueddeutsche.de/sport/handball-em-soll-dhb-team-fuer-heim-turnier-2024-helfen-dpa.urn-newsml-dpa-com-20090101-220122-99-808093,Handball,dpa,,,23012022,Sueddeutsche,sport
