Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Explosion schreckt Anwohner auf: Geldautomatensprengung,26022022_08:07,https://www.sueddeutsche.de/panorama/kriminalitaet-aachen-explosion-schreckt-anwohner-auf-geldautomatensprengung-dpa.urn-newsml-dpa-com-20090101-220226-99-295345,Kriminalität - Aachen,dpa,,,27022022,Sueddeutsche
86 Menschen wurden im Wahlkampf Opfer von Straftaten,26022022_08:06,https://www.sueddeutsche.de/panorama/kriminalitaet-duesseldorf-86-menschen-wurden-im-wahlkampf-opfer-von-straftaten-dpa.urn-newsml-dpa-com-20090101-220226-99-295336,Kriminalität - Düsseldorf,dpa,,,27022022,Sueddeutsche
U-Ausschuss Flut: Vorsitzender missbilligt fehlende Akten,26022022_08:04,https://www.sueddeutsche.de/politik/landtag-duesseldorf-u-ausschuss-flut-vorsitzender-missbilligt-fehlende-akten-dpa.urn-newsml-dpa-com-20090101-220226-99-295294,Landtag - Düsseldorf,dpa,,,27022022,Sueddeutsche
"""Science Fiction"": Nasa unterstützt neue Technologie-Ideen",26022022_08:01,https://www.sueddeutsche.de/wissen/wissenschaft-science-fiction-nasa-unterstuetzt-neue-technologie-ideen-dpa.urn-newsml-dpa-com-20090101-220226-99-295078,Wissenschaft,dpa,,,27022022,Sueddeutsche
"Umweltministerin zur Flut: ""System hat nicht funktioniert""",26022022_07:56,https://www.sueddeutsche.de/politik/landtag-duesseldorf-umweltministerin-zur-flut-system-hat-nicht-funktioniert-dpa.urn-newsml-dpa-com-20090101-220224-99-273175,Landtag - Düsseldorf,dpa,,,27022022,Sueddeutsche
Brand in ehemaliger Gaststätte in Rinteln,26022022_07:51,https://www.sueddeutsche.de/panorama/braende-rinteln-brand-in-ehemaliger-gaststaette-in-rinteln-dpa.urn-newsml-dpa-com-20090101-220226-99-295268,Brände - Rinteln,dpa,,,27022022,Sueddeutsche
Lüneburger Museum: Geschichtsstunde mit VR-Brille,26022022_07:50,https://www.sueddeutsche.de/kultur/museen-lueneburg-lueneburger-museum-geschichtsstunde-mit-vr-brille-dpa.urn-newsml-dpa-com-20090101-220226-99-295254,Museen - Lüneburg,dpa,,,27022022,Sueddeutsche
Söder und die Prügelstrafe,26022022_07:49,https://www.sueddeutsche.de/bayern/bayern-csu-handyverbot-soeder-kabinett-1.5536535,Handyverbot für Fraktion,,Glosse von Katja Auer,"Die körperliche Züchtigung von Kindern ist Gott sei Dank schon länger verboten - und auch das Handyverbot in der Schule ist nun ist Geschichte. Eingeführt wurde es diese Woche jedoch für CSU-Abgeordnete.
                        
                            Glosse von Katja Auer",27022022,Sueddeutsche
Rettungshubschrauber fliegen über 7600 Einsätze,26022022_07:48,https://www.sueddeutsche.de/panorama/notfaelle-hannover-rettungshubschrauber-fliegen-ueber-7600-einsaetze-dpa.urn-newsml-dpa-com-20090101-220226-99-295251,Notfälle - Hannover,dpa,,,27022022,Sueddeutsche
Tests und Masken in Schulen: Unterschiedliche Wege im Norden,26022022_07:47,https://www.sueddeutsche.de/gesundheit/gesundheit-hannover-tests-und-masken-in-schulen-unterschiedliche-wege-im-norden-dpa.urn-newsml-dpa-com-20090101-220226-99-295177,Gesundheit - Hannover,dpa,,,27022022,Sueddeutsche
"Basteln, Bäume erforschen oder Radio machen",26022022_07:46,https://www.sueddeutsche.de/muenchen/muenchen-ferien-kinder-tipps-deutsches-museum-1.5536861,Ferienprogramm für München,,Von Barbara Hordych,"In den Faschingsferien haben einige Freizeitstätten und Museen Angebote für Kinder und Familien. Unsere Tipps für Kurzentschlossene.
                        
                            Von Barbara Hordych",27022022,Sueddeutsche
MV Werften: Transfergesellschaften starten am 1. März,26022022_07:45,https://www.sueddeutsche.de/wirtschaft/schiffbau-schwerin-mv-werften-transfergesellschaften-starten-am-1-maerz-dpa.urn-newsml-dpa-com-20090101-220226-99-295239,Schiffbau - Schwerin,dpa,,,27022022,Sueddeutsche
Horx: Nicht nur negativ auf Corona blicken,26022022_07:42,https://www.sueddeutsche.de/gesundheit/gesundheit-wien-horx-nicht-nur-negativ-auf-corona-blicken-dpa.urn-newsml-dpa-com-20090101-220226-99-295221,Gesundheit - Wien,dpa,,,27022022,Sueddeutsche
Franz Wagner gewinnt mit Orlando gegen Schröders Rockets,26022022_07:41,https://www.sueddeutsche.de/sport/basketball-franz-wagner-gewinnt-mit-orlando-gegen-schroeders-rockets-dpa.urn-newsml-dpa-com-20090101-220226-99-295191,Basketball,dpa,,,27022022,Sueddeutsche
Familienfrühstück im Grünen,26022022_07:40,https://www.sueddeutsche.de/muenchen/muenchen-cafe-mary-s-garden-club-neuhausen-fruehstueck-1.5535645,Mary's Garden Club,,Von Hannah Prasuhn,"In Mary's Garden Club in Neuhausen kann man auch noch am Nachmittag mit Frühstücksburgern oder Waffeln in den Tag starten. Und auch den jüngsten Gästen wird etwas geboten.
                        
                            Von Hannah Prasuhn",27022022,Sueddeutsche
Etwas mehr Schlichtungsverfahren bei Handwerkskammern,26022022_07:38,https://www.sueddeutsche.de/service/handwerk-frankfurt-am-main-etwas-mehr-schlichtungsverfahren-bei-handwerkskammern-dpa.urn-newsml-dpa-com-20090101-220226-99-295199,Handwerk - Frankfurt am Main,dpa,,,27022022,Sueddeutsche
Lkw stößt frontal mit Auto zusammen: Ein Schwerverletzter,26022022_07:36,https://www.sueddeutsche.de/panorama/unfaelle-gross-kummerfeld-lkw-stoesst-frontal-mit-auto-zusammen-ein-schwerverletzter-dpa.urn-newsml-dpa-com-20090101-220226-99-295187,Unfälle - Groß Kummerfeld,dpa,,,27022022,Sueddeutsche
Putzmittelstudie warnt vor Atemwegsbelastung,26022022_07:32,https://www.sueddeutsche.de/gesundheit/gesundheit-putzmittelstudie-warnt-vor-atemwegsbelastung-dpa.urn-newsml-dpa-com-20090101-220226-99-295073,Gesundheit,dpa,,,27022022,Sueddeutsche
