Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
"""M*A*S*H""-Star Sally Kellerman mit 84 Jahren gestorben",25022022_07:39,https://www.sueddeutsche.de/kultur/film-mash-star-sally-kellerman-mit-84-jahren-gestorben-dpa.urn-newsml-dpa-com-20090101-220225-99-278218,Film,dpa,,,25022022,Sueddeutsche
Sensoren für Senioren,25022022_07:32,https://www.sueddeutsche.de/kolumne/technik-smart-home-sicherheit-senioren-wissenschaft-1.5534784,Smart Home,,Interview von Oliver Herwig,"Herd aus, Wasserhahn abgedreht? Smart-Home-Technologie kann älteren Bewohnern im Alltag helfen. Aber nicht jeder ist davon begeistert. Ein Gespräch über skeptische Senioren und die Frage, wie sicher die Daten sind.
                        
                            Interview von Oliver Herwig",25022022,Sueddeutsche
Corona-Inzidenz in Thüringen weiter gestiegen,25022022_07:28,https://www.sueddeutsche.de/gesundheit/gesundheit-erfurt-corona-inzidenz-in-thueringen-weiter-gestiegen-dpa.urn-newsml-dpa-com-20090101-220225-99-280922,Gesundheit - Erfurt,dpa,,,25022022,Sueddeutsche
Feuer auf Galopprennbahn: Hoher sechsstelliger Schaden,25022022_07:28,https://www.sueddeutsche.de/bayern/braende-muenchen-feuer-auf-galopprennbahn-hoher-sechsstelliger-schaden-dpa.urn-newsml-dpa-com-20090101-220225-99-280910,Brände - München,dpa,,,25022022,Sueddeutsche
Vom Online-Handel abgesägt,25022022_07:26,https://www.sueddeutsche.de/muenchen/landkreismuenchen/garching-pradler-werkmarkt-online-handel-einzelhandel-1.5536263,Garching,,"Von Patrik Stäbler, Garching","Der Werkmarkt Pradler schließt im Sommer. Die Geschäftsführer sehen wegen sinkender Umsätze keine Zukunft mehr.
                        
                            Von Patrik Stäbler, Garching",25022022,Sueddeutsche
Wenn jeder Handgriff zählt,25022022_07:26,https://www.sueddeutsche.de/kolumne/post-paketzentrum-baustelle-1.5534718,Baustelle,,Von Marco Völklein,"Planen, betonieren, installieren: Östlich von München errichtet die Post die bundesweit größte Sortieranlage für Pakete. Sechs Menschen berichten von ihren Aufgaben auf der Baustelle - und was sie am meisten herausfordert.
                        
                            Von Marco Völklein",25022022,Sueddeutsche
Nach Feuer bei Schrotthändler: Gutachter soll Ursache klären,25022022_07:24,https://www.sueddeutsche.de/panorama/braende-gross-polzin-nach-feuer-bei-schrotthaendler-gutachter-soll-ursache-klaeren-dpa.urn-newsml-dpa-com-20090101-220225-99-280875,Brände - Groß Polzin,dpa,,,25022022,Sueddeutsche
Ministerin: Klassenfahrten sollten bald wieder möglich sein,25022022_07:23,https://www.sueddeutsche.de/bildung/bildung-freiburg-im-breisgau-ministerin-klassenfahrten-sollten-bald-wieder-moeglich-sein-dpa.urn-newsml-dpa-com-20090101-220225-99-280863,Bildung - Freiburg im Breisgau,dpa,,,25022022,Sueddeutsche
"Ex-DFB-Chef: Tür für Russland ""nicht auf ewig zuschlagen""",25022022_07:21,https://www.sueddeutsche.de/sport/fussball-ex-dfb-chef-tuer-fuer-russland-nicht-auf-ewig-zuschlagen-dpa.urn-newsml-dpa-com-20090101-220225-99-280808,Fußball,dpa,,,25022022,Sueddeutsche
Wieder Anstieg der Sieben-Tage-Inzidenz in Sachsen,25022022_07:20,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-wieder-anstieg-der-sieben-tage-inzidenz-in-sachsen-dpa.urn-newsml-dpa-com-20090101-220225-99-280772,Gesundheit - Berlin,dpa,,,25022022,Sueddeutsche
Ifo hält fünf Prozent Inflation in diesem Jahr für möglich,25022022_07:19,https://www.sueddeutsche.de/wirtschaft/preise-ifo-haelt-fuenf-prozent-inflation-in-diesem-jahr-fuer-moeglich-dpa.urn-newsml-dpa-com-20090101-220225-99-280776,Preise,dpa,,,25022022,Sueddeutsche
Corona-Inzidenz geht in Nordrhein-Westfalen weiter zurück,25022022_07:18,https://www.sueddeutsche.de/gesundheit/gesundheit-duesseldorf-corona-inzidenz-geht-in-nordrhein-westfalen-weiter-zurueck-dpa.urn-newsml-dpa-com-20090101-220225-99-280770,Gesundheit - Düsseldorf,dpa,,,25022022,Sueddeutsche
Früherer russischer Honorarkonsul: Für Versöhnung arbeiten,25022022_07:17,https://www.sueddeutsche.de/politik/konflikte-hannover-frueherer-russischer-honorarkonsul-fuer-versoehnung-arbeiten-dpa.urn-newsml-dpa-com-20090101-220225-99-280768,Konflikte - Hannover,dpa,,,25022022,Sueddeutsche
