Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
DWD: Glatteis-Gefahr in südlichen Teilen Sachsen-Anhalts,26122021_09:44,https://www.sueddeutsche.de/panorama/wetter-dwd-glatteis-gefahr-in-suedlichen-teilen-sachsen-anhalts-dpa.urn-newsml-dpa-com-20090101-211226-99-506583,Wetter,dpa,,,26122021,Sueddeutsche
Corona-Infektionsrate gesunken: Weitere Todesfälle,26122021_09:44,https://www.sueddeutsche.de/gesundheit/gesundheit-corona-infektionsrate-gesunken-weitere-todesfaelle-dpa.urn-newsml-dpa-com-20090101-211226-99-506582,Gesundheit,dpa,,,26122021,Sueddeutsche
Drei Verletzte nach Unfall in Ludwigshafen,26122021_09:42,https://www.sueddeutsche.de/panorama/unfaelle-ludwigshafen-am-rhein-drei-verletzte-nach-unfall-in-ludwigshafen-dpa.urn-newsml-dpa-com-20090101-211226-99-506580,Unfälle - Ludwigshafen am Rhein,dpa,,,26122021,Sueddeutsche
124 neue Corona-Fälle im Saarland: Inzidenz gesunken,26122021_09:42,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-124-neue-corona-faelle-im-saarland-inzidenz-gesunken-dpa.urn-newsml-dpa-com-20090101-211226-99-506581,Gesundheit - Berlin,dpa,,,26122021,Sueddeutsche
Maskierte Räuber überfallen 21-Jährigen,26122021_09:40,https://www.sueddeutsche.de/panorama/kriminalitaet-uetze-maskierte-raeuber-ueberfallen-21-jaehrigen-dpa.urn-newsml-dpa-com-20090101-211226-99-506573,Kriminalität - Uetze,dpa,,,26122021,Sueddeutsche
Geue: Digitalisierung soll bei Sparen helfen,26122021_09:39,https://www.sueddeutsche.de/service/jahreswechsel-schwerin-geue-digitalisierung-soll-bei-sparen-helfen-dpa.urn-newsml-dpa-com-20090101-211226-99-506571,Jahreswechsel - Schwerin,dpa,,,26122021,Sueddeutsche
"Wie pflegen Sie Ihre Stimmbänder, Michael Patrick Kelly?",26122021_09:39,https://sz-magazin.sueddeutsche.de/sagen-sie-jetzt-nichts/interview-michael-patrick-kelly-family-91035,Sagen Sie jetzt nichts,,Fotos: Axel Martens,"Der Sänger und Komponist im Interview ohne Worte über alte Hits aus Bravo-Zeiten, sein Rezept gegen schlechte Laune und die Frage, was er im Kloster gelernt hat.
                        
                            Fotos: Axel Martens",26122021,Sueddeutsche
Eisige Temperaturen am zweiten Weihnachtstag im Norden,26122021_09:38,https://www.sueddeutsche.de/panorama/wetter-schwerin-eisige-temperaturen-am-zweiten-weihnachtstag-im-norden-dpa.urn-newsml-dpa-com-20090101-211226-99-506568,Wetter - Schwerin,dpa,,,26122021,Sueddeutsche
Corona-Inzidenz in Brandenburg sinkt auf 402,26122021_09:37,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-corona-inzidenz-in-brandenburg-sinkt-auf-402-dpa.urn-newsml-dpa-com-20090101-211226-99-506563,Gesundheit - Potsdam,dpa,,,26122021,Sueddeutsche
Inzidenz in Berlin bei knapp 268: Zahlen unvollständig,26122021_09:36,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-inzidenz-in-berlin-bei-knapp-268-zahlen-unvollstaendig-dpa.urn-newsml-dpa-com-20090101-211226-99-506615,Gesundheit - Berlin,dpa,,,26122021,Sueddeutsche
