Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Auch die Beamten des Landes erhalten mehr Geld,10012022_11:31,https://www.sueddeutsche.de/karriere/tarife-mainz-auch-die-beamten-des-landes-erhalten-mehr-geld-dpa.urn-newsml-dpa-com-20090101-220110-99-653775,Tarife - Mainz,dpa,,,10012022,Sueddeutsche
Autofahrer stößt mit Lastwagen zusammen und stirbt,10012022_11:30,https://www.sueddeutsche.de/bayern/unfaelle-schoenberg-autofahrer-stoesst-mit-lastwagen-zusammen-und-stirbt-dpa.urn-newsml-dpa-com-20090101-220110-99-654793,Unfälle - Schönberg,dpa,,,10012022,Sueddeutsche
VfB bestätigt: Al Ghaddioui verhandelt über Abschied,10012022_11:29,https://www.sueddeutsche.de/sport/fussball-stuttgart-vfb-bestaetigt-al-ghaddioui-verhandelt-ueber-abschied-dpa.urn-newsml-dpa-com-20090101-220110-99-654756,Fußball - Stuttgart,dpa,,,10012022,Sueddeutsche
Mutmach-Sieg in Bonn: Towers-Coach lobt Defensivleistung,10012022_11:28,https://www.sueddeutsche.de/sport/basketball-hamburg-mutmach-sieg-in-bonn-towers-coach-lobt-defensivleistung-dpa.urn-newsml-dpa-com-20090101-220110-99-654744,Basketball - Hamburg,dpa,,,10012022,Sueddeutsche
Spritztour mit Radlader: Polizei nimmt 14-Jährigen fest,10012022_11:24,https://www.sueddeutsche.de/panorama/kriminalitaet-herne-spritztour-mit-radlader-polizei-nimmt-14-jaehrigen-fest-dpa.urn-newsml-dpa-com-20090101-220110-99-654674,Kriminalität - Herne,dpa,,,10012022,Sueddeutsche
Déjà-vu für Kohfeldt: Wolfsburgs Coach unter Druck,10012022_11:24,https://www.sueddeutsche.de/sport/fussball-dj-vu-fuer-kohfeldt-wolfsburgs-coach-unter-druck-dpa.urn-newsml-dpa-com-20090101-220109-99-648968,Fußball,dpa,,,10012022,Sueddeutsche
Bei Einführung von 2 G plus: Münchens Wirte drohen in Umfrage mit Schließung,10012022_11:23,https://www.sueddeutsche.de/bayern/corona-bayern-aktuell-gastronomie-2-g-plus-1.5504051,Coronavirus-Newsblog für Bayern,,Alle Entwicklungen im Überblick,"Der Vorsitzende des Vereins der Innenstadtwirte spricht von einem ""Sterben auf Raten"". Bayerns Sozialminister verteidigt die neue Test-Regeln für für Krippen- und Kindergartenkinder.
                        
                            Alle Entwicklungen im Überblick",10012022,Sueddeutsche
"U21-Nationalcoach Di Salvo warnt vor ""gefährlicher Tendenz""",10012022_11:23,https://www.sueddeutsche.de/sport/fussball-u21-nationalcoach-di-salvo-warnt-vor-gefaehrlicher-tendenz-dpa.urn-newsml-dpa-com-20090101-220110-99-654466,Fußball,dpa,,,10012022,Sueddeutsche
Allofs will nicht Vorstandschef werden,10012022_11:22,https://www.sueddeutsche.de/sport/fussball-duesseldorf-allofs-will-nicht-vorstandschef-werden-dpa.urn-newsml-dpa-com-20090101-220110-99-654675,Fußball - Düsseldorf,dpa,,,10012022,Sueddeutsche
"Kasachische Soldaten in Blauhelmen: UN äußern ""Bedenken""",10012022_11:21,https://www.sueddeutsche.de/politik/demonstrationen-kasachische-soldaten-in-blauhelmen-un-aeussern-bedenken-dpa.urn-newsml-dpa-com-20090101-220110-99-650460,Demonstrationen,dpa,,,10012022,Sueddeutsche
FDP für coronabedingtes Freisemester an Hochschulen,10012022_11:18,https://www.sueddeutsche.de/bildung/hochschulen-kiel-fdp-fuer-coronabedingtes-freisemester-an-hochschulen-dpa.urn-newsml-dpa-com-20090101-220110-99-653975,Hochschulen - Kiel,dpa,,,10012022,Sueddeutsche
Vertrag von Spielmacher Feld wird nicht verlängert,10012022_11:17,https://www.sueddeutsche.de/sport/handball-wetzlar-vertrag-von-spielmacher-feld-wird-nicht-verlaengert-dpa.urn-newsml-dpa-com-20090101-220110-99-654632,Handball - Wetzlar,dpa,,,10012022,Sueddeutsche
Bis zu 6000 Euro mehr im Jahr,10012022_11:15,https://www.sueddeutsche.de/wirtschaft/strompreis-gaspreis-energie-1.5504173,Gas- und Strompreise,,Von Andreas Jalsovec,"Immer mehr Energiefirmen verlangen von Neukunden horrende Preise. Verbraucherschützer halten das für unzulässig, auch die Bundesnetzagentur sieht das kritisch. Was Verbraucher jetzt tun können.
                        
                            Von Andreas Jalsovec",10012022,Sueddeutsche
Meldesystem für Gewalt gegen Einsatzkräfte gestartet,10012022_11:14,https://www.sueddeutsche.de/panorama/kriminalitaet-duesseldorf-meldesystem-fuer-gewalt-gegen-einsatzkraefte-gestartet-dpa.urn-newsml-dpa-com-20090101-220110-99-654392,Kriminalität - Düsseldorf,dpa,,,10012022,Sueddeutsche
Corona-Inzidenz gestiegen: Weitere Hotspots ab Dienstag,10012022_11:14,https://www.sueddeutsche.de/gesundheit/gesundheit-wiesbaden-corona-inzidenz-gestiegen-weitere-hotspots-ab-dienstag-dpa.urn-newsml-dpa-com-20090101-220110-99-654586,Gesundheit - Wiesbaden,dpa,,,10012022,Sueddeutsche
Ohne Job und Förderung: Eiskunstläufer Fentz gibt nicht auf,10012022_11:13,https://www.sueddeutsche.de/sport/eiskunstlauf-ohne-job-und-foerderung-eiskunstlaeufer-fentz-gibt-nicht-auf-dpa.urn-newsml-dpa-com-20090101-220110-99-654277,Eiskunstlauf,dpa,,,10012022,Sueddeutsche
Kelch aus Passauer Dom gestohlen und wieder zurückgebracht,10012022_11:12,https://www.sueddeutsche.de/bayern/kriminalitaet-passau-kelch-aus-passauer-dom-gestohlen-und-wieder-zurueckgebracht-dpa.urn-newsml-dpa-com-20090101-220110-99-654522,Kriminalität - Passau,dpa,,,10012022,Sueddeutsche
Stärkster Anstieg der Baupreise seit rund 51 Jahren,10012022_11:12,https://www.sueddeutsche.de/wirtschaft/bau-staerkster-anstieg-der-baupreise-seit-rund-51-jahren-dpa.urn-newsml-dpa-com-20090101-220110-99-651998,Bau,dpa,,,10012022,Sueddeutsche
