Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Ungarn: Enorme Hilfsbereitschaft für Geflohene,05032022_15:51,https://www.sueddeutsche.de/politik/konflikte-ungarn-enorme-hilfsbereitschaft-fuer-geflohene-dpa.urn-newsml-dpa-com-20090101-220305-99-392987,Konflikte,dpa,,,05032022,Sueddeutsche,politik
Bremerhavener Lloyd Werft an Rönner-Zech-Gruppe verkauft,05032022_15:50,https://www.sueddeutsche.de/wirtschaft/schiffbau-bremerhaven-bremerhavener-lloyd-werft-an-roenner-zech-gruppe-verkauft-dpa.urn-newsml-dpa-com-20090101-220305-99-394793,Schiffbau - Bremerhaven,dpa,,,05032022,Sueddeutsche,wirtschaft
Ukraine: Welternährungsprogramm warnt vor Nahrungsknappheit,05032022_15:48,https://www.sueddeutsche.de/politik/konflikte-ukraine-welternaehrungsprogramm-warnt-vor-nahrungsknappheit-dpa.urn-newsml-dpa-com-20090101-220305-99-392461,Konflikte,dpa,,,05032022,Sueddeutsche,politik
Internationale Medien stellen Arbeit in Russland ein,05032022_15:48,https://www.sueddeutsche.de/politik/konflikte-internationale-medien-stellen-arbeit-in-russland-ein-dpa.urn-newsml-dpa-com-20090101-220305-99-392347,Konflikte,dpa,,,05032022,Sueddeutsche,politik
München: Menschenkette gegen Putin,05032022_15:47,https://www.sueddeutsche.de/politik/muenchen-menschenkette-gegen-putin-1.5541837,,,,"Video
                    
                    
                        Auf Plakaten stellten die Teilnehmenden am Samstag dem russischen Präsidenten nach dem Einmarsch in die Ukraine eine Anklage vor dem Internationalen Gerichtshof in Den Haag in Aussicht.",05032022,Sueddeutsche,politik
Schröder-Kim verteidigt Ehemann gegen Kritik aus SPD,05032022_15:47,https://www.sueddeutsche.de/politik/konflikte-schroeder-kim-verteidigt-ehemann-gegen-kritik-aus-spd-dpa.urn-newsml-dpa-com-20090101-220305-99-396930,Konflikte,dpa,,,05032022,Sueddeutsche,politik
Tui-Großaktionär Mordaschow ordnete Beteiligung neu,05032022_15:46,https://www.sueddeutsche.de/politik/konflikte-hannover-tui-grossaktionaer-mordaschow-ordnete-beteiligung-neu-dpa.urn-newsml-dpa-com-20090101-220305-99-398660,Konflikte - Hannover,dpa,,,05032022,Sueddeutsche,politik
Flüssiggasterminal für Brunsbüttel,05032022_15:46,https://www.sueddeutsche.de/wissen/rohstoffe-fluessiggasterminal-fuer-brunsbuettel-dpa.urn-newsml-dpa-com-20090101-220305-99-398630,Rohstoffe,dpa,,,05032022,Sueddeutsche,wissen
Fahrraddemonstration für mehr Windkraft in Kassel,05032022_15:42,https://www.sueddeutsche.de/politik/demonstrationen-kassel-fahrraddemonstration-fuer-mehr-windkraft-in-kassel-dpa.urn-newsml-dpa-com-20090101-220305-99-398572,Demonstrationen - Kassel,dpa,,,05032022,Sueddeutsche,politik
Ukraine-Krieg drückt Dax Richtung 13.000 Punkte,05032022_15:42,https://www.sueddeutsche.de/wirtschaft/boersen-ukraine-krieg-drueckt-dax-richtung-13000-punkte-dpa.urn-newsml-dpa-com-20090101-220304-99-380013,Börsen,dpa,,,05032022,Sueddeutsche,wirtschaft
Bätzing bittet um Verzeihung für Ausgrenzung von Menschen,05032022_15:41,https://www.sueddeutsche.de/panorama/kirche-limburg-an-der-lahn-baetzing-bittet-um-verzeihung-fuer-ausgrenzung-von-menschen-dpa.urn-newsml-dpa-com-20090101-220305-99-398573,Kirche - Limburg an der Lahn,dpa,,,05032022,Sueddeutsche,panorama
Hessischer Tierschutzpreis ausgeschrieben,05032022_15:38,https://www.sueddeutsche.de/leben/auszeichnungen-wiesbaden-hessischer-tierschutzpreis-ausgeschrieben-dpa.urn-newsml-dpa-com-20090101-220305-99-398574,Auszeichnungen - Wiesbaden,dpa,,,05032022,Sueddeutsche,leben
Kühn Dritter im Biathlon-Sprint in Kontiolahti,05032022_15:37,https://www.sueddeutsche.de/sport/biathlon-kuehn-dritter-im-biathlon-sprint-in-kontiolahti-dpa.urn-newsml-dpa-com-20090101-220305-99-398553,Biathlon,dpa,,,05032022,Sueddeutsche,sport
Auto fährt beim Überholen gegen Pkw und überschlägt sich,05032022_15:35,https://www.sueddeutsche.de/panorama/unfaelle-berlin-auto-faehrt-beim-ueberholen-gegen-pkw-und-ueberschlaegt-sich-dpa.urn-newsml-dpa-com-20090101-220305-99-398431,Unfälle - Berlin,dpa,,,05032022,Sueddeutsche,panorama
Krankenkassenbeiträge könnten 2023 steigen,05032022_15:33,https://www.sueddeutsche.de/gesundheit/gesundheit-krankenkassenbeitraege-koennten-2023-steigen-dpa.urn-newsml-dpa-com-20090101-220305-99-397558,Gesundheit,dpa,,,05032022,Sueddeutsche,gesundheit
Klimaschutzgruppe protestiert auf Marschallbrücke,05032022_15:30,https://www.sueddeutsche.de/wissen/klima-berlin-klimaschutzgruppe-protestiert-auf-marschallbruecke-dpa.urn-newsml-dpa-com-20090101-220305-99-398432,Klima - Berlin,dpa,,,05032022,Sueddeutsche,wissen
Cherson - von Russland besetzte Stadt? ,05032022_15:27,https://www.sueddeutsche.de/politik/krieg-in-der-ukraine-ziviler-widerstand-cherson-1.5541763,Ziviler Widerstand in der Ukraine,,Von Sebastian Gierke,"Vor drei Tagen haben russische Truppen Cherson eingenommen. Heute gehen Hunderte gegen die Invasoren auf die Straße. Videos zeigen, wie sogar ein fahrender Schützenpanzer bestiegen wird. Warum der zivile Widerstand auch militärisch immer wichtiger wird.
                        
                            Von Sebastian Gierke",05032022,Sueddeutsche,politik
Wieder Autobrände in Berlin,05032022_15:27,https://www.sueddeutsche.de/panorama/braende-berlin-wieder-autobraende-in-berlin-dpa.urn-newsml-dpa-com-20090101-220305-99-398433,Brände - Berlin,dpa,,,05032022,Sueddeutsche,panorama
Wieder Solidaritätsaktionen in der Bundesliga,05032022_15:25,https://www.sueddeutsche.de/sport/fussball-muenchen-wieder-solidaritaetsaktionen-in-der-bundesliga-dpa.urn-newsml-dpa-com-20090101-220305-99-398343,Fußball - München,dpa,,,05032022,Sueddeutsche,sport
Claudia Pechstein in Hamar mit respektablem Abschneiden,05032022_15:24,https://www.sueddeutsche.de/sport/eisschnelllauf-claudia-pechstein-in-hamar-mit-respektablem-abschneiden-dpa.urn-newsml-dpa-com-20090101-220305-99-398366,Eisschnelllauf,dpa,,,05032022,Sueddeutsche,sport
Russland: Geleaste Flugzeuge sollen am Boden bleiben,05032022_15:21,https://www.sueddeutsche.de/politik/konflikte-russland-geleaste-flugzeuge-sollen-am-boden-bleiben-dpa.urn-newsml-dpa-com-20090101-220305-99-397559,Konflikte,dpa,,,05032022,Sueddeutsche,politik
Senior stürzt mit Auto in einen Bach,05032022_15:21,https://www.sueddeutsche.de/bayern/unfaelle-kulmbach-senior-stuerzt-mit-auto-in-einen-bach-dpa.urn-newsml-dpa-com-20090101-220305-99-398344,Unfälle - Kulmbach,dpa,,,05032022,Sueddeutsche,bayern
Autofahrer prallt gegen Baum und stirbt,05032022_15:20,https://www.sueddeutsche.de/bayern/unfaelle-konradsreuth-autofahrer-prallt-gegen-baum-und-stirbt-dpa.urn-newsml-dpa-com-20090101-220305-99-398345,Unfälle - Konradsreuth,dpa,,,05032022,Sueddeutsche,bayern
Fliegerbombe in Aalen erfolgreich entschärft,05032022_15:18,https://www.sueddeutsche.de/panorama/notfaelle-aalen-fliegerbombe-in-aalen-erfolgreich-entschaerft-dpa.urn-newsml-dpa-com-20090101-220304-99-388195,Notfälle - Aalen,dpa,,,05032022,Sueddeutsche,panorama
Tausende Flüchtlinge aus der Ukraine in Bayern,05032022_15:16,https://www.sueddeutsche.de/bayern/eu-muenchen-tausende-fluechtlinge-aus-der-ukraine-in-bayern-dpa.urn-newsml-dpa-com-20090101-220305-99-397189,EU - München,dpa,,,05032022,Sueddeutsche,bayern
St. Pauli siegt gegen Karlsruhe - Schalke unterliegt Rostock,05032022_15:13,https://www.sueddeutsche.de/sport/fussball-st-pauli-siegt-gegen-karlsruhe-schalke-unterliegt-rostock-dpa.urn-newsml-dpa-com-20090101-220305-99-397660,Fußball,dpa,,,05032022,Sueddeutsche,sport
Technik-Problem: US-Tarnkappenjets müssen in Berlin landen,05032022_15:12,https://www.sueddeutsche.de/politik/konflikte-schoenefeld-technik-problem-us-tarnkappenjets-muessen-in-berlin-landen-dpa.urn-newsml-dpa-com-20090101-220305-99-398232,Konflikte - Schönefeld,dpa,,,05032022,Sueddeutsche,politik
"""Die Friedensbewegung ist schwach, da gibt es nichts schönzureden""",05032022_15:11,https://www.sueddeutsche.de/muenchen/ebersberg/friedensbewegung-ebersberg-ukraine-werner-schmidt-koska-1.5540100,Ukraine-Krieg,,"Interview von Thorsten Rienth, Ebersberg","Werner Schmidt-Koska engagiert sich seit Jahrzehnten gegen den Krieg. Für ihn gibt es nur einen Grund, zu den Waffen zu greifen. Und viele Gründe, für Frieden auf die Straße zu gehen. Doch wieso hat das bis vor ein paar Tagen so lange niemand getan?
                        
                            Interview von Thorsten Rienth, Ebersberg",05032022,Sueddeutsche,muenchen
Die Sehnsucht war groß: Tanzflächen sind wieder frei,05032022_15:09,https://www.sueddeutsche.de/leben/freizeit-frankfurt-am-main-die-sehnsucht-war-gross-tanzflaechen-sind-wieder-frei-dpa.urn-newsml-dpa-com-20090101-220305-99-398175,Freizeit - Frankfurt am Main,dpa,,,05032022,Sueddeutsche,leben
Paypal klemmt Russland ab,05032022_15:08,https://www.sueddeutsche.de/politik/konflikte-paypal-klemmt-russland-ab-dpa.urn-newsml-dpa-com-20090101-220305-99-396353,Konflikte,dpa,,,05032022,Sueddeutsche,politik
RB-Vorstandschef: Erweiterte Sportführung vorstellbar,05032022_15:08,https://www.sueddeutsche.de/sport/fussball-rb-vorstandschef-erweiterte-sportfuehrung-vorstellbar-dpa.urn-newsml-dpa-com-20090101-220305-99-398105,Fußball,dpa,,,05032022,Sueddeutsche,sport
Fröling in der Nachspielzeit: Rostock schlägt Schalke 4:3,05032022_15:06,https://www.sueddeutsche.de/sport/fussball-gelsenkirchen-froeling-in-der-nachspielzeit-rostock-schlaegt-schalke-43-dpa.urn-newsml-dpa-com-20090101-220305-99-398155,Fußball - Gelsenkirchen,dpa,,,05032022,Sueddeutsche,sport
Dämpfer in neuen Trikots: Schalke unterliegt Rostock 3:4,05032022_15:05,https://www.sueddeutsche.de/sport/fussball-gelsenkirchen-daempfer-in-neuen-trikots-schalke-unterliegt-rostock-34-dpa.urn-newsml-dpa-com-20090101-220305-99-397935,Fußball - Gelsenkirchen,dpa,,,05032022,Sueddeutsche,sport
Proteste gegen den Ukraine-Krieg in mehreren Städten,05032022_15:04,https://www.sueddeutsche.de/politik/konflikte-hannover-proteste-gegen-den-ukraine-krieg-in-mehreren-staedten-dpa.urn-newsml-dpa-com-20090101-220305-99-396108,Konflikte - Hannover,dpa,,,05032022,Sueddeutsche,politik
Ukraine-Krieg: Wieder Solidaritätsaktionen in der Bundesliga,05032022_15:03,https://www.sueddeutsche.de/sport/fussball-ukraine-krieg-wieder-solidaritaetsaktionen-in-der-bundesliga-dpa.urn-newsml-dpa-com-20090101-220305-99-397966,Fußball,dpa,,,05032022,Sueddeutsche,sport
