Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
So bereitet man vegane Butter selber zu,14012022_14:07,https://www.sueddeutsche.de/wirtschaft/ernaehrung-so-bereitet-man-vegane-butter-selber-zu-dpa.urn-newsml-dpa-com-20090101-220114-99-711591,Ernährung,dpa,,,15012022,Sueddeutsche,wirtschaft
Verfassungsklage der AfD gegen Landtagssondersitzung,14012022_14:04,https://www.sueddeutsche.de/politik/landtag-kiel-verfassungsklage-der-afd-gegen-landtagssondersitzung-dpa.urn-newsml-dpa-com-20090101-220114-99-709025,Landtag - Kiel,dpa,,,15012022,Sueddeutsche,politik
Einer musste gehen,14012022_14:03,https://www.sueddeutsche.de/politik/bundestag-corona-afd-1.5507639,Bundestag,,Von Jens Schneider,"Der Bundestag hat sich strengere Corona-Regeln verordnet. Der AfD-Abgeordnete Joachim Wundrak musste den Auswärtigen Ausschuss verlassen, weil er nicht geimpft ist. Bis zur nächsten Sitzung soll es eine Lösung geben.
                        
                            Von Jens Schneider",15012022,Sueddeutsche,politik
"Lindner ruft ""Gestaltungsmodus"" aus",14012022_14:03,https://www.sueddeutsche.de/politik/bundesfinanzen-lindner-schulden-1.5507562,Bundesfinanzen,,"Von Henrike Roßbach, Berin","24,8 Milliarden Euro weniger Schulden als gedacht: Der Finanzminister bringt dem Bundestag gute News - und auch der Jugend, dem Klima, dem Steuerzahler.
                        
                            Von Henrike Roßbach, Berin",15012022,Sueddeutsche,politik
Augsburg setzt auf Rückkehr von Gouweleeuw und Finnbogason,14012022_14:02,https://www.sueddeutsche.de/bayern/fussball-augsburg-augsburg-setzt-auf-rueckkehr-von-gouweleeuw-und-finnbogason-dpa.urn-newsml-dpa-com-20090101-220114-99-711402,Fußball - Augsburg,dpa,,,15012022,Sueddeutsche,bayern
Möbus-Retrospektive als Highlight: Kunst aus 3D-Drucker,14012022_13:59,https://www.sueddeutsche.de/kultur/ausstellungen-hannover-moebus-retrospektive-als-highlight-kunst-aus-3d-drucker-dpa.urn-newsml-dpa-com-20090101-220114-99-711416,Ausstellungen - Hannover,dpa,,,15012022,Sueddeutsche,kultur
Ein Vorbild im Kampf gegen Rassismus,14012022_13:59,https://www.sueddeutsche.de/muenchen/wolfratshausen/wolfratshausen-berlin-ein-vorbild-im-kampf-gegen-rassismus-1.5505004,Wolfratshausen / Berlin,,"Von Claudia Koestler, Wolfratshausen / Berlin","Der Erinnerungsort Badehaus in Wolfratshausen-Waldram gehört zu den diesjährigen bundesweiten Preisträgern des Obermayer Awards.
                        
                            Von Claudia Koestler, Wolfratshausen / Berlin",15012022,Sueddeutsche,muenchen
Fischsterben: 31 Tonnen toter Tiere am Bodden gesammelt,14012022_13:59,https://www.sueddeutsche.de/wissen/umwelt-fischsterben-31-tonnen-toter-tiere-am-bodden-gesammelt-dpa.urn-newsml-dpa-com-20090101-220114-99-711447,Umwelt,dpa,,,15012022,Sueddeutsche,wissen
NRW-Handwerk: Lage der Branchen sehr unterschiedlich,14012022_13:55,https://www.sueddeutsche.de/service/handwerk-duesseldorf-nrw-handwerk-lage-der-branchen-sehr-unterschiedlich-dpa.urn-newsml-dpa-com-20090101-220114-99-711397,Handwerk - Düsseldorf,dpa,,,15012022,Sueddeutsche,service
Linke: Caffiers Deal im Untersuchungsausschuss behandeln,14012022_13:55,https://www.sueddeutsche.de/politik/parteien-schwerin-linke-caffiers-deal-im-untersuchungsausschuss-behandeln-dpa.urn-newsml-dpa-com-20090101-220114-99-711374,Parteien - Schwerin,dpa,,,15012022,Sueddeutsche,politik
