Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Zusammenstoß mit Lastwagen 60-jährige Autofahrerin stirbt,02022022_13:26,https://www.sueddeutsche.de/panorama/unfaelle-hettenleidelheim-zusammenstoss-mit-lastwagen-60-jaehrige-autofahrerin-stirbt-dpa.urn-newsml-dpa-com-20090101-220202-99-946520,Unfälle - Hettenleidelheim,dpa,,,03022022,Sueddeutsche
Meth geschmuggelt und verkauft: Neun Verdächtige in U-Haft,02022022_13:24,https://www.sueddeutsche.de/bayern/kriminalitaet-hof-meth-geschmuggelt-und-verkauft-neun-verdaechtige-in-u-haft-dpa.urn-newsml-dpa-com-20090101-220202-99-944667,Kriminalität - Hof,dpa,,,03022022,Sueddeutsche
Brennender LKW sorgt für Sperrung auf A7 nahe Hann. Münden,02022022_13:21,https://www.sueddeutsche.de/panorama/notfaelle-hann-muenden-brennender-lkw-sorgt-fuer-sperrung-auf-a7-nahe-hann-muenden-dpa.urn-newsml-dpa-com-20090101-220202-99-943842,Notfälle - Hann. Münden,dpa,,,03022022,Sueddeutsche
Fraktionsvorsitz: Söder stellt sich hinter Merz-Entscheidung,02022022_13:21,https://www.sueddeutsche.de/bayern/parteien-berlin-fraktionsvorsitz-soeder-stellt-sich-hinter-merz-entscheidung-dpa.urn-newsml-dpa-com-20090101-220202-99-946400,Parteien - Berlin,dpa,,,03022022,Sueddeutsche
Daniel Altmaier beim Turnier in Pune im Viertelfinale,02022022_13:19,https://www.sueddeutsche.de/sport/tennis-daniel-altmaier-beim-turnier-in-pune-im-viertelfinale-dpa.urn-newsml-dpa-com-20090101-220202-99-943780,Tennis,dpa,,,03022022,Sueddeutsche
Jugendliche sollen Polizei gespielt und Mann gefesselt haben,02022022_13:19,https://www.sueddeutsche.de/bayern/kriminalitaet-kitzingen-jugendliche-sollen-polizei-gespielt-und-mann-gefesselt-haben-dpa.urn-newsml-dpa-com-20090101-220202-99-946401,Kriminalität - Kitzingen,dpa,,,03022022,Sueddeutsche
Nominierung für Dramatikpreis: Elfriede Jelinek dabei,02022022_13:18,https://www.sueddeutsche.de/kultur/theater-muelheim-an-der-ruhr-nominierung-fuer-dramatikpreis-elfriede-jelinek-dabei-dpa.urn-newsml-dpa-com-20090101-220202-99-946388,Theater - Mülheim an der Ruhr,dpa,,,03022022,Sueddeutsche
Würden Sie Kleinkinder gegen Corona impfen lassen?,02022022_13:17,https://www.sueddeutsche.de/gesundheit/kinderimpfung-omikron-biontech-1.5520161,Leserdiskussion,,,"Kinder, die sich mit Omikron infizieren, haben nur im Einzelfall schwere Verläufe oder Long-Covid-Symptome. Die allermeisten Infektionen verlaufen sehr mild. Nun könnte der Biontech-Impfstoff bald für Kinder unter fünf Jahren zugelassen werden.",03022022,Sueddeutsche
Schwarzer Football-Coach verklagt NFL wegen Diskriminierung,02022022_13:17,https://www.sueddeutsche.de/sport/american-football-schwarzer-football-coach-verklagt-nfl-wegen-diskriminierung-dpa.urn-newsml-dpa-com-20090101-220202-99-937729,American Football,dpa,,,03022022,Sueddeutsche
Nominiert sein ist noch nicht alles,02022022_13:16,https://www.sueddeutsche.de/sport/olympia-2022-peking-deutsches-team-1.5519939,Deutsches Olympia-Team,,Von Saskia Aleythe,"149 Athletinnen und Athleten stehen im Kader für die Peking-Spiele - doch Corona könnte die Wettbewerbe durcheinanderwirbeln. Wer hat trotzdem gute Aussichten auf eine Medaille?
                        
                            Von Saskia Aleythe",03022022,Sueddeutsche
