Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
In NRW dürfen wieder 750 Zuschauer in Sportarenen,11012022_18:00,https://www.sueddeutsche.de/sport/fussball-duesseldorf-in-nrw-duerfen-wieder-750-zuschauer-in-sportarenen-dpa.urn-newsml-dpa-com-20090101-220111-99-669085,Fußball - Düsseldorf,dpa,,,12012022,Sueddeutsche
Dichterin Maya Angelou wird erste Schwarze auf US-Vierteldollarmünze,11012022_17:59,https://www.sueddeutsche.de/kultur/maya-angelou-us-quartermuenzen-1.5505568,Hommage des US-Finanzministeriums,,,"Das Abbild der Poetin, Kämpferin in der Bürgerrechtsbewegung und Bestseller-Autorin, schmückt die neuen amerikanischen ""Quarters"".",12012022,Sueddeutsche
Der Gipfel des Ärgers,11012022_17:55,https://www.sueddeutsche.de/bayern/mittenwald-karwendelbahn-gericht-1.5505508,Mittenwald,,"Von Matthias Köpf, Mittenwald","Vergleich mit NS-Propagandaminister Joseph Goebbels und Hausverbot für Baukontrolleure: Die Karwendelbahn AG und ihr Mehrheitseigentümer Wolfgang Reich beschäftigen immer wieder Gerichte und Behörden. 
                        
                            Von Matthias Köpf, Mittenwald",12012022,Sueddeutsche
400 neue Stellen im Gesundheitsdienst,11012022_17:55,https://www.sueddeutsche.de/bayern/gesundheitsdienst-neue-stellen-corona-pandemie-1.5505164,Vorgaben übertroffen,,,Pandemie legt Defizite in Bayerns Gesundheitsämtern offen. Deswegen sollen die Jobs attraktiver werden. Erste Erfolge gibt es.,12012022,Sueddeutsche
Der Weg zu Dürer,11012022_17:55,https://www.sueddeutsche.de/bayern/nuernberg-albrecht-duerer-buch-1.5505191,Historischer Spaziergang,,"Von Olaf Przybilla, Nürnberg","Ein alter Meister ist Stolz der Stadt Nürnberg - und deren offene Wunde. Ein Buch begibt sich auf Spurensuche zu einem Mann, der knapp fünf Jahrhunderte nach seinem Tod immer noch Debatten auslöst.
                        
                            Von Olaf Przybilla, Nürnberg",12012022,Sueddeutsche
Mehrheit gegen aufgeblähten Landtag,11012022_17:55,https://www.sueddeutsche.de/bayern/landtag-fdp-csu-abgeordnete-1.5505094,Umfrage im Auftrag der FDP,,,"FDP fordert Stimmkreisreform, um noch mehr Abgeordnete zu verhindern. CSU und FW verweigern das bislang.",12012022,Sueddeutsche
Wohnen im Tiefstparterre,11012022_17:55,https://www.sueddeutsche.de/bayern/bayern-wohnen-immobilien-1.5505043,Mitten in Bayern,,Glosse von Maximilian Gerl,"Mit dem Schaffen bezahlbaren Wohnraums tut sich nicht nur der Freistaat weiter schwer. Um den Anstieg der Mieten zu begrenzen, bleibt daher eigentlich nur eine Richtung.
                        
                            Glosse von Maximilian Gerl",12012022,Sueddeutsche
Rassistischer Anschlag?,11012022_17:55,https://www.sueddeutsche.de/bayern/kempten-brandanschlag-1.5505198,Cold Case,,,"Ermittler hoffen auf neue Hinweise in einem 30 Jahre alten Fall, bei dem ein Fünfjähriger ums Leben kam.",12012022,Sueddeutsche
Zwei Gondeln für den Ochsenkopf,11012022_17:55,https://www.sueddeutsche.de/bayern/seilbahn-ochsenkopf-bund-naturschutz-fichtelgebirge-1.5505088,Tourismus,,,Für knapp 33 Millionen Euro soll im Fichtelgebirge eine Seilbahnanlage entstehen. Den geplanten Ganzjahresbetrieb befürwortet selbst der Bund Naturschutz. Trotzdem gibt es Einwände.,12012022,Sueddeutsche
Wieder ohne Bibbern,11012022_17:55,https://www.sueddeutsche.de/muenchen/operfestspiele-erstverkauf-karten-muenchen-1.5505253,Opernfestspiele,,,"Um lange Schlangen zu vermeiden, läuft der Vorverkauf auch heuer nur schriftlich.",12012022,Sueddeutsche
