Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
"""Präsident Putin, mein alter Freund""",15122021_17:45,https://www.sueddeutsche.de/politik/videogespraech-putin-xi-jinping-1.5488884,Videogespräch,,Von Silke Bigalke,"Die Staatschefs von Russland und China demonstrieren der Welt, wie wenig Wert sie auf Partner im Westen legen. Moskau spricht von einem ""neuen Modell der Zusammenarbeit"". 
                        
                            Von Silke Bigalke",15122021,Sueddeutsche
Software gegen falsche Impfpässe,15122021_17:45,https://www.sueddeutsche.de/politik/apotheken-software-gegen-falsche-impfpaesse-1.5488645,Apotheken,,,,15122021,Sueddeutsche
Bundesgerichtshof verwirft Revision im NSU-Prozess,15122021_17:45,https://www.sueddeutsche.de/politik/nsu-prozess-bundesgerichtshof-rechtsextremismus-1.5488778,Rechtsextremismus,,"Von Wolfgang Janisch, Karlsruhe","Der Helfer André Eminger war beim NSU-Prozess günstig davongekommen. Nun hat der Bundesgerichtshof das Urteil bestätigt und zieht damit einen Schlussstrich unter die beispiellose Mordserie.
                        
                            Von Wolfgang Janisch, Karlsruhe",15122021,Sueddeutsche
"Die Linke, der Porsche und die Umwelt",15122021_17:45,https://www.sueddeutsche.de/politik/klaus-ernst-porsche-1.5488774,Die Linke,,"Von Boris Herrmann, Berlin","Die Linke darf den Vorsitzenden des Klimaausschusses im Bundestag stellen - nun gibt es Ärger, denn das soll Klaus Ernst machen. Der fährt privat Porsche.
                        
                            Von Boris Herrmann, Berlin",15122021,Sueddeutsche
Ampel will Stühle verrücken,15122021_17:45,https://www.sueddeutsche.de/politik/bundestag-ampel-will-stuehle-verruecken-1.5488647,Bundestag,,,,15122021,Sueddeutsche
Bundeswehr verabschiedet Annegret Kramp-Karrenbauer,15122021_17:45,https://www.sueddeutsche.de/politik/bundeswehr-kramp-karrenbauer-zapfenstreich-1.5488709,Verteidigungsministerin,,"Von Mike Szymanski, Berlin","Mit einem Großen Zapfenstreich, wie man ihn neulich schon bei Angela Merkel erleben konnte, erweist die Truppe der Saarländerin militärische Ehren. 
                        
                            Von Mike Szymanski, Berlin",15122021,Sueddeutsche
"Schikanierte Reporterin, die partout nicht schweigen will",15122021_17:45,https://www.sueddeutsche.de/meinung/vietnam-pham-doan-trang-pressefreiheit-1.5488415,Vietnam,,Von David Pfeifer,"Pham Doan Trang legt sich seit 20 Jahren mit der autokratischen Einheitspartei in Vietnam an - und bezahlt das nun mit neun Jahren Haft.
                        
                            Von David Pfeifer",15122021,Sueddeutsche
Personenschutz,15122021_17:45,https://www.sueddeutsche.de/meinung/aktuelles-lexikon-personenschutz-1.5488728,Aktuelles Lexikon,,Von Joachim Käppner,"Wer sich bedroht fühlt, der ruft nach der Polizei. Aber was, wenn zu viele auf einmal rufen?
                        
                            Von Joachim Käppner",15122021,Sueddeutsche
Eine Frage der Glaubwürdigkeit,15122021_17:45,https://www.sueddeutsche.de/meinung/afd-innenausschuss-bundestag-1.5488810,AfD,,Kommentar von Constanze von Bullion,"Meinung
                    
                    
                        Ein selbstbewusstes Parlament kann und muss Demokratiefeinden beikommen, ohne je nach Bedarf die Spielregeln zu ändern. Wie die Regierungsparteien bei der Besetzung des Innenausschusses versagt haben
                        
                            Kommentar von Constanze von Bullion",15122021,Sueddeutsche
Und die Brüder schweigen,15122021_17:45,https://www.sueddeutsche.de/meinung/kardinal-gerhard-ludwig-mueller-katholische-kirche-gleichschaltung-antisemitismus-1.5488727,Katholische Kirche,,Kommentar von Annette Zoch,"Meinung
                    
                    
                        Kardinal Gerhard Ludwig Müller spricht von ""Gleichschaltung"" und benutzt antisemitische Chiffren. Die Kirche darf das nicht unwidersprochen lassen.
                        
                            Kommentar von Annette Zoch",15122021,Sueddeutsche
