Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Inzidenzen in Hessen steigen: Fast 19.000 Neuinfektionen,02022022_11:49,https://www.sueddeutsche.de/gesundheit/gesundheit-wiesbaden-inzidenzen-in-hessen-steigen-fast-19000-neuinfektionen-dpa.urn-newsml-dpa-com-20090101-220202-99-944894,Gesundheit - Wiesbaden,dpa,,,03022022,Sueddeutsche,gesundheit
Mahner gegen Treiber: NRW diskutiert über Corona-Öffnungen,02022022_11:46,https://www.sueddeutsche.de/gesundheit/gesundheit-duesseldorf-mahner-gegen-treiber-nrw-diskutiert-ueber-corona-oeffnungen-dpa.urn-newsml-dpa-com-20090101-220202-99-943653,Gesundheit - Düsseldorf,dpa,,,03022022,Sueddeutsche,gesundheit
LBV klagt weiter gegen Mountainbike-Park im Fichtelgebirge,02022022_11:46,https://www.sueddeutsche.de/bayern/freizeit-martinlamitzer-forst-nord-lbv-klagt-weiter-gegen-mountainbike-park-im-fichtelgebirge-dpa.urn-newsml-dpa-com-20090101-220202-99-943361,Freizeit - Martinlamitzer Forst-Nord,dpa,,,03022022,Sueddeutsche,bayern
"""Augsburger Allgemeine"": Cordova vor Wechsel in die USA",02022022_11:46,https://www.sueddeutsche.de/sport/fussball-augsburger-allgemeine-cordova-vor-wechsel-in-die-usa-dpa.urn-newsml-dpa-com-20090101-220202-99-944813,Fußball,dpa,,,03022022,Sueddeutsche,sport
Steigende Zinsen treiben Bankaktien an,02022022_11:45,https://www.sueddeutsche.de/wirtschaft/banken-steigende-zinsen-treiben-bankaktien-an-dpa.urn-newsml-dpa-com-20090101-220202-99-944708,Banken,dpa,,,03022022,Sueddeutsche,wirtschaft
Mehr Tempo beim Impfstoff für Kleinkinder,02022022_11:45,https://www.sueddeutsche.de/gesundheit/corona-impfung-kleinkinder-1.5520367,Omikron-Welle,,Von Hanno Charisius,"Obwohl noch nicht alle Testreihen abgeschlossen sind, prüft die US-Arzneimittelbehörde FDA bereits erste Daten zur Covid-Impfung für Kinder unter fünf Jahren.
                        
                            Von Hanno Charisius",03022022,Sueddeutsche,gesundheit
Höchststand: 8755 Corona-Neuinfektionen in Brandenburg,02022022_11:44,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-hoechststand-8755-corona-neuinfektionen-in-brandenburg-dpa.urn-newsml-dpa-com-20090101-220202-99-944821,Gesundheit - Potsdam,dpa,,,03022022,Sueddeutsche,gesundheit
Für ein paar Nüsse - Krähen sammeln Müll,02022022_11:42,https://www.sueddeutsche.de/panorama/fuer-ein-paar-nuesse-kraehen-sammeln-muell-1.5520365,,,,"Video
                    
                    
                        Ein schwedisches Unternehmen testet ein System, in dem Wildvögel beim Aufsammeln von Zigarettenstummeln helfen.",03022022,Sueddeutsche,panorama
Mutmaßliche Drogenschmuggler bei Kontrolle festgenommen,02022022_11:42,https://www.sueddeutsche.de/panorama/kriminalitaet-nottuln-mutmassliche-drogenschmuggler-bei-kontrolle-festgenommen-dpa.urn-newsml-dpa-com-20090101-220202-99-944780,Kriminalität - Nottuln,dpa,,,03022022,Sueddeutsche,panorama
Zahl gemeldeter PCR-Tests und Positivquote steigt weiter,02022022_11:41,https://www.sueddeutsche.de/gesundheit/krankheiten-schwerin-zahl-gemeldeter-pcr-tests-und-positivquote-steigt-weiter-dpa.urn-newsml-dpa-com-20090101-220202-99-944759,Krankheiten - Schwerin,dpa,,,03022022,Sueddeutsche,gesundheit
CSU attackiert Ampel: Bundesregierung hat nicht geliefert,02022022_11:41,https://www.sueddeutsche.de/bayern/parteien-berlin-csu-attackiert-ampel-bundesregierung-hat-nicht-geliefert-dpa.urn-newsml-dpa-com-20090101-220202-99-944669,Parteien - Berlin,dpa,,,03022022,Sueddeutsche,bayern
"Müller: ""Vom Verein ist niemand auf mich zugekommen""",02022022_11:41,https://www.sueddeutsche.de/sport/fc-bayern-mueller-vom-verein-ist-niemand-auf-mich-zugekommen-1.5520229,FC Bayern,,Meldungen im Überblick,"Der Münchner Offensivspieler spricht über seine Vertragsverlängerung. Das NFL-Team aus Washington läuft künftig unter dem Namen ""Commanders"" auf.
                        
                            Meldungen im Überblick",03022022,Sueddeutsche,sport
Wegbereiter der Moderne: Liebermann-Ausstellung im Museum,02022022_11:40,https://www.sueddeutsche.de/kultur/kunst-duesseldorf-wegbereiter-der-moderne-liebermann-ausstellung-im-museum-dpa.urn-newsml-dpa-com-20090101-220202-99-944434,Kunst - Düsseldorf,dpa,,,03022022,Sueddeutsche,kultur
Nürnberg wieder mit Flugverbindung nach London Heathrow,02022022_11:39,https://www.sueddeutsche.de/bayern/luftverkehr-nuernberg-nuernberg-wieder-mit-flugverbindung-nach-london-heathrow-dpa.urn-newsml-dpa-com-20090101-220202-99-944670,Luftverkehr - Nürnberg,dpa,,,03022022,Sueddeutsche,bayern
Thüringer Landtag gedenkt der getöteten Polizisten,02022022_11:39,https://www.sueddeutsche.de/politik/landtag-erfurt-thueringer-landtag-gedenkt-der-getoeteten-polizisten-dpa.urn-newsml-dpa-com-20090101-220202-99-944732,Landtag - Erfurt,dpa,,,03022022,Sueddeutsche,politik
Neuer Generalvikar Sascha-Philipp Geißler in Amt eingeführt,02022022_11:38,https://www.sueddeutsche.de/panorama/kirche-hamburg-neuer-generalvikar-sascha-philipp-geissler-in-amt-eingefuehrt-dpa.urn-newsml-dpa-com-20090101-220202-99-944691,Kirche - Hamburg,dpa,,,03022022,Sueddeutsche,panorama
Unions Julian Ryerson positiv auf Corona getestet,02022022_11:36,https://www.sueddeutsche.de/sport/fussball-berlin-unions-julian-ryerson-positiv-auf-corona-getestet-dpa.urn-newsml-dpa-com-20090101-220202-99-943847,Fußball - Berlin,dpa,,,03022022,Sueddeutsche,sport
Mutmaßliche Anschlagsvorbereitungen wird Thema im Ausschuss,02022022_11:36,https://www.sueddeutsche.de/panorama/terrorismus-duesseldorf-mutmassliche-anschlagsvorbereitungen-wird-thema-im-ausschuss-dpa.urn-newsml-dpa-com-20090101-220202-99-944239,Terrorismus - Düsseldorf,dpa,,,03022022,Sueddeutsche,panorama
Zahl der Apotheken geht weiter zurück,02022022_11:35,https://www.sueddeutsche.de/gesundheit/gesundheit-zahl-der-apotheken-geht-weiter-zurueck-dpa.urn-newsml-dpa-com-20090101-220202-99-944451,Gesundheit,dpa,,,03022022,Sueddeutsche,gesundheit
"2,3 Millionen Euro Fördergeld für sächsische Krebsforschung",02022022_11:35,https://www.sueddeutsche.de/wissen/forschung-dresden-23-millionen-euro-foerdergeld-fuer-saechsische-krebsforschung-dpa.urn-newsml-dpa-com-20090101-220202-99-944619,Forschung - Dresden,dpa,,,03022022,Sueddeutsche,wissen
Trixie und Erwin sollen Baumstachler-Zucht fortsetzen,02022022_11:35,https://www.sueddeutsche.de/leben/tiere-magdeburg-trixie-und-erwin-sollen-baumstachler-zucht-fortsetzen-dpa.urn-newsml-dpa-com-20090101-220202-99-944647,Tiere - Magdeburg,dpa,,,03022022,Sueddeutsche,leben
Der Fall Eberl und die Folgen: Der Profifußball unter Druck,02022022_11:34,https://www.sueddeutsche.de/sport/fussball-der-fall-eberl-und-die-folgen-der-profifussball-unter-druck-dpa.urn-newsml-dpa-com-20090101-220201-99-935273,Fußball,dpa,,,03022022,Sueddeutsche,sport
