Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
"Botschafter: Deutsche Haltung zu Waffenlieferungen ""feige""",11032022_06:08,https://www.sueddeutsche.de/politik/konflikte-botschafter-deutsche-haltung-zu-waffenlieferungen-feige-dpa.urn-newsml-dpa-com-20090101-220310-99-471086,Konflikte,dpa,,,11032022,Sueddeutsche,politik
Daniel Donskoy versteht seine Eltern immer mehr,11032022_06:06,https://www.sueddeutsche.de/leben/leute-koeln-daniel-donskoy-versteht-seine-eltern-immer-mehr-dpa.urn-newsml-dpa-com-20090101-220311-99-474058,Leute - Köln,dpa,,,11032022,Sueddeutsche,leben
Frau stirbt nach Autounfall im Krankenhaus,11032022_06:04,https://www.sueddeutsche.de/bayern/unfaelle-erding-frau-stirbt-nach-autounfall-im-krankenhaus-dpa.urn-newsml-dpa-com-20090101-220311-99-474045,Unfälle - Erding,dpa,,,11032022,Sueddeutsche,bayern
Hessen: Es bleibt frühlingshaft,11032022_06:03,https://www.sueddeutsche.de/panorama/wetter-offenbach-am-main-hessen-es-bleibt-fruehlingshaft-dpa.urn-newsml-dpa-com-20090101-220311-99-474025,Wetter - Offenbach am Main,dpa,,,11032022,Sueddeutsche,panorama
Enge Spiele für deutsche Profis - Stützle mit Vorlage,11032022_06:02,https://www.sueddeutsche.de/sport/eishockey-enge-spiele-fuer-deutsche-profis-stuetzle-mit-vorlage-dpa.urn-newsml-dpa-com-20090101-220311-99-473415,Eishockey,dpa,,,11032022,Sueddeutsche,sport
Sonne und Wolken am Wochenende in Niedersachsen,11032022_06:00,https://www.sueddeutsche.de/panorama/wetter-hannover-sonne-und-wolken-am-wochenende-in-niedersachsen-dpa.urn-newsml-dpa-com-20090101-220311-99-474011,Wetter - Hannover,dpa,,,11032022,Sueddeutsche,panorama
"Rheinland-Pfalz, Saarland: Milde Temperaturen, mehr Wolken",11032022_05:58,https://www.sueddeutsche.de/panorama/wetter-offenbach-am-main-rheinland-pfalz-saarland-milde-temperaturen-mehr-wolken-dpa.urn-newsml-dpa-com-20090101-220311-99-473999,Wetter - Offenbach am Main,dpa,,,11032022,Sueddeutsche,panorama
Mix aus Sonne und Wolken in NRW,11032022_05:56,https://www.sueddeutsche.de/panorama/wetter-essen-mix-aus-sonne-und-wolken-in-nrw-dpa.urn-newsml-dpa-com-20090101-220311-99-473990,Wetter - Essen,dpa,,,11032022,Sueddeutsche,panorama
Corona-Update: Inzidenz steigt neunten Tag in Folge,11032022_05:56,https://www.sueddeutsche.de/panorama/corona-update-inzidenz-steigt-neunten-tag-in-folge-1.5545472,,,,"Video
                    
                    
                        Das Robert Koch-Institut (RKI) hat den neunten Tag in Folge einen Anstieg der bundesweiten Sieben-Tage-Inzidenz gemeldet. Das RKI gab den Wert der Neuinfektionen pro 100 000 Einwohner und Woche am Freitagmorgen mit 1439,0 an.",11032022,Sueddeutsche,panorama
Mitgliederzahlen der Vereine im Nordosten erholen sich,11032022_05:55,https://www.sueddeutsche.de/sport/sport-schwerin-mitgliederzahlen-der-vereine-im-nordosten-erholen-sich-dpa.urn-newsml-dpa-com-20090101-220311-99-473983,Sport - Schwerin,dpa,,,11032022,Sueddeutsche,sport
Sonniges Wochenende in Mecklenburg-Vorpommern,11032022_05:54,https://www.sueddeutsche.de/panorama/wetter-schwerin-sonniges-wochenende-in-mecklenburg-vorpommern-dpa.urn-newsml-dpa-com-20090101-220311-99-473975,Wetter - Schwerin,dpa,,,11032022,Sueddeutsche,panorama
