Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
"Duplantis wieder Schwedens ""Sportler des Jahres""",18012022_09:27,https://www.sueddeutsche.de/sport/leichtathletik-duplantis-wieder-schwedens-sportler-des-jahres-dpa.urn-newsml-dpa-com-20090101-220118-99-750960,Leichtathletik,dpa,,,18012022,Sueddeutsche
Spielzeugtrend: Corona hält in Kinderzimmer Einzug,18012022_09:26,https://www.sueddeutsche.de/wirtschaft/spielwaren-spielzeugtrendcorona-haelt-in-kinderzimmer-einzug-dpa.urn-newsml-dpa-com-20090101-220118-99-750568,Spielwaren,dpa,,,18012022,Sueddeutsche
Sven Lehmann: Erster Queer-Beauftragter der Regierung,18012022_09:26,https://www.sueddeutsche.de/politik/sven-lehmann-erster-queer-beauftragter-der-regierung-1.5509789,,,,"Video
                    
                    
                        Laut Sven Lehmann, ist es durchaus noch ein langer Weg, bis das ganze Land in seiner bunten Vielfalt vertreten sein wird. Aber wir sind auf einem guten Weg.",18012022,Sueddeutsche
Baerbock für Antrittsbesuch in Moskau,18012022_09:25,https://www.sueddeutsche.de/politik/ukraine-russland-aktuell-1.5509758,Konflikt mit Russland,,Aktuelle Entwickungen zur Ukraine-Krise,"Ukraine-Konflikt, Nord Stream 2, Tiergarten-Mord - die deutsch-russischen Beziehungen sind belastet. Die neue Außenministerin setzt trotzdem auf Dialog und trifft ihren Amtskollegen Lawrow
                        
                            Aktuelle Entwickungen zur Ukraine-Krise",18012022,Sueddeutsche
Fahrgast schlägt Busfahrer ins Gesicht,18012022_09:20,https://www.sueddeutsche.de/panorama/kriminalitaet-floh-seligenthal-fahrgast-schlaegt-busfahrer-ins-gesicht-dpa.urn-newsml-dpa-com-20090101-220118-99-750032,Kriminalität - Floh-Seligenthal,dpa,,,18012022,Sueddeutsche
Mehr als 70.000 Menschen protestieren gegen Corona-Maßnahmen,18012022_09:19,https://www.sueddeutsche.de/panorama/mehr-als-70-000-menschen-protestieren-gegen-corona-massnahmen-1.5509785,,,,"Video
                    
                    
                        Wieder gehen Montagabend Zehntausende auf die Straße. Die meisten protestieren gegen die Vorgaben zum Schutz gegen das Coronavirus, andere verteidigen die Maßnahmen. Gefordert ist in erster Linie die Polizei.",18012022,Sueddeutsche
Hochschule Merseburg informiert digital über Masterstudium,18012022_09:19,https://www.sueddeutsche.de/bildung/hochschulen-hochschule-merseburg-informiert-digital-ueber-masterstudium-dpa.urn-newsml-dpa-com-20090101-220118-99-750299,Hochschulen,dpa,,,18012022,Sueddeutsche
Mehr Flüchtlinge bei illegaler Einreise festgestellt,18012022_09:17,https://www.sueddeutsche.de/politik/migration-pirna-mehr-fluechtlinge-bei-illegaler-einreise-festgestellt-dpa.urn-newsml-dpa-com-20090101-220118-99-750824,Migration - Pirna,dpa,,,18012022,Sueddeutsche
Naturschützer wollen gegen Abschuss des Wolfes klagen,18012022_09:13,https://www.sueddeutsche.de/bayern/tiere-traunstein-naturschuetzer-wollen-gegen-abschuss-des-wolfes-klagen-dpa.urn-newsml-dpa-com-20090101-220118-99-750830,Tiere - Traunstein,dpa,,,18012022,Sueddeutsche
Zusammenstoß auf Autobahn A10 bei glatter Fahrbahn,18012022_09:06,https://www.sueddeutsche.de/panorama/unfaelle-zusammenstoss-auf-autobahn-a10-bei-glatter-fahrbahn-dpa.urn-newsml-dpa-com-20090101-220118-99-750772,Unfälle,dpa,,,18012022,Sueddeutsche
