Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Ostdeutsche Wirtschaft pessimistischer für kommende Monate,10012022_10:21,https://www.sueddeutsche.de/wirtschaft/konjunktur-dresden-ostdeutsche-wirtschaft-pessimistischer-fuer-kommende-monate-dpa.urn-newsml-dpa-com-20090101-220110-99-653754,Konjunktur - Dresden,dpa,,,10012022,Sueddeutsche,wirtschaft
Naturkatastrophen richten 280 Milliarden Dollar Schaden an,10012022_10:21,https://www.sueddeutsche.de/panorama/katastrophen-naturkatastrophen-richten-280-milliarden-dollar-schaden-an-dpa.urn-newsml-dpa-com-20090101-220110-99-653703,Katastrophen,dpa,,,10012022,Sueddeutsche,panorama
Verdi: Rund 400 Amazon-Beschäftige legen Arbeit nieder,10012022_10:19,https://www.sueddeutsche.de/wirtschaft/dienstleistungen-leipzig-verdi-rund-400-amazon-beschaeftige-legen-arbeit-nieder-dpa.urn-newsml-dpa-com-20090101-220110-99-651298,Dienstleistungen - Leipzig,dpa,,,10012022,Sueddeutsche,wirtschaft
Haussperling ist am häufigsten gesichtete Wintervogel,10012022_10:18,https://www.sueddeutsche.de/leben/tiere-leipzig-haussperling-ist-am-haeufigsten-gesichtete-wintervogel-dpa.urn-newsml-dpa-com-20090101-220110-99-653816,Tiere - Leipzig,dpa,,,10012022,Sueddeutsche,leben
Prominente Redner bei Unterhachinger Kundgebung,10012022_10:16,https://www.sueddeutsche.de/muenchen/landkreismuenchen/landkreis-muenchen-corona-news-inzidenz-spaziergaenge-demonstration-1.4850845,Newsblog zum Coronavirus im Landkreis München,,Von SZ-Autoren,"Bei der Demo für die Einhaltung der Corona-Maßnahmen treten Ministerin Kerstin Schreyer und der Kabarettist Christian Springer auf. Die Inzidenz steigt auf 371,2.
                        
                            Von SZ-Autoren",10012022,Sueddeutsche,muenchen
Spiele-Abo Ubisoft+ kommt auf die Xbox,10012022_10:16,https://www.sueddeutsche.de/wissen/technik-spiele-abo-ubisoft-kommt-auf-die-xbox-dpa.urn-newsml-dpa-com-20090101-220106-99-614369,Technik,dpa,,,10012022,Sueddeutsche,wissen
Welche Corona-Regeln jetzt in Bayern gelten,10012022_10:15,https://www.sueddeutsche.de/bayern/corona-regeln-bayern-aktuell-testpflicht-kitas-1.4878824,Corona-Krise im Freistaat,,Von Max Ferstl und Kassian Stroh,"Testpflicht für Kita-Kinder, strengere Kontaktbeschränkungen für Geimpfte und Genesene, Lockerungen für Kinder unter 14 Jahren. Ein Überblick über die aktuellen Corona-Maßnahmen.
                        
                            Von Max Ferstl und Kassian Stroh",10012022,Sueddeutsche,bayern
Corona-Inzidenz steigt in Brandenburg weiter,10012022_10:14,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-corona-inzidenz-steigt-in-brandenburg-weiter-dpa.urn-newsml-dpa-com-20090101-220110-99-653755,Gesundheit - Potsdam,dpa,,,10012022,Sueddeutsche,gesundheit
Schimmelpfennig: Nehmen Bedenken zu Test-Manipulation ernst,10012022_10:13,https://www.sueddeutsche.de/sport/olympia-schimmelpfennig-nehmen-bedenken-zu-test-manipulation-ernst-dpa.urn-newsml-dpa-com-20090101-220110-99-653712,Olympia,dpa,,,10012022,Sueddeutsche,sport
Vorteil: Djokovic,10012022_10:13,https://www.sueddeutsche.de/sport/vorteil-djokovic-1.5504132,,,,"Video
                    
                    
                        Ein Richter in Melbourne erklärte am Montag, der Tennis-Star Novak Djokovic dürfe das Einreisegebäude verlassen, in dem er seit Donnerstag festgehalten wurde.",10012022,Sueddeutsche,sport
Eine verletzte Person bei Brand eines Wohnhauses,10012022_10:12,https://www.sueddeutsche.de/panorama/braende-wurster-nordseekueste-eine-verletzte-person-bei-brand-eines-wohnhauses-dpa.urn-newsml-dpa-com-20090101-220110-99-653724,Brände - Wurster Nordseeküste,dpa,,,10012022,Sueddeutsche,panorama
"""Wenn Sie sich ein gutes Auto leisten können, dann können Sie sich auch eine Insel leisten""",10012022_10:11,https://www.sueddeutsche.de/politik/immobilien-privatinsel-hamburg-farhad-vladi-1.5503736,Luxus,,"Von Peter Burghardt, Hamburg","Mit 23 kaufte Farhad Vladi auf den Seychellen Cousine Island. Seitdem vermittelt er solche Privatinseln an Träumer mit viel Geld. Über den Handel mit den Paradiesen dieser Welt.
                        
                            Von Peter Burghardt, Hamburg",10012022,Sueddeutsche,politik
Regisseur Serebrennikow überraschend zu Proben in Hamburg,10012022_10:09,https://www.sueddeutsche.de/kultur/theater-hamburg-regisseur-serebrennikow-ueberraschend-zu-proben-in-hamburg-dpa.urn-newsml-dpa-com-20090101-220110-99-653156,Theater - Hamburg,dpa,,,10012022,Sueddeutsche,kultur
Ehepaar getötet - Partner der Tochter tatverdächtig,10012022_10:09,https://www.sueddeutsche.de/panorama/kriminalitaet-ehepaar-getoetet-partner-der-tochter-tatverdaechtig-dpa.urn-newsml-dpa-com-20090101-220110-99-652363,Kriminalität,dpa,,,10012022,Sueddeutsche,panorama
Polizei warnt vor neuer Betrugsmasche beim Online-Banking,10012022_10:08,https://www.sueddeutsche.de/panorama/kriminalitaet-eckernfoerde-polizei-warnt-vor-neuer-betrugsmasche-beim-online-banking-dpa.urn-newsml-dpa-com-20090101-220110-99-653616,Kriminalität - Eckernförde,dpa,,,10012022,Sueddeutsche,panorama
Mutmaßliche Drogenhändler in Thailand festgenommen,10012022_10:08,https://www.sueddeutsche.de/bayern/kriminalitaet-mistelbach-mutmassliche-drogenhaendler-in-thailand-festgenommen-dpa.urn-newsml-dpa-com-20090101-220110-99-652936,Kriminalität - Mistelbach,dpa,,,10012022,Sueddeutsche,bayern
Gote: Senat setzt strengere Regeln für Gastronomie rasch um,10012022_10:03,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-gote-senat-setzt-strengere-regeln-fuer-gastronomie-rasch-um-dpa.urn-newsml-dpa-com-20090101-220110-99-653548,Gesundheit - Berlin,dpa,,,10012022,Sueddeutsche,gesundheit
Corona-Zahlen in Niedersachsen steigen weiter,10012022_10:00,https://www.sueddeutsche.de/gesundheit/gesundheit-hannover-corona-zahlen-in-niedersachsen-steigen-weiter-dpa.urn-newsml-dpa-com-20090101-220110-99-653504,Gesundheit - Hannover,dpa,,,10012022,Sueddeutsche,gesundheit
Inflation: Wie muss die EZB reagieren?,10012022_10:00,https://www.sueddeutsche.de/politik/inflation-ezb-christine-lagarde-1.5504117,Leserdiskussion,,,"Die Inflation lag 2021 in Deutschland bei 3,1 Prozent, im Dezember sogar bei fünf Prozent. Für viele Menschen bedeutet dies eine Gefahr für den eigenen Wohlstand. Die EZB müsse jetzt aktiv gegensteuern, kommentiert SZ-Chefredakteurin Judith Wittwer.",10012022,Sueddeutsche,politik
