Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Sachsen hat bundesweit geringste Corona-Inzidenz,12012022_07:39,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-sachsen-hat-bundesweit-geringste-corona-inzidenz-dpa.urn-newsml-dpa-com-20090101-220112-99-677131,Gesundheit - Berlin,dpa,,,12012022,Sueddeutsche
"Trübes, aber überwiegend trockenes Wetter",12012022_07:39,https://www.sueddeutsche.de/panorama/wetter-offenbach-am-main-truebes-aber-ueberwiegend-trockenes-wetter-dpa.urn-newsml-dpa-com-20090101-220112-99-677102,Wetter - Offenbach am Main,dpa,,,12012022,Sueddeutsche
Dürr wird Dritte - Rekord für Shiffrin,12012022_07:34,https://www.sueddeutsche.de/sport/schladming-duerr-wird-dritte-rekord-fuer-shiffrin-1.5505618,Schladming,,Meldungen im Überblick,"Die deutsche Skifahrerin überzeugt beim Nachtslalom in Schladming. Titelverteidiger Algerien startet mit einer Enttäuschung in den Afrika Cup.
                        
                            Meldungen im Überblick",12012022,Sueddeutsche
Corona-Inzidenz in NRW knapp unter 400,12012022_07:34,https://www.sueddeutsche.de/gesundheit/gesundheit-berlin-corona-inzidenz-in-nrw-knapp-unter-400-dpa.urn-newsml-dpa-com-20090101-220112-99-677080,Gesundheit - Berlin,dpa,,,12012022,Sueddeutsche
Hohe Inzidenzen in und um München,12012022_07:34,https://www.sueddeutsche.de/bayern/corona-bayern-aktuell-inzidenz-gastronomie-2g-plus-1.5504051,Coronavirus-Newsblog für Bayern,,Alle Entwicklungen im Überblick,"Aus der Stadt sowie den Landkreisen Ebersberg und Starnberg meldet das RKI Werte um die 600. Für die Gastronomie in Bayern gilt die 2-G-plus-Regel nicht.
                        
                            Alle Entwicklungen im Überblick",12012022,Sueddeutsche
Autofahrer nach Unfall in Nordenham schwer verletzt,12012022_07:32,https://www.sueddeutsche.de/panorama/unfaelle-nordenham-autofahrer-nach-unfall-in-nordenham-schwer-verletzt-dpa.urn-newsml-dpa-com-20090101-220112-99-677025,Unfälle - Nordenham,dpa,,,12012022,Sueddeutsche
Japans ältester Zoo zeigt erstmals seltene Panda-Zwillinge,12012022_07:30,https://www.sueddeutsche.de/leben/tiere-japans-aeltester-zoo-zeigt-erstmals-seltene-panda-zwillinge-dpa.urn-newsml-dpa-com-20090101-220112-99-676996,Tiere,dpa,,,12012022,Sueddeutsche
Baumstamm hängt bei Traktor über: Radfahrer prallt dagegen,12012022_07:29,https://www.sueddeutsche.de/panorama/unfaelle-gehrde-baumstamm-haengt-bei-traktor-ueber-radfahrer-prallt-dagegen-dpa.urn-newsml-dpa-com-20090101-220112-99-677027,Unfälle - Gehrde,dpa,,,12012022,Sueddeutsche
Silvio Witt lehnt Auftritt bei Protest gegen Maßnahmen ab,12012022_07:27,https://www.sueddeutsche.de/politik/demonstrationen-neubrandenburg-silvio-witt-lehnt-auftritt-bei-protest-gegen-massnahmen-ab-dpa.urn-newsml-dpa-com-20090101-220112-99-676978,Demonstrationen - Neubrandenburg,dpa,,,12012022,Sueddeutsche
"""Acht Stunden im Seil zu arbeiten, geht nicht nur auf die Arme""",12012022_07:26,https://sz-magazin.sueddeutsche.de/der-fall-meines-lebens/beruf-industriekletterer-gefahr-ausbildung-91071,Der Fall meines Lebens,,Interview von Niko Kappel,"Stephanie Kleissers Berufsalltag spielt sich in schwindelerregenden Höhen ab: Als Industriekletterin reinigt sie riesige Bürogebäude oder Schächte, die so eng sind, dass sie die Seitenwände mit den Ellenbogen berührt. Für den Fall ihres Lebens musste die 43-Jährige aufs Dach eines Weltkulturerbes mitten im Rhein steigen.
                        
                            Interview von Niko Kappel",12012022,Sueddeutsche
