Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Serbien stoppt Lithium-Projekt von Rio Tinto,21012022_07:56,https://www.sueddeutsche.de/wirtschaft/serbien-stoppt-lithium-projekt-von-rio-tinto-1.5512148,,,,"Video
                    
                    
                        Die Regierung in Belgrad hatte Umweltbedenken angemeldet. Seit Monaten gab es auch Proteste gegen das Projekt.",22012022,Sueddeutsche
Polizei stoppt aggressiven Autofahrer mit Elektroschocker,21012022_07:53,https://www.sueddeutsche.de/panorama/kriminalitaet-betzdorf-polizei-stoppt-aggressiven-autofahrer-mit-elektroschocker-dpa.urn-newsml-dpa-com-20090101-220121-99-794339,Kriminalität - Betzdorf,dpa,,,22012022,Sueddeutsche
Sachsen: Bewölktes Wochenende mit Regen und Schnee erwartet,21012022_07:51,https://www.sueddeutsche.de/panorama/wetter-dresden-sachsen-bewoelktes-wochenende-mit-regen-und-schnee-erwartet-dpa.urn-newsml-dpa-com-20090101-220121-99-794311,Wetter - Dresden,dpa,,,22012022,Sueddeutsche
"Schnell, smart, nachhaltig",21012022_07:51,https://www.sueddeutsche.de/wirtschaft/bauen-digitalisierung-nachhaltigkeit-architektur-1.5510511,Modulares Bauen,,Von Steffen Uhlmann,"Der Düsseldorfer Architekt Ulf Bohne will das Bauen digitalisieren, so dass möglichst viel Material registriert und recycelt wird. Kann das gelingen?
                        
                            Von Steffen Uhlmann",22012022,Sueddeutsche
Investoren entdecken die Moral,21012022_07:50,https://www.sueddeutsche.de/wirtschaft/investoren-pflegeimmobilien-senioren-sozialer-wohnungsbau-1.5510534,Immobilien für Senioren,,Von Christine Mattauch,"Barrierefreier Zugang, Pflegemöglichkeiten in der Nähe - und trotzdem nicht zu teuer: Sozial geförderte Wohnungen werden für Anleger immer attraktiver. Davon profitieren auch die Mieter. 
                        
                            Von Christine Mattauch",22012022,Sueddeutsche
Glätte sorgt für mehrere Unfälle in Nordrhein-Westfalen,21012022_07:49,https://www.sueddeutsche.de/panorama/unfaelle-rees-glaette-sorgt-fuer-mehrere-unfaelle-in-nordrhein-westfalen-dpa.urn-newsml-dpa-com-20090101-220121-99-794290,Unfälle - Rees,dpa,,,22012022,Sueddeutsche
Schwere Unfälle im Landkreis Peine nach Wintereinbruch,21012022_07:47,https://www.sueddeutsche.de/panorama/unfaelle-edemissen-schwere-unfaelle-im-landkreis-peine-nach-wintereinbruch-dpa.urn-newsml-dpa-com-20090101-220121-99-794282,Unfälle - Edemissen,dpa,,,22012022,Sueddeutsche
"Nach Pause: Bei Karl-May-Spielen soll der ""Ölprinz"" reiten",21012022_07:46,https://www.sueddeutsche.de/leben/freizeit-bad-segeberg-nach-pause-bei-karl-may-spielen-soll-der-oelprinz-reiten-dpa.urn-newsml-dpa-com-20090101-220121-99-792988,Freizeit - Bad Segeberg,dpa,,,22012022,Sueddeutsche
Bei Pokal-Aus: Barça-Hoffnungsträger Fati wieder verletzt,21012022_07:44,https://www.sueddeutsche.de/sport/fussball-bei-pokal-aus-bara-hoffnungstraeger-fati-wieder-verletzt-dpa.urn-newsml-dpa-com-20090101-220120-99-790181,Fußball,dpa,,,22012022,Sueddeutsche
Höchster Inzidenz-Anstieg in Bayern seit Beginn der Pandemie,21012022_07:44,https://www.sueddeutsche.de/bayern/gesundheit-berlin-hoechster-inzidenz-anstieg-in-bayern-seit-beginn-der-pandemie-dpa.urn-newsml-dpa-com-20090101-220121-99-794246,Gesundheit - Berlin,dpa,,,22012022,Sueddeutsche
"Ratzinger-Kritikerin: ""Wie dreist oder wie verzweifelt""",21012022_07:42,https://www.sueddeutsche.de/bayern/kirche-muenchen-ratzinger-kritikerin-wie-dreist-oder-wie-verzweifelt-dpa.urn-newsml-dpa-com-20090101-220121-99-794232,Kirche - München,dpa,,,22012022,Sueddeutsche
Empörung über Medienboss de Mol,21012022_07:39,https://www.sueddeutsche.de/panorama/john-de-mol-linda-de-mol-the-voice-of-holland-sexuelle-uebergriffe-metoo-fernsehen-casting-show-holland-1.5512142,"""The Voice of Holland""",,,"Dutzende Frauen berichten von sexuellen Übergriffen bei der Castingshow ""The Voice of Holland"". Nun rückt Produzent John de Mol in den Mittelpunkt der Kritik, weil er den Frauen die Verantwortung zuschiebt.",22012022,Sueddeutsche
