Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
"Darmstadts Coach Lieberknecht: Aufstieg ""null Thema""",15112021_08:41,https://www.sueddeutsche.de/sport/fussball-darmstadt-darmstadts-coach-lieberknecht-aufstieg-null-thema-dpa.urn-newsml-dpa-com-20090101-211115-99-02306,Fußball - Darmstadt,dpa,,,15112021,Sueddeutsche,sport
Luca-App: Bars und Clubs sind Corona-Hotspots,15112021_08:41,https://www.sueddeutsche.de/gesundheit/gesundheit-luca-app-bars-und-clubs-sind-corona-hotspots-dpa.urn-newsml-dpa-com-20090101-211115-99-02372,Gesundheit,dpa,,,15112021,Sueddeutsche,gesundheit
Peters und Neuendorf als DFB-Präsidenten vorgeschlagen,15112021_08:40,https://www.sueddeutsche.de/sport/fussball-peters-und-neuendorf-als-dfb-praesidenten-vorgeschlagen-dpa.urn-newsml-dpa-com-20090101-211115-99-02375,Fußball,dpa,,,15112021,Sueddeutsche,sport
Präsidentenamt beim DFB: Peters und Neuendorf vorgeschlagen,15112021_08:40,https://www.sueddeutsche.de/sport/fussball-frankfurt-am-main-praesidentenamt-beim-dfb-peters-und-neuendorf-vorgeschlagen-dpa.urn-newsml-dpa-com-20090101-211115-99-02402,Fußball - Frankfurt am Main,dpa,,,15112021,Sueddeutsche,sport
Versicherer Talanx wird trotz Flutschäden optimistischer,15112021_08:38,https://www.sueddeutsche.de/wirtschaft/versicherungen-hannover-versicherer-talanx-wird-trotz-flutschaeden-optimistischer-dpa.urn-newsml-dpa-com-20090101-211115-99-01579,Versicherungen - Hannover,dpa,,,15112021,Sueddeutsche,wirtschaft
"Ampel-Corona-Pläne - ""Faktisch Lockdown für Ungeimpfte""",15112021_08:36,https://www.sueddeutsche.de/gesundheit/gesundheit-ampel-corona-plaene-faktisch-lockdown-fuer-ungeimpfte-dpa.urn-newsml-dpa-com-20090101-211115-99-999906,Gesundheit,dpa,,,15112021,Sueddeutsche,gesundheit
Polizei erwischt fünf Männer bei Schwarzarbeit,15112021_08:28,https://www.sueddeutsche.de/panorama/kriminalitaet-gelsenkirchen-polizei-erwischt-fuenf-maenner-bei-schwarzarbeit-dpa.urn-newsml-dpa-com-20090101-211115-99-02297,Kriminalität - Gelsenkirchen,dpa,,,15112021,Sueddeutsche,panorama
#allesindenArm: Twitter-Kampagne will zum Impfen bewegen,15112021_08:28,https://www.sueddeutsche.de/leben/gesellschaft-allesindenarm-twitter-kampagne-will-zum-impfen-bewegen-dpa.urn-newsml-dpa-com-20090101-211115-99-02098,Gesellschaft,dpa,,,15112021,Sueddeutsche,leben
So kommt Leben ins digitale Meeting,15112021_08:27,https://www.sueddeutsche.de/karriere/arbeit-so-kommt-leben-ins-digitale-meeting-dpa.urn-newsml-dpa-com-20090101-211111-99-956474,Arbeit,dpa,,,15112021,Sueddeutsche,karriere
Fahrer will Wildtier ausweichen: Auto überschlägt sich,15112021_08:27,https://www.sueddeutsche.de/wirtschaft/verkehr-dornstadt-fahrer-will-wildtier-ausweichen-auto-ueberschlaegt-sich-dpa.urn-newsml-dpa-com-20090101-211115-99-02283,Verkehr - Dornstadt,dpa,,,15112021,Sueddeutsche,wirtschaft
