Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Der Gott der Streichungen,10122021_13:35,https://www.sueddeutsche.de/kultur/gustave-flaubert-madame-bovary-geburtstag-literatur-1.5484965,Flaubert 200,,Von Lothar Müller,"Vor 200 Jahren wurde Gustave Flaubert geboren. Seine Romane bewegen Generationen von Lesern bis heute, er selbst jedoch stritt bis ans Ende seines Lebens jede innere Beteiligung ab. 
                        
                            Von Lothar Müller",10122021,Sueddeutsche,kultur
Die Realität ist Kulisse,10122021_13:35,https://www.sueddeutsche.de/kultur/gustave-flaubert-bouvard-und-pecuchet-literatur-jahrestag-literatur-1.5484996,"Flauberts Roman ""Bouvard und Pécuchet""",,Von Thomas Steinfeld,"Flauberts Romane sind in der Regel so genau recherchiert, dass man jede Straße findet, wenn man sucht. Gilt das auch für das Herrenhaus in seinem letzten Roman ""Bouvard und Pécuchet?"" Ein Selbstversuch. 
                        
                            Von Thomas Steinfeld",10122021,Sueddeutsche,kultur
Impfpflicht für Mitarbeiter im Gesundheitswesen kommt,10122021_13:34,https://www.sueddeutsche.de/politik/corona-aktuell-deutschland-gesundheitswesen-berufsbezogene-impfpflicht-1.5481008,Coronavirus in Deutschland,,Nachrichten aus Deutschland,"Von März an müssen Beschäftigte einen entsprechenden Nachweis vorlegen. Außerdem sollen künftig mehr Berufsgruppen impfen dürfen. Der neue Gesundheitsminister Lauterbach macht der Ständigen Impfkommission Druck: ""Das muss schneller gehen.""
                        
                            Nachrichten aus Deutschland",10122021,Sueddeutsche,politik
Was für eine Wut!,10122021_13:34,https://www.sueddeutsche.de/kultur/gustave-flaubert-200-geburtstag-deutsch-franzoesischer-krieg-briefe-1.5484952,200. Geburtstag von Gustave Flaubert: Der Kriegsgegner,,Von Gustav Seibt,"Sein Hass war ein bewegliches Geschütz: Flaubert wettert gegen den deutsch-französischen Krieg von 1870/71.
                        
                            Von Gustav Seibt",10122021,Sueddeutsche,kultur
Beweihräucherung für den guten Zweck,10122021_13:33,https://www.sueddeutsche.de/kultur/drake-kanye-west-ye-konzert-hoover-1.5484968,Konzert von Drake und Ye in Los Angeles,,"Von Jürgen Schmieder, Los Angeles","Die lange verfeindeten Rapper Ye und Drake geben ein gemeinsames Konzert: gegen die Haftstrafe von Larry Hoover und für Gefängnisreform in den USA.
                        
                            Von Jürgen Schmieder, Los Angeles",10122021,Sueddeutsche,kultur
Bilder des Tages,10122021_13:32,https://www.sueddeutsche.de/kultur/fotografie-bilder-des-tages-dpa.urn-newsml-dpa-com-20090101-211210-99-325593,Fotografie,dpa,,,10122021,Sueddeutsche,kultur
Bundestag verschärft Corona-Maßnahmen,10122021_13:30,https://www.sueddeutsche.de/gesundheit/gesundheit-bundestag-verschaerft-corona-massnahmen-dpa.urn-newsml-dpa-com-20090101-211210-99-327039,Gesundheit,dpa,,,10122021,Sueddeutsche,gesundheit
Kinderärzte: Stiko-Empfehlung angemessen,10122021_13:29,https://www.sueddeutsche.de/wissen/wissenschaft-kinderaerzte-stiko-empfehlung-angemessen-dpa.urn-newsml-dpa-com-20090101-211210-99-331381,Wissenschaft,dpa,,,10122021,Sueddeutsche,wissen
Begrenzte Impfpflicht kommt - auch Bundesrat stimmt zu,10122021_13:28,https://www.sueddeutsche.de/gesundheit/gesundheit-begrenzte-impfpflicht-kommt-auch-bundesrat-stimmt-zu-dpa.urn-newsml-dpa-com-20090101-211210-99-332782,Gesundheit,dpa,,,10122021,Sueddeutsche,gesundheit
Tschechien führt Impfpflicht für alle ab 60 Jahren ein,10122021_13:27,https://www.sueddeutsche.de/politik/corona-weltweit-impfpflicht-tschechien-1.5481011,Corona weltweit,,Aktuelle Meldungen weltweit,"Auch Gesundheits- und Pflegepersonal, Ärzte und Medizinstudenten, Polizisten, Feuerwehrleute und Soldaten müssen sich impfen lassen. Doch die Entscheidung könnte wieder rückgängig gemacht werden. England verschärft die Maskenpflicht wegen Omikron.
                        
                            Aktuelle Meldungen weltweit",10122021,Sueddeutsche,politik
GEW beklagt unzureichendes Corona-Management,10122021_13:26,https://www.sueddeutsche.de/bildung/bildung-schwerin-gew-beklagt-unzureichendes-corona-management-dpa.urn-newsml-dpa-com-20090101-211210-99-332730,Bildung - Schwerin,dpa,,,10122021,Sueddeutsche,bildung
Semperopernball fällt aus: Silvesterkonzert ohne Publikum,10122021_13:24,https://www.sueddeutsche.de/kultur/musik-dresden-semperopernball-faellt-aus-silvesterkonzert-ohne-publikum-dpa.urn-newsml-dpa-com-20090101-211210-99-332558,Musik - Dresden,dpa,,,10122021,Sueddeutsche,kultur
Stromausfall in JVA: Gefangene sitzen im Dunkeln,10122021_13:23,https://www.sueddeutsche.de/panorama/justiz-heilbronn-stromausfall-in-jva-gefangene-sitzen-im-dunkeln-dpa.urn-newsml-dpa-com-20090101-211210-99-331473,Justiz - Heilbronn,dpa,,,10122021,Sueddeutsche,panorama
Steuer und Recht,10122021_13:22,https://advertorial.sueddeutsche.de/ffb/Steuer-und-Recht/,Anzeige,,,,10122021,Sueddeutsche,ffb
Weitere Ermittlungen nach tödlichen Schüssen in Bielefeld,10122021_13:22,https://www.sueddeutsche.de/panorama/kriminalitaet-bielefeld-weitere-ermittlungen-nach-toedlichen-schuessen-in-bielefeld-dpa.urn-newsml-dpa-com-20090101-211209-99-323466,Kriminalität - Bielefeld,dpa,,,10122021,Sueddeutsche,panorama
US-Riese Kraft Heinz übernimmt Gewürz-Start-up Just Spices,10122021_13:21,https://www.sueddeutsche.de/wirtschaft/lebensmittel-duesseldorf-us-riese-kraft-heinz-uebernimmt-gewuerz-start-up-just-spices-dpa.urn-newsml-dpa-com-20090101-211210-99-332629,Lebensmittel - Düsseldorf,dpa,,,10122021,Sueddeutsche,wirtschaft
Biathlon-Überraschung: Kühn gewinnt Sprint,10122021_13:21,https://www.sueddeutsche.de/sport/biathlon-biathlon-ueberraschung-kuehn-gewinnt-sprint-dpa.urn-newsml-dpa-com-20090101-211210-99-332268,Biathlon,dpa,,,10122021,Sueddeutsche,sport
