Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Mit gutem Gewissen frühstücken,01012022_07:19,https://www.sueddeutsche.de/muenchen/muenchen-poppi-farmer-cafe-restaurant-fruehstueck-vegetarisch-vegan-1.5489185,Poppi Farmer,,Von Jacqueline Lang,"Im Poppi Farmer in Giesing versuchen zwei Geschwister, die Gastronomie nachhaltig und klimaneutral zu gestalten. Kleine Ausnahmen gibt es.
                        
                            Von Jacqueline Lang",01012022,Sueddeutsche,muenchen
Das bringt das neue Jahr in München,01012022_07:18,https://www.sueddeutsche.de/muenchen/muenchen-vorschau-2022-konzerte-oktoberfest-1.5498596,Ausblick auf 2022,,,"Oktoberfest, Musikfestivals, Europameisterschaften: Mehrere Großveranstaltungen stehen 2022 an - wenn die Pandemie sie zulässt. Ziemlich sicher sind dagegen Neuerungen in der Stadtverwaltung, der Schullandschaft und im Deutschen Museum.",01012022,Sueddeutsche,muenchen
"Bundestrainer Gislason vor EM: ""Kein Kandidat"" für Medaille",01012022_06:57,https://www.sueddeutsche.de/sport/handball-bundestrainer-gislason-vor-em-kein-kandidat-fuer-medaille-dpa.urn-newsml-dpa-com-20090101-211231-99-552621,Handball,dpa,,,01012022,Sueddeutsche,sport
Nicht zum Party machen da: Die Skispringer und ihr Silvester,01012022_06:42,https://www.sueddeutsche.de/sport/skispringen-nicht-zum-party-machen-da-die-skispringer-und-ihr-silvester-dpa.urn-newsml-dpa-com-20090101-211231-99-553239,Skispringen,dpa,,,01012022,Sueddeutsche,sport
Das bringt der Tag bei der Darts-WM,01012022_06:41,https://www.sueddeutsche.de/sport/darts-das-bringt-der-tag-bei-der-darts-wm-dpa.urn-newsml-dpa-com-20090101-211231-99-553316,Darts,dpa,,,01012022,Sueddeutsche,sport
Das bringt der Wintersport am Samstag,01012022_06:40,https://www.sueddeutsche.de/sport/skispringen-das-bringt-der-wintersport-am-samstag-dpa.urn-newsml-dpa-com-20090101-220101-99-556660,Skispringen,dpa,,,01012022,Sueddeutsche,sport
Infektionszahlen steigen weiter,01012022_05:31,https://www.sueddeutsche.de/muenchen/landkreismuenchen/landkreis-muenchen-corona-news-inzidenz-silvester-versammlungsverbot-1.4850845,Newsblog zum Coronavirus im Landkreis München,,Von SZ-Autoren,"Die Sieben-Tage-Inzidenz springt am Neujahrstag auf 177,9. Das Gesundheitsamt geht mittlerweile von 153 Omikron-Fällen im Landkreis aus. 
                        
                            Von SZ-Autoren",01012022,Sueddeutsche,muenchen
"Streit um Tiergartenmord: ""Bis zu den Ellenbogen im Blut""",01012022_05:16,https://www.sueddeutsche.de/service/jahreswechsel-streit-um-tiergartenmord-bis-zu-den-ellenbogen-im-blut-dpa.urn-newsml-dpa-com-20090101-220101-99-556245,Jahreswechsel,dpa,,,01012022,Sueddeutsche,service
Klimapolitik: Wirtschaft warnt vor Abwanderung von Firmen,01012022_04:47,https://www.sueddeutsche.de/service/jahreswechsel-klimapolitik-wirtschaft-warnt-vor-abwanderung-von-firmen-dpa.urn-newsml-dpa-com-20090101-220101-99-556241,Jahreswechsel,dpa,,,01012022,Sueddeutsche,service
Sieben-Tage-Inzidenz steigt den dritten Tag in Folge,01012022_03:16,https://www.sueddeutsche.de/gesundheit/gesundheit-sieben-tage-inzidenz-steigt-den-dritten-tag-in-folge-dpa.urn-newsml-dpa-com-20090101-220101-99-555866,Gesundheit,dpa,,,01012022,Sueddeutsche,gesundheit
21. Neujahrskunstauktion in Darsser Arche in Wieck,01012022_02:05,https://www.sueddeutsche.de/kultur/kunst-wieck-a-darss-21-neujahrskunstauktion-in-darsser-arche-in-wieck-dpa.urn-newsml-dpa-com-20090101-211231-99-553393,Kunst - Wieck a. Darß,dpa,,,01012022,Sueddeutsche,kultur
Neujahrsspringen: Zwei Deutsche zählen zu Favoriten,01012022_01:50,https://www.sueddeutsche.de/bayern/skispringen-garmisch-partenkirchen-neujahrsspringen-zwei-deutsche-zaehlen-zu-favoriten-dpa.urn-newsml-dpa-com-20090101-211231-99-553381,Skispringen - Garmisch-Partenkirchen,dpa,,,01012022,Sueddeutsche,bayern
Die Welt begrüßt 2022,31122021_23:23,https://www.sueddeutsche.de/panorama/silvester-2022-bilder-1.5499284,Silvester,,,"Bilder
                    
                    
                        Während die Menschen in manchen Ländern ohne große Einschränkungen feierten, starteten Milliarden wegen Corona erneut anders in das neue Jahr als früher. Die Bilder.",01012022,Sueddeutsche,panorama
Kalenderblatt 2022: 1. Januar,31122021_22:55,https://www.sueddeutsche.de/wissen/geschichte-kalenderblatt-2022-1-januar-dpa.urn-newsml-dpa-com-20090101-211220-99-447750,Geschichte,dpa,,,01012022,Sueddeutsche,wissen
"Irgendwas mit ""die Welt retten""",31122021_20:45,https://www.sueddeutsche.de/panorama/weltraum-touristen-wettlauf-1.5470084,Wettstreit im All,,Von Martin Zips,"Wenn es eine Sache gab, an der es in diesem Jahr nicht gefehlt hat, dann waren es die Weltraumtouristen der konkurrierenden Multi-Milliardäre. Über einen absurden Wettkampf und die Frage, was Wildragout im Weltall zu suchen hat.
                        
                            Von Martin Zips",01012022,Sueddeutsche,panorama
Bilder des Tages,31122021_20:36,https://www.sueddeutsche.de/kultur/fotografie-bilder-des-tages-dpa.urn-newsml-dpa-com-20090101-211230-99-548123,Fotografie,dpa,,,01012022,Sueddeutsche,kultur
"""Golden Girls""-Schauspielerin Betty White ist tot",31122021_20:26,https://www.sueddeutsche.de/kultur/betty-white-golden-girls-tot-1.5499312,Fernsehen,,,"White war die letzte Hauptdarstellerin der beliebten Sitcom über eine Seniorinnen-WG in Florida, die noch lebte. Im Januar wäre sie 100 Jahre alt geworden.",01012022,Sueddeutsche,kultur
"""Golden Girls""-Star Betty White stirbt mit 99 Jahren",31122021_20:03,https://www.sueddeutsche.de/wirtschaft/medien-golden-girls-star-betty-white-stirbt-mit-99-jahren-dpa.urn-newsml-dpa-com-20090101-211231-99-554281,Medien,dpa,,,01012022,Sueddeutsche,wirtschaft
Silvester in Berlin als Herausforderung für Einsatzkräfte,31122021_19:06,https://www.sueddeutsche.de/service/jahreswechsel-silvester-in-berlin-als-herausforderung-fuer-einsatzkraefte-dpa.urn-newsml-dpa-com-20090101-211231-99-553577,Jahreswechsel,dpa,,,01012022,Sueddeutsche,service
Bouffier spricht Menschen in Neujahrsansprache Mut zu,31122021_18:57,https://www.sueddeutsche.de/service/jahreswechsel-wiesbaden-bouffier-spricht-menschen-in-neujahrsansprache-mut-zu-dpa.urn-newsml-dpa-com-20090101-211231-99-553965,Jahreswechsel - Wiesbaden,dpa,,,01012022,Sueddeutsche,service
Autofahrer unter Drogen und ohne Führerschein ertappt,31122021_18:45,https://www.sueddeutsche.de/wirtschaft/verkehr-worms-autofahrer-unter-drogen-und-ohne-fuehrerschein-ertappt-dpa.urn-newsml-dpa-com-20090101-211231-99-553921,Verkehr - Worms,dpa,,,01012022,Sueddeutsche,wirtschaft
Zehnmaliger NBA-Meister Sam Jones im Alter von 88 gestorben,31122021_18:39,https://www.sueddeutsche.de/sport/basketball-zehnmaliger-nba-meister-sam-jones-im-alter-von-88-gestorben-dpa.urn-newsml-dpa-com-20090101-211231-99-553891,Basketball,dpa,,,01012022,Sueddeutsche,sport
Wie ein Ufo auf 2650 Metern Höhe,31122021_18:32,https://www.sueddeutsche.de/bayern/zugspitze-schneefernerhaus-garmisch-forschung-1.5498616,Schneefernerhaus,,"Von Viktoria Spinrad, Garmisch-Partenkirchen","Unterhalb des Zugspitzgipfels liegt das Schneefernerhaus - die höchste Forschungsstation Deutschlands. Wo früher illustre Hotelgäste in Liegestühlen fläzten, werden heute die Indikatoren des Klimawandels gemessen.
                        
                            Von Viktoria Spinrad, Garmisch-Partenkirchen",01012022,Sueddeutsche,bayern
Die Fotos des Jahres,31122021_18:31,https://projekte.sueddeutsche.de/artikel/panorama/bildergalerie-die-fotos-des-jahres-2021-e632736/,Jahresrückblick,,Von Cord Aschenbrenner (Text) und Julia Hecht (Fotos),"Bilder sagen mehr als Worte. Eine Auswahl von großen und kleinen Geschichten des Jahres 2021
                        
                            Von Cord Aschenbrenner (Text) und Julia Hecht (Fotos)",01012022,Sueddeutsche,artikel
Goldfisch in der Fröttmaninger Heide,31122021_18:27,https://www.sueddeutsche.de/muenchen/froettmaning-heide-heideflaechenverein-wechselkroete-naturschutz-1.5498601,Gefährdetes Ökosystem,,Von Benjamin Stolz,"Im Südteil des Fröttmaninger Biotops wollen sich Mensch und Tier gleichermaßen ausbreiten - besonders während der Pandemie. Über einen schwierigen Spagat zwischen Freizeitnutzung und Artenschutz im Naturschutzgebiet.
                        
                            Von Benjamin Stolz",01012022,Sueddeutsche,muenchen
Auf- und Absteiger des Jahres,31122021_18:24,https://www.sueddeutsche.de/projekte/artikel/politik/2021-die-auf-und-absteiger-im-jahresrueckblick-e614167/,2021,,,"Es überrascht wohl kaum, dass Obelix zu den Aufsteigern des Jahres gehört und Jörg Meuthen zu den Absteigern. Für beide war der Weg vorgezeichnet. Sensationell ist aber, dass eine junge Whistleblowerin Facebook das Fürchten lehrt.",01012022,Sueddeutsche,projekte
Tesla ruft rund 200.000 Fahrzeuge in China zurück,31122021_18:02,https://www.sueddeutsche.de/wirtschaft/auto-tesla-ruft-rund-200000-fahrzeuge-in-china-zurueck-dpa.urn-newsml-dpa-com-20090101-211231-99-553640,Auto,dpa,,,01012022,Sueddeutsche,wirtschaft
Keine Explosion: Mann bringt in Wohnung Wand zum Einsturz,31122021_17:43,https://www.sueddeutsche.de/panorama/braende-pforzheim-keine-explosion-mann-bringt-in-wohnung-wand-zum-einsturz-dpa.urn-newsml-dpa-com-20090101-211231-99-553403,Brände - Pforzheim,dpa,,,01012022,Sueddeutsche,panorama
