Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Trabert zieht bei Armut Parallele zur NS-Zeit,15012022_14:32,https://www.sueddeutsche.de/politik/parteien-mainz-trabert-zieht-bei-armut-parallele-zur-ns-zeit-dpa.urn-newsml-dpa-com-20090101-220115-99-718866,Parteien - Mainz,dpa,,,16012022,Sueddeutsche
Bitterer Jahresbeginn für Nürnberg: Pleite gegen Paderborn,15012022_14:32,https://www.sueddeutsche.de/sport/fussball-bitterer-jahresbeginn-fuer-nuernberg-pleite-gegen-paderborn-dpa.urn-newsml-dpa-com-20090101-220115-99-720736,Fußball,dpa,,,16012022,Sueddeutsche
Bitterer Jahresbeginn für Nürnberg: 1:2 gegen Paderborn,15012022_14:31,https://www.sueddeutsche.de/bayern/fussball-nuernberg-bitterer-jahresbeginn-fuer-nuernberg-12-gegen-paderborn-dpa.urn-newsml-dpa-com-20090101-220115-99-720750,Fußball - Nürnberg,dpa,,,16012022,Sueddeutsche
Vierter Sieg unter Werner: Werder stürmt auf Platz drei,15012022_14:29,https://www.sueddeutsche.de/sport/fussball-bremen-vierter-sieg-unter-werner-werder-stuermt-auf-platz-drei-dpa.urn-newsml-dpa-com-20090101-220115-99-720729,Fußball - Bremen,dpa,,,16012022,Sueddeutsche
Vierter Sieg unter Werner: Werder stürmt auf Platz drei,15012022_14:28,https://www.sueddeutsche.de/sport/fussball-vierter-sieg-unter-werner-werder-stuermt-auf-platz-drei-dpa.urn-newsml-dpa-com-20090101-220115-99-720720,Fußball,dpa,,,16012022,Sueddeutsche
Zweite Beerdigung: Neues Grab für Schalke-Legende Libuda,15012022_14:26,https://www.sueddeutsche.de/sport/fussball-gelsenkirchen-zweite-beerdigung-neues-grab-fuer-schalke-legende-libuda-dpa.urn-newsml-dpa-com-20090101-220115-99-720662,Fußball - Gelsenkirchen,dpa,,,16012022,Sueddeutsche
Mainz-Kapitän Niakhaté gegen Bochum frei getestet,15012022_14:22,https://www.sueddeutsche.de/sport/fussball-mainz-kapitaen-niakhat-gegen-bochum-frei-getestet-dpa.urn-newsml-dpa-com-20090101-220115-99-720583,Fußball,dpa,,,16012022,Sueddeutsche
Labore für PCR-Tests in Brandenburg haben viel zu tun,15012022_14:21,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-labore-fuer-pcr-tests-in-brandenburg-haben-viel-zu-tun-dpa.urn-newsml-dpa-com-20090101-220115-99-718173,Gesundheit - Potsdam,dpa,,,16012022,Sueddeutsche
Lockerungen bei Corona-Quarantäne,15012022_14:19,https://www.sueddeutsche.de/bayern/gesundheit-muenchen-lockerungen-bei-corona-quarantaene-dpa.urn-newsml-dpa-com-20090101-220115-99-720629,Gesundheit - München,dpa,,,16012022,Sueddeutsche
Startelfdebüt für Union-Neuzugang: Wechsel bei Hoffenheim,15012022_14:17,https://www.sueddeutsche.de/sport/fussball-berlin-startelfdebuet-fuer-union-neuzugang-wechsel-bei-hoffenheim-dpa.urn-newsml-dpa-com-20090101-220115-99-720611,Fußball - Berlin,dpa,,,16012022,Sueddeutsche
Freestyle-Snowboarderin Morgan wird Dritte,15012022_14:16,https://www.sueddeutsche.de/sport/snowboard-freestyle-snowboarderin-morgan-wird-dritte-dpa.urn-newsml-dpa-com-20090101-220115-99-720491,Snowboard,dpa,,,16012022,Sueddeutsche
Schlange stehen für Imbiss-Eröffnung von Rapper Massiv,15012022_14:16,https://www.sueddeutsche.de/leben/szene-stuttgart-schlange-stehen-fuer-imbiss-eroeffnung-von-rapper-massiv-dpa.urn-newsml-dpa-com-20090101-220115-99-720546,Szene - Stuttgart,dpa,,,16012022,Sueddeutsche
Deutsche Biathlon-Staffel stürmt aufs Podest,15012022_14:14,https://www.sueddeutsche.de/sport/biathlon-ruhpolding-staffel-ergebnisse-1.5508164,Wintersport,,Wintersportmeldungen im Überblick,"In Ruhpolding sind nur die russischen Athleten schneller. Auch den deutschen Skispringern gelingt ein zweiter Platz. Kira Weidle wird bei der Abfahrt in Zauchensee Zweite. 
                        
                            Wintersportmeldungen im Überblick",16012022,Sueddeutsche
Bayern gewinnt 4:0 in Köln,15012022_14:13,https://liveticker.sueddeutsche.de/fussball/1bundesliga/konferenz/2022-01-15.html,Bundesliga,,Der Liveticker zum Nachlesen,"Der Tabellenführer reagiert cool auf den Sieg von Verfolger Dortmund. Wolfsburg verliert zumindest nicht gegen die Hertha. Leipzig schlägt Stuttgart. 
                        
                            Der Liveticker zum Nachlesen",16012022,Sueddeutsche
Doppelsitzer Eggert/Benecken siegt vor Wendl/Arlt,15012022_14:11,https://www.sueddeutsche.de/sport/rodeln-doppelsitzer-eggertbenecken-siegt-vor-wendlarlt-dpa.urn-newsml-dpa-com-20090101-220115-99-720485,Rodeln,dpa,,,16012022,Sueddeutsche
"Mainz-Sportdirektor Schmidt: Burkardt ""unverkäuflich""",15012022_14:02,https://www.sueddeutsche.de/sport/fussball-mainz-sportdirektor-schmidt-burkardt-unverkaeuflich-dpa.urn-newsml-dpa-com-20090101-220115-99-720357,Fußball,dpa,,,16012022,Sueddeutsche
Sri Lanka: Elefanten sterben an Plastik von Mülldeponie,15012022_14:02,https://www.sueddeutsche.de/leben/tiere-sri-lankaelefanten-sterben-an-plastik-von-muelldeponie-dpa.urn-newsml-dpa-com-20090101-220115-99-720322,Tiere,dpa,,,16012022,Sueddeutsche
Saarländische Prunksitzungen im Fernsehen abgesagt,15012022_14:00,https://www.sueddeutsche.de/kultur/brauchtum-saarbruecken-saarlaendische-prunksitzungen-im-fernsehen-abgesagt-dpa.urn-newsml-dpa-com-20090101-220115-99-720380,Brauchtum - Saarbrücken,dpa,,,16012022,Sueddeutsche
Mainzer Kapitän Niakhaté vor Bochum-Spiel frei getestet,15012022_13:59,https://www.sueddeutsche.de/sport/fussball-mainz-mainzer-kapitaen-niakhat-vor-bochum-spiel-frei-getestet-dpa.urn-newsml-dpa-com-20090101-220115-99-720368,Fußball - Mainz,dpa,,,16012022,Sueddeutsche
Positiver Coronatest: Hertha BSC in Wolfsburg ohne Pekarik,15012022_13:58,https://www.sueddeutsche.de/sport/fussball-wolfsburg-positiver-coronatest-hertha-bsc-in-wolfsburg-ohne-pekarik-dpa.urn-newsml-dpa-com-20090101-220115-99-720215,Fußball - Wolfsburg,dpa,,,16012022,Sueddeutsche
