Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Tausende kritisieren Maßnahmen: Polizisten angegriffen,28122021_05:03,https://www.sueddeutsche.de/politik/demonstrationen-koblenz-tausende-kritisieren-massnahmen-polizisten-angegriffen-dpa.urn-newsml-dpa-com-20090101-211227-99-518766,Demonstrationen - Koblenz,dpa,,,29122021,Sueddeutsche
Unterrichtsausfall an Schulen bleibt auf gleicher Höhe,28122021_05:00,https://www.sueddeutsche.de/bildung/schulen-duesseldorf-unterrichtsausfall-an-schulen-bleibt-auf-gleicher-hoehe-dpa.urn-newsml-dpa-com-20090101-211228-99-520541,Schulen - Düsseldorf,dpa,,,29122021,Sueddeutsche
Prognose: Marode Brücken auch 2022 Hauptursache für Staus,28122021_04:58,https://www.sueddeutsche.de/service/jahreswechsel-leverkusen-prognose-marode-bruecken-auch-2022-hauptursache-fuer-staus-dpa.urn-newsml-dpa-com-20090101-211228-99-520535,Jahreswechsel - Leverkusen,dpa,,,29122021,Sueddeutsche
CDU und SPD in NRW schrumpfen weiter: Grüne wachsen,28122021_04:57,https://www.sueddeutsche.de/politik/parteien-duesseldorf-cdu-und-spd-in-nrw-schrumpfen-weiter-gruene-wachsen-dpa.urn-newsml-dpa-com-20090101-211228-99-520515,Parteien - Düsseldorf,dpa,,,29122021,Sueddeutsche
Überfall mit Küchenmesser: Spielhalle in Hamm ausgeraubt,28122021_04:52,https://www.sueddeutsche.de/panorama/kriminalitaet-hamm-ueberfall-mit-kuechenmesser-spielhalle-in-hamm-ausgeraubt-dpa.urn-newsml-dpa-com-20090101-211228-99-520506,Kriminalität - Hamm,dpa,,,29122021,Sueddeutsche
Treffen nur zu zehnt: Strengere Beschränkungen in NRW,28122021_04:51,https://www.sueddeutsche.de/gesundheit/krankheiten-duesseldorf-treffen-nur-zu-zehnt-strengere-beschraenkungen-in-nrw-dpa.urn-newsml-dpa-com-20090101-211227-99-515460,Krankheiten - Düsseldorf,dpa,,,29122021,Sueddeutsche
Alte Dampflok wird wieder flott gemacht,28122021_04:46,https://www.sueddeutsche.de/wirtschaft/verkehr-sibbesse-alte-dampflok-wird-wieder-flott-gemacht-dpa.urn-newsml-dpa-com-20090101-211228-99-520485,Verkehr - Sibbesse,dpa,,,29122021,Sueddeutsche
Von 40-Tonner erfasst: Ausgebüxtes Pferd legt A31 lahm,28122021_04:45,https://www.sueddeutsche.de/panorama/unfaelle-haren-ems-von-40-tonner-erfasst-ausgebuextes-pferd-legt-a31-lahm-dpa.urn-newsml-dpa-com-20090101-211228-99-520482,Unfälle - Haren (Ems),dpa,,,29122021,Sueddeutsche
Schweinehalter verlangen Perspektive von Minister Özdemir,28122021_04:43,https://www.sueddeutsche.de/wirtschaft/agrar-damme-schweinehalter-verlangen-perspektive-von-minister-oezdemir-dpa.urn-newsml-dpa-com-20090101-211228-99-520476,Agrar - Damme,dpa,,,29122021,Sueddeutsche
Ministerin Lemke: Weltkriegsmunition im Meer rasch heben,28122021_04:42,https://www.sueddeutsche.de/wissen/geschichte-berlin-ministerin-lemke-weltkriegsmunition-im-meer-rasch-heben-dpa.urn-newsml-dpa-com-20090101-211228-99-520415,Geschichte - Berlin,dpa,,,29122021,Sueddeutsche
