Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Viele Impfmöglichkeiten zwischen den Feiertagen,22122021_11:20,https://www.sueddeutsche.de/gesundheit/gesundheit-viele-impfmoeglichkeiten-zwischen-den-feiertagen-dpa.urn-newsml-dpa-com-20090101-211222-99-474785,Gesundheit,dpa,,,22122021,Sueddeutsche
Gericht: Kinder haben Recht auf Gebärdensprachenkurs,22122021_11:20,https://www.sueddeutsche.de/leben/soziales-darmstadt-gericht-kinder-haben-recht-auf-gebaerdensprachenkurs-dpa.urn-newsml-dpa-com-20090101-211222-99-475712,Soziales - Darmstadt,dpa,,,22122021,Sueddeutsche
Start für Weltraumteleskop verzögert sich erneut,22122021_11:19,https://www.sueddeutsche.de/wissen/wissenschaft-start-fuer-weltraumteleskop-verzoegert-sich-erneut-dpa.urn-newsml-dpa-com-20090101-211222-99-473793,Wissenschaft,dpa,,,22122021,Sueddeutsche
Justizministerin: Vorgehen gegen gefälschte Impfpässe,22122021_11:18,https://www.sueddeutsche.de/panorama/kriminalitaet-hannover-justizministerin-vorgehen-gegen-gefaelschte-impfpaesse-dpa.urn-newsml-dpa-com-20090101-211222-99-475674,Kriminalität - Hannover,dpa,,,22122021,Sueddeutsche
Hessen verkauft Kryptowährung von Drogenhändlern,22122021_11:17,https://www.sueddeutsche.de/panorama/justiz-frankfurt-am-main-hessen-verkauft-kryptowaehrung-von-drogenhaendlern-dpa.urn-newsml-dpa-com-20090101-211222-99-475655,Justiz - Frankfurt am Main,dpa,,,22122021,Sueddeutsche
Match seines Lebens: Darts-Profi Hempel verblüfft bei WM,22122021_11:17,https://www.sueddeutsche.de/sport/darts-match-seines-lebens-darts-profi-hempel-verbluefft-bei-wm-dpa.urn-newsml-dpa-com-20090101-211222-99-472666,Darts,dpa,,,22122021,Sueddeutsche
Haftbefehl wegen Vergewaltigung für Verdächtigen beantragt,22122021_11:15,https://www.sueddeutsche.de/panorama/kriminalitaet-wolgast-haftbefehl-wegen-vergewaltigung-fuer-verdaechtigen-beantragt-dpa.urn-newsml-dpa-com-20090101-211222-99-475637,Kriminalität - Wolgast,dpa,,,22122021,Sueddeutsche
Referentin durfte Xavier Naidoo als Antisemiten bezeichnen,22122021_11:15,https://www.sueddeutsche.de/panorama/bundesverfassungsgericht-xavier-naidoo-antisemit-1.5493676,Verfassungsbeschwerde,,,"Der bekannte Sänger hatte vor Gericht erreicht, dass der Frau diese Äußerung verboten wurde. Zu Unrecht, wie nun das Bundesverfassungsgericht entschieden hat: Hier gehe es um die ""Bedeutung und Tragweite der Meinungsfreiheit"".",22122021,Sueddeutsche
Was bei Spitzenköchen an Weihnachten auf den Tisch kommt,22122021_11:15,https://www.sueddeutsche.de/muenchen/muenchen-weihnachtsmenue-rezepte-kochen-1.5493043,Weihnachtsmenüs,,Von Franz Kotteder,"Lachs, Roastbeef oder Fondue - aber mal anders: Fünf Münchner Küchenchefs verraten ihre Rezepte fürs Festessen mit der Familie.
                        
                            Von Franz Kotteder",22122021,Sueddeutsche
Astrazeneca bereitet sich auf Impfstoff gegen Omikron vor,22122021_11:14,https://www.sueddeutsche.de/gesundheit/gesundheit-astrazeneca-bereitet-sich-auf-impfstoff-gegen-omikron-vor-dpa.urn-newsml-dpa-com-20090101-211222-99-475568,Gesundheit,dpa,,,22122021,Sueddeutsche
Liga der Ungeimpften,22122021_11:13,https://www.sueddeutsche.de/sport/england-premier-league-corona-impfquote-1.5493278,Corona in der Premier League,,"Von Sven Haist, London","Nach zuletzt zehn Spielabsagen wird klar, wie schlecht die superreiche Premier League dasteht: Ein Viertel der Profis kickt ohne Schutz vor Corona - das Problem dürfte sich noch zuspitzen.
                        
                            Von Sven Haist, London",22122021,Sueddeutsche
Hitlergruß aus Protest: Mann zu Geldstrafe verurteilt,22122021_11:13,https://www.sueddeutsche.de/bayern/prozesse-nuernberg-hitlergruss-aus-protest-mann-zu-geldstrafe-verurteilt-dpa.urn-newsml-dpa-com-20090101-211222-99-475612,Prozesse - Nürnberg,dpa,,,22122021,Sueddeutsche
