Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Der Aufbruch,23122021_12:06,https://www.sueddeutsche.de/kultur/william-melvin-kelley-roman-usa-ein-tropfen-geduld-literatur-1.5492656,"William Melvin Kelleys ""Ein Tropfen Geduld""",,Von Andrian Kreye,"William Melvin Kelley wollte die Sprache der Afroamerikaner in die Hochkultur bringen, doch er verzweifelte am Rassismus seiner Zeit. Endlich werden seine Romane auch in Deutschland entdeckt. 
                        
                            Von Andrian Kreye",23122021,Sueddeutsche,kultur
" ""Für Weihnachten mit der ganzen Familie fehlt mir die Kraft""",23122021_12:06,https://www.jetzt.de/corona/corona-weihnachtsfest-ungeimpft-familie,Pandemie,,Von Lena Mändlen,"Long-Covid, ungeimpfte Familienmitglieder, getrübte Stimmung: Drei junge Menschen erzählen, wie die Corona-Pandemie ihr Weihnachtsfest verändert.
                        
                            Von Lena Mändlen",23122021,Sueddeutsche,corona
Alles musste raus,23122021_12:05,https://sz-magazin.sueddeutsche.de/vorgeknoepft-die-modekolumne/jahresruecklick-mode-2021-91077,Vorgeknöpft - die Modekolumne ,,Von Silke Wichert,"Eine befreite Britney, tiefe Ausschnitte und Männer, die auf dem roten Teppich aufdrehen - unsere Stilkolumnistin hat 2021 viel modischen Freigeist entdeckt. Teil 2 unseres Jahresrückblicks.
                        
                            Von Silke Wichert",23122021,Sueddeutsche,vorgeknoepft-die-modekolumne
24. Dezember: Schmuckstück,23122021_12:01,https://sz-magazin.sueddeutsche.de/90996,SZ-Magazin,,Von ,"Weil an Weihnachten alles funkeln und glitzern soll, verlosen wir heute ein edles Collier des Juweliers Wempe.
                        
                            Von",23122021,Sueddeutsche,90996
Hat sich gut gehalten: Dinosaurier-Embryo zeigt Vogel-Verhalten,23122021_11:58,https://www.sueddeutsche.de/panorama/hat-sich-gut-gehalten-dinosaurier-embryo-zeigt-vogel-verhalten-1.5494637,,,,"Video
                    
                    
                        Forschende bezeichnen den Fund als eines der am besten erhaltenen Exemplare seiner Art, die je entdeckt wurden.",23122021,Sueddeutsche,panorama
"""Meteor""-Expedition forscht in Chiles Fjord-Ökosysteme",23122021_11:57,https://www.sueddeutsche.de/wissen/wissenschaft-meteor-expedition-forscht-in-chiles-fjord-oekosysteme-dpa.urn-newsml-dpa-com-20090101-211223-99-488439,Wissenschaft,dpa,,,23122021,Sueddeutsche,wissen
In diesem Jahr bislang 64 Grippefälle in Rheinland-Pfalz,23122021_11:56,https://www.sueddeutsche.de/gesundheit/gesundheit-koblenz-in-diesem-jahr-bislang-64-grippefaelle-in-rheinland-pfalz-dpa.urn-newsml-dpa-com-20090101-211223-99-488526,Gesundheit - Koblenz,dpa,,,23122021,Sueddeutsche,gesundheit
Trotz Corona: Ferienflieger starten von Sachsen gen Süden,23122021_11:54,https://www.sueddeutsche.de/wirtschaft/luftverkehr-schkeuditz-trotz-corona-ferienflieger-starten-von-sachsen-gen-sueden-dpa.urn-newsml-dpa-com-20090101-211223-99-488478,Luftverkehr - Schkeuditz,dpa,,,23122021,Sueddeutsche,wirtschaft
Gut 91 Millionen Euro Fördermittel für Städtebau,23122021_11:52,https://www.sueddeutsche.de/politik/kommunen-magdeburg-gut-91-millionen-euro-foerdermittel-fuer-staedtebau-dpa.urn-newsml-dpa-com-20090101-211223-99-488455,Kommunen - Magdeburg,dpa,,,23122021,Sueddeutsche,politik
"Abstand, Maske, 3G? Weihnachtsgottesdienste in der Pandemie",23122021_11:50,https://www.sueddeutsche.de/bayern/gesundheit-berlin-abstand-maske-3g-weihnachtsgottesdienste-in-der-pandemie-dpa.urn-newsml-dpa-com-20090101-211223-99-487434,Gesundheit - Berlin,dpa,,,23122021,Sueddeutsche,bayern
