Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Mindestens 22 Tote nach heftigem Schneefall in Pakistan,09012022_14:21,https://www.sueddeutsche.de/panorama/wetter-mindestens-22-tote-nach-heftigem-schneefall-in-pakistan-dpa.urn-newsml-dpa-com-20090101-220109-99-640089,Wetter,dpa,,,10012022,Sueddeutsche
Magdeburg: Protest gegen Corona-Politik legt Innenstadt lahm,09012022_14:18,https://www.sueddeutsche.de/politik/demonstrationen-magdeburg-magdeburg-protest-gegen-corona-politik-legt-innenstadt-lahm-dpa.urn-newsml-dpa-com-20090101-220108-99-636183,Demonstrationen - Magdeburg,dpa,,,10012022,Sueddeutsche
Überfälle auf Passanten in Bad Homburg und Wiesbaden,09012022_14:16,https://www.sueddeutsche.de/panorama/kriminalitaet-bad-homburg-vor-der-hoehe-ueberfaelle-auf-passanten-in-bad-homburg-und-wiesbaden-dpa.urn-newsml-dpa-com-20090101-220109-99-644422,Kriminalität - Bad Homburg vor der Höhe,dpa,,,10012022,Sueddeutsche
Straßer rast aufs Podium und knackt Olympia-Norm,09012022_14:16,https://www.sueddeutsche.de/sport/ski-alpin-strasser-rast-aufs-podium-und-knackt-olympia-norm-dpa.urn-newsml-dpa-com-20090101-220109-99-645081,Ski alpin,dpa,,,10012022,Sueddeutsche
Debatte um Test-Manipulation bei Olympia entzündet,09012022_14:14,https://www.sueddeutsche.de/sport/ski-alpin-debatte-umtest-manipulation-bei-olympia-entzuendet-dpa.urn-newsml-dpa-com-20090101-220109-99-645383,Ski alpin,dpa,,,10012022,Sueddeutsche
Kiel: Bruch in Fernwärmeleitung färbt See grün,09012022_14:13,https://www.sueddeutsche.de/panorama/notfaelle-kiel-bruch-in-fernwaermeleitung-faerbt-see-gruen-dpa.urn-newsml-dpa-com-20090101-220109-99-645396,Notfälle,dpa,,,10012022,Sueddeutsche
Köln gewinnt auch in Berlin,09012022_14:06,https://liveticker.sueddeutsche.de/fussball/1bundesliga/hertha-bsc-berlin/1-fc-koeln/2022-01-09.html,Bundesliga,,Der Liveticker zum Nachlesen,"In der Halbzeit muss der Schiedsrichter ausgewechselt werden, danach bringen die Kölner einen selten gefährdeten Auswärtssieg ins Ziel.
                        
                            Der Liveticker zum Nachlesen",10012022,Sueddeutsche
Demokratie auf der Straße,09012022_14:04,https://www.sueddeutsche.de/meinung/sachsen-demonstrationsrecht-querdenker-polizei-1.5503704,Demonstrationsrecht,,Kommentar von Antonie Rietzschel,"Meinung
                    
                    
                        Sachsen lockert das Demonstrationsrecht. Ob das am Ende der moderaten Mehrheit im Land hilft, entscheidet nicht nur die Polizei.
                        
                            Kommentar von Antonie Rietzschel",10012022,Sueddeutsche
Das Moor verschwindet,09012022_14:02,https://www.sueddeutsche.de/muenchen/landkreismuenchen/unterschleissheim-dachauer-moos-verein-klimaschutz-moorlandschaft-1.5502926,Dachauer Moos,,"Von Bernhard Lohr, Unterschleißheim","Das Dachauer Moos ist wichtig für den Klimaschutz. Die Eingriffe des Menschen sind nicht mehr rückgängig zu machen, viele kleine Schritte aber möglich.
                        
                            Von Bernhard Lohr, Unterschleißheim",10012022,Sueddeutsche
"""Notfalls muss man sich auch mal für eine kostengünstigere Variante entscheiden""",09012022_14:00,https://www.sueddeutsche.de/muenchen/muenchen-deutsches-museum-haecker-interview-1.5503551,Deutsches Museum in München,,Interview von Martina Scherf,"Exklusiv
                    
                    
                        Henrik Häcker kam ans Deutsche Museum, um die Kostenexplosion bei der Sanierung in den Griff zu bekommen. Nun gibt er eine Garantie ab, dass es bei 750 Millionen Euro bleiben wird, und erklärt, warum das gar nicht so eine Riesensumme ist.
                        
                            Interview von Martina Scherf",10012022,Sueddeutsche
Feuer am Waldcampus Eberswalde,09012022_13:58,https://www.sueddeutsche.de/panorama/braende-eberswalde-feuer-am-waldcampus-eberswalde-dpa.urn-newsml-dpa-com-20090101-220109-99-645318,Brände - Eberswalde,dpa,,,10012022,Sueddeutsche
Freiheit für den Oktopus,09012022_13:58,https://www.sueddeutsche.de/wissen/oktopus-aquakultur-tierhaltung-1.5502862,Tierhaltung,,Kommentar von Tina Baier,"Meinung
                    
                    
                        Die Kraken dürfen nicht in Aquakultur gezüchtet werden. Ihre Intelligenz macht eine artgerechte Haltung unmöglich.
                        
                            Kommentar von Tina Baier",10012022,Sueddeutsche
Junge Akrobatin stürzt aus drei Metern ab,09012022_13:56,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/tragischer-unfall-im-circus-junge-akrobatin-stuerzt-aus-drei-metern-ab-1.5503768,Tragischer Unfall im Circus,,,Zehnjährige muss mit Rettungshubschrauber in Klinik gebracht werden,10012022,Sueddeutsche
"DSV-Präsident: ""Keine Erkenntnisse"" zu Betrug",09012022_13:53,https://www.sueddeutsche.de/sport/biathlon-dsv-praesident-keine-erkenntnisse-zu-betrug-dpa.urn-newsml-dpa-com-20090101-220109-99-645196,Biathlon,dpa,,,10012022,Sueddeutsche
Zusammenstoß mit drei Autos: Acht Verletzte auf A560,09012022_13:52,https://www.sueddeutsche.de/panorama/unfaelle-sankt-augustin-zusammenstoss-mit-drei-autos-acht-verletzte-auf-a560-dpa.urn-newsml-dpa-com-20090101-220109-99-644161,Unfälle - Sankt Augustin,dpa,,,10012022,Sueddeutsche
Corona-Fälle: Regionalligist Essen sagt Trainingslager ab,09012022_13:51,https://www.sueddeutsche.de/sport/fussball-essen-corona-faelle-regionalligist-essen-sagt-trainingslager-ab-dpa.urn-newsml-dpa-com-20090101-220109-99-645234,Fußball - Essen,dpa,,,10012022,Sueddeutsche
Vater und Tochter verfolgen Einbrecher in Bremen,09012022_13:49,https://www.sueddeutsche.de/panorama/kriminalitaet-bremen-vater-und-tochter-verfolgen-einbrecher-in-bremen-dpa.urn-newsml-dpa-com-20090101-220109-99-645209,Kriminalität - Bremen,dpa,,,10012022,Sueddeutsche
Schnee sorgt für Verkehrsprobleme: Lastwagen stecken fest,09012022_13:48,https://www.sueddeutsche.de/bayern/wetter-muenchen-schnee-sorgt-fuer-verkehrsprobleme-lastwagen-stecken-fest-dpa.urn-newsml-dpa-com-20090101-220108-99-633430,Wetter - München,dpa,,,10012022,Sueddeutsche
Ein bisschen Krawall darf sein,09012022_13:46,https://www.sueddeutsche.de/sport/borussia-dortmund-eintracht-frankfurt-bundesliga-marco-rose-1.5503675,Borussia Dortmund,,"Von Frank Hellmann, Frankfurt","Der BVB demonstriert beim 3:2 in Frankfurt eine Mentalität, die Trainer Marco Rose zur Dauerhaltung machen möchte - doch der Auftritt zeigt auch, dass 2022 eine Gratwanderung wird.
                        
                            Von Frank Hellmann, Frankfurt",10012022,Sueddeutsche
Günther: Geldzahlung kann Akzeptanz für Erneuerbare erhöhen,09012022_13:43,https://www.sueddeutsche.de/wirtschaft/energie-dresden-guenther-geldzahlung-kann-akzeptanz-fuer-erneuerbare-erhoehen-dpa.urn-newsml-dpa-com-20090101-220109-99-645143,Energie - Dresden,dpa,,,10012022,Sueddeutsche
Chefin vom Dienst,09012022_13:41,https://www.sueddeutsche.de/karriere/nanny-kinderfrau-familie-haushaltsmanagerin-1.5501141,Elite-Babysitter,,Von Nicole Grün,"Windeln wechseln, Kinder bespaßen, Auto zum TÜV bringen: Nannys und Familienmanagerinnen sorgen dafür, dass der Alltag zu Hause rund läuft. Das erfordert viele Fähigkeiten - und eine Menge Fingerspitzengefühl. 
                        
                            Von Nicole Grün",10012022,Sueddeutsche
Ohne Ticket im ICE: gesuchter Sexualstraftäter verhaftet,09012022_13:37,https://www.sueddeutsche.de/panorama/kriminalitaet-hannover-ohne-ticket-im-ice-gesuchter-sexualstraftaeter-verhaftet-dpa.urn-newsml-dpa-com-20090101-220109-99-645117,Kriminalität - Hannover,dpa,,,10012022,Sueddeutsche
Demos gegen Impfpflicht in ganz Deutschland,09012022_13:36,https://www.sueddeutsche.de/politik/demos-gegen-impfpflicht-in-ganz-deutschland-1.5503749,,,,"Video
                    
                    
                        Um ein Zeichen gegen den Einfluss von Rechtsradikalen bei diesen Demos zu setzen, stellten in Dresden mehrere Hundert Menschen Kerzen und Windlichter auf.",10012022,Sueddeutsche
Winter hat im Thüringer Wald wieder Einzug gehalten,09012022_13:34,https://www.sueddeutsche.de/leben/freizeit-ilmenau-winter-hat-im-thueringer-wald-wieder-einzug-gehalten-dpa.urn-newsml-dpa-com-20090101-220109-99-645082,Freizeit - Ilmenau,dpa,,,10012022,Sueddeutsche
"Corona-Tote: Johnson beklagt ""furchtbaren Tribut""",09012022_13:30,https://www.sueddeutsche.de/gesundheit/gesundheit-corona-tote-johnson-beklagt-furchtbaren-tribut-dpa.urn-newsml-dpa-com-20090101-220109-99-645043,Gesundheit,dpa,,,10012022,Sueddeutsche
Tanz im Nebel,09012022_13:30,https://www.sueddeutsche.de/kultur/zeitgeist-1.5502732,Fünf Favoriten der Woche,,Von SZ-Autoren,"Kunstraub als Brettspiel, unendlich vergnügliche Verse, ein Streaming-Angebot des Nederlands Dans Theater und ein Comic in Opernform: Die Empfehlungen der Woche. 
                        
                            Von SZ-Autoren",10012022,Sueddeutsche
Silvester - so warm wie der 1. Juli,09012022_13:29,https://www.sueddeutsche.de/muenchen/starnberg/wetterbilanz-silvester-so-warm-wie-der-1-juli-1.5503474,Wetterbilanz,,Von Armin Greune,"Die Serie der viel zu heißen Jahre wurde unterbrochen, dennoch lag 2021 wieder 1,1 Grad über dem Schnitt
                        
                            Von Armin Greune",10012022,Sueddeutsche
