Titel,URL,Date_Info,News_page
Abwurf nach Hupen: Fünf Reiterinnen streiten sich mit Autofahrer,https://www.spiegel.de/panorama/justiz/bayern-fuenf-reiterinnen-streiten-sich-mit-autofahrer-a-19d0c32f-555f-49cf-a50b-70ff07fd8b8b,01012022_13:06 ,Spiegel
52 Crewmitglieder positiv getestet: Coronafälle halten deutsches Kreuzfahrtschiff in Lissabon fest,https://www.spiegel.de/panorama/aida-nova-coronafaelle-halten-deutsches-kreuzfahrtschiff-in-lissabon-fest-a-44a8b1f8-2c7a-4412-b260-d954e4bcce27,01012022_12:53 ,Spiegel
Steigende Preise: Experten rechnen mit dauerhaft höherer Inflation,https://www.spiegel.de/wirtschaft/steigende-preise-experten-rechnen-mit-dauerhaft-hoeherer-inflation-a-c22d6eff-fc9b-42b7-8711-3ca4cea20c9c,01012022_12:37 ,Spiegel
Miley Cyrus und ihre Outfit-Panne: »So viel hatte ich auf der Bühne noch nie an«,https://www.spiegel.de/panorama/leute/miami-miley-cyrus-meistert-outfit-panne-souveraen-a-9cabfb07-5d1c-4979-a461-c1114833e14d,01012022_12:16 ,Spiegel
Silvesternacht: Ausschreitungen in Leipzig und Dresden,https://www.spiegel.de/panorama/silvester-polizei-meldet-ausschreitungen-in-leipzig-und-dresden-a-685409e9-d65c-4dab-9bf3-ea9253bae8a6,01012022_11:59 ,Spiegel
Vermutlich Gasleck: Retter bergen vierte Leiche nach Explosion in Wohnhaus in Belgien,https://www.spiegel.de/panorama/retter-bergen-vierte-leiche-nach-explosion-in-wohnhaus-in-belgien-a-11002a02-476a-4b7a-a327-ed68dd96852f,01012022_11:48 ,Spiegel
5G-Mobilfunkstandard: US-Behörden wollen schnelles Internet verzögern,https://www.spiegel.de/wirtschaft/5g-us-behoerden-wollen-schnelles-internet-verzoegern-a-a9d7b441-12cf-496b-badc-360280a47bc3,01012022_11:13 ,Spiegel
Trauerfeier in Kapstadt: Südafrika nimmt Abschied von Desmond Tutu,https://www.spiegel.de/panorama/suedafrika-nimmt-abschied-von-desmond-tutu-a-ceb246c1-7ab7-4cf7-bab6-a8cf9f8da83e,01012022_10:54 ,Spiegel
Coronapandemie: Das Virus wird bleiben,https://www.spiegel.de/wissenschaft/coronavirus-beendet-die-omikron-variante-die-pandemie-a-74fc43f3-515b-4a9d-a561-5e2343c621e6,01012022_10:38 ,Spiegel
Galoppierende Inflation: Türkei hebt Energiepreise drastisch an,https://www.spiegel.de/wirtschaft/galoppierende-inflation-tuerkei-hebt-energiepreise-drastisch-an-a-6fe4fc19-bf94-484d-974c-5cb5c7642d5f,01012022_10:29 ,Spiegel
Altersarmut: Jedem Dritten droht Rente von unter 1300 Euro,https://www.spiegel.de/wirtschaft/altersarmut-jedem-dritten-droht-rente-von-unter-1300-euro-a-3cad5e45-a025-4229-898e-e44db10ecf63,01012022_09:58 ,Spiegel
"Änderungen 2022: Höhere Löhne, höhere Abgaben",https://www.spiegel.de/wirtschaft/hoehere-loehne-hoehere-abgaben-das-aendert-sich-2022-a-774e366d-baf0-426b-989a-7be4b85049fb,01012022_09:54 ,Spiegel
"Brokdorf, Grohnde, Gundremmingen: Stromkonzerne nehmen weitere Atommeiler vom Netz",https://www.spiegel.de/wirtschaft/atomausstieg-stromkonzerne-nehmen-brokdorf-grohnde-gundremmingen-vom-netz-a-00638f35-8c0c-495b-9034-fd8c5f830169,01012022_09:36 ,Spiegel
US-Basketball: LeBron James mit Saisonbestwert – Chicago ist das beste Team im Osten,https://www.spiegel.de/sport/basketball/nba-lebron-james-mit-saisonbestwert-chicago-bulls-auf-platz-eins-im-osten-a-150bd710-af86-42d7-8283-245eb0bbb996,01012022_09:11 ,Spiegel
Corona-Jahr im Augenzeugen-Rückblick: »Bei uns wurde die Arbeit immer mehr«,https://www.spiegel.de/panorama/gesellschaft/corona-wie-ein-jahr-einen-detektiv-einen-dj-eine-lehrerin-und-einen-hausarzt-veraendert-haben-a-dfd4fead-8dee-4763-81bc-6e008ab1bc0c,01012022_09:02 ,Spiegel
Neue Euro-Banknoten: Europaabgeordneter fordert Geldscheine mit Biontech-Gründern,https://www.spiegel.de/wirtschaft/europaabgeordneter-moritz-koerner-fordert-geldscheine-mit-biontech-gruendern-a-ff464944-f9be-49a5-96d9-1f0a40f11a9f,01012022_08:54 ,Spiegel
Wir drehen eine Runde: Toyota Yaris Cross: Hoch auf demselben Wagen,https://www.spiegel.de/auto/fahrberichte/toyota-yaris-cross-im-video-test-hoch-auf-dem-kleinen-wagen-a-ea4bd6b3-d098-43f0-b507-12cba8699b3c,01012022_08:32 ,Spiegel
Mein Wunsch zum neuen Jahr: Keines hält sich für die Norm,https://www.spiegel.de/kultur/sibylle-berg-mein-wunsch-zum-neuen-jahr-a-a7e697da-f1a0-4287-8af4-eb69c36c9028,01012022_08:31 ,Spiegel
