Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Nach Wutausbruch von Zverev: 40 000 Dollar Strafe,24022022_22:00,https://www.sueddeutsche.de/sport/tennis-nach-wutausbruch-von-zverev-40-000-dollar-strafe-dpa.urn-newsml-dpa-com-20090101-220224-99-277000,Tennis,dpa,,,24022022,Sueddeutsche,sport
Alba Berlin siegt vier Tage nach Pokalsieg in Villeurbanne,24022022_21:57,https://www.sueddeutsche.de/sport/basketball-berlin-alba-berlin-siegt-vier-tage-nach-pokalsieg-in-villeurbanne-dpa.urn-newsml-dpa-com-20090101-220224-99-276976,Basketball - Berlin,dpa,,,24022022,Sueddeutsche,sport
Borussia Dortmund verpasst Achtelfinale der Europa League,24022022_21:56,https://www.sueddeutsche.de/sport/fussball-borussia-dortmund-verpasst-achtelfinale-der-europa-league-dpa.urn-newsml-dpa-com-20090101-220224-99-276949,Fußball,dpa,,,24022022,Sueddeutsche,sport
Dortmund verabschiedet sich aus der Europa League,24022022_21:54,https://www.sueddeutsche.de/sport/bvb-rangers-europa-league-1.5536414,Fußball,,,Der BVB spielt bei den Glasgow Rangers nur 2:2 - zu wenig nach der 2:4-Niederlage im Hinspiel. Damit ist die Borussia aus allen Pokal-Wettbewerben ausgeschieden.,24022022,Sueddeutsche,sport
Unwetter sorgt für Feuerwehreinsätze in Hannover,24022022_21:51,https://www.sueddeutsche.de/panorama/notfaelle-hannover-unwetter-sorgt-fuer-feuerwehreinsaetze-in-hannover-dpa.urn-newsml-dpa-com-20090101-220224-99-276910,Notfälle - Hannover,dpa,,,24022022,Sueddeutsche,panorama
Krankenhausgesellschaft von geplantem Pflegebonus enttäuscht,24022022_21:49,https://www.sueddeutsche.de/bayern/gesundheit-muenchen-krankenhausgesellschaft-von-geplantem-pflegebonus-enttaeuscht-dpa.urn-newsml-dpa-com-20090101-220224-99-276852,Gesundheit - München,dpa,,,24022022,Sueddeutsche,bayern
Biden kämpft an drei Fronten,24022022_21:49,https://www.sueddeutsche.de/politik/ukraine-usa-biden-sanktionen-1.5536191,Reaktion der USA,,"Von Fabian Fellmann, Washington","Die USA verschärfen die Sanktionen gegen Russland deutlich. Der Präsident sagt, er hätte gerne noch härtere Maßnahmen verhängt. Sorgen bereiten ihm die steigenden Energiepreise.
                        
                            Von Fabian Fellmann, Washington",24022022,Sueddeutsche,politik
Handball: Flensburg-Handewitt verliert 30:33 in Paris,24022022_21:44,https://www.sueddeutsche.de/sport/handball-paris-handball-flensburg-handewitt-verliert-3033-in-paris-dpa.urn-newsml-dpa-com-20090101-220224-99-276837,Handball - Paris,dpa,,,24022022,Sueddeutsche,sport
SG Flensburg-Handewitt kassiert Niederlage in Paris,24022022_21:42,https://www.sueddeutsche.de/sport/handball-sg-flensburg-handewitt-kassiert-niederlage-in-paris-dpa.urn-newsml-dpa-com-20090101-220224-99-276774,Handball,dpa,,,24022022,Sueddeutsche,sport
Peters fordert von UEFA Prüfen der Gazprom-Partnerschaft,24022022_21:36,https://www.sueddeutsche.de/sport/fussball-peters-fordert-von-uefa-pruefen-der-gazprom-partnerschaft-dpa.urn-newsml-dpa-com-20090101-220224-99-276621,Fußball,dpa,,,24022022,Sueddeutsche,sport
"Scholz: ""Putin wird nicht gewinnen""",24022022_21:33,https://www.sueddeutsche.de/politik/konflikte-scholz-putin-wird-nicht-gewinnen-dpa.urn-newsml-dpa-com-20090101-220224-99-261309,Konflikte,dpa,,,24022022,Sueddeutsche,politik
VW geht Porsche-Börsengang an: 25 Prozent an den Markt,24022022_21:31,https://www.sueddeutsche.de/wirtschaft/auto-wolfsburg-vw-geht-porsche-boersengang-an-25-prozent-an-den-markt-dpa.urn-newsml-dpa-com-20090101-220224-99-275564,Auto - Wolfsburg,dpa,,,24022022,Sueddeutsche,wirtschaft
Russland: 1700 Festnahmen bei Anti-Kriegs-Demos,24022022_21:30,https://www.sueddeutsche.de/politik/demonstrationen-russland-1700-festnahmen-bei-anti-kriegs-demos-dpa.urn-newsml-dpa-com-20090101-220224-99-273168,Demonstrationen,dpa,,,24022022,Sueddeutsche,politik
Demonstrationen und Mahnwache gegen Krieg in der Ukraine,24022022_21:28,https://www.sueddeutsche.de/politik/konflikte-greifswald-demonstrationen-und-mahnwache-gegen-krieg-in-der-ukraine-dpa.urn-newsml-dpa-com-20090101-220224-99-276662,Konflikte - Greifswald,dpa,,,24022022,Sueddeutsche,politik
Bilder des Tages,24022022_21:19,https://www.sueddeutsche.de/kultur/fotografie-bilder-des-tages-dpa.urn-newsml-dpa-com-20090101-220224-99-259269,Fotografie,dpa,,,24022022,Sueddeutsche,kultur
"Biden kündigt weitere ""starke"" Sanktionen an",24022022_21:18,https://www.sueddeutsche.de/politik/konflikte-biden-kuendigt-weitere-starke-sanktionen-an-dpa.urn-newsml-dpa-com-20090101-220224-99-260374,Konflikte,dpa,,,24022022,Sueddeutsche,politik
Lambrecht: Werden Nato-Ostflanke verstärken,24022022_21:16,https://www.sueddeutsche.de/politik/nato-lambrecht-werden-nato-ostflanke-verstaerken-dpa.urn-newsml-dpa-com-20090101-220224-99-266841,Nato,dpa,,,24022022,Sueddeutsche,politik
Mit Reife bestanden: RB Leipzig zieht ins Achtelfinale ein,24022022_21:14,https://www.sueddeutsche.de/sport/fussball-mit-reife-bestanden-rb-leipzig-zieht-ins-achtelfinale-ein-dpa.urn-newsml-dpa-com-20090101-220224-99-275530,Fußball,dpa,,,24022022,Sueddeutsche,sport
Mahnwache und Friedensgebet für die Ukraine,24022022_21:14,https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/fuerstenfeldbruck-mahnwache-friedensgebet-ukraine-endigna-gruene-jugend-krieg-1.5536410,In Fürstenfeldbruck,,"Von Christian Hufnagel, Fürstenfeldbruck","Im Landkreis finden die ersten Solidaritätskundgebungen für das vom Krieg heimgesuchte Land statt
                        
                            Von Christian Hufnagel, Fürstenfeldbruck",24022022,Sueddeutsche,muenchen
Russland warnt USA: Wer wird ISS vor Absturz bewahren?,24022022_21:05,https://www.sueddeutsche.de/politik/konflikte-russland-warnt-usawer-wird-iss-vor-absturz-bewahren-dpa.urn-newsml-dpa-com-20090101-220224-99-276295,Konflikte,dpa,,,24022022,Sueddeutsche,politik
"Folk aus Irland, Humor aus Frankreich",24022022_20:55,https://www.sueddeutsche.de/muenchen/ebersberg/theaterverein-markt-schwaben-matching-ties-der-vorname-1.5535967,Kulturvorschau,,,"Theaterverein Markt Schwaben beendet seine Winterpause mit einem Konzert und einer selbst inszenierten Komödie: Auf dem Programm stehen ""Matching Ties"" und ""Der Vorname"".",24022022,Sueddeutsche,muenchen
Mieterverein nur noch direkt anschreiben,24022022_20:55,https://www.sueddeutsche.de/muenchen/ebersberg/grafing-landkreis-ebersberg-mieterverein-1.5535752,Postfächer aufgelöst,,,,24022022,Sueddeutsche,muenchen
Neue Heimat für Senioren,24022022_20:55,https://www.sueddeutsche.de/muenchen/ebersberg/kirchseeon-senioren-alter-wohnen-gemeinderat-1.5535634,Leben im Alter,,"Von Andreas Junkmann, Kirchseeon","Weil das Awo-Seniorenheim am Dachsberg in die Jahre gekommen ist, soll im Kirchseeoner Zentrum ein moderner Neubau entstehen. Bis zu 120 Bewohner können dort künftig ihren Lebensabend verbringen.
                        
                            Von Andreas Junkmann, Kirchseeon",24022022,Sueddeutsche,muenchen
Testpflicht für Seniorenheime wird verlängert,24022022_20:55,https://www.sueddeutsche.de/muenchen/ebersberg/ebersberg-corona-inzidenz-seniorenheim-pflege-1.5536144,Corona in Ebersberg,,,Das Ebersberger Landratsamt verlängert die Testpflicht in Pflegeeinrichtung. Grund ist die immer noch hohe Corona-Inzidenz.,24022022,Sueddeutsche,muenchen
Krapfen für den guten Zweck,24022022_20:55,https://www.sueddeutsche.de/muenchen/ebersberg/landkreis-ebersberg-rotary-club-ebersberg-grafing-kreisklinik-ebersberg-1.5535824,Rotary-Club Ebersberg-Grafing,,,,24022022,Sueddeutsche,muenchen
"Eine Zeugin für mich, eine für dich...",24022022_20:55,https://www.sueddeutsche.de/muenchen/ebersberg/landkreis-ebersberg-amtsgericht-sexuelle-belaestigung-1.5536200,Amtsgericht Ebersberg,,"Von Merlin Wassermann, Ebersberg","Der Prozess um den Geschäftsführer eines Bekleidungsgeschäfts geht in die nächste Runde. Die Verteidigung versucht, die Zeuginnen und Zeugen der Gegenseite als psychisch labil und voller Groll darzustellen - mit mäßigem Erfolg.
                        
                            Von Merlin Wassermann, Ebersberg",24022022,Sueddeutsche,muenchen
