Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Mopsende Miezen,23022022_09:49,https://www.sueddeutsche.de/politik/katzen-island-1.5535416,Island,,Von Nicolas Freund,"Warum in dem Inselstaat auffällig oft von klauenden Katzen berichtet wird.
                        
                            Von Nicolas Freund",23022022,Sueddeutsche
Das Streiflicht,23022022_09:49,https://www.sueddeutsche.de/politik/glosse-das-streiflicht-1.5535225,Glosse,,,,23022022,Sueddeutsche
Söder tauscht mehrere Minister aus,23022022_09:49,https://www.sueddeutsche.de/politik/bayern-soeder-tauscht-mehrere-minister-aus-1.5535414,Bayern,,"Von Matthias Köpf, München","Eineinhalb Jahre vor der Landtagswahl holt Bayerns Ministerpräsident neue Gesichter ins Kabinett. Der Bundestagsabgeordnete Stephan Mayer wird Generalsekretär.
                        
                            Von Matthias Köpf, München",23022022,Sueddeutsche
Aus Referenten könnten Stadtminister werden,23022022_09:49,https://www.sueddeutsche.de/muenchen/muenchen-referenten-stadtminister-gemeindeordnung-vorstoss-1.5535399,Spitzenpositionen in München,,Von Anna Hoben,"München unternimmt nach den Debatten der vergangenen Tage einen Vorstoß beim Land, die Jobs aufzuwerten und eindeutiger als politische Ämter zu definieren. Die aktuelle Rechtslage ist nicht zeitgemäß, findet auch Oberbürgermeister Dieter Reiter.
                        
                            Von Anna Hoben",23022022,Sueddeutsche
Cyberangriff in der Ukraine belastet Aktienmarkt,23022022_09:48,https://www.sueddeutsche.de/wirtschaft/boersen-cyberangriff-in-der-ukraine-belastet-aktienmarkt-dpa.urn-newsml-dpa-com-20090101-220223-99-248338,Börsen,dpa,,,23022022,Sueddeutsche
Wie sich der Konflikt zwischen Moskau und Kiew zuspitzte,23022022_17:37,https://www.sueddeutsche.de/politik/international-wie-sich-der-konflikt-zwischen-moskau-und-kiew-zuspitzte-dpa.urn-newsml-dpa-com-20090101-220223-99-253880,International,dpa,,,23022022,Sueddeutsche
Der direkte Draht ist abgerissen,23022022_17:36,https://www.sueddeutsche.de/muenchen/landkreismuenchen/csu-kerstin-schreyer-florian-hahn-reaktionen-1.5535471,CSU,,"Von Iris Hilberth und Bernhard Lohr, Unterhaching","Parteifreunde im Kreisverband München-Land verhehlen nicht ihre Enttäuschung über die Abberufung von Kerstin Schreyer aus dem Kabinett. Außerdem fragen sie sich, was eigentlich die Aufgabe des neuen ""internationalen Sekretärs"" Florian Hahn sein soll.
                        
                            Von Iris Hilberth und Bernhard Lohr, Unterhaching",23022022,Sueddeutsche
"Sie merkten nicht, was in der Nacht geschah",23022022_17:36,https://www.sueddeutsche.de/panorama/bielefeld-krankenhaus-vergewaltigung-metoo-prozess-1.5534785,Missbrauch im Krankenhaus,,Von Benedikt Warmbrunn,"Im Klinikum Bethel in Bielefeld soll ein Assistenzarzt mindestens 32 Frauen betäubt und vergewaltigt haben. Über ein Krankenhaus, in dem niemand etwas mitbekommen haben will, und eine Staatsanwaltschaft, die Opfer jahrelang unwissend ließ.
                        
                            Von Benedikt Warmbrunn",23022022,Sueddeutsche
EU beruft Sondergipfel ein,23022022_17:34,https://www.sueddeutsche.de/politik/ukraine-russland-eu-konflikt-news-botschafter-1.5533918,Konflikt mit Russland,,Alle Entwicklungen zur Krise im Liveblog,"Live
                    
                    
                        Die 27 Staats- und Regierungschefs beraten am Donnerstag in Brüssel über die Russland-Ukraine-Krise. In Berlin wurde der russische Botschafter Netschajew einbestellt. 
                        
                            Alle Entwicklungen zur Krise im Liveblog",23022022,Sueddeutsche
Mehr Geld für Beschäftigte des Nudelherstellers Möwe,23022022_17:32,https://www.sueddeutsche.de/wirtschaft/lebensmittel-kargow-mehr-geld-fuer-beschaeftigte-des-nudelherstellers-moewe-dpa.urn-newsml-dpa-com-20090101-220223-99-250732,Lebensmittel - Kargow,dpa,,,23022022,Sueddeutsche
CTS Eventim erhält 36 Millionen Euro Coronahilfe,23022022_17:32,https://www.sueddeutsche.de/bayern/dienstleistungen-muenchen-cts-eventim-erhaelt-36-millionen-euro-coronahilfe-dpa.urn-newsml-dpa-com-20090101-220223-99-256592,Dienstleistungen - München,dpa,,,23022022,Sueddeutsche
Es braucht Gas als Übergangs-Lösung,23022022_17:30,https://www.sueddeutsche.de/wirtschaft/es-braucht-gas-als-uebergangs-loesung-1.5535473,,,,"Video
                    
                    
                        Die deutsche Gaswirtschaft sieht derzeit keine Anzeichen für Gasversorgungsengpässe aufgrund des Stopps der Ostseepipeline Nord Stream 2.",23022022,Sueddeutsche
"Gewagt, geklagt, Miete gespart",23022022_17:29,https://www.sueddeutsche.de/muenchen/muenchen-mietpreisbremse-klage-1.5535186,Wohnungsmarkt,,Von Bernd Kastner und Susi Wimmer,"Immer mehr Münchnerinnen und Münchner trauen sich, wegen zu hoher Kosten für ihre Wohnung gegen ihre Vermieter vorzugehen. Wer auf die Mietpreisbremse hoffen darf - und wer nicht. 
                        
                            Von Bernd Kastner und Susi Wimmer",23022022,Sueddeutsche
"Bunter Wetter-Mix mit Wolken, Wind und Sonne",23022022_17:28,https://www.sueddeutsche.de/panorama/wetter-bunter-wetter-mix-mit-wolken-wind-und-sonne-dpa.urn-newsml-dpa-com-20090101-220223-99-253088,Wetter,dpa,,,23022022,Sueddeutsche
Bayern: Mayer soll neuer CSU-Generalsekretär werden,23022022_17:27,https://www.sueddeutsche.de/politik/kabinett-bayern-mayer-soll-neuer-csu-generalsekretaer-werden-dpa.urn-newsml-dpa-com-20090101-220223-99-249585,Kabinett,dpa,,,23022022,Sueddeutsche
Italien hebt Ausnahmezustand Ende März auf,23022022_17:27,https://www.sueddeutsche.de/politik/corona-aktuell-italien-ausnahmezustand-ende-1.5533259,Meldungen zum Coronavirus,,Nachrichten aus Deutschland und aller Welt,"Die Regelung, die Bürokratie bei der Bekämpfung des Virus eindämmen sollte, war Anfang 2020 eingeführt worden. 83 Prozent der Menschen in Afrika sind noch ohne Corona-Impfung. 

                        
                            Nachrichten aus Deutschland und aller Welt",23022022,Sueddeutsche
Zahnarzt wegen Dreifachmordes vor Gericht,23022022_17:24,https://www.sueddeutsche.de/panorama/prozesse-kiel-zahnarzt-wegen-dreifachmordes-vor-gericht-dpa.urn-newsml-dpa-com-20090101-220222-99-242167,Prozesse - Kiel,dpa,,,23022022,Sueddeutsche
