Titel,Overline,Date_Info,Kategorie,URL,detailed_informations,bild_plus,Zugriff_Datum,News_page
SEK nimmt Student (21) fest,Falscher Amok-Alarm,2022-05-19 19:36:05,Leipzig,/regional/leipzig/leipzig-news/falscher-amokalarm-in-leipzig-sek-nimmt-student-fest-80135994.bild.html,"
                                Ein Schülerprojekt hat in Leipzig einen SEK-Einsatz ausgelöst. ",False,19052022,Bild
Klaas fordert Fleischkäs'-Rabatt,TV-Moderator wettert,2022-05-19 17:34:46,Saarland,/regional/saarland/saarland-news/tv-moderator-wettert-klaas-fordert-fleischkaes-rabatt-80141964.bild.html,"
                                Da wird doch der Fleischkäs' im Weck verrückt!... ",False,19052022,Bild
Nordhausen bleibt abgehängt,Bahnausbau verzögert sich,2022-05-19 16:26:11,Thüringen,/regional/thueringen/thueringen-aktuell/verbindung-nordhausen-erfurt-bahn-kuendigt-jahrelange-verzoegerung-an-80140416.bild.html,"
                                Bis 2025 sollte sich die Anbindung nach Erfurt verbessern. Doch der Ausbau verzögert sich.",False,19052022,Bild
Aus dem All habe ich die Raketen-Einschläge gesehen,Astronaut zur Ukraine,2022-05-19 14:43:47,Ratgeber,/ratgeber/wissenschaft/ratgeber/interview-mit-astro-matthias-aus-dem-all-habe-ich-die-raketen-einschlaege-gesehe-80127536.bild.html,"
                                Astronaut Matthias Maurer (52) ist zurück von der ISS. Exklusiv-Interview mit BILD.",False,19052022,Bild
Die Jakic Twins fliegen im Doppelpack raus,„Kampf der Realitystars“,2022-05-19 12:33:10,Leute,/unterhaltung/leute/leute/kampf-der-realitystars-die-jakic-twins-gibt-es-nur-im-doppelpack-79693184.bild.html,"
                                Die Jakic Twins Ilona und Suzana gingen bei der Show als Team an den Start. Mehr Infos hier!",False,19052022,Bild
Deshalb nehme ich eine Auszeit bei GZSZ,Felix von Jascheroff,2022-05-19 10:17:46,Leute,/unterhaltung/leute/leute/gzsz-star-felix-von-jascheroff-deshalb-nehme-ich-eine-soap-auszeit-80124274.bild.html,"
                                In den kommenden Wochen müssen Soap-Fans auf Felix von Jascheroff verzichten. Der Grund!",False,19052022,Bild
Joggerin (41) im Bürgerpark vergewaltigt,Mitten in Bremen,2022-05-19 20:50:05,Bremen,/regional/bremen/bremen-aktuell/mitten-in-bremen-joggerin-41-im-buergerpark-vergewaltigt-80137246.bild.html,"
                                Ein bislang unbekannter Mann hat im Bürgerpark eine Joggerin angegriffen und vergewaltigt.",False,19052022,Bild
So malen Kinder aus der Ukraine den Krieg,Bewegende Ausstellung,2022-05-19 19:35:07,Köln,/regional/koeln/koeln-aktuell/ausstellung-in-koeln-so-malen-kinder-aus-der-ukraine-den-krieg-80143456.bild.html,"
                                Valeria (10) hat den Schrecken gemalt, den sie vor ihrem Fenster sieht: brennende Häuser und Ruinen.",False,19052022,Bild
Erleben Sie BILD100 Sport LIVE,Exklusiv für BILDplus-Kunden,2022-05-19 17:30:51,,/bild-plus/sport/2022/sport/exklusiv-fuer-bildplus-kunden-erleben-sie-bild100-sport-live-80132494.bild.html,"
                                Am Freitag steigt im Berliner Axel-Springer-Haus BILD100 Sport! ",True,19052022,Bild
Er hat richtig BOCK auf den Zaun,Tier-rettung,2022-05-19 16:26:18,Hamburg,/regional/hamburg/hamburg-aktuell/tier-rettung-er-hat-richtig-bock-auf-den-zaun-80141062.bild.html,"
                                Irre Tier-Rettung an der Fünfhausener Straße in Hamburg!",False,19052022,Bild
„Hertha gehört in die Bundesliga!“,Friedrich fiebert mit,2022-05-19 14:39:17,Bundesliga,/sport/fussball/fussball/hertha-bsc-friedrich-fiebert-mit-hertha-gehoert-in-die-bundesliga-80140360.bild.html,"
                                Ex-Kapitän und -Sportdirektor Friedrich ist von Herthas Klassenerhalt überzeugt, wenn...",False,19052022,Bild
Peinlicher Irak-Versprecher von Ex-US-Präsident Bush,Es ging um die Ukraine,2022-05-19 12:32:21,Politik Ausland,/politik/ausland/politik-ausland/ukraine-krieg-ex-us-praesident-george-w-bush-mit-peinlichem-irak-versprecher-80138558.bild.html,"
                                Dem früheren US-Präsidenten George W. Bush geht sein Irak-Krieg offenbar nicht aus dem Kopf.",False,19052022,Bild
So feiert die ganze  Welt unsere Eintracht!,Die Pressestimmen,2022-05-19 10:17:27,Fussball,/sport/fussball/europa-league/eintracht-frankfurt-pressestimmen-dank-trapp-hat-frankfurt-europa-zurueckerobert-80135590.bild.html,"
                                Eintracht Frankfurt hat die Europa League gewonnen! Die Pressestimmen.",False,19052022,Bild
Influencerin fackelt fast die Küche ab!,Live beim Kochen,2022-05-19,Leute,"https://www.bild.de/video/clip/video/fett-explosion-bei-livestream-influencer-koechin-fackelt-fast-die-kueche-ab-bild-boxx-80131764,auto=true.bild.html","
                                Möchtegern-Köchin kajnecaron mag‘s heiß, ein Megastar wechselt Windeln und Courtney Cox hat irgendwas mit den Augen – in der BILDBoxx mit Martin Gerstenberg.",False,19052022,Bild
Ein neues Traumpaar – und eine Neubesetzung!,Heiße „Bridgerton“-News,2022-05-19 19:21:09,TV,/unterhaltung/tv/tv/bridgerton-staffel-3-ein-neues-traumpaar-und-hannah-dodd-ist-die-neue-80127874.bild.html,"
                                Lady Whistledown weiß es eh längst: „Bridgerton“ traut sich für Staffel 3 was Neues!",False,19052022,Bild
Haft für falschen Impfarzt,Hochstapler,2022-05-19 17:28:53,München,/regional/muenchen/muenchen-aktuell/urteil-in-traunstein-haft-fuer-falschen-impfarzt-80140776.bild.html,"
                                Die Traunsteiner Richterin Jacqueline Aßbichler ordnete Haft für falschen Impfarzt an.",False,19052022,Bild
„Einen Diktat-Frieden wird es nicht geben“,Klare Scholz-Ansage an Putin,2022-05-19 16:25:52,Politik Inland,/politik/inland/politik-inland/scholz-erklaert-seine-ukraine-politik-regierungserklaerung-live-80135820.bild.html,"
                                Regierungserklärung im Bundestag. Scholz spricht über die Lage in der Ukraine und Deutschland.",False,19052022,Bild
Iris Klein ist nach Corona-Erkrankung zurück in der Sala,„Kampf der Realitystars“,2022-05-19 14:35:46,Leute,/unterhaltung/leute/leute/kampf-der-realitystars-iris-klein-ist-nach-corona-erkrankung-zurueck-in-der-sala-79605722.bild.html,"
                                Iris Klein ist die Mutter der Katze und von Dschungelkönigin Jenny.",False,19052022,Bild
"Opfer spricht in BILD: „Ich dachte, ich bin tot!“",Ecstasy im Champagner,2022-05-19 12:30:52,News Inland,/news/inland/news-inland/ecstasy-statt-schampus-opfer-spricht-ueber-die-todes-nacht-von-weiden-80135768.bild.html,"
                                Ausgelassen hatten die Freunde Mitte Februar 2022 den TV-Auftritt ihres Kumpels in der…",False,19052022,Bild
Rätsel um Trapps Trinkflasche,Eintrachts Elfer-Geheimnisse,2022-05-19,,"https://www.bild.de/video/clip/bild-tv/eintrachts-elfer-geheimnisse-raetsel-um-trapps-trinkflasche-reif-ist-live-80135980,auto=true.bild.html","
                                Kevin Trapp ist Frankfurts Elfer-Held. Ist Ihnen etwas an seiner Trinkflasche aufgefallen?",False,19052022,Bild
Heute sagt ein Hollywoodstar aus,HIER LIVE den Depp-Prozess schauen!,2022-05-19 21:03:47,Leute,/unterhaltung/leute/leute/depp-prozess-hier-live-schauen-heute-sagt-ein-hollywoodstar-aus-80140744.bild.html,"
                                Tag 18 im wohl skandalösesten Promi-Gerichtsprozess seit Jahren.",False,19052022,Bild
Unwetter tobt über NRW,"Gewitter, Starkregen, Sturmböen",2022-05-19,Ruhrgebiet,"https://www.bild.de/video/clip/video/gewitter-starkregen-sturmboeen-unwetter-tobt-ueber-nrw-80144818,auto=true.bild.html","
                                Der Deutsche Wetterdienst hatte für den Donnerstagnachmittag für das westliche Nordrhein-Westfalen eine amtliche Unwetterwarnung rausgegeben.",False,19052022,Bild
Saar-Landtag verjüngt sich um acht Jahre,Durchschnittsalter 46,2022-05-19 17:28:00,Saarland,/regional/saarland/saarland-news/durchschnittsalter-46-saar-landtag-verjuengt-sich-um-acht-jahre-80143286.bild.html,"
                                Die jüngste Wahl senkte den Alters-Schnitt im Saar-Landtag. Männer dominieren weiter...",False,19052022,Bild
Ambers geheimes  Liebes-Tagebuch,Sie schrieb an Johnny,2022-05-19 16:23:37,Leute,/bild-plus/unterhaltung/leute/leute/amber-heard-schrieb-an-johnny-depp-ihr-geheimes-liebes-tagebuch-80137430.bild.html,"
                                In ihrem Paar-Tagebuch wollten Amber Heard und Johnny Depp jeden Moment festhalten. ",True,19052022,Bild
Verjüngungskur ohne Experimente,BMW-3er-Facelift,2022-05-19 14:32:27,Auto-News,/auto/auto-news/auto-news/bmw-3er-facelift-verjuengungskur-ohne-experimente-80127268.bild.html,"
                                Geglätteter Look, modernes Cockpit, Handschalterweg, mehr Serienausstattung: der neue 3er",False,19052022,Bild
Schüsse an Schule  in Bremerhaven,Amok-Alarm,2022-05-19,News Inland,"https://www.bild.de/video/clip/video/amok-alarm-schuesse-an-schule-in-bremerhaven-nonstopnews-80139134,auto=true.bild.html","
                                Am Lloyd-Gymnasium sind am Donnerstagmorgen Schüsse gefallen. Das meldet die zuständige Polizei. Eine Person wurde dabei schwer verletzt und in ein Krankenhaus gebracht. Es soll sich NICHT um einen Schüler handeln. ",False,19052022,Bild
Schicken Sie uns Ihren Deutsche-Bahn-Ärger!,Immer mehr Chaos,2022-05-19 10:17:21,,/sparfochs/2022/sparfochs/deutschen-bahn-aerger-und-chaos-erzaehlen-sie-bild-ihre-geschichte-80126278.bild.html,"
                                Verspätungen, Zugausfälle und oft haarsträubende Kommunikation gibt es jeden Tag bei der DB.",False,19052022,Bild
32-Jähriger schwängert  Mädchen(13),Staatsanwalt klagt an,2022-05-19 20:48:55,Dresden,/regional/dresden/dresden-aktuell/dresden-32-jaehriger-schwaengert-maedchen-13-80145564.bild.html,"
                                Missbrauchs-Prozess am Dresdner Landgericht. Arman A. (32) soll Kind geschwängert haben.",False,19052022,Bild
Sie lebten friedlich mit den Russen – nun muss die Nato her,BILD in Finnland,2022-05-19 19:14:13,Politik Ausland,/politik/ausland/politik-ausland/report-von-der-finnisch-russischen-grenze-nun-muss-die-nato-her-80141128.bild.html,"
                                BILD unterwegs an der finnisch-russischen Grenze: Was die Menschen fürchten, was sie hoffen.",False,19052022,Bild
Handy am Steuer wird (schneller) teuer!,Kamera gegen Sünder,2022-05-19 17:20:44,Frankfurt,/regional/frankfurt/frankfurt-aktuell/kamera-ueberfuehrt-suender-handy-am-steuer-wird-schneller-teuer-80143196.bild.html,"
                                Vorsicht Kamera! Ein neues System soll in RLP Handy-Sünder am Steuer überführen ...",False,19052022,Bild
Bayer hat Hlozek  auf der Liste,Super-Talent aus Prag,2022-05-19 16:20:50,Bundesliga,/sport/fussball/fussball/bayer-leverkusen-super-talent-aus-prag-bayer-hat-adam-hlozek-auf-der-liste-80142532.bild.html,"
                                Das tschechische Talent Adam Hlozek von Sparta Prag ist ein Kandidat für Bayer Leverkusen.",False,19052022,Bild
Ende des Jahres knallt es wieder,Meghan und Harry,2022-05-19 14:31:51,Leute,/unterhaltung/leute/leute/harry-und-meghan-netflix-dreht-jetzt-auch-bei-ihnen-zu-hause-80139012.bild.html,"
                                Netflix dreht jetzt auch in Harrys Villa in den USA. Die Queen dürfte not amused sein.",False,19052022,Bild
Musste Yeliz alles  für Jimi Blue bezahlen?,„Kampf der Realitystars“,2022-05-19 12:24:38,TV,/unterhaltung/tv/tv/kampf-der-realitystars-musste-yeliz-koc-alles-fuer-jimi-blue-bezahlen-80131972.bild.html,"
                                Die Ereignisse überschlugen sich bei „Kampf der Realitystars“. Für Spannung sorgte Yeliz.",False,19052022,Bild
Insider rechnet mit 2-3 neuen Stars,Eintracht im Kohle-Rausch,2022-05-19,,"/video/clip/bild-tv/eintracht-im-kohle-rausch-insider-rechnet-mit-2-3-neuen-stars-reif-ist-live-80136078,auto=true.bild.html","
                                Dieser Sieg spült Frankfurt Millionen in die Kasse. Was damit passieren soll.",False,19052022,Bild
Das ist Googles neues Hauptquartier!,Kosten: 1 Mrd. Euro,2022-05-19,Digital,"https://www.bild.de/video/clip/video/kosten-1-mrd-euro-das-ist-googles-neues-hauptquartier-80145432,auto=true.bild.html","
                                Drei Gebäude mit gewölbten Profilen und über 100.000 m² Fläche nimmt das neue Hauptquartier des Internet-Riesen Google ein.",False,19052022,Bild
Schröder verliert Teil seiner Sonderrechte,Bundestag beschließt,2022-05-19 19:10:31,Politik,/politik/2022/politik/altkanzler-schroeder-verliert-teil-seiner-sonderrechte-wegen-russland-kontakte-80140638.bild.html,"
                                Altbundeskanzler Gerhard Schröder muss auf einen Teil seiner Privilegien verzichten.",False,19052022,Bild
Knochenbruch nach Tribünensturz,OP bei Eintracht-Ultra ,2022-05-19 17:19:59,Fussball,/sport/fussball/europa-league/eintracht-frankfurt-fan-faellt-beim-jubeln-von-tribuene-wie-es-ihm-jetzt-geht-80136840.bild.html,"
                                Schock-Moment während des Endspiels! Ein Frankfurt-Anhänger fällt und verletzt sich.",False,19052022,Bild
Land muss weitere Lohn-Entschädigungen zahlen,Nach Corona-Quarantäne,2022-05-19 16:19:22,Ruhrgebiet,/regional/ruhrgebiet/ruhrgebiet-aktuell/fleisch-industrie-land-muss-weitere-lohn-entschaedigungen-zahlen-80141080.bild.html,"
                                2020 ging wegen Corona lange nichts mehr bei den Fleischriesen. Unternehmen klagten.",False,19052022,Bild
Was heißt für SIE Heimat?,Faeser will erweiterte Bedeutung,2022-05-19 14:31:20,News Inland,/news/inland/news-inland/nancy-faeser-will-bedeutung-des-wortes-ausweiten-bild-fragt-menschen-in-deutschl-80133322.bild.html,"
                                Was ist Heimat? Wenn es nach Nancy Faeser geht, müssen wir wohl alle umlernen. ",False,19052022,Bild
Bankangestellte retten das Vermögen einer Seniorin,Trickbetrug,2022-05-19 12:24:53,München,/regional/muenchen/muenchen-aktuell/fuerstenfeldbruck-bankangestellte-retten-seniorin-vor-trickbetrug-80139208.bild.html,"
                                Fürstenfeldbruck – Bankangestellte haben das Vermögen einer Seniorin gerettet.",False,19052022,Bild
Jetzt drohen Tornado-Stürme,Superzellen-Alarm,2022-05-19,News Inland,"/video/clip/news-inland/superzellen-alarm-jetzt-drohen-tornado-stuerme-80136464,auto=true.bild.html","
                                Wetterexperte Dominik Jung warnt vor schweren Gewittern zum Wochenende, die sich sogar zu einer Superzelle zusammenschließen könnten.",False,19052022,Bild
Blitz-Prozess gegen  Schnarch-Einbrecher,Bei Coup eingeschlafen,2022-05-19 20:44:29,Hannover,/regional/hannover/hannover-aktuell/polizeihund-fand-schlafenden-blitz-prozess-gegen-schnarch-einbrecher-80139314.bild.html,"
                                Ausgeschlafen ist er nicht: Einbrecher Tobias H. (34) wurde vom Polizeihund entdeckt. ",False,19052022,Bild
„Als Neunjähriger ging ich in den Menschenmassen unter“,BILD-Reporter erinnert sich,2022-05-19 19:10:28,Bundesliga,/sport/fussball/fussball/bild-reporter-erinnert-an-vfb-titel-bin-in-menschenmasse-untergegangen-80144792.bild.html,"
                                Heute vor 15 Jahren wurde der VfB deutscher Meister. BILD-Reporter Felix Arnold erinnert. ",False,19052022,Bild
Prügelei vor Lina-Prozess,Mann (60) attackiert,2022-05-19 17:18:17,Dresden,/regional/dresden/dresden-aktuell/prozess-um-lina-e-mann-60-und-polizei-vor-gerichtsgebaeude-attackiert-80143550.bild.html,"
                                Am Rande des Prozesses um mutmaßliche Linksextremisten kam es am Donnerstag in Dresden zu einer handfesten Auseinandersetzung.",False,19052022,Bild
"Hilfe, mein Impfzertifikat läuft ab",Und was jetzt?,2022-05-19 16:17:23,Digital,/digital/2022/digital/corona-app-impfzertifikat-laeuft-ab-was-tun-80126444.bild.html,"
                                Viele Geimpfte sehen aktuell eine Warnung, dass ihr Impf-Zertifikat bald abläuft.",False,19052022,Bild
Mit diesen Tipps kommen Sie sicher ans Ziel,Autofahren bei Unwetter,2022-05-19 14:30:11,Auto-News,/auto/auto-news/auto-news/autofahren-bei-unwetter-mit-diesen-tipps-kommen-sie-sicher-ans-ziel-80139342.bild.html,"
                                Bin ich Auto vor Gewitter sicher? Wie verhalte ich mich bei Aquaplaning? BILD hilft weiter.",False,19052022,Bild
Ex-Minister Spaenle in Unfall verwickelt ,Bei Mühldorf,2022-05-19 12:24:21,München,/bild-plus/regional/muenchen/muenchen-aktuell/unfall-bei-muehldorf-ex-minister-ludwig-spaenle-von-sonne-geblendet-80138468.bild.html,"
                                Staatsminister a. D. Dr. Ludwig Spaenle (60, CSU) in Verkehrsunfall verwickelt! ",True,19052022,Bild
Stradivari-Nachbau im Zug nach München vergessen,Polizei sucht Besitzer,2022-05-19 10:11:28,München,/regional/muenchen/muenchen-aktuell/besitzer-gesucht-stradivari-nachbau-im-zug-nach-muenchen-vergessen-80136834.bild.html,"
                                Wertvolle Geige im Zug vergessen. Bundespolizei München sucht Besitzer. ",False,19052022,Bild
„Früher habe ich Leni  am Set gestillt“,Heidi Klum mit Tochter im TV,2022-05-19 20:44:23,Leute,/bild-plus/unterhaltung/leute/leute/heidi-klums-tv-premiere-mit-ihrer-model-tochter-frueher-habe-ich-leni-am-set-ges-80132770.bild.html,"
                                Kinder, wie die Zeit vergeht! Bei GNTM sitzt Leni neben ihrer Mutter. In BILD reden sie gemeinsam.",True,19052022,Bild
Das Sex-Toy summte noch im Krankenhaus weiter,TikTok: Vibrator-Unfall ,2022-05-19 19:09:09,Leute,/unterhaltung/leute/leute/tiktok-star-hat-sex-unfall-der-vibrator-summte-noch-im-krankenhaus-weiter-80137320.bild.html,"
                                Eine TikTokerin erzählt von ihrem Vibrator-Unfall. Den bekam sie nicht mehr aus dem Hintern",False,19052022,Bild
BILD sagt fünfmal DANKE!,Kommentar zu Frankfurt,2022-05-19 17:17:46,Bundesliga,/sport/fussball/fussball/eintracht-frankfurt-kommentar-zum-triumph-bild-sagt-fuenfmal-danke-80143616.bild.html,"
                                BILD bedankt sich nach dem Europa-League-Sieg bei Eintracht Frankfurt! ",False,19052022,Bild
Wird Toprak Back-up-Boss?,Entscheidung naht,2022-05-19 16:17:05,Bundesliga,/sport/fussball/fussball/werder-bremen-entscheidung-naht-wird-oemer-toprak-back-up-boss-80141390.bild.html,"
                                Auf Ömer Toprak könnte bei einer Werder-Unterschrift eine neue Rolle zukommen.",False,19052022,Bild
Messerstecher stellt sich der Polizei,Mann in Köln getötet,2022-05-19 14:28:22,Köln,/regional/koeln/koeln-aktuell/blutiger-streit-in-koeln-ostheim-mann-niedergestochen-tot-80133688.bild.html,"
                                Am Tag nach den tödlichen Messerstichen in Köln-Ostheim, stellte sich ein Mann (18).",False,19052022,Bild
Alle Infos zur 3. Staffel „Kampf der Realitystars“,"Regeln, Kandidaten & Co. ",2022-05-19 12:22:58,TV,/unterhaltung/tv/tv/kampf-der-realitystars-alle-infos-zur-dritten-staffel--kandidaten-regeln-highlights-79693132.bild.html,"
                                „Kampf der Realitystars“ geht in die dritte Runde. Die Kandidaten, Regeln und Highlights!",False,19052022,Bild
2 Trapp-Paraden für die Ewigkeit,Im und vorm Elferschießen,2022-05-19 10:08:52,Fussball,/sport/fussball/europa-league/frankfurt-gewinnt-europa-league-zwei-trapp-paraden-fuer-die-ewigkeit-80134940.bild.html,"
                                Kevin Trapp macht Eintracht Frankfurt zum Sensations-Europa-League-Sieger von Sevilla.",False,19052022,Bild
Kommandeur Palamar meldet sich bei BILD,„Ich bleibe im Asowstal!“,2022-05-19,Politik Ausland,"/video/clip/video/ich-bleibe-im-asowstal-kommandeur-palamar-meldet-sich-bei-bild-80145778,auto=true.bild.html","
                                Das russische Militär behauptet zudem: Auch die Kommandeure des Asow-Regiments haben sich ergeben.",False,19052022,Bild
Kommt auch Ballas zurück zum FCS?,Nach Abstieg mit Aue!,2022-05-19 19:04:28,Fussball,/sport/fussball/fussball/1-fc-saarbruecken-kommt-auch-ballas-nach-aue-abstieg-zurueck-80142134.bild.html,"
                                FCS-Sportdirektor Jürgen Luginger plant die neue Saison. Ein Spieler könnte zurückkommen.",False,19052022,Bild
Wird Tuchel zum Transfer-Problem für Bayern?,Wegen zwei Stars,2022-05-19 17:17:06,Bundesliga,/sport/fussball/fussball/fc-bayern-wird-thomas-tuchel-zum-transfer-problem-bei-zwei-superstars-80143698.bild.html,"
                                Immer wieder Chelsea, immer wieder Thomas Tuchel: Bayerns Transfer-Poker um zwei Stars!",False,19052022,Bild
Bundesliga-Star vor BVB-Wechsel!,Er ist schon beim Medizincheck,2022-05-19 16:14:59,Bundesliga,/bild-plus/sport/fussball/fussball/bvb-er-ist-schon-beim-medizincheck-bundesliga-star-vor-dortmund-wechsel-80141402.bild.html,"
                                Ein Bundesliga-Star steht vorm Wechsel zum BVB. Die Ablöse liegt bei rund zehn Mio. Euro.",True,19052022,Bild
Ost-Aufstand gegen Öl-Embargo,Pläne von Habeck,2022-05-19 14:25:19,Politik Inland,/politik/inland/politik-inland/wegen-oel-embargo-ramelow-und-kretschmer-buendnis-gegen-habeck-80139056.bild.html,"
                                Ost-Aufstand gegen die Öl-Embargo-Pläne von Bundeswirtschaftsminister Robert Habeck!",False,19052022,Bild
"Trapp, Trapp, HURRA!",Frankfurt holt den Pott,2022-05-19 12:18:24,Fussball,/sport/fussball/europa-league/europa-league-eintracht-frankfurt-gewinnt-finale-nach-6-5-i-e-gegen-glasgow-80134856.bild.html,"
                                Eintracht Frankfurt gewinnt die Europa League: 6:5 n.E. gegen die Glasgow Rangers.",False,19052022,Bild
Pflege-Impfpflicht ist rechtens!,Bundesverfassungsgericht,2022-05-19 10:06:43,Politik,/politik/2022/politik/corona-pflege-impfpflicht-ist-verfassungswidrig-80135530.bild.html,"
                                Die Corona-Impfpflicht in der Pflege hat eine Welle an Verfassungsbeschwerden ausgelöst. ",False,19052022,Bild
Das Baby ist da!,A$AP Rocky und Rihanna,2022-05-19 20:40:32,Leute,/unterhaltung/leute/leute/rihanna-und-a-ap-rocky-das-baby-ist-da-80145418.bild.html,"
                                Rihanna und A$AP Rocky sind Eltern geworden! Es ist ein Junge.",False,19052022,Bild
Lotka-Entscheidung gefallen!,Hertha gegen HSV,2022-05-19 19:02:18,Bundesliga,/sport/fussball/fussball/hertha-bsc-das-muessen-fans-vor-der-relegation-gegen-den-hsv-wissen-80138874.bild.html,"
                                Relegations-Krimi zwischen Hertha und dem HSV. BILD klärt die letzten offenen Fragen.",False,19052022,Bild
"Fancy вместо Fanta, дядя Ваня вместо McDonald's",Борьба России с санкциями,2022-05-19 17:16:06,Politik Ausland,/politik/ausland/politik-ausland/russland-kaempt-gegen-sanktionen-onkel-wanja-statt-mcdonalds-fancy-statt-fanta-80142424.bild.html,"
                                России приходится искать альтернативу западным брендам. Затронуты: безалкогольные напитки, фастфуд, автомобили, фильмы.",False,19052022,Bild
Werner verpennt Eintracht-Triumph,Nach Aufstiegsrausch,2022-05-19 16:13:00,Bundesliga,/sport/fussball/fussball/werder-bremen-nach-aufstiegsrausch-ole-werner-verpennt-eintracht-triumph-80139268.bild.html,"
                                Fußball Deutschland fieberte am Mittwoch mit Frankfurt. Ole Werner verpasste das Spiel.",False,19052022,Bild
Das wird schütze!,1. Party seit 3 Jahren,2022-05-19 14:19:53,Hannover,/regional/hannover/hannover-aktuell/1-bruchmeisterin-aller-zeiten-das-wird-schuetze-80125676.bild.html,"
                                Das 493. Schützenfest bietet viel Neues – und zum ersten Mal eine Bruchmeisterin! ",False,19052022,Bild
Sophia Thiel spricht über Essattacken,Rückfall nach Tod von Freundin?,2022-05-19,Leute,"https://www.bild.de/video/clip/video/das-hat-mich-rauskatapultiert-sophia-thiel-erklaert-ihre-insta-pause-80132626,auto=true.bild.html","
                                Fitness-Influencerin Sophia Thiel meldet sich mit einem Fitness- und Mental-Update aus ihrem Alltag in den sozialen Medien. In dem Video nimmt sie ihre Fans mit auf die Reise in einen relaxteren und gesünderen Lifestyle!",False,19052022,Bild
Lösen diese Kapseln alle Tankprobleme?,Wasserstoff-SUV,2022-05-19 10:05:29,Auto,/bild-plus/auto/mobilitaet-reisen-motorrad/mobilitaet-und-mehr/revolutionaeres-wasserstoff-suv-loesen-diese-kapseln-alle-tankprobleme-80126600.bild.html,"
                                Mit austauschbaren Patronen soll neuer Wind in die Wasserstofftechnologie kommen.",True,19052022,Bild
Schlobachshof wird saniert,Historischer Reiterhof in Leipzig,2022-05-19 20:40:41,Leipzig,/regional/leipzig/leipzig-news/historischer-reiterhof-in-leipzig-schlobachshof-wird-saniert-80145304.bild.html,"
                                Im Rat beschlossen wurde am Donnerstag, dass Schlobachshof zum „Informationszentrum Auenlandschaft“ wird.",False,19052022,Bild
"Willig: „Der Titel ist für  uns ein Traum""",U19 vor Pokalfinale,2022-05-19 19:01:30,Bundesliga,/sport/fussball/fussball/vfb-stuttgart-willig-vor-u19-finale-der-titel-ist-fuer-uns-ein-traum-80144618.bild.html,"
                                Vor dem Pokalfinale gegen den BVB hat BILD exklusiv mit U19-Trainer Willig gesprochen. ",False,19052022,Bild
So schaut Werder nach Sommer-Transfers,Werner erklärt,2022-05-19 17:15:48,Bundesliga,/sport/fussball/fussball/werder-bremen-trainer-ole-werner-erklaert-so-laeuft-die-suche-nach-sommer-transf-80142860.bild.html,"
                                Bundesliga geschafft! Jetzt muss Werder nur noch einen schlagkräftigen Kader formen. ",False,19052022,Bild
Achtung vor dieser Sturmblase!,Gewitter! Hagel! Tornado-Alarm!,2022-05-19 16:11:06,News,/news/wetter/wetter/unwetter-alarm-im-westen-starkregen-sturmboeen-und-hagel-ab-mittag-wird-es-hefti-80135684.bild.html,"
                                Es ist angerichtet: Sturmtief Dorchen steht im Westen bereit. Meteorologen erwarten die...",False,19052022,Bild
Pokalfinale als Risikospiel eingestuft,Chemnitz gegen Chemie,2022-05-19 14:18:28,Fussball,/sport/fussball/fussball/pokalfinale-als-risikospiel-eingestuft-chemnitz-wird-zur-festung-80140510.bild.html,"
                                Die Polizei bereitet sich auf Großeinsatz rund um das Sachsenpokal-Finale vor.",False,19052022,Bild
E-Auto vom Discounter zum Knüllerpreis,Der Lidl-Leaf,2022-05-19 12:12:02,Auto-News,/bild-plus/auto/auto-news/auto-news/der-lidl-leaf-e-auto-vom-discounter-zum-knuellerpreis-80138190.bild.html,"
                                Noch bis zum 26. Juni gibt es den elektrischen Nissan Leaf bei Lidl zum Spar-Abopreis. ",True,19052022,Bild
Lokführer stirbt bei Zug-Unfall,Hessen,2022-05-19 10:03:38,Frankfurt,/regional/frankfurt/frankfurt-aktuell/zwei-gueterzuege-ineinander-geknallt-lokfuehrer-stirbt-bei-zug-unfall-80135926.bild.html,"
                                Bei einem Unfall mit zwei Güterzügen in Südhessen ist ein Lokführer gestorben.",False,19052022,Bild
Überweisungen belasten Ex-Hells-Angels-Boss,Rocker Murat S.,2022-05-19 20:38:49,München,/bild-plus/regional/muenchen/muenchen-aktuell/murat-s-falscher-polizist-ueberweisungen-belasten-ex-hells-angels-boss-80142018.bild.html,"
                                Überweisungen belasten Ex-Hells-Angels-Präsident Murat S., ein falscher Polizist zu sein.",True,19052022,Bild
Scheitert Scholz an seinem großen Versprechen?,100 Milliarden für die Bundeswehr,2022-05-19 18:58:38,Politik Inland,/politik/inland/politik-inland/bundeswehr-geld-union-sauer-auf-bundeskanzler-scholz-80144328.bild.html,"
                                Es geht um rund 2,5 der 100 Milliarden Euro und die zwei Prozent Nato-Quote. ",False,19052022,Bild
Frau (24) in eigener Wohnung vergewaltigt,Messer-Überfall,2022-05-19 17:15:13,Dresden,/regional/dresden/dresden-aktuell/dresden-frau-24-in-eigener-wohnung-vergewaltigt-80142138.bild.html,"
                                Eine junge Frau (24) ist am Mittwochabend in ihrer Wohnung vergewaltigt worden.",False,19052022,Bild
