Titel,Overline,Date_Info,Kategorie,URL,detailed_informations,bild_plus,Zugriff_Datum,News_page
Doppel-Dennis bei Preußen?,Gespräche nach Pokal,2022-05-19 16:34:09,Fussball,/sport/fussball/fussball/gespraeche-nach-pokal-doppel-dennis-bei-den-preussen-80141178.bild.html,"
                                Nach dem Rödinghausen-Finale plant Preußen die neue Saison. Womöglich mit Dennis Grote...",False,19052022,Bild
Hagemann & Freund waren schwer zu ertragen,TV-Urteil zum RTL-Abend,2022-05-19 15:12:23,Fussball,/sport/fussball/europa-league/eintracht-frankfurt-holt-europa-league-tv-urteil-zum-rtl-abend-schwer-zu-ertrage-80138624.bild.html,"
                                In seiner TV-Kritik widmet sich BILD-Reporter Michael Makus dem Europacup-Abend bei RTL. ",False,19052022,Bild
"„Ich bin einfach froh, dass es jetzt vorbei ist.“",Nina Kristin bei „KDRS“,2022-05-19 13:03:26,Leute,/unterhaltung/leute/leute/kampf-der-realitystars-nina-kristin-reagiert-gelassen-auf-flirtversuch-79678750.bild.html,"
                                Sie kann singen, schauspielern & sieht fantastisch aus. Wer ist die schöne Rheinländerin?",False,19052022,Bild
Kommt „Menstruationsurlaub“ auch in Deutschland?,Spanischer Gesetzentwurf,2022-05-19 10:34:40,Politik Inland,/politik/inland/politik-inland/kommt-der-menstruationsurlaub-auch-in-deutschland-80131592.bild.html,"
                                Bei starken Regelschmerzen sollen Frauen in Spanien künftig zusätzliche Krankentage haben ",False,19052022,Bild
"„Merkel und ich waren wie Mutti und Schwiegersohn""",Söder & Die Kanzlerin,2022-05-19 20:57:28,München,/regional/muenchen/muenchen-regional-politik-und-wirtschaft/soeder-und-die-kanzlerin-merkel-und-ich-waren-wie-mutti-und-schwiegersohn-80145910.bild.html,"
                                CSU-Chef Markus Söder blickt mit Wehmut auf die Zeit mit Kanzlerin Angela Merkel (CDU) zurück. ",False,19052022,Bild
"Kobylanski da,  Dressel weg",Fünter 1860-Neuzugang,2022-05-19 20:00:28,Fussball,/sport/fussball/fussball/1860-muenchen-martin-kobylanski-wird-ein-loewe-dennis-dressel-wechselt-80144952.bild.html,"
                                Große Freude bei Michael Köllner (52): Der Löwe-Coach bekommt seinen Wunschspieler...",False,19052022,Bild
Hier gibt es die Brutalo-Schlacht der Käfig-Frauen,„We Love MMA“,2022-05-19 17:57:09,Sport-Mix,/bild-plus/sport/mehr-sport/sport-mix/we-love-mma-58-am-samstag-hier-gibt-es-die-kaefig-schlacht-aus-duesseldorf-80115038.bild.html,"
                                Star-Spektakel am Samstag bei „We Love MMA 58“! Jetzt anmelden!",True,19052022,Bild
Schultz düst mit Lechner nach Portugal,St. Pauli im Urlaub,2022-05-19 16:33:42,2. Bundesliga,/sport/fussball/fussball/fc-st-pauli-auftanken-trainer-timo-schultz-mit-osteopath-florian-lechner-nach-po-80141754.bild.html,"
                                Männer-Trip – so lautet das Programm für St. Paulis Trainer Schultz.",False,19052022,Bild
Knallgeräusche lösen SEK-Einsatz aus,Zugriff in Remscheid (NRW),2022-05-19 15:06:34,Düsseldorf,/regional/duesseldorf/duesseldorf-aktuell/zugriff-in-remscheid-nrw-knallgeraeusche-loesen-sek-einsatz-aus-80138928.bild.html,"
                                Zeugen hörten am Donnerstag in Remscheid Knallgeräusche, ein SEK rückte an. Zugriff!",False,19052022,Bild
Das macht Eintracht jetzt mit den Pott-Millionen,Drei neue Stars ,2022-05-19 13:02:44,Bundesliga,/bild-plus/sport/fussball/fussball/eintracht-frankfurt-das-passiert-jetzt-mit-den-pott-millionen-80136954.bild.html,"
                                Eintracht kassiert durch den Titelgewinn ab. BILD erklärt, was mit der Kohle passiert.",True,19052022,Bild
Millionär will Erzgebirge kaufen,Insolvente Miniaturschau,2022-05-19 10:34:53,Chemnitz,/regional/chemnitz/chemnitz-news/insolventer-miniaturpark-millionaer-will-erzgebirge-kaufen-80137114.bild.html,"
                                Der insolvente Miniaturpark „Klein-Erzgebirge“ in Oederan könnte bald gerettet sein.",False,19052022,Bild
Wo läuft Deutschland gegen Italien im Free-TV?,Eishockey-WM 2022,2022-05-19 20:57:33,Sport-Mix,/sport/mehr-sport/eishockey/eishockey-wm-wo-laeuft-deutschland-italien-im-free-tv-80123560.bild.html,"
                                So können Sie das Spiel Deutschland gegen Italien live im Free-TV sehen.",False,19052022,Bild
So holen wir  unseren 1. Titel,Leipzigs André Silva,2022-05-19 20:00:26,Bundesliga,/sport/fussball/fussball/rb-leipzigs-andr-silva-im-bild-interview-so-holen-wir-den-1-titel-80142946.bild.html,"
                                Vorm Pokalfinale spricht André Silva über das Endspiel, Christopher Nkunku und die Fans.",False,19052022,Bild
Diese 6 Top-Aktien profitieren vom Euro-Absturz,Geld weniger Wert,2022-05-19 17:56:05,Leben und Sparen,/bild-plus/geld/mein-geld/leben-und-sparen/aktien-sechs-top-werte-profitieren-besonders-vom-euro-absturz-80064246.bild.html,"
                                Der Euro fällt, doch das bietet auch Chancen. So könnten Sie vom Eurotief profitieren.",True,19052022,Bild
