Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Staatskanzlei teils mit radioaktivem Gas Radon belastet,18022022_13:47,https://www.sueddeutsche.de/wissen/umwelt-dresden-staatskanzlei-teils-mit-radioaktivem-gas-radon-belastet-dpa.urn-newsml-dpa-com-20090101-220218-99-191961,Umwelt - Dresden,dpa,,,19022022,Sueddeutsche,wissen
Autounfall in Oberwiesenthal: Kind schwer verletzt,18022022_13:46,https://www.sueddeutsche.de/panorama/unfaelle-oberwiesenthal-autounfall-in-oberwiesenthal-kind-schwer-verletzt-dpa.urn-newsml-dpa-com-20090101-220218-99-192807,Unfälle - Oberwiesenthal,dpa,,,19022022,Sueddeutsche,panorama
"""Wir sehnen uns danach, alle Zwänge fallen zu lassen""",18022022_13:46,https://www.sueddeutsche.de/projekte/artikel/gesellschaft/was-bedeutet-glamour-heute-noch-e215574/,Lifestyle,,Essay von Silke Wichert,"Das eigene Leben hat schon lange keinen Glamour mehr. Umso größer ist die Hoffnung auf die postpandemische Zukunft. Doch die alte Sause wird nicht wiederkommen.
                        
                            Essay von Silke Wichert",19022022,Sueddeutsche,projekte
Albertinum bekommt zwei Gemälde von Hans Grundig geschenkt,18022022_13:45,https://www.sueddeutsche.de/kultur/kunst-dresden-albertinum-bekommt-zwei-gemaelde-von-hans-grundig-geschenkt-dpa.urn-newsml-dpa-com-20090101-220218-99-192802,Kunst - Dresden,dpa,,,19022022,Sueddeutsche,kultur
Borussia Dortmund steigert Umsatz und Gewinn deutlich,18022022_13:45,https://www.sueddeutsche.de/sport/fussball-dortmund-borussia-dortmund-steigert-umsatz-und-gewinn-deutlich-dpa.urn-newsml-dpa-com-20090101-220218-99-192746,Fußball - Dortmund,dpa,,,19022022,Sueddeutsche,sport
Mitteldeutsche Regiobahn stellt Betrieb bis Samstagfrüh ein,18022022_13:45,https://www.sueddeutsche.de/panorama/wetter-dresden-mitteldeutsche-regiobahn-stellt-betrieb-bis-samstagfrueh-ein-dpa.urn-newsml-dpa-com-20090101-220218-99-192761,Wetter - Dresden,dpa,,,19022022,Sueddeutsche,panorama
"Spanien, Großbritannien und USA keine Hochrisikogebiete mehr",18022022_13:44,https://www.sueddeutsche.de/gesundheit/gesundheit-spanien-grossbritannien-und-usa-keine-hochrisikogebiete-mehr-dpa.urn-newsml-dpa-com-20090101-220218-99-192409,Gesundheit,dpa,,,19022022,Sueddeutsche,gesundheit
"Superstar im ""Attacke-Modus"": Hamilton im neuen Silberpfeil",18022022_13:44,https://www.sueddeutsche.de/sport/motorsport-superstar-im-attacke-modus-hamilton-im-neuen-silberpfeil-dpa.urn-newsml-dpa-com-20090101-220218-99-188611,Motorsport,dpa,,,19022022,Sueddeutsche,sport
Anwältin: Bedrohung durch Rechtsextremismus gestiegen,18022022_13:43,https://www.sueddeutsche.de/politik/extremismus-anwaeltinbedrohung-durch-rechtsextremismus-gestiegen-dpa.urn-newsml-dpa-com-20090101-220218-99-192268,Extremismus,dpa,,,19022022,Sueddeutsche,politik
15. Encrochat-Prozess: Drogen für drei Millionen Euro,18022022_13:42,https://www.sueddeutsche.de/panorama/kriminalitaet-bremen-15-encrochat-prozess-drogen-fuer-drei-millionen-euro-dpa.urn-newsml-dpa-com-20090101-220217-99-178454,Kriminalität - Bremen,dpa,,,19022022,Sueddeutsche,panorama
Lebenslange Haft für Mord an Ehefrau in Sindelfingen,18022022_13:41,https://www.sueddeutsche.de/panorama/prozesse-stuttgart-lebenslange-haft-fuer-mord-an-ehefrau-in-sindelfingen-dpa.urn-newsml-dpa-com-20090101-220218-99-190540,Prozesse - Stuttgart,dpa,,,19022022,Sueddeutsche,panorama
