Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Schneller Abzug aus Kasachstan,11012022_17:54,https://www.sueddeutsche.de/politik/kasachstan-tokajew-russland-militaerbuendnis-1.5505271,Zentralasien,,Von Frank Nienhuysen,"Präsident Tokajew erklärt die Unruhen für beendet, die zu Hilfe gerufenen Soldaten sollen das Land verlassen. Putin sieht das Militärbündnis als gestärkt an. Doch für den Vorwurf, Ausländer hätten die Gewalt gesteuert, fehlen noch immer Belege.
                        
                            Von Frank Nienhuysen",12012022,Sueddeutsche,politik
Niederlage für Bremen,11012022_17:54,https://www.sueddeutsche.de/politik/atomtransporte-niederlage-fuer-bremen-1.5505217,Atomtransporte,,,,12012022,Sueddeutsche,politik
"""Für Frauen in Führungspositionen ist immer die richtige Zeit""",11012022_17:54,https://www.sueddeutsche.de/politik/bildung-und-forschung-bettina-stark-watzinger-portraet-1.5505377,Bettina Stark-Watzinger,,"Von Boris Herrmann und Roland Preuß, Berlin","Bettina Stark-Watzinger hat für die FDP die Regierungskoalition mitgeschmiedet. Jetzt stellt die Ministerin für Bildung und Forschung vor. Über eine Frau, die einen rasanten Aufstieg hinter sich hat.  
                        
                            Von Boris Herrmann und Roland Preuß, Berlin",12012022,Sueddeutsche,politik
SPD und Union gleichauf,11012022_17:54,https://www.sueddeutsche.de/politik/umfrage-spd-und-union-gleichauf-1.5505215,Umfrage,,,,12012022,Sueddeutsche,politik
Bundestag verschärft Corona-Vorschriften,11012022_17:54,https://www.sueddeutsche.de/politik/bundestag-corona-regeln-afd-1.5505504,Angst vor Omikron,,"Von Markus Balser, Berlin","Abgeordnete, die weder genesen, noch geimpft oder getestet sind, sollen Plenardebatten und Ausschüssen fernbleiben. Vor allem für die AfD könnte das zum Problem werden.
                        
                            Von Markus Balser, Berlin",12012022,Sueddeutsche,politik
SPD präsentiert Zeitplan für Impfpflicht-Gesetz,11012022_17:54,https://www.sueddeutsche.de/politik/corona-spd-praesentiert-zeitplan-fuer-impfpflicht-gesetz-1.5505470,Corona,,,Kanzler Scholz' Ziel könnte doch noch im März erreicht werden. Dafür könnte der Bundestag zu Sondersitzungen zusammenkommen.,12012022,Sueddeutsche,politik
Mehr als 1000 Protestdemos,11012022_17:54,https://www.sueddeutsche.de/politik/corona-regeln-mehr-als-1000-protestdemos-1.5505213,Corona-Regeln,,,,12012022,Sueddeutsche,politik
Die Gewalt hat einen Hintergrund,11012022_17:54,https://www.sueddeutsche.de/meinung/kommentar-mailand-sexismus-1.5505341,Mailand,,Kommentar von Elisa Britzelmeier,"Meinung
                    
                    
                        Nach den Übergriffen in der Silvesternacht wollen die einen nur über Araber reden, die anderen nur über Sexismus. Beides ist falsch
                        
                            Kommentar von Elisa Britzelmeier",12012022,Sueddeutsche,meinung
Leben retten,11012022_17:54,https://www.sueddeutsche.de/meinung/afghanistan-taliban-not-humanitaere-hilfe-hunger-1.5505434,Afghanistan,,Von Tobias Matern,"Der Westen hatte den Menschen am Hindukusch versprochen, sie nicht im Stich zu lassen, und dann genau das getan. Nun sollte er angesichts der katastrophalen Zustände wenigstens humanitäre Hilfe leisten.
                        
                            Von Tobias Matern",12012022,Sueddeutsche,meinung
"""Die Lage der Holocaust-Überlebenden wird immer schwieriger""",11012022_17:54,https://www.sueddeutsche.de/meinung/israel-holocaust-colette-avital-deutschland-schimon-peres-1.5505098,Israel,,Von Peter Münch,"Colette Avital kämpft seit Jahrzehnten für die Rechte der Holocaust-Überlebenden in Israel und in Deutschland. Über eine Frau, die hilft, weil es sie zufrieden macht.
                        
                            Von Peter Münch",12012022,Sueddeutsche,meinung
Besuchertribüne,11012022_17:54,https://www.sueddeutsche.de/meinung/aktuelles-lexikon-besuchertribuene-1.5505235,Aktuelles Lexikon,,Von Markus Balser,"Die Empore im Bundestag erfüllt derzeit nicht nur einen Auftrag aus dem Grundgesetz.
                        
                            Von Markus Balser",12012022,Sueddeutsche,meinung
Es grünt so grün,11012022_17:54,https://www.sueddeutsche.de/politik/eu-taxonomie-atom-liese-ferber-eib-kfw-1.5505236,Taxonomie,,"Von Michael Bauchmüller und Björn Finke, Brüssel/Berlin","Warum die Pläne der EU-Kommission zur Förderung von Gas und Atomenergie im Europaparlament umstritten sind. 
                        
                            Von Michael Bauchmüller und Björn Finke, Brüssel/Berlin",12012022,Sueddeutsche,politik
Rund 1800 Menschen erhalten abgelaufenen Biontech-Impfstoff,11012022_17:54,https://www.sueddeutsche.de/gesundheit/gesundheit-rund-1800-menschen-erhalten-abgelaufenen-biontech-impfstoff-dpa.urn-newsml-dpa-com-20090101-220111-99-666868,Gesundheit,dpa,,,12012022,Sueddeutsche,gesundheit
"Sei brav, Neymar Ronaldo!",11012022_17:54,https://www.sueddeutsche.de/politik/babynamen-suedamerika-1.5505507,Babynamen,,Von Christoph Gurk,"Wie Eltern in Südamerika ihre Kreativität ausleben.
                        
                            Von Christoph Gurk",12012022,Sueddeutsche,politik
Das Streiflicht,11012022_17:54,https://www.sueddeutsche.de/politik/glosse-das-streiflicht-1.5505379,Glosse,,,,12012022,Sueddeutsche,politik
Luca-App auch im Saarland in Frage gestellt,11012022_17:52,https://www.sueddeutsche.de/gesundheit/gesundheit-saarbruecken-luca-app-auch-im-saarland-in-frage-gestellt-dpa.urn-newsml-dpa-com-20090101-220111-99-664390,Gesundheit - Saarbrücken,dpa,,,12012022,Sueddeutsche,gesundheit
"Reul kritisiert indirekt Polizisten nach ""Verarschen""-Spruch",11012022_17:50,https://www.sueddeutsche.de/panorama/polizei-duesseldorf-reul-kritisiert-indirekt-polizisten-nach-verarschen-spruch-dpa.urn-newsml-dpa-com-20090101-220111-99-672429,Polizei - Düsseldorf,dpa,,,12012022,Sueddeutsche,panorama
