Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
"LGL: Inzidenz bei Ungeimpften steigt auf 1726,3",25112021_14:55,https://www.sueddeutsche.de/bayern/gesundheit-erlangen-lgl-inzidenz-bei-ungeimpften-steigt-auf-17263-dpa.urn-newsml-dpa-com-20090101-211125-99-141632,Gesundheit - Erlangen,dpa,,,25112021,Sueddeutsche
Weißes Zimmer erinnert an zerstörte Kunst,25112021_14:55,https://www.sueddeutsche.de/kultur/kunst-neubrandenburg-weisses-zimmer-erinnert-an-zerstoerte-kunst-dpa.urn-newsml-dpa-com-20090101-211125-99-138863,Kunst - Neubrandenburg,dpa,,,25112021,Sueddeutsche
EU-Behörde gibt Impfstoff für Kinder ab fünf Jahren frei,25112021_14:55,https://www.sueddeutsche.de/panorama/eu-behoerde-gibt-impfstoff-fuer-kinder-ab-fuenf-jahren-frei-1.5473239,,,,"Video
                    
                    
                        Die Corona-Zahlen steigen und steigen. Viele Eltern warten auf einen  Impfstoff für Kinder. Jetzt ist es soweit. Die Experten der EMA machen den Weg frei. Doch wann es in Deutschland losgeht, ist noch unklar.",25112021,Sueddeutsche
Verbraucherzentrale schließt wegen Corona Beratungsstellen,25112021_14:54,https://www.sueddeutsche.de/bayern/verbraucher-muenchen-verbraucherzentrale-schliesst-wegen-corona-beratungsstellen-dpa.urn-newsml-dpa-com-20090101-211125-99-141633,Verbraucher - München,dpa,,,25112021,Sueddeutsche
Vorbereitung für Verlegung von Corona-Patienten,25112021_14:54,https://www.sueddeutsche.de/bayern/gesundheit-muenchen-vorbereitung-fuer-verlegung-von-corona-patienten-dpa.urn-newsml-dpa-com-20090101-211125-99-141420,Gesundheit - München,dpa,,,25112021,Sueddeutsche
"Aue Trainer Hensel: ""Nicht ein Prozent nachlassen""",25112021_14:54,https://www.sueddeutsche.de/sport/fussball-aue-aue-trainer-hensel-nicht-ein-prozent-nachlassen-dpa.urn-newsml-dpa-com-20090101-211125-99-141540,Fußball - Aue,dpa,,,25112021,Sueddeutsche
Brief aus dem Knast: Häftling bedankt sich bei der Polizei,25112021_14:54,https://www.sueddeutsche.de/leben/buntes-bochum-brief-aus-dem-knast-haeftling-bedankt-sich-bei-der-polizei-dpa.urn-newsml-dpa-com-20090101-211125-99-141462,Buntes - Bochum,dpa,,,25112021,Sueddeutsche
Gewerkschaft: 900 Beschäftigte beteiligen sich an Streiks,25112021_14:53,https://www.sueddeutsche.de/karriere/tarife-stuttgart-gewerkschaft-900-beschaeftigte-beteiligen-sich-an-streiks-dpa.urn-newsml-dpa-com-20090101-211125-99-141563,Tarife - Stuttgart,dpa,,,25112021,Sueddeutsche
Schüler bedroht Mitschüler und Lehrer: Großer Polizeieinsatz,25112021_14:52,https://www.sueddeutsche.de/panorama/kriminalitaet-brueggen-schueler-bedroht-mitschueler-und-lehrer-grosser-polizeieinsatz-dpa.urn-newsml-dpa-com-20090101-211125-99-141556,Kriminalität - Brüggen,dpa,,,25112021,Sueddeutsche
Kulturwissenschaftler Hermann Bausinger ist gestorben,25112021_14:52,https://www.sueddeutsche.de/kultur/kultur-reutlingen-kulturwissenschaftler-hermann-bausinger-ist-gestorben-dpa.urn-newsml-dpa-com-20090101-211125-99-141564,Kultur - Reutlingen,dpa,,,25112021,Sueddeutsche
Bundeswehrsoldaten helfen bei Kontaktnachverfolgung,25112021_14:51,https://www.sueddeutsche.de/politik/verteidigung-hannover-bundeswehrsoldaten-helfen-bei-kontaktnachverfolgung-dpa.urn-newsml-dpa-com-20090101-211125-99-141442,Verteidigung - Hannover,dpa,,,25112021,Sueddeutsche
"96-Coach Zimmermann: ""Können unsere Situation einschätzen""",25112021_14:51,https://www.sueddeutsche.de/sport/fussball-hannover-96-coach-zimmermann-koennen-unsere-situation-einschaetzen-dpa.urn-newsml-dpa-com-20090101-211125-99-141443,Fußball - Hannover,dpa,,,25112021,Sueddeutsche
Seniorentag legt Erklärung vor: Mehr Gerechtigkeit schaffen,25112021_14:50,https://www.sueddeutsche.de/leben/gesellschaft-hannover-seniorentag-legt-erklaerung-vor-mehr-gerechtigkeit-schaffen-dpa.urn-newsml-dpa-com-20090101-211125-99-141444,Gesellschaft - Hannover,dpa,,,25112021,Sueddeutsche
"""Mit dem Können steigt der Respekt""",25112021_14:50,https://www.sueddeutsche.de/muenchen/wolfratshausen/tom-dauer-hermann-huber-bergsteigen-alpen-film-festival-1.5472893,Bergsteigen,,"Von Interview von Benjamin Engel, Bad Tölz/Valley","Tom Dauer hat für sein Alpen Film Festival einen Dokumentarfilm über den 91-jährigen Bergsteiger Hermann Huber gedreht. Ein Gespräch über modernen Alpinismus, Risiken und warum auch Münchner beim Klettern willkommen sind.
                        
                            Von Interview von Benjamin Engel, Bad Tölz/Valley",25112021,Sueddeutsche
Über 8000 Minderjährige erhielten Auffrischungsimpfung,25112021_14:49,https://www.sueddeutsche.de/gesundheit/gesundheit-hannover-ueber-8000-minderjaehrige-erhielten-auffrischungsimpfung-dpa.urn-newsml-dpa-com-20090101-211125-99-141555,Gesundheit - Hannover,dpa,,,25112021,Sueddeutsche
15-Jähriger ohne Führerschein bei Unfall schwer verletzt,25112021_14:49,https://www.sueddeutsche.de/panorama/unfaelle-zwickau-15-jaehriger-ohne-fuehrerschein-bei-unfall-schwer-verletzt-dpa.urn-newsml-dpa-com-20090101-211125-99-134784,Unfälle - Zwickau,dpa,,,25112021,Sueddeutsche
Was bringt Verbeamtung gegen Lehrermangel?,25112021_14:49,https://www.sueddeutsche.de/politik/lehrermangel-verbeamtung-lehrkraefte-berlin-1.5472982,Schule,,"Von Paul Munzinger, München","Zwischen den Bundesländern tobt ein erbitterter Kampf. Ein Kampf um Lehrer. Denn überall herrscht ein dramatischer Mangel. Als letztes Bundesland verbeamtet Berlin daher seine Lehrer.
                        
                            Von Paul Munzinger, München",25112021,Sueddeutsche
