Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
"Thüringen vom Sturmtief ""Nadia"" kaum betroffen",30012022_14:20,https://www.sueddeutsche.de/panorama/wetter-gehlberg-thueringen-vom-sturmtief-nadia-kaum-betroffen-dpa.urn-newsml-dpa-com-20090101-220130-99-904769,Wetter - Gehlberg,dpa,,,31012022,Sueddeutsche
Die Ersten müssen nicht immer die Besten sein,30012022_14:19,https://www.sueddeutsche.de/muenchen/muenchen-olympische-spiele-1972-buch-stankiewitz-1.5513437,"""München 72""",,Von Joachim Mölter,"Karl Stankiewitz' früh veröffentlichtes Olympia-Buch ""München 72"" bietet Ein- und Überblicke - doch einiges scheint aus der Zeit gefallen. 
                        
                            Von Joachim Mölter",31012022,Sueddeutsche
Weniger Teilnehmer als erwartet bei Demos gegen Impfpflicht,30012022_14:17,https://www.sueddeutsche.de/bayern/demonstrationen-nuernberg-weniger-teilnehmer-als-erwartet-bei-demos-gegen-impfpflicht-dpa.urn-newsml-dpa-com-20090101-220130-99-906794,Demonstrationen - Nürnberg,dpa,,,31012022,Sueddeutsche
Oscar-Preisträger Rolf Zehetbauer ist gestorben,30012022_14:15,https://www.sueddeutsche.de/muenchen/muenchen-zehetbauer-nachruf-oscar-das-boot-1.5518274,Nachruf,,Von Josef Grübl,"Der Münchner Filmarchitekt wurde 92 Jahre alt. Er schuf großartige und größenwahnsinnige Sets, etwa für ""Das Boot"", ""Die unendliche Geschichte"" und ""Cabaret"".
                        
                            Von Josef Grübl",31012022,Sueddeutsche
Sieben-Tage-Inzidenz klettert auf nächsten Höchstwert,30012022_14:13,https://www.sueddeutsche.de/gesundheit/gesundheit-sieben-tage-inzidenz-klettert-auf-naechsten-hoechstwert-dpa.urn-newsml-dpa-com-20090101-220130-99-902483,Gesundheit,dpa,,,31012022,Sueddeutsche
In einem denkwürdigen Finale: Nadal holt den Grand-Slam-Rekord,30012022_14:13,https://www.sueddeutsche.de/sport/nadal-australian-open-medwedew-tennis-grand-slam-rekord-1.5518287,Tennis,,,Rafael Nadal gewinnt die Australian Open. In einem spektakulären Endspiel ringt der Spanier den Russen Daniil Medwedew in fünf Sätzen nieder und überholt mit seinem 21. Major-Titel Roger Federer und Novak Djokovic in der ewigen Rangliste.,31012022,Sueddeutsche
Australian-Open-Sieg und Rekord für Nadal: 21. Grand-Slam-Titel,30012022_14:11,https://www.sueddeutsche.de/sport/tennis-australian-open-sieg-und-rekord-fuer-nadal-21-grand-slam-titel-dpa.urn-newsml-dpa-com-20090101-220130-99-906758,Tennis,dpa,,,31012022,Sueddeutsche
Palmer will erneut zur OB-Wahl antreten: Gegen eigene Partei,30012022_14:03,https://www.sueddeutsche.de/politik/kommunen-tuebingen-palmer-will-erneut-zur-ob-wahl-antreten-gegen-eigene-partei-dpa.urn-newsml-dpa-com-20090101-220130-99-905644,Kommunen - Tübingen,dpa,,,31012022,Sueddeutsche
Regierung: Hilfen für private Hausbauer nach KfW-Förderstopp,30012022_14:00,https://www.sueddeutsche.de/wirtschaft/energie-regierunghilfen-fuer-private-hausbauer-nach-kfw-foerderstopp-dpa.urn-newsml-dpa-com-20090101-220130-99-904296,Energie,dpa,,,31012022,Sueddeutsche
Ampel will EEG-Umlage früher streichen,30012022_13:51,https://www.sueddeutsche.de/politik/eeg-umlage-strom-2022-1.5518238,Koalition,,"Von Cerstin Gammelin, Berlin","Die Minister Habeck und Lindner wollen die Verbraucher stärker entlasten - und das Kanzleramt unterstützt sie nun dabei. Die Sorge: Die hohen Energiekosten könnten die Zustimmung zur Klimawende gefährden.
                        
                            Von Cerstin Gammelin, Berlin",31012022,Sueddeutsche
Heute noch ein Apfelbäumchen,30012022_13:51,https://www.sueddeutsche.de/kultur/martin-schloemann-evangelischer-theologe-wuppertal-bochum-nachruf-1.5518225,Nachruf auf Martin Schloemann,,Von Martin Ohst,"Früh forschte er an der Verbindung von evangelischer Frömmigkeit und ökologischem Problembewusstsein: Der Theologe Martin Schloemann ist gestorben.
                        
                            Von Martin Ohst",31012022,Sueddeutsche
Mann wird bei Streit in Neukölln mit Messer schwer verletzt,30012022_13:50,https://www.sueddeutsche.de/panorama/kriminalitaet-berlin-mann-wird-bei-streit-in-neukoelln-mit-messer-schwer-verletzt-dpa.urn-newsml-dpa-com-20090101-220130-99-906594,Kriminalität - Berlin,dpa,,,31012022,Sueddeutsche
PGA-Tour: Premierensieg für US-Amerikaner List in San Diego,30012022_13:50,https://www.sueddeutsche.de/sport/golf-pga-tour-premierensieg-fuer-us-amerikaner-list-in-san-diego-dpa.urn-newsml-dpa-com-20090101-220130-99-903006,Golf,dpa,,,31012022,Sueddeutsche
