Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Klopapier brennt in Supermarkt,28012022_14:37,https://www.sueddeutsche.de/muenchen/muenchen-klopapier-feuer-supermarkt-1.5517491,München,,,"Die Polizei ermittelt wegen vorsätzlicher Brandstiftung. Im Verdacht stehen fünf Jugendliche, die im Geschäft waren und von Überwachungskameras gefilmt wurden.",30012022,Sueddeutsche
"Die Sache mit Leihspielern - Spielerberater: ""Praxisfremd""",28012022_14:36,https://www.sueddeutsche.de/sport/fussball-die-sache-mit-leihspielern-spielerberater-praxisfremd-dpa.urn-newsml-dpa-com-20090101-220128-99-884750,Fußball,dpa,,,30012022,Sueddeutsche
Landtag diskutiert über Corona-Demos: Kritik an AfD-Antrag,28012022_14:35,https://www.sueddeutsche.de/politik/landtag-magdeburg-landtag-diskutiert-ueber-corona-demos-kritik-an-afd-antrag-dpa.urn-newsml-dpa-com-20090101-220128-99-888533,Landtag - Magdeburg,dpa,,,30012022,Sueddeutsche
19-Jähriger schlägt Zugbegleiterin auf den Kehlkopf,28012022_14:34,https://www.sueddeutsche.de/panorama/kriminalitaet-stendal-19-jaehriger-schlaegt-zugbegleiterin-auf-den-kehlkopf-dpa.urn-newsml-dpa-com-20090101-220128-99-889451,Kriminalität - Stendal,dpa,,,30012022,Sueddeutsche
Sternekoch grillt für Obdachlose an Düsseldorfer Königsallee,28012022_14:33,https://www.sueddeutsche.de/leben/armut-duesseldorf-sternekoch-grillt-fuer-obdachlose-an-duesseldorfer-koenigsallee-dpa.urn-newsml-dpa-com-20090101-220128-99-889463,Armut - Düsseldorf,dpa,,,30012022,Sueddeutsche
Landkreis holt 32.000 Tonnen Müllbeton aus der Erde,28012022_14:33,https://www.sueddeutsche.de/politik/kommunen-gommern-landkreis-holt-32000-tonnen-muellbeton-aus-der-erde-dpa.urn-newsml-dpa-com-20090101-220128-99-888532,Kommunen - Gommern,dpa,,,30012022,Sueddeutsche
Eberl-Nachfolger: Gladbach will extern suchen,28012022_14:31,https://www.sueddeutsche.de/sport/fussball-moenchengladbach-eberl-nachfolger-gladbach-will-extern-suchen-dpa.urn-newsml-dpa-com-20090101-220128-99-888733,Fußball - Mönchengladbach,dpa,,,30012022,Sueddeutsche
"""Ich wusste, dass man das als Junge nicht darf""",28012022_14:30,https://www.sueddeutsche.de/muenchen/ebersberg/markt-schwaben-lgbtq-claire-morningwood-mehrzad-bagher-zadeh-1.5517460,Identitätspolitik,,"Von Johanna Feckl, Markt Schwaben","Ein einziges Mal traute sich der kleine Mehrzad Bagher-Zadeh an die Schminksachen seiner Mutter. Heute verwandelt er sich regelmäßig in eine Dragqueen. Wie kam es dazu? Eine Geschichte über Identität, Mut und die Lust an der Verwandlung. 
                        
                            Von Johanna Feckl, Markt Schwaben",30012022,Sueddeutsche
"Eberl nach seinem Rücktritt: ""Ich habe keine Kraft mehr""",28012022_14:30,https://www.sueddeutsche.de/sport/fussball-moenchengladbach-eberl-nach-seinem-ruecktritt-ich-habe-keine-kraft-mehr-dpa.urn-newsml-dpa-com-20090101-220128-99-888377,Fußball - Mönchengladbach,dpa,,,30012022,Sueddeutsche
Pharmaunternehmen Cheplapharm verschiebt Börsengang,28012022_14:29,https://www.sueddeutsche.de/wirtschaft/pharma-greifswald-pharmaunternehmen-cheplapharm-verschiebt-boersengang-dpa.urn-newsml-dpa-com-20090101-220128-99-889233,Pharma - Greifswald,dpa,,,30012022,Sueddeutsche
