Titel,URL,Date_Info,News_page,Kategorie,author
Ausgezeichnete Reisefotos: Augenblick mal!,https://www.spiegel.de/reise/fernweh/travel-photographer-of-the-year-2021-ausgezeichnete-reisefotos-a-6bfebdd1-1bc6-41a7-830a-b0ac73843bac,10022022_11:57 ,Spiegel,reise,Von Julia Stanek
Streit über Genesenen-Status: Regelung gekippt - Drei-Monatsfrist gilt nun auch im Bundestag,https://www.spiegel.de/politik/deutschland/regelung-gekippt-drei-monatsfrist-gilt-nun-auch-im-bundestag-a-a65ed201-b1d8-46ee-a409-803b67495d6f,10022022_11:56 ,Spiegel,politik,
NFL-Spieler Jonathan Allen: Footballstar entschuldigt sich für Hitler-Tweet,https://www.spiegel.de/panorama/leute/usa-nfl-star-jonathan-allen-entschuldigt-sich-fuer-hitler-tweet-a-2c0b2379-00f8-43a5-8200-158b8342488a,10022022_11:48 ,Spiegel,panorama,
Tamoxifen: Wichtiges Brustkrebsmedikament nicht lieferbar,https://www.spiegel.de/wirtschaft/tamoxifen-wichtiges-brustkrebs-medikament-nicht-lieferbar-a-5fc5a7cf-d6e8-4f67-8e31-c58175c65dff,10022022_11:40 ,Spiegel,wirtschaft,Von Martin U. Müller
Indigene Eishockeyspielerin Roque bei Olympia: Amerikas Eisbrecherin,https://www.spiegel.de/sport/olympia/olympia-2022-indigene-eishockeyspielerin-abby-roque-amerikas-eisbrecherin-a-b5e4f745-5c7f-4994-ba7d-8e44a3b00958,10022022_10:58 ,Spiegel,sport,"Von Heiko Oldörp, Bosten"
Jagd und Wilderei: Jeder vierte Löwe in Sambia hat Schrotkugeln im Schädel,https://www.spiegel.de/wissenschaft/natur/grosswildjagd-jeder-vierte-loewe-in-sambia-hat-schrotkugeln-im-schaedel-a-b0b7de54-f9b7-476d-bff3-5fab193661a0,10022022_10:54 ,Spiegel,wissenschaft,
"Galoppierende Inflation in der Türkei: »Es fällt mir immer schwerer, meine Kinder zu versorgen«",https://www.spiegel.de/ausland/inflation-in-der-tuerkei-es-faellt-mir-immer-schwerer-meine-kinder-zu-versorgen-a-270440c0-4ceb-4968-96f5-ae860140757c,10022022_10:37 ,Spiegel,ausland,
Jawort im Metaversum: Paar lässt sich für Hochzeitsfeier ein virtuelles Schloss bauen,https://www.spiegel.de/netzwelt/web/indien-so-sah-die-angeblich-erste-hochzeit-im-metaversum-aus-a-571964c5-5821-4038-8a25-fe0337a75d30,10022022_10:35 ,Spiegel,netzwelt,
Nato-Osterweiterung: Hat Putin recht?,https://www.spiegel.de/panorama/nato-osterweiterung-was-hat-der-westen-1990-heimlich-dem-kreml-zugesagt-a-38b7dc85-ab4f-48db-837d-1b974c8ae95a,10022022_10:33 ,Spiegel,panorama,Von Klaus Wiegrefe
"Rohstoffmangel: Holz, Beton und Stahl sorgen für rasanten Anstieg der Baupreise",https://www.spiegel.de/wirtschaft/holz-beton-und-stahl-sorgen-fuer-rasanten-anstieg-der-baupreise-a-c413abb9-99cd-4d25-8a36-27df13400da0,10022022_10:33 ,Spiegel,wirtschaft,
