Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Heidelberg gedenkt der Opfer des Amoklaufes an Uni,31012022_14:33,https://www.sueddeutsche.de/panorama/heidelberg-gedenkt-der-opfer-des-amoklaufes-an-uni-1.5518877,,,,"Video
                    
                    
                        Die Nachricht von einem Amoklauf an der Universität Heidelberg erschütterte vor einer Woche ganz Deutschland. Mit einer zentralen Trauerfeier haben Stadt und Hochschule der Opfer gedacht. Sie sollen nicht in Vergessenheit geraten.",31012022,Sueddeutsche
"""Man muss nicht den ganzen Tag total politisch korrekt unterwegs sein""",31012022_14:33,https://www.sueddeutsche.de/politik/svenja-schulze-entwicklungshilfe-impfstoffgerechtigkeit-1.5518563,Entwicklungsministerin Svenja Schulze,,"Interview von Michael Bauchmüller und Angelika Slavik, Berlin","Haben reiche Länder bei der Verteilung von Corona-Impfstoffen versagt? Ein Gespräch mit der neuen Entwicklungsministerin Svenja Schulze über Verantwortung, das Engagement des Einzelnen und was sie unter nachhaltiger und feministischer Entwicklungspolitik versteht.
                        
                            Interview von Michael Bauchmüller und Angelika Slavik, Berlin",31012022,Sueddeutsche
Verpflichtende Corona-Impfung im Fahrerlager kommt,31012022_14:29,https://www.sueddeutsche.de/sport/motorsport-verpflichtende-corona-impfung-im-fahrerlager-kommt-dpa.urn-newsml-dpa-com-20090101-220131-99-917392,Motorsport,dpa,,,31012022,Sueddeutsche
Interner Bericht zu Lockdown-Partys übergeben,31012022_14:28,https://www.sueddeutsche.de/politik/boris-johnson-partygate-bericht-sue-gray-lockdown-partys-1.5515326,Großbritannien,,,Die Spitzenbeamtin Sue Gray hat das Ergebnis ihrer Untersuchung zu möglichen Corona-Verstößen im Amtssitz von Boris Johnson vorgelegt - allerdings fehlen wohl die kritischsten Teile. Der Premier will sich am Nachmittag äußern.,31012022,Sueddeutsche
160 000 Impfungen in Haar,31012022_14:28,https://www.sueddeutsche.de/muenchen/landkreismuenchen/landkreis-muenchen-corona-news-inzidenz-spaziergaenge-demonstration-1.4850845,Newsblog zum Coronavirus im Landkreis München,,Von SZ-Autoren,"Das Impfzentrum hat in einem Jahr die meisten Impfungen vorgenommen. Das RKI gibt am Montag einen Sieben-Tage-Wert von 1126,4 an. In der Vorwoche wurden allerdings Inzidenzen wiederholt wegen Meldeverzögerungen rückwirkend nach oben korrigiert.
                        
                            Von SZ-Autoren",31012022,Sueddeutsche
Bundesprogramm für Innenstädte: Geld für sieben Kommunen,31012022_14:27,https://www.sueddeutsche.de/politik/kommunen-erfurt-bundesprogramm-fuer-innenstaedte-geld-fuer-sieben-kommunen-dpa.urn-newsml-dpa-com-20090101-220131-99-917843,Kommunen - Erfurt,dpa,,,31012022,Sueddeutsche
Michniewicz neuer Nationaltrainer in Polen,31012022_14:27,https://www.sueddeutsche.de/sport/fussball-michniewicz-neuer-nationaltrainer-in-polen-dpa.urn-newsml-dpa-com-20090101-220131-99-917794,Fußball,dpa,,,31012022,Sueddeutsche
Rund 10.000 Geflüchtete kamen 2021 nach Sachsen,31012022_14:26,https://www.sueddeutsche.de/politik/migration-leipzig-rund-10000-gefluechtete-kamen-2021-nach-sachsen-dpa.urn-newsml-dpa-com-20090101-220131-99-917831,Migration - Leipzig,dpa,,,31012022,Sueddeutsche
Über 1100 Überprüfungen von 3G- und Homeoffice-Regeln,31012022_14:25,https://www.sueddeutsche.de/karriere/arbeit-darmstadt-ueber-1100-ueberpruefungen-von-3g-und-homeoffice-regeln-dpa.urn-newsml-dpa-com-20090101-220131-99-917267,Arbeit - Darmstadt,dpa,,,31012022,Sueddeutsche
Mann bei Dachstuhlbrand in Bautzen verletzt,31012022_14:25,https://www.sueddeutsche.de/panorama/braende-mann-bei-dachstuhlbrand-in-bautzen-verletzt-dpa.urn-newsml-dpa-com-20090101-220131-99-917800,Brände,dpa,,,31012022,Sueddeutsche
Johnsons Fehltritte - eine Auswahl,31012022_14:24,https://www.sueddeutsche.de/politik/boris-johnson-party-premier-grossbritannien-1.5507804,Großbritannien,,Von Philipp Saul,"Der britische Premier steht massiv unter Druck. Die Affäre um Lockdown-Partys in Downing Street ist die nächste Peinlichkeit in einer Reihe von kleinen und großen Skandalen.
                        
                            Von Philipp Saul",31012022,Sueddeutsche
Tödliche Schüsse auf Polizisten: Tatverdächtiger war bekannt,31012022_14:24,https://www.sueddeutsche.de/panorama/kriminalitaet-toedliche-schuesse-auf-polizisten-tatverdaechtiger-war-bekannt-dpa.urn-newsml-dpa-com-20090101-220131-99-912375,Kriminalität,dpa,,,31012022,Sueddeutsche
Lebensmittelwarnung: Salmonellen in gemahlenen Erdmandeln,31012022_14:24,https://www.sueddeutsche.de/wirtschaft/lebensmittel-darmstadt-lebensmittelwarnung-salmonellen-in-gemahlenen-erdmandeln-dpa.urn-newsml-dpa-com-20090101-220131-99-917643,Lebensmittel - Darmstadt,dpa,,,31012022,Sueddeutsche
