Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Gorillas will Stundenlohn ab Januar auf zwölf Euro anheben,03122021_08:58,https://www.sueddeutsche.de/wirtschaft/lebensmittel-gorillas-will-stundenlohn-ab-januar-auf-zwoelf-euro-anheben-dpa.urn-newsml-dpa-com-20090101-211203-99-238216,Lebensmittel,dpa,,,03122021,Sueddeutsche
Hunderte Flüge nach Mitternacht im ersten BER-Jahr,03122021_08:58,https://www.sueddeutsche.de/wirtschaft/luftverkehr-hunderte-fluege-nach-mitternacht-im-ersten-ber-jahr-dpa.urn-newsml-dpa-com-20090101-211203-99-238854,Luftverkehr,dpa,,,03122021,Sueddeutsche
Hunderte Flüge nach Mitternacht im ersten BER-Jahr,03122021_08:57,https://www.sueddeutsche.de/wirtschaft/luftverkehr-schoenefeld-hunderte-fluege-nach-mitternacht-im-ersten-ber-jahr-dpa.urn-newsml-dpa-com-20090101-211203-99-238347,Luftverkehr - Schönefeld,dpa,,,03122021,Sueddeutsche
"Verfassungsbeschwerden in ""Cum-Ex""-Affäre gescheitert",03122021_08:56,https://www.sueddeutsche.de/panorama/justiz-hamburg-verfassungsbeschwerden-in-cum-ex-affaere-gescheitert-dpa.urn-newsml-dpa-com-20090101-211202-99-233476,Justiz - Hamburg,dpa,,,03122021,Sueddeutsche
Türkische Inflationsrate steigt klar über 20 Prozent,03122021_08:56,https://www.sueddeutsche.de/wirtschaft/preise-tuerkische-inflationsrate-steigt-klar-ueber-20-prozent-dpa.urn-newsml-dpa-com-20090101-211203-99-240406,Preise,dpa,,,03122021,Sueddeutsche
Keine Aussprache zwischen Zorc und Salihamidzic,03122021_08:55,https://www.sueddeutsche.de/sport/fussball-dortmund-keine-aussprache-zwischen-zorc-und-salihamidzic-dpa.urn-newsml-dpa-com-20090101-211203-99-240426,Fußball - Dortmund,dpa,,,03122021,Sueddeutsche
Kritik an Änderungsplänen für Berliner Humboldt Forum,03122021_08:47,https://www.sueddeutsche.de/kultur/architektur-kritik-an-aenderungsplaenen-fuer-berliner-humboldt-forum-dpa.urn-newsml-dpa-com-20090101-211203-99-238620,Architektur,dpa,,,03122021,Sueddeutsche
Wegen Glätte: Krankenwagen im Einsatz rutscht gegen Baum,03122021_08:47,https://www.sueddeutsche.de/bayern/unfaelle-oberammergau-wegen-glaette-krankenwagen-im-einsatz-rutscht-gegen-baum-dpa.urn-newsml-dpa-com-20090101-211203-99-240328,Unfälle - Oberammergau,dpa,,,03122021,Sueddeutsche
"""Aber alle in meiner Klasse haben eins!""",03122021_08:47,https://www.sueddeutsche.de/leben/famile-kinder-handy-mediennutzung-kontrolle-1.5478328,Mediennutzung,,Von Mirjam Hauck,"Schon Kindergartenkinder wünschen sich zu Weihnachten ein Handy - zu früh, klar. Aber irgendwann kommt das erste eigene Gerät. Wann der beste Zeitpunkt dafür ist und was Eltern dann beachten sollten.
                        
                            Von Mirjam Hauck",03122021,Sueddeutsche
Baden-Württemberg verbietet Großveranstaltungen,03122021_08:46,https://www.sueddeutsche.de/gesundheit/gesundheit-stuttgart-baden-wuerttemberg-verbietet-grossveranstaltungen-dpa.urn-newsml-dpa-com-20090101-211203-99-240307,Gesundheit - Stuttgart,dpa,,,03122021,Sueddeutsche
