Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Putin hält Rede vor Zehntausenden Menschen - Show bricht ab,18032022_16:02,https://www.sueddeutsche.de/politik/krieg-putin-haelt-rede-vor-zehntausenden-menschen-show-bricht-ab-dpa.urn-newsml-dpa-com-20090101-220318-99-577358,Krieg,dpa,,,19032022,Sueddeutsche,politik
Sieben-Tage-Inzidenz in Rheinland-Pfalz erstmals über 1600,18032022_16:01,https://www.sueddeutsche.de/gesundheit/gesundheit-mainz-sieben-tage-inzidenz-in-rheinland-pfalz-erstmals-ueber-1600-dpa.urn-newsml-dpa-com-20090101-220318-99-579005,Gesundheit - Mainz,dpa,,,19032022,Sueddeutsche,gesundheit
Hamburg stellt sich auf Tausende Schüler aus der Ukraine ein,18032022_16:01,https://www.sueddeutsche.de/politik/konflikte-luebeck-hamburg-stellt-sich-auf-tausende-schueler-aus-der-ukraine-ein-dpa.urn-newsml-dpa-com-20090101-220318-99-571444,Konflikte - Lübeck,dpa,,,19032022,Sueddeutsche,politik
"""Dass den Deutschen der Schmäh fehlt, ist Blödsinn""",18032022_15:59,https://www.sueddeutsche.de/kultur/kabarett-humor-oesterreich-deutschland-palfrader-1.5549487,Österreich,,Von Hans Gasser,"Kabarettist Robert Palfrader im Gespräch über das Publikum in Deutschland, freiwillige und unfreiwillige Komik - und seine Bekanntheit als Fernseh-Kaiser. 
                        
                            Von Hans Gasser",19032022,Sueddeutsche,kultur
Holstein Kiel fehlen Rapp und Bremser wegen Corona,18032022_15:59,https://www.sueddeutsche.de/sport/fussball-kiel-holstein-kiel-fehlen-rapp-und-bremser-wegen-corona-dpa.urn-newsml-dpa-com-20090101-220318-99-579001,Fußball - Kiel,dpa,,,19032022,Sueddeutsche,sport
Drittligist Saarbrücken will Erfolgsserie fortsetzen,18032022_15:57,https://www.sueddeutsche.de/sport/fussball-saarbruecken-drittligist-saarbruecken-will-erfolgsserie-fortsetzen-dpa.urn-newsml-dpa-com-20090101-220318-99-578922,Fußball - Saarbrücken,dpa,,,19032022,Sueddeutsche,sport
Polizei nimmt bei Drogengeschäft fünf Männer fest,18032022_15:56,https://www.sueddeutsche.de/panorama/kriminalitaet-winnweiler-polizei-nimmt-bei-drogengeschaeft-fuenf-maenner-fest-dpa.urn-newsml-dpa-com-20090101-220318-99-578921,Kriminalität - Winnweiler,dpa,,,19032022,Sueddeutsche,panorama
"Wehrbeauftragte Högl: ""Viele sehen erst jetzt, wofür wir die Bundeswehr brauchen""",18032022_15:55,https://www.sueddeutsche.de/politik/podcast-nachrichten-wehrbeauftragte-hoegl-viele-sehen-erst-jetzt-wofuer-wir-die-bundeswehr-brauchen-1.5550647,"SZ-Podcast ""Auf den Punkt""",,Von Lars Langenau,"Russlands Krieg in der Ukraine hat alles verändert. Was das insbesondere für die Bundeswehr bedeutet, erklärt die Wehrbeauftragte Eva Högl.
                        
                            Von Lars Langenau",19032022,Sueddeutsche,politik
Queen überträgt Meghans Theater-Schirmherrschaft an Camilla,18032022_15:54,https://www.sueddeutsche.de/panorama/queen-uebertraegt-meghans-theater-schirmherrschaft-an-camilla-1.5550667,,,,"Video
                    
                    
                        Queen überträgt Meghans Theater-Schirmherrschaft an Camilla, Das dürfte für royalen Unmut sorgen: Queen Elizabeth II. überträgt eines der Ehrenämter von Herzogin Meghan auf ihre Schwiegertochter Herzogin Camilla. Während die Eine weiterhin an Gunst gewinnt, verhärten sich wohl die Fronten zwischen Meghan und der Queen.",19032022,Sueddeutsche,panorama
Hamburg-Towers-Coach: Gegen Ludwigsburg kühlen Kopf bewahren,18032022_15:54,https://www.sueddeutsche.de/sport/basketball-hamburg-hamburg-towers-coach-gegen-ludwigsburg-kuehlen-kopf-bewahren-dpa.urn-newsml-dpa-com-20090101-220318-99-578948,Basketball - Hamburg,dpa,,,19032022,Sueddeutsche,sport
