Titel,URL,Date_Info,News_page
Terrorprozess gegen deutsche Journalistin: Mesale Tolu in der Türkei freigesprochen,https://www.spiegel.de/ausland/mesale-tolu-in-der-tuerkei-im-terrorprozess-freigesprochen-a-e3cb6cf5-fef6-4986-a230-575a7597c8ab,17012022_12:47 ,Spiegel
15.000 schwedische Haushalte betroffen: Sturm und Kälte sorgen für Stromausfälle und Verkehrschaos,https://www.spiegel.de/panorama/schweden-wetterchaos-im-sueden-zehntausende-ohne-strom-a-ebd36e3e-330f-41b3-a9bc-3d85db8327cc,17012022_12:39 ,Spiegel
Blinde Passagierin: 14-Jährige klammert sich fast eine Stunde an fahrenden Güterzug,https://www.spiegel.de/panorama/magdeburg-14-jaehrige-klammert-sich-fast-eine-stunde-an-fahrenden-gueterzug-a-47ea82d4-56ee-4699-bd4d-12819b7e8747,17012022_12:38 ,Spiegel
Wie setzt die Koalition ihre Vorhaben um?: Verfolgen Sie die Regierungsarbeit im SPIEGEL-Ampelradar,https://www.spiegel.de/politik/deutschland/verfolgen-sie-die-regierungsarbeit-im-spiegel-ampelradar-a-136bb7c1-d7bb-4776-8173-f62260f1c55d,17012022_12:27 ,Spiegel
Solar Geoengineering: Wissenschaftler warnen vor Dimmen der Sonne,https://www.spiegel.de/wissenschaft/natur/solar-geoengineering-wissenschaftler-warnen-vor-versuchen-die-sonne-zu-dimmen-a-d9ad2261-fe6e-4bc8-8e18-84cb712e125f,17012022_12:24 ,Spiegel
"Schneestürme, Hagel, Tornados: Todesopfer bei Unwettern in den USA – mehr als 3000 Flüge gestrichen",https://www.spiegel.de/panorama/usa-todesopfer-bei-unwettern-im-osten-mehr-als-3000-fluege-gestrichen-a-5f39c76c-5d3c-49b1-8341-a9ff37d2f9fe,17012022_11:37 ,Spiegel
Großbritannien: Kulturministerin will BBC-Beitragsgebühren abschaffen,https://www.spiegel.de/kultur/bbc-britische-kulturministerin-will-beitragsgebuehren-abschaffen-a-552f96b5-5aeb-4cb6-8687-2069687a8bfa,17012022_11:19 ,Spiegel
FDP-Verteidigungsexpertin: Strack-Zimmermann fordert »weniger Geschwurbel« von Bundeswehrgenerälen,https://www.spiegel.de/politik/deutschland/marie-agnes-strack-zimmermann-fdp-politikerin-fordert-weniger-geschwurbel-von-bundeswehrgeneraelen-a-6612c552-53a6-449e-8d0b-3936425ae784,17012022_11:15 ,Spiegel
Finanzpolitik: Ein Widerspruch namens Lindner,https://www.spiegel.de/wirtschaft/christian-lindner-finanzminister-hat-vor-seinem-ersten-auftritt-in-bruessel-in-vielen-fragen-keine-position-a-0595b33b-343c-4dcf-8136-02608db7fdad,17012022_11:07 ,Spiegel
Kontaktnachverfolgung: Luca-Betreiber wollen App mit Preisnachlässen anbieten,https://www.spiegel.de/netzwelt/apps/luca-betreiber-wollen-app-mit-preisnachlaessen-anbieten-a-cab7c709-fdfe-4940-a054-d9900d8f7474,17012022_11:05 ,Spiegel
Nationalsozialismus: Verriet ein jüdischer Familienvater Anne Frank an die Nazis?,https://www.spiegel.de/geschichte/anne-frank-wurde-sie-von-einem-juedischen-familienvater-verraten-a-43f17bbe-60f2-4e4f-8f02-18c0913e5492,17012022_10:59 ,Spiegel
Trotz deutlichen Wirtschaftswachstums: Chinas Notenbank senkt Schlüsselzins,https://www.spiegel.de/wirtschaft/unternehmen/china-wirtschaft-waechst-um-8-1-prozent-notenbank-senkt-leitzins-trotzdem-a-b96500f4-2bd1-4f1d-957c-888424de497b,17012022_10:49 ,Spiegel
"Showklassiker im ZDF: Gottschalk macht »Wetten, dass..?« weiter",https://www.spiegel.de/kultur/tv/wetten-dass-thomas-gottschalk-macht-mit-showklassiker-im-zdf-weiter-a-7421f157-ed46-4014-a9ac-ff2264ba38d1,17012022_10:26 ,Spiegel
Drohender Prozess wegen Hochverrats: Ukrainischer Ex-Präsident Poroschenko kehrt nach Kiew zurück,https://www.spiegel.de/ausland/ukraine-ex-praesident-petro-poroschenko-kehrt-nach-kiew-zurueck-a-49ec78de-6ba8-4e3d-844b-e08ad2ae9c7c,17012022_10:22 ,Spiegel
Nervennahrung: Heute gibt es Rosenkohl-Mango-Curry,https://www.spiegel.de/stil/rezept-fuer-rosenkohl-mango-curry-a-55b645e5-89c3-40a5-843d-cb500c5d6cdf,17012022_10:10 ,Spiegel
"Drohende Eskalation mit Russland: »Wenn die Ukraine scheitert, scheitert Europa«",https://www.spiegel.de/ausland/ukraine-olha-stefanischyna-ueber-drohende-eskalation-mit-russland-a-b61be76b-12a9-4565-8fb9-36b152b2bc76,17012022_09:58 ,Spiegel
Nach tagelangen Ausschreitungen: Vertraute von Kasachstans Ex-Präsident treten zurück,https://www.spiegel.de/ausland/kasachstan-mehrere-vertraute-von-ex-praesident-nursultan-nasarbajew-treten-zurueck-a-5b18866d-e2f6-4d63-bf1a-d0df29e6cead,17012022_09:50 ,Spiegel
Verbindung nach Dänemark: Richter stoppen vorläufig teilweise Baggerarbeiten für Fehmarnbelttunnel,https://www.spiegel.de/wirtschaft/unternehmen/fehmarnbelt-tunnel-bundesverwaltungsgericht-stoppt-vorlaeufig-baggerarbeiten-wegen-riffen-a-e491f410-b1e8-4055-acca-0fa673bfdb4d,17012022_09:31 ,Spiegel
"Tipps von der Karriereberaterin: Soll ich schwindeln, wenn nach dem aktuellen Gehalt gefragt wird?",https://www.spiegel.de/karriere/soll-ich-schwindeln-wenn-nach-dem-vorigen-gehalt-gefragt-wird-tipps-von-der-karriereberaterin-a-66f8370b-c3c8-489e-8f5d-b19d08398793,17012022_09:27 ,Spiegel
Anklagen in der »Gorch Fock«-Affäre: Ex-Vorständen der Elsflether Werft drohen langjährige Haftstrafen,https://www.spiegel.de/panorama/justiz/gorch-fock-ex-vorstaenden-der-elsflether-werft-drohen-langjaehrige-haftstrafen-a-8ca2395d-5f5b-489e-a9d6-c333d922d97b,17012022_08:45 ,Spiegel
National Football League: Cowboys verlieren nach kuriosem Schiedsrichterrempler in Schlusssekunden,https://www.spiegel.de/sport/nfl-dallas-cowboys-verlieren-kuriose-schlussphase-gegen-san-francisco-49ers-a-c17509bc-51b6-4baa-94fe-03f4e0de4daa,17012022_08:36 ,Spiegel
Hunga Tonga-Hunga Ha'apai: Vulkanausbruch nahe Tonga war stärkste Eruption seit 30 Jahren,https://www.spiegel.de/wissenschaft/natur/tonga-vulkanausbruch-war-staerkste-eruption-seit-30-jahren-a-e68f8429-3d3e-4a0f-bfa6-69887879f207,17012022_08:14 ,Spiegel
Ostbeauftragter Schneider: Ostdeutschen ist »Aushandeln von Kompromissen fremd geblieben«,https://www.spiegel.de/politik/deutschland/carsten-schneider-ostdeutschen-ist-aushandeln-von-kompromissen-fremd-geblieben-a-fb5ccb10-f429-47cd-a58c-c54ec7e15327,17012022_07:55 ,Spiegel
Schweizer Großbank: Credit-Suisse-Präsident tritt nach Verstoß gegen Quarantäneregeln zurück,https://www.spiegel.de/wirtschaft/unternehmen/credit-suisse-praesident-antonio-horta-osorio-tritt-nach-verstoss-gegen-quarantaeneregeln-zurueck-a-62a44155-8010-4be0-894c-70e9e61ac2b2,17012022_07:42 ,Spiegel
Spannungen vor Reise nach Kiew und Moskau: Gasmanager fürchtet russische Angriffe auf Pipelines – Baerbock betont Dialogbereitschaft,https://www.spiegel.de/politik/deutschland/annalena-baerbock-betont-dialogbereitschaft-und-droht-russland-mit-entschlossener-reaktion-a-952c0301-f41e-4aa3-9126-b2bc71ffc346,17012022_07:30 ,Spiegel
Oxfam-Ungleichheitsbericht: Zehn reichste Menschen weltweit verdoppelten in der Pandemie ihr Vermögen,https://www.spiegel.de/wirtschaft/soziales/oxfam-bericht-zehn-reichste-menschen-weltweit-verdoppelten-waehrend-corona-ihr-vermoegen-a-72040744-b4f2-4f78-b382-cbba6b313450,17012022_07:09 ,Spiegel
Das umstrittene Projekt: Warum die Coronaimpfpflicht wohl später kommt als gedacht,https://www.spiegel.de/politik/deutschland/corona-impfpflicht-warum-sie-spaeter-kommt-als-gedacht-podcast-a-8cc5fef7-e0f5-4437-9704-60df4adf8148,17012022_06:00 ,Spiegel
Die Lage am Morgen: Baerbocks erste Krisenmission,https://www.spiegel.de/politik/deutschland/news-russland-ukraine-annalena-baerbock-corona-proteste-novak-djokovic-a-416dc341-b955-4ecb-b748-92adc78b36bc,17012022_05:37 ,Spiegel
"Emotionen regulieren (8/8): Hey, das wird schon wieder!",https://www.spiegel.de/psychologie/emotionen-regulieren-hey-das-wird-schon-wieder-spiegel-coaching-podcast-a-c3fc5a8b-6450-4312-9752-00ee8e400122,17012022_05:30 ,Spiegel
"Architektur, Geschichte und Co.: Welche Studienfächer besonders beliebt sind – und was man über sie wissen muss",https://www.spiegel.de/start/architektur-oder-geschichte-studieren-voraussetzungen-inhalte-berufsaussichten-a-b2f53cd2-10b3-424c-9f18-e766036a54ae,17012022_05:08 ,Spiegel
"Günstiger Oldtimer – Jeep Cherokee XJ: Gelände gut, alles gut",https://www.spiegel.de/auto/jeep-cherokee-xj-als-oldtimer-gelaende-gut-alles-gut-a-e7ae91b2-f2cb-48a4-83df-768883efc88c,17012022_05:08 ,Spiegel
Satellitenbild der Woche: Hier streiten Afghanistan und Iran ums Wasser,https://www.spiegel.de/wissenschaft/mensch/kamal-khan-staudamm-streit-ums-wasser-zwischen-afghanistan-und-iran-a-85e669c9-fc52-477b-98fc-24b6df66a6b4,17012022_05:08 ,Spiegel
Krimi-Vote: Wie gefiel Ihnen der Drogen-»Tatort« aus Münster?,https://www.spiegel.de/kultur/tv/tatort-vote-wie-gefiel-ihnen-der-drogen-krimi-aus-muenster-a-875609bd-5a70-4fa9-be14-e49a48ffedb7,17012022_05:08 ,Spiegel
