Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Zwischen Magie und Erosion,26022022_14:43,https://www.sueddeutsche.de/politik/olaf-scholz-angela-merkel-bundesregierung-michael-mertes-buch-1.5532966,Bundesregierung,,Von Werner Weidenfeld,"Michael Mertes beschreibt fundiert die Zyklen der Macht, von Aufbruch und Niedergang in der Republik seit 1949. Im Grunde ist dies nichts weniger als eine Handlungsanleitung für Olaf Scholz.
                        
                            Von Werner Weidenfeld",27022022,Sueddeutsche,politik
Mehr als 100 Menschen bei Friedensgebet für die Ukraine,26022022_14:41,https://www.sueddeutsche.de/politik/demonstrationen-trier-mehr-als-100-menschen-bei-friedensgebet-fuer-die-ukraine-dpa.urn-newsml-dpa-com-20090101-220226-99-298997,Demonstrationen - Trier,dpa,,,27022022,Sueddeutsche,politik
Auto überschlägt sich bei Zusammenstoß: Vier Verletzte,26022022_14:40,https://www.sueddeutsche.de/panorama/unfaelle-stolberg-auto-ueberschlaegt-sich-bei-zusammenstoss-vier-verletzte-dpa.urn-newsml-dpa-com-20090101-220226-99-297759,Unfälle - Stolberg,dpa,,,27022022,Sueddeutsche,panorama
Rostock nach 0:2 gegen Nürnberg vier Monate daheim sieglos,26022022_14:39,https://www.sueddeutsche.de/sport/fussball-rostock-rostock-nach-02-gegen-nuernberg-vier-monate-daheim-sieglos-dpa.urn-newsml-dpa-com-20090101-220226-99-298989,Fußball - Rostock,dpa,,,27022022,Sueddeutsche,sport
"""Unsere Zukunft stirbt""",26022022_14:39,https://www.sueddeutsche.de/kultur/kuenstler-russland-ukraine-1.5537152,Ukraine und Russland,,"Von Moritz Baumstieger, Christine Dössel, Ekaterina Kel, Dorion Weickmann und Sonja Zekri;","Panik und schwarzer Humor in Kiew und Odessa, Scham und Ohnmacht in Moskau: Ukrainische und russische Künstler versuchen, ihr Entsetzen in Worte zu fassen. 
                        
                            Von Moritz Baumstieger, Christine Dössel, Ekaterina Kel, Dorion Weickmann und Sonja Zekri;",27022022,Sueddeutsche,kultur
30 Meter Höhe: Weltrekord-Slackliner läuft über Neu Delhi,26022022_14:38,https://www.sueddeutsche.de/bayern/leute-neu-delhi-30-meter-hoehe-weltrekord-slackliner-laeuft-ueber-neu-delhi-dpa.urn-newsml-dpa-com-20090101-220226-99-298984,Leute - Neu-Delhi,dpa,,,27022022,Sueddeutsche,bayern
Schalke verpasst Sprung in Aufstiegszone - Remis beim KSC,26022022_14:35,https://www.sueddeutsche.de/sport/fussball-schalke-verpasst-sprung-in-aufstiegszone-remis-beim-ksc-dpa.urn-newsml-dpa-com-20090101-220226-99-299024,Fußball,dpa,,,27022022,Sueddeutsche,sport
Deutsches Langlauf-Team im Sprint besiegt,26022022_14:32,https://www.sueddeutsche.de/sport/ski-nordisch-deutsches-langlauf-team-im-sprint-besiegt-dpa.urn-newsml-dpa-com-20090101-220226-99-298862,Ski nordisch,dpa,,,27022022,Sueddeutsche,sport
St. Pauli setzt Zeichen vor DFB-Pokal - FCI verliert erneut,26022022_14:32,https://www.sueddeutsche.de/sport/fussball-st-pauli-setzt-zeichen-vor-dfb-pokal-fci-verliert-erneut-dpa.urn-newsml-dpa-com-20090101-220226-99-298963,Fußball,dpa,,,27022022,Sueddeutsche,sport
Nürnberg mischt wieder um Aufstieg mit: Sieg in Rostock,26022022_14:31,https://www.sueddeutsche.de/sport/fussball-nuernberg-mischt-wieder-um-aufstieg-mit-sieg-in-rostock-dpa.urn-newsml-dpa-com-20090101-220226-99-298960,Fußball,dpa,,,27022022,Sueddeutsche,sport
"Geld, das stinkt",26022022_14:30,https://www.sueddeutsche.de/politik/ukraine-putin-oesterreich-1.5537019,Österreich-Kolumne,,Von  Alexandra Föderl-Schmid,"Meinung
                    
                    
                        Es ist eine Schande, dass sich ehemalige Spitzenpolitiker von Putin bezahlen lassen. Warum Österreich jetzt sein Verhältnis zu Russland grundsätzlich neu definieren muss. 
                        
                            Von  Alexandra Föderl-Schmid",27022022,Sueddeutsche,politik
Deutsche Skispringerinnen wieder chancenlos,26022022_14:28,https://www.sueddeutsche.de/sport/skispringen-deutsche-skispringerinnen-wieder-chancenlos-dpa.urn-newsml-dpa-com-20090101-220226-99-298859,Skispringen,dpa,,,27022022,Sueddeutsche,sport
Sportchef Arabi: Würden mit Torwart Ortega sofort verlängern,26022022_14:25,https://www.sueddeutsche.de/sport/fussball-sportchef-arabi-wuerden-mit-torwart-ortega-sofort-verlaengern-dpa.urn-newsml-dpa-com-20090101-220226-99-298853,Fußball,dpa,,,27022022,Sueddeutsche,sport
