02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_29112021_14_11_50_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche6_31122021_17_44_39.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_23122021_12_52_51_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_04122021_12_16_32_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche13_28122021_14_19_40.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_01122021_11_39_00.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_13122021_12_25_08_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: .DS_Store
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche7_31122021_17_44_44.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_17112021_12_01_53_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_01122021_11_38_17_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche13_31122021_17_45_15.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_17122021_13_04_18_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche6_28122021_14_19_04.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_20122021_14_48_12_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche8_30122021_13_48_02.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche1_02012022_13_10_19.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_15112021_12_09_09_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27122021_12_12_18_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_12122021_12_17_48_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_22112021_13_44_09_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_02122021_12_17_53.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_15122021_21_03_46_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_12122021_12_17_51_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche4_29122021_12_01_54.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche4_28122021_14_18_54.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_02122021_12_17_02_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche4_31122021_17_44_28.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_21122021_12_59_17_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_23112021_15_17_19.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_28112021_12_01_05_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27112021_12_00_26_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_14112021_13_29_45_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche11_31122021_17_45_05.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche7_28122021_14_19_09.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche17_28122021_14_20_01.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche8_29122021_12_02_15.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_23122021_12_43_29_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_01_43_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche0_31122021_17_44_06.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_16112021_15_38_15_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche6_30122021_13_47_52.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_21122021_12_59_10_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche17_29122021_12_03_01.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_01012022_13_18_12.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche4_30122021_13_47_41.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche5_31122021_17_44_33.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche9_02012022_13_11_01.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_07122021_12_01_24.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche2_29122021_12_01_43.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_23112021_15_16_30_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche5_28122021_14_18_59.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche2_28122021_14_18_43.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche5_29122021_12_01_59.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_07122021_12_00_34_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche11_29122021_12_02_30.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25112021_15_41_17_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_16112021_15_38_18_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_01122021_11_38_10_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_22122021_12_01_50.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche2_30122021_13_47_31.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_13122021_12_24_16_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_05_16_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche15_29122021_12_02_51.csv
