30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_07122021_12_00_34_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche11_29122021_12_02_30.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_25112021_15_41_17_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_01122021_11_38_10_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_22122021_12_01_50.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_05_16_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche15_29122021_12_02_51.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_03122021_12_02_30.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_13122021_12_05_26_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche1_28122021_14_18_38.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_27112021_12_00_33_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_28112021_12_01_16_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche11_28122021_14_19_30.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_14112021_13_30_51.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_16122021_12_01_11_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_29112021_14_11_57_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche15_28122021_14_19_51.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_22112021_13_44_05_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_19122021_12_17_54_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_22122021_12_01_01_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_05_23_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_27122021_12_12_14_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_28112021_12_01_09_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_25112021_15_41_21_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_21112021_08_50_39_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_21112021_08_50_34_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche20_29122021_12_03_16.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_23112021_15_16_38_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_01122021_11_38_20_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche7_29122021_12_02_10.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_17112021_12_02_49.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_25112021_15_42_11.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_29122021_12_01_14.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_16122021_12_01_14_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_18112021_14_11_43_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_20122021_14_48_02_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_01_40_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_25122021_13_53_18_Page4.csv
