keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7,lowest_lag
2G,-6.152354929671527,7.509109546750829e-08,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.9291288785125484,0.0420640507784741,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.1628,0.0447,0.0,0.0,0.0001,0.0002,0.0004,3.0
2G-Regel,-1.7815059300809726,0.3896813678001902,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.6306081477982333,0.08683474033661281,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.2824,0.4765,0.6366,0.5006,0.5426,0.4408,0.3383,
3G,-5.992841617430682,1.729179265256797e-07,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-11.61457463802301,2.4665580728577786e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9263,0.9745,0.8604,0.0692,0.1051,0.0899,0.1025,
A,-11.208058397690783,2.159864196232468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.570638773200054,2.0077620926068827e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0076,0.0377,0.0476,0.0806,0.1077,0.154,0.1452,1.0
Ab,-12.506756877668828,2.7298107296208635e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.305089222821934,3.294815584235623e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8998,0.6889,0.3913,0.4013,0.4167,0.5142,0.627,
Abend,-9.755722742337916,7.799427264274404e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.805622213413208,0.3776740149233909,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.486,0.6788,0.8283,0.9221,0.4056,0.3639,0.2718,
Abschied,-2.365277713045611,0.1517772359999322,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.578272644813923,2.1933078525311824e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.0536,0.072,0.1079,0.164,0.2319,0.0868,0.119,
Acht,-6.551147052626052,8.844689247296915e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.211029179187952,0.202266881370948,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.2852,0.5722,0.668,0.8069,0.8894,0.9452,0.9565,
Afghanistan,-5.304832423405014,5.350847606097261e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.180302173203892,2.66060582940184e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.7656,0.6393,0.5431,0.3704,0.5378,0.545,0.6853,
Alba,-4.742644844526391,6.992670422145878e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-10.830658239217817,1.711503550790895e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7343,0.762,0.8502,0.8947,0.923,0.7433,0.2223,
Alle,-11.20065980250897,2.2482123212986883e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.574134025223453,3.051584788366963e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4448,0.1166,0.0728,0.166,0.1148,0.1886,0.3273,
Alles,-10.729191788203748,3.0102965044664026e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.656504880298787,4.968768504477045e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9642,0.3342,0.4662,0.5861,0.7557,0.7116,0.7755,
Als,-10.038902644924928,1.5145991875964152e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.285438533322042,3.7079693908793266e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.5022,0.5104,0.5497,0.7106,0.8743,0.9247,0.9501,
Am,-10.561164128928382,7.721806118309312e-19,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-1.7643694681081612,0.3982891626642162,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.8409,0.293,0.2593,0.401,0.5208,0.6152,0.4733,
Ampel,-1.7155335531714577,0.42312741649266544,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-9.948830459474946,2.5466926682877782e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8903,0.9517,0.992,0.9966,0.8996,0.9488,0.3768,
Amt,-11.501968286967198,4.46903886536133e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.567663794403274,0.09986635206828154,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0846,0.0879,0.1357,0.1849,0.219,0.3302,0.4143,
An,-12.349497755137985,5.868966297935544e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.773614568177441,1.0753496894787613e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5849,0.6745,0.6207,0.724,0.7887,0.8015,0.8466,
Andrew,-6.9828773713513135,8.106949497849577e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.1433595882397345,3.2803323096411185e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,1.0
Anfang,-4.838955896338082,4.578343999727315e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-10.641765079144504,4.909294833567013e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4133,0.8111,0.3232,0.3028,0.1502,0.24,0.3192,
Angeklagter,-9.631952039275017,1.6034267409281912e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.363631528776917,0.15226526775377414,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0472,0.0734,0.1251,0.186,0.3336,0.437,0.1607,1.0
Angriff,-6.16255666493643,7.115895833280107e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-9.132528826840781,2.9952436492932018e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0,0.0001,0.0001,0.0002,0.0001,0.0004,0.0007,1.0
Angst,-10.879298406768221,1.3071615111470364e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.1816127529127733,0.021073981636021755,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.4623,0.0512,0.1167,0.2137,0.333,0.3167,0.4124,
Anklage,-1.973125624205459,0.2984794416860385,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.723091033363636,0.07012703458317257,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0549,0.0684,0.1624,0.2827,0.391,0.4161,0.6225,
Anschlag,-12.179088006851746,1.364624927646005e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.59770851522649,1.9580286208142333e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5218,0.6628,0.8614,0.9067,0.9412,0.9315,0.9646,
Anstieg,-4.315989903305066,0.0004167272977916253,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-11.033520473548746,5.590884927958677e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4906,0.4477,0.5973,0.7284,0.8464,0.9165,0.7258,
Antrag,-4.37103609270785,0.000333896761840886,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-9.927249076306824,2.885048213730752e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.33,0.237,0.424,0.5944,0.7259,0.5808,0.7178,
Apple,-2.0565366500385602,0.2623465332794108,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-12.449699959440203,3.598280451730967e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8956,0.9251,0.7106,0.8463,0.9438,0.9805,0.99,
April,-3.0594920276052315,0.029699850723383152,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",2.9592583057007227,1.0,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0018,0.0068,0.0167,0.0103,0.0153,0.0386,0.0,7.0
Arbeit,-2.406335027107211,0.13995637164192326,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-10.590250084321536,6.556054692210117e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.256,0.4622,0.5308,0.7343,0.8766,0.9409,0.8174,
Arzt,-2.691375107107529,0.07554268064390236,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.588857176434771,0.09532220137305186,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",0.0663,0.1397,0.281,0.4637,0.6471,0.5006,0.5973,
Attacke,-6.467033982589624,1.3969623712487269e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-11.968577598457088,3.9471059321233635e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1821,0.3328,0.4447,0.2491,0.2604,0.2153,0.1773,
Auch,-3.5661695994301703,0.006441720649475672,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-6.1258329241547935,8.633964903675136e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.4749,0.6389,0.8918,0.8161,0.8494,0.9368,0.9781,
Aue,-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.502220260313781,0.007930255825910004,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.7167,0.6219,0.8012,0.314,0.2693,0.2324,0.1595,
Auf,-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-3.4234180851511886,0.010185989575607693,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.3615,0.6468,0.8366,0.8986,0.9062,0.9436,0.9766,
Auffahrunfall,-2.6500563648181417,0.08308652643856396,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-6.209084999390409,5.564311268916126e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.7634,0.8658,0.7983,0.9278,0.8082,0.791,0.7152,
Aufnahme,-5.484319272515057,2.247709054712016e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.016631634602728,0.27932865407097407,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",0.6833,0.3834,0.5482,0.6923,0.7428,0.7197,0.8128,
Augsburg,-7.8322699806590945,6.247190231574731e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.019784844633802,0.2779660729952924,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3555,0.2858,0.4868,0.6724,0.8014,0.5375,0.6285,
Aus,-9.737155065441417,8.688587445711186e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.2157567123853266,0.019090544359393107,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.6031,0.7125,0.8487,0.8844,0.4494,0.5627,0.6704,
Ausbau,-3.158402377847928,0.02252234564159925,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",-11.144939543100035,3.042604174092293e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0074,0.001,0.0079,0.0033,0.0032,0.008,0.0144,2.0
Ausstellung,-2.6561179621576114,0.08194441776377687,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.2976862349657878,0.6302301980504135,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.9184,0.0582,0.1161,0.0519,0.0013,0.0047,0.0212,5.0
Australian,-7.008033178677549,7.038785668815599e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.026989342501778,0.0012755973603730483,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.0569,0.1893,0.3121,0.475,0.3964,0.4625,0.3892,
Australien,-2.7835236931981697,0.06066610670562459,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-5.627163085317252,1.1106015097214098e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.0486,0.0455,0.1015,0.0085,0.0168,0.0333,0.0076,7.0
Auto,-11.678302384695007,1.7662273536852857e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.2447296909041525,0.6540644290661317,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.8064,0.7202,0.4871,0.6241,0.3178,0.3751,0.4492,
Autobahn,-11.066859117111822,4.6581610887526414e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.1504471303005,7.977047122308474e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3973,0.6855,0.867,0.859,0.866,0.1053,0.0988,
Autofahrer,-10.508892487277869,1.036849436220321e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.927617978450005,2.4226651819208207e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.6611,0.8236,0.169,0.3137,0.4303,0.3902,0.4463,
Autounfall,-4.585073891612963,0.00013760424209326527,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-6.469491202120165,1.378492491374067e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.1529,0.0817,0.1873,0.2969,0.6021,0.6989,0.6278,
Baby,-10.361019362867262,2.3964378442544016e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.755573611936552,5.830580148929079e-07,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.2204,0.0587,0.129,0.1828,0.2217,0.288,0.329,
Bach,-8.434081733580145,1.836683268358613e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.668239945229853,9.04696465691575e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.1387,0.2833,0.4104,0.0938,0.1152,0.1349,0.0921,
Bad,-20.730300018199443,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.711746521269329,0.07202757152953476,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.4817,0.7121,0.8699,0.8907,0.5794,0.7004,0.7484,
Baden-Württemberg,-9.116711920405326,3.2874398062228563e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.36314936205806,7.72572072700023e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8943,0.7198,0.7094,0.809,0.8618,0.0911,0.1353,
Baerbock,-3.844274691391471,0.0024854595855943514,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-8.861476443687323,1.4788543923752687e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4187,0.1855,0.3073,0.3284,0.3468,0.4431,0.523,
Bahn,-11.587411940112565,2.8453995844896546e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.871976755142666,3.952965757498337e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.1936,0.1107,0.2205,0.3537,0.1231,0.1961,0.2894,
Bank,-11.902017540233572,5.54660543794434e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.988343953859749,7.00115039187512e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3325,0.4113,0.6132,0.576,0.6889,0.4476,0.4981,
Banken,-12.699507566071153,1.0876266553575708e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.740185729630608,7.068022271783652e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.7052,0.9112,0.9609,0.9112,0.9677,0.9669,0.969,
Barcelona,0.14804718155583899,0.9691924774415139,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-8.30507149100857,3.9236893667909626e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0377,0.0149,0.0397,0.0138,0.012,0.0055,0.0211,6.0
Basketballer,-12.661348609312094,1.3028745490591294e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.118376149294339,1.2874005197002468e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.0464,0.1136,0.248,0.1099,0.1905,0.2415,0.225,1.0
Baum,-2.214130548086811,0.20115691442930567,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-8.834703688025856,1.7317294020259384e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.6914,0.9596,0.1924,0.3072,0.441,0.1532,0.3741,
Bayern,-4.348077916960575,0.0003663459249180385,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.906076770778723,3.393686836862857e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.0126,0.0251,0.0409,0.0366,0.0657,0.0963,0.1134,1.0
Behörden,-11.241364859250018,1.8036734604042275e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.4337857574319886,2.875531589623877e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.7917,0.1149,0.1767,0.2293,0.2569,0.4319,0.4112,
Bei,-12.123672220958944,1.8010909734740835e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.357614040219464,9.687125538915759e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.2018,0.2709,0.3865,0.3695,0.4153,0.3252,0.4182,
Belarus,-2.3726098231954165,0.14961676402566815,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-4.138357529921536,0.0008363981448914171,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.3812,0.2097,0.0214,0.0009,0.002,0.0032,0.0043,4.0
Bericht,-4.134762658096116,0.0008480233699718775,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-10.105455449962959,1.0328004576975723e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.159,0.3511,0.5062,0.6666,0.7132,0.8394,0.8273,
Berlin,-3.203902725384187,0.019759882649742072,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.9059754041340553,0.3292553346259577,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3304,0.6582,0.3353,0.4125,0.072,0.0868,0.1862,
Berlinale,-2.924695655556922,0.042550675914799545,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-3.601264221173514,0.005736904500772039,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Berliner,-5.988546899614987,1.7681284827686345e-07,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.336251025014377,2.7590126549824948e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.428,0.7019,0.8783,0.8353,0.9283,0.8976,0.8976,
Beschäftigte,-3.429687719711279,0.009987504639075268,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-3.1313524977074896,0.024318301214553754,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.1948,0.2412,0.263,0.0704,0.1119,0.1184,0.228,
Besuch,-3.58875239242937,0.005979734614045795,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-3.482133496517308,0.00845797598510804,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.7186,0.9894,0.9106,0.7536,0.8959,0.9345,0.9739,
Betrieb,-2.8289894972337963,0.05425065380611037,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-3.402692966040647,0.010867410438742134,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.1778,0.2742,0.3572,0.2954,0.1145,0.1539,0.515,
Betrug,-4.17016344049001,0.0007398602207394662,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-12.28597536065466,8.024474557820324e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.433,0.0513,0.0911,0.0874,0.0948,0.1031,0.1546,
Bewohner,-12.532853412511725,2.4072115205270646e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.8050019055996303,0.05756282600890591,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.6885,0.867,0.3008,0.2498,0.2809,0.3361,0.3369,
Biden,-2.551550280741591,0.10342988351414906,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-9.360689191413602,7.838011941064558e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1567,0.0031,0.0089,0.0154,0.0483,0.0177,0.0475,2.0
Bielefeld,-8.160384826807642,9.177533236483413e-13,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.1694504388930396,0.021822517442428174,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.1446,0.3986,0.6452,0.3497,0.2673,0.3804,0.5946,
Bilanz,-2.8149506470030383,0.05616970595146749,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-10.61434185394758,5.725993018127253e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8571,0.2631,0.4375,0.1763,0.2482,0.3429,0.4116,
Bild,-4.468092228973984,0.00022445982339979893,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.72827578249201,1.36094993426691e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4677,0.3504,0.634,0.7769,0.7051,0.8833,0.4168,
Bilder,-10.734362856177997,2.9246742853265177e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.1852727623216985,0.21163394786799822,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",0.5865,0.8073,0.9055,0.9403,0.7253,0.328,0.4431,
Bis,-8.711767753000103,3.5752366965657126e-14,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.226409947293444,0.018505967177150764,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.2521,0.3831,0.1311,0.2352,0.3189,0.4582,0.6197,
Bischof,-3.300766399142147,0.01484425116733321,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-9.752504843143939,7.946697591096854e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4898,0.1214,0.0873,0.0402,0.0575,0.1547,0.0276,7.0
Blick,-10.787925788378583,2.1701221561201145e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.352220838565806,8.237203928968897e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7595,0.7985,0.8849,0.6601,0.7885,0.7808,0.8274,
Bochum,-10.629817748793963,5.249567026246462e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.85655250736742,4.344029346291362e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3312,0.5804,0.035,0.0555,0.0892,0.1171,0.1627,3.0
Booster,-5.148397702603663,1.11952881806526e-05,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-5.752529075226604,5.921007726573482e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.581,0.7971,0.8936,0.5171,0.5949,0.4264,0.1086,
Boris,-1.8329244588851044,0.3642424200843652,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-9.57164428968692,2.279876145045826e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5704,0.324,0.5371,0.7298,0.6459,0.6465,0.3378,
Brand,-1.639856120186866,0.4623359752116142,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-2.7456807006402366,0.06646154936475132,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.1132,0.0652,0.2775,0.2879,0.0625,0.1323,0.2939,
