keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7,lowest_lag
Innenminister,-3.666487401470383,0.004610008491704534,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-13.944052343012805,4.833327617657248e-26,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7913,0.767,0.8923,0.9887,0.9963,0.9965,0.9953,
Internet,-2.365775245874808,0.1516299505784467,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-11.540857929374472,3.637545295221426e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8907,0.8874,0.3053,0.3206,0.4355,0.4227,0.5313,
Invasion,-2.972775945205705,0.03751619041553087,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-7.172277075068868,2.784516278536962e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.6901,0.0025,0.0002,0.0003,0.0,0.0,0.0,5.0
Inzidenz,-2.695095259822152,0.07489085568490703,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.9356115402686465,0.04136082239473666,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.1589,0.5227,0.6445,0.8487,0.972,0.9862,0.7121,
Iran,-1.8990096790816757,0.33252713227120534,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-10.269606748615727,4.033878772046082e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2647,0.3172,0.456,0.5429,0.4731,0.074,0.1301,
Israel,-4.5280607897342495,0.00017491386093157208,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-9.894315749462484,3.490608813005173e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.6934,0.7691,0.9876,0.9937,0.9977,0.7894,0.8645,
Ist,-3.65753976154175,0.004751621812677406,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-1.7937879173820843,0.38355015258728786,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.5711,0.6237,0.6113,0.4466,0.4669,0.4244,0.4949,
Italien,-2.0973848209426738,0.24556747764361214,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-10.870864797418298,1.3696195249906284e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.847,0.4703,0.7234,0.7292,0.7912,0.7598,0.4788,
Jahr,-6.46327623453074,1.425680297786285e-08,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.4611141175073605,0.0002310235923595191,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jahre,-11.648062965596777,2.0690788228858238e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.8967141724049945,0.3336084431468981,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.009,0.0224,0.0537,0.0349,0.0608,0.0119,0.0086,7.0
