keyword_name,lowest_lag_after_diff_News_grangerCauses_Wikipedia
Motorrad,3.0
Motorradfahrer,1.0
Musik,3.0
Musk,1.0
Mädchen,3.0
München,3.0
Müssen,7.0
Nachfrage,6.0
Nachrichten,7.0
Nadal,5.0
Nahverkehr,6.0
Name,3.0
Nein,7.0
Neuer,7.0
Neun-Euro-Ticket,3.0
New,3.0
Niedersachsen,7.0
Nkunku,5.0
Norden,1.0
Nordkorea,4.0
Nordosten,3.0
Nordrhein-Westfalen,4.0
Norwegen,3.0
Not,1.0
Nur,4.0
Nächste,6.0
Nürnberger,4.0
Oberbayern,3.0
Offensive,6.0
Oldenburg,6.0
Omikron,6.0
Open,5.0
Opfer,3.0
Ostern,4.0
Ostukraine,1.0
Otte,1.0
Palmer,7.0
Pandemie,4.0
Paralympics,5.0
Parlament,3.0
Paulis,7.0
Pause,1.0
Peking,5.0
Pfingsten,4.0
Pleite,1.0
Pocher,2.0
Podcast,3.0
Pokal,1.0
Politik,7.0
Polizei,3.0
Potsdam,5.0
Preis,3.0
Pressekonferenz,7.0
Prinz,5.0
Probleme,5.0
Produktion,7.0
Prognose,5.0
Projekt,1.0
Promille,1.0
Prozess,3.0
Punkt,6.0
Putin,1.0
Quarantäne,6.0
Queen,4.0
Rang,2.0
Rangers,2.0
Rangnick,1.0
Rathaus,1.0
Recht,3.0
Rechte,6.0
Red,4.0
Reichsbürger,7.0
Reisen,4.0
Relegation,7.0
Remis,5.0
Rheinland-Pfalz,3.0
Rolle,6.0
Rom,3.0
Rubel,1.0
Runde,5.0
Russen,4.0
Räuber,7.0
Rückkehr,3.0
Rückschlag,5.0
Saarland,6.0
Sachsen-Anhalt,3.0
Saison,4.0
Salihamidzic,7.0
Samstag,1.0
Sandhausen,2.0
Sanktionen,6.0
Sattelzug,5.0
Saudi-Arabien,3.0
Schiff,4.0
Schleswig-Holstein,5.0
Schlägerei,3.0
Schmidt,1.0
Schnee,6.0
Schröder,7.0
Schuld,4.0
Schule,4.0
Schulen,6.0
Schutz,6.0
Schweden,3.0
Schwedt,6.0
Schwerin,3.0
Schwesig,7.0
Schwester,7.0
Schüler,6.0
Schülern,1.0
See,6.0
Sein,3.0
Seine,5.0
Selenskyj,4.0
Senat,6.0
Senior,6.0
Sevilla,2.0
Sex,4.0
Shanghai,4.0
Sieg,5.0
Siemens,3.0
Solidarität,3.0
Sonnenschein,4.0
Sorgen,7.0
Spandau,1.0
Spiegel,1.0
Spitze,7.0
Sprit,7.0
St.,4.0
Staat,3.0
Stadion,7.0
Stadtrat,7.0
Starke,6.0
Start,2.0
Stichwahl,5.0
Stream,2.0
Streifenwagen,4.0
Streit,3.0
Strobl,3.0
Studie,3.0
Studierende,1.0
Stunde,1.0
Sturm,2.0
Sturmflut,3.0
Sturmtief,7.0
Stuttgart,5.0
Stürmer,4.0
Sylt,6.0
Süle,1.0
Tankstelle,4.0
Tatort,3.0
Tedesco,1.0
Tesla,1.0
Test,1.0
Testspiel,1.0
Theater,1.0
Thomas,4.0
Tiefe,6.0
Tigers,1.0
Top,6.0
Tore,6.0
Tour,7.0
Trainer,7.0
Transporter,2.0
Trauer,7.0
Traum,5.0
Trennung,5.0
Trikot,4.0
Truppen,3.0
Turnier,4.0
Twitter,7.0
Täter,3.0
Tötung,5.0
Tür,6.0
Uhr,4.0
Ukraine,5.0
Ukraine-Krieg,7.0
Ukraine-Krise,3.0
Ukrainer,2.0
Umfrage,1.0
Umsatz,2.0
Ungarn,2.0
Unglück,4.0
United,2.0
Unser,4.0
Unternehmen,4.0
Unterricht,3.0
Untersuchungshaft,4.0
Unwetter,2.0
Verband,7.0
Verbot,6.0
Verbraucher,6.0
Verdächtigen,7.0
Verfassungsschutz,5.0
Verfolgungsjagd,2.0
Verkehr,3.0
Verstappen,2.0
Viele,5.0
Viertel,2.0
Viertelfinale,1.0
Viktoria,5.0
Villarreal,2.0
Virus,6.0
Vorschlag,2.0
Vorsicht,3.0
Vorwurf,6.0
Wachstum,1.0
Wagen,1.0
Wagner,7.0
Wahl,3.0
Wahlkampf,7.0
Wahnsinn,7.0
Waldbrand,2.0
Waldhof,5.0
Walijewa,4.0
Walter,3.0
Wann,2.0
Warnstreik,4.0
